	TCGA-06-0125-01A-01D-A45W-05	TCGA-06-0125-02A-11D-2004-05	TCGA-06-0152-01A-02D-A45W-05	TCGA-06-0152-02A-01D-2004-05	TCGA-06-0171-01A-02D-A45W-05	TCGA-06-0171-02A-11D-2004-05	TCGA-06-0190-01A-01D-A45W-05	TCGA-06-0190-02A-01D-2004-05	TCGA-06-0210-01A-01D-A45W-05	TCGA-06-0210-02A-01D-2004-05	TCGA-06-0211-01A-01D-A45W-05	TCGA-06-0211-02A-02D-2004-05	TCGA-06-0221-01A-01D-A45W-05	TCGA-06-0221-02A-11D-2004-05	TCGA-06-0650-01A-02D-1697-05	TCGA-06-1804-01A-01D-1697-05	TCGA-06-1806-01A-02D-1844-05	TCGA-06-5408-01A-01D-1697-05	TCGA-06-5410-01A-01D-1697-05	TCGA-06-5411-01A-01D-1697-05	TCGA-06-5412-01A-01D-1697-05	TCGA-06-5413-01A-01D-1697-05	TCGA-06-5414-01A-01D-1481-05	TCGA-06-5415-01A-01D-1481-05	TCGA-06-5416-01A-01D-1481-05	TCGA-06-5417-01A-01D-1481-05	TCGA-06-5418-01A-01D-1481-05	TCGA-06-5856-01A-01D-1697-05	TCGA-06-5858-01A-01D-1697-05	TCGA-06-5859-01A-01D-1697-05	TCGA-06-6388-01A-12D-1844-05	TCGA-06-6389-01A-11D-1697-05	TCGA-06-6390-01A-11D-1697-05	TCGA-06-6693-01A-11D-1844-05	TCGA-06-6694-01A-12D-1844-05	TCGA-06-6695-01A-11D-1844-05	TCGA-06-6697-01A-11D-1844-05	TCGA-06-6698-01A-11D-1844-05	TCGA-06-6699-01A-11D-1844-05	TCGA-06-6700-01A-12D-1844-05	TCGA-06-6701-01A-11D-1844-05	TCGA-06-A5U0-01A-11D-A33U-05	TCGA-06-A5U1-01A-11D-A33U-05	TCGA-06-A6S0-01A-11D-A33U-05	TCGA-06-A6S1-01A-11D-A33U-05	TCGA-06-A7TK-01A-21D-A392-05	TCGA-06-A7TL-01A-11D-A392-05	TCGA-06-AABW-11A-31D-A368-05	TCGA-12-5295-01A-01D-1481-05	TCGA-12-5299-01A-02D-1481-05	TCGA-12-5301-01A-01D-1481-05	TCGA-14-0736-01A-01D-A45W-05	TCGA-14-0736-02A-01D-2004-05	TCGA-14-0740-01B-01D-1844-05	TCGA-14-0781-01B-01D-1697-05	TCGA-14-0862-01B-01D-1844-05	TCGA-14-1034-02B-01D-2004-05	TCGA-14-1043-01B-11D-1844-05	TCGA-14-1395-01B-11D-1844-05	TCGA-14-1402-01A-01D-A45W-05	TCGA-14-1402-02A-01D-2004-05	TCGA-14-1450-01B-01D-1844-05	TCGA-15-1444-01A-02D-1697-05	TCGA-19-0957-01C-01D-A45W-05	TCGA-19-0957-02A-11D-2004-05	TCGA-19-1389-01A-01D-A45W-05	TCGA-19-1389-02A-21D-2004-05	TCGA-19-4065-01A-01D-2004-05	TCGA-19-4065-02A-11D-2004-05	TCGA-19-5947-01A-11D-1697-05	TCGA-19-5950-01A-11D-1697-05	TCGA-19-5951-01A-11D-1697-05	TCGA-19-5952-01A-11D-1697-05	TCGA-19-5953-01B-12D-1844-05	TCGA-19-5954-01A-11D-1697-05	TCGA-19-5955-01A-11D-1697-05	TCGA-19-5956-01A-11D-1697-05	TCGA-19-5958-01A-11D-1697-05	TCGA-19-5959-01A-11D-1697-05	TCGA-19-5960-01A-11D-1697-05	TCGA-19-A60I-01A-12D-A33U-05	TCGA-19-A6J4-01A-11D-A33U-05	TCGA-19-A6J5-01A-21D-A33U-05	TCGA-26-1442-01A-01D-1697-05	TCGA-26-5132-01A-01D-1481-05	TCGA-26-5133-01A-01D-1481-05	TCGA-26-5134-01A-01D-1481-05	TCGA-26-5135-01A-01D-1481-05	TCGA-26-5136-01B-01D-1481-05	TCGA-26-5139-01A-01D-1481-05	TCGA-26-6173-01A-11D-1844-05	TCGA-26-6174-01A-21D-1844-05	TCGA-26-A7UX-01B-11D-A392-05	TCGA-28-2501-01A-01D-1697-05	TCGA-28-2510-01A-01D-1697-05	TCGA-28-5204-01A-01D-1481-05	TCGA-28-5207-01A-01D-1481-05	TCGA-28-5208-01A-01D-1481-05	TCGA-28-5209-01A-01D-1481-05	TCGA-28-5211-01C-11D-1844-05	TCGA-28-5213-01A-01D-1481-05	TCGA-28-5214-01A-01D-1481-05	TCGA-28-5215-01A-01D-1481-05	TCGA-28-5216-01A-01D-1481-05	TCGA-28-5218-01A-01D-1481-05	TCGA-28-5219-01A-01D-1481-05	TCGA-28-5220-01A-01D-1481-05	TCGA-28-6450-01A-11D-1697-05	TCGA-32-1979-01A-01D-1697-05	TCGA-32-1980-01A-01D-1697-05	TCGA-32-5222-01A-01D-1481-05	TCGA-41-5651-01A-01D-1697-05	TCGA-41-6646-01A-11D-1844-05	TCGA-4W-AA9R-01A-11D-A392-05	TCGA-4W-AA9S-01A-11D-A392-05	TCGA-4W-AA9T-01A-11D-A392-05	TCGA-74-6573-01A-12D-1844-05	TCGA-74-6573-11A-02D-1844-05	TCGA-74-6575-01A-11D-1844-05	TCGA-74-6577-01A-11D-1844-05	TCGA-74-6578-01A-11D-1844-05	TCGA-74-6581-01A-11D-1844-05	TCGA-74-6584-01A-11D-1844-05	TCGA-76-4925-01A-01D-1481-05	TCGA-76-4926-01B-01D-1481-05	TCGA-76-4927-01A-01D-1481-05	TCGA-76-4928-01B-01D-1481-05	TCGA-76-4929-01A-01D-1481-05	TCGA-76-4931-01A-01D-1481-05	TCGA-76-4932-01A-01D-1481-05	TCGA-76-4934-01A-01D-1481-05	TCGA-76-4935-01A-01D-1481-05	TCGA-76-6191-01A-12D-1697-05	TCGA-76-6192-01A-11D-1697-05	TCGA-76-6193-01A-11D-1697-05	TCGA-76-6280-01A-21D-1844-05	TCGA-76-6282-01A-11D-1697-05	TCGA-76-6283-01A-11D-1844-05	TCGA-76-6285-01A-11D-1697-05	TCGA-76-6286-01A-11D-1844-05	TCGA-76-6656-01A-11D-1844-05	TCGA-76-6657-01A-11D-1844-05	TCGA-76-6660-01A-11D-1844-05	TCGA-76-6661-01B-11D-1844-05	TCGA-76-6662-01A-11D-1844-05	TCGA-76-6663-01A-11D-1844-05	TCGA-76-6664-01A-11D-1844-05	TCGA-81-5910-01A-11D-1697-05	TCGA-81-5911-01A-12D-1844-05	TCGA-87-5896-01A-01D-1697-05	TCGA-OX-A56R-01A-11D-A33U-05	TCGA-RR-A6KA-01A-21D-A33U-05	TCGA-RR-A6KB-01A-12D-A33U-05	TCGA-RR-A6KC-01A-31D-A33U-05
GLS2	0.35968425	0.354937	0.414254	0.5742755	0.354453	0.2707935	0.4531795	0.4882375	0.06070185	0.1423664	0.635124	0.686869	0.669079	0.83738	0.252991	0.506372	0.206628	0.06282955	0.262935	0.243275	0.369268	0.06840175	0.70302	0.701112	0.06962055	0.9197445	0.4966745	0.832339	0.08237185	0.567986	0.3135415	0.47932	0.4643255	0.756838	0.7210105	0.783934	0.244697	0.4155	0.520765	0.4235245	0.741916	0.6411745	0.1685713	0.4454735	0.192729	0.39784	0.6346735	0.07615255	0.3769805	0.5135685	0.690003	0.0501444	0.150599	0.1312675	0.1485211	0.6618805	0.158717	0.2159035	0.488888	0.648986	0.7467545	0.4888775	0.4030375	0.60676	0.439017	0.09506565	0.07879635	0.1297065	0.343704	0.4128815	0.2727665	0.4452115	0.30187165	0.59673	0.501189	0.0496248	0.24463	0.551806	0.4248185	0.219327	0.627138	0.272198	0.926135	0.1264275	0.618034	0.860301	0.5256305	0.8216385	0.7617945	0.4379985	0.3344555	0.09469545	0.19762745	0.2914505	0.0806134	0.7066325	0.377016	0.463046	0.9094065	0.185056	0.4805085	0.501619	0.541935	0.6895	0.0787794	0.3616645	0.4348975	0.7104585	0.555592	0.1839175	0.828697	0.175093	0.4408865	0.74084	0.2886195	0.5188125	0.5490415	0.110101	0.290348	0.3804985	0.567823	0.3724915	0.274703	0.6396865	0.11071025	0.7227515	0.451098	0.8334895	0.344518	0.793414	0.491685	0.4474855	0.4792485	0.4104325	0.444019	0.5267425	0.4068505	0.4227505	0.809111	0.449753	0.7785845	0.3479595	0.7104705	0.2403505	0.507241	0.484401	0.3966555	0.1238535	0.392555	0.6915395	0.1879548	0.5454155	0.4785975	0.5195165
GPX4	0.065354	0.0447976	0.038487	0.0377107	0.0344663	0.0359199	0.0386713	0.0354466	0.0363838	0.0351574	0.0502383	0.0378601	0.0383958	0.0321719	0.0324448	0.0304501	0.0584476	0.0253076	0.0367851	0.0308522	0.0365022	0.0333609	0.0335784	0.0252592	0.0288521	0.0300356	0.0289353	0.0469528	0.0324153	0.0426682	0.0492557	0.0252754	0.0343364	0.0575214	0.0426135	0.0375616	0.0500229	0.0535228	0.060925	0.0390781	0.0455442	0.0363543	0.0378618	0.0334193	0.0486629	0.0387252	0.0459154	0.032478	0.0270685	0.0212718	0.0261605	0.0441644	0.0340933	0.0419526	0.0288126	0.0545258	0.0567516	0.0454967	0.0730862	0.0392709	0.0426854	0.0642	0.0273311	0.0349438	0.0468998	0.043381	0.0290017	0.0295938	0.03276	0.0352778	0.0356287	0.036299	0.0396503	0.0731546	0.0364707	0.0248496	0.0279295	0.0332466	0.0459947	0.0352933	0.060601	0.0414629	0.034775	0.0280813	0.0444799	0.0279374	0.0317277	0.0368388	0.0286731	0.0362174	0.0491459	0.0449623	0.0435558	0.033796	0.0328492	0.027339	0.0248482	0.028945	0.0418021	0.042661	0.0296636	0.0374801	0.040883	0.0290611	0.023815	0.0296551	0.0294764	0.0303632	0.0623422	0.0302138	0.0377932	0.0332576	0.0428041	0.0590615	0.0302432	0.0541331	0.0504385	0.0548844	0.0547893	0.0421631	0.0578351	0.0538527	0.0528673	0.0371309	0.0390943	0.036401	0.0296922	0.0325293	0.0271447	0.0346715	0.0327575	0.0288579	0.0363484	0.0319809	0.0449582	0.0645797	0.025817	0.0375817	0.0243898	0.049782	0.0456133	0.0537751	0.0621093	0.0550796	0.0434188	0.0598476	0.0571643	0.0500897	0.0479654	0.0329964	0.0337845	0.0393777	0.0367125	0.0401097
HSPA5	0.0951284	0.10445625	0.07780565	0.100939	0.08553225	0.0845416	0.07014975	0.0815678	0.08446705	0.1279515	0.0840788	0.09022595	0.09292095	0.08880195	0.0716195	0.07185085	0.09476135	0.079026	0.0706272	0.0668398	0.076087	0.0850265	0.0831608	0.0792809	0.0839585	0.0864519	0.08179815	0.08089855	0.0718929	0.0929172	0.09800105	0.08605615	0.07095835	0.09445225	0.0860912	0.11137865	0.1055344	0.10000625	0.1096834	0.11635705	0.09740805	0.074049	0.078302	0.0795727	0.09899695	0.0844245	0.0696282	0.05636965	0.0824376	0.08159765	0.08345535	0.07577545	0.10045735	0.0832659	0.0598656	0.10474015	0.10882255	0.10864345	0.0921572	0.08719195	0.08517505	0.11278795	0.0767826	0.0906156	0.08660435	0.0699927	0.08033285	0.0884855	0.0843089	0.07841035	0.07677705	0.1455776	0.07698445	0.1154547	0.07430955	0.0742491	0.0681703	0.06011445	0.07884555	0.09429445	0.0685644	0.0751792	0.0964166	0.0905342	0.08633555	0.08437465	0.08080845	0.07324615	0.08962885	0.0681708	0.10191505	0.104021	0.0653152	0.06782275	0.0736148	0.07695245	0.0773072	0.0726456	0.08779445	0.09195235	0.08056045	0.08186835	0.0836211	0.07300845	0.06797155	0.0789272	0.0649777	0.0796789	0.07085655	0.0741616	0.06697285	0.0757144	0.14427725	0.07296465	0.0637953	0.0721978	0.105839	0.11096305	0.1026782	0.1077445	0.0974236	0.09976995	0.09836115	0.08773835	0.07047525	0.07154185	0.0901988	0.0936887	0.11237155	0.07958615	0.0743398	0.07290265	0.0585626	0.07181635	0.07576505	0.1069158	0.07214145	0.0830956	0.07835445	0.10538105	0.09306855	0.1014371	0.10875255	0.10299245	0.114508	0.09565205	0.11104075	0.0744869	0.11243755	0.05976225	0.07108605	0.06875675	0.06068735	0.0620729
HSPB1	0.0373632	0.035363	0.0412511	0.0400129	0.0364277	0.0343683	0.0397763	0.0331417	0.0350405	0.0435635	0.0368448	0.0360924	0.0332891	0.0352778	0.0344826	0.0267821	0.051266	0.0256525	0.0298493	0.036024	0.0323377	0.0305546	0.0288522	0.0325622	0.0359947	0.0326406	0.030287	0.0318809	0.0311507	0.0411688	0.0455662	0.0287102	0.0302343	0.051691	0.0436514	0.0383217	0.0384101	0.0575012	0.0359313	0.0508055	0.0362467	0.0337992	0.0421627	0.0417424	0.0414965	0.0520599	0.0378826	0.0339472	0.027821	0.0273681	0.0356908	0.0429564	0.0364354	0.0492667	0.0309522	0.0376995	0.0338504	0.0389587	0.0532895	0.0361576	0.0334852	0.0617619	0.0233963	0.0541867	0.0369125	0.0416774	0.0325148	0.0282701	0.0395302	0.0415953	0.0315787	0.0823953	0.0241701	0.0512457	0.0240803	0.027032	0.0361408	0.0350408	0.0338151	0.0350023	0.0362168	0.0392757	0.0361863	0.0285283	0.0354657	0.0293729	0.0356916	0.0331196	0.0300779	0.0332955	0.0482094	0.0514936	0.0402148	0.0325192	0.0371352	0.0342312	0.0330025	0.0383019	0.0295457	0.0445339	0.03723	0.0342661	0.0309866	0.0377246	0.0304363	0.0288718	0.0342377	0.0299585	0.0349255	0.0318075	0.0375133	0.0366985	0.0419632	0.0400031	0.0473658	0.0394338	0.0373477	0.0436323	0.0452836	0.036681	0.0407094	0.0436875	0.0565671	0.0355688	0.0280454	0.0347054	0.0431014	0.0326102	0.0287027	0.0344815	0.0373593	0.0398737	0.0337445	0.0236478	0.0233533	0.042352	0.0347342	0.0326931	0.028739	0.0526521	0.0491519	0.0575194	0.0552026	0.057082	0.051097	0.0435699	0.0437264	0.0496525	0.0573713	0.0271875	0.0273733	0.0395492	0.0417053	0.027537
LPCAT3	0.0322744	0.0294838	0.0356877	0.0304228	0.0393168	0.033368	0.0305347	0.0379293	0.0366811	0.0271885	0.0329338	0.0353023	0.0358831	0.0279251	0.0282386	0.0295199	0.0329398	0.0200644	0.0246973	0.0302165	0.0255535	0.0289294	0.026335	0.0299659	0.0313525	0.0279837	0.0308801	0.0282497	0.0309841	0.0295749	0.0385233	0.0282776	0.0226523	0.038122	0.0407209	0.0361163	0.0368846	0.0359606	0.0353243	0.0468242	0.0368024	0.0381664	0.0391059	0.0336284	0.0297182	0.0318022	0.0288045	0.0278244	0.0277789	0.0299492	0.0273474	0.0333659	0.0430149	0.0394056	0.0269355	0.0396334	0.0360354	0.0396216	0.0395479	0.0311715	0.0384112	0.0311749	0.0246011	0.0266785	0.030864	0.032024	0.0334423	0.0391191	0.0407641	0.0347626	0.0195792	0.0324882	0.0320586	0.0427933	0.0220942	0.0299909	0.027475	0.0251548	0.0286079	0.0307062	0.0324222	0.0316769	0.0319468	0.0249322	0.035164	0.0288469	0.0264985	0.0285528	0.0344242	0.0262915	0.0357323	0.0395526	0.0323677	0.0351116	0.0326353	0.027079	0.0272493	0.0299618	0.0285795	0.0403623	0.0233814	0.0290778	0.0246817	0.0296799	0.0293389	0.0262928	0.0297496	0.0256103	0.0443885	0.0306699	0.028182	0.0257015	0.0333538	0.0335073	0.0305271	0.0308495	0.0392166	0.0382236	0.0407374	0.0342438	0.0350992	0.0449284	0.0364546	0.0303968	0.0282364	0.0307281	0.0271477	0.0285084	0.0337663	0.0285771	0.0322477	0.0316256	0.0252368	0.024377	0.0313759	0.039272	0.0256207	0.0347453	0.0277865	0.037293	0.0418951	0.0405619	0.0381594	0.0373565	0.0350707	0.0413471	0.0400259	0.021647	0.0391177	0.0244814	0.0266082	0.0384302	0.0251523	0.0266437
MT1G	0.12038	0.194088	0.125431	0.1905525	0.177483	0.2937315	0.1245375	0.1645155	0.1154875	0.1417215	0.3802125	0.3143075	0.6919825	0.40451	0.189059	0.1452695	0.2091355	0.1363543	0.166198	0.329759	0.164672	0.17022	0.1457155	0.228031	0.0840508	0.715185	0.10355745	0.261058	0.1485465	0.1666865	0.2054115	0.5905955	0.1586275	0.186106	0.158039	0.2507725	0.196839	0.1915975	0.1855559	0.2614135	0.555607	0.1775715	0.1901655	0.10906585	0.1269595	0.368004	0.5506205	0.2019335	0.200583	0.1186295	0.175918	0.127815	0.2579595	0.1656205	0.128095	0.281336	0.3083945	0.318083	0.2113845	0.4550235	0.5768895	0.4462435	0.6049945	0.1331075	0.2108545	0.137281	0.125176	0.297416	0.197917	0.2299675	0.3088285	0.168977	0.490334	0.378556	0.1924075	0.155868	0.163294	0.2314235	0.3405785	0.16509	0.4542155	0.202529	0.3151095	0.637009	0.5423185	0.82755	0.130415	0.127084	0.189177	0.1408185	0.1965585	0.314427	0.2216245	0.315596	0.263743	0.375007	0.2376425	0.1342255	0.114078	0.184203	0.158777	0.3051865	0.1572635	0.143292	0.430499	0.14106	0.1095434	0.5221355	0.1589835	0.326165	0.270177	0.240298	0.3507315	0.1468145	0.211633	0.243186	0.176082	0.2545995	0.2568705	0.186106	0.2107155	0.16874	0.263809	0.3281085	0.208364	0.179642	0.134209	0.1000445	0.104289	0.113206	0.1390335	0.124362	0.132771	0.1707915	0.134505	0.4603355	0.1185746	0.438716	0.0973018	0.1715745	0.531655	0.155913	0.1826815	0.276616	0.19473	0.200078	0.216858	0.152622	0.1764545	0.564945	0.4764295	0.186865	0.232558	0.4373485
NCOA4	0.0732085	0.0824569	0.0711142	0.07901165	0.0553394	0.07378155	0.05496655	0.0731868	0.04877715	0.07428145	0.05751915	0.0731474	0.0587889	0.0635641	0.07033495	0.0692348	0.0835652	0.06086955	0.05827365	0.06683355	0.06024555	0.11495075	0.0674666	0.0756155	0.0538047	0.05828955	0.0882393	0.06378685	0.04807785	0.09344275	0.0827559	0.0569267	0.08827785	0.09194025	0.0603669	0.083121	0.0797312	0.0759667	0.0727153	0.0827003	0.12466685	0.07278775	0.0880497	0.06963125	0.0626645	0.5406685	0.0771833	0.047636	0.07238955	0.1137715	0.08669565	0.08798775	0.131029	0.06984955	0.0710936	0.0869444	0.0842025	0.07349985	0.09826565	0.0630845	0.0845539	0.0741983	0.06284795	0.05684835	0.0759617	0.0565389	0.06599915	0.0624315	0.0713084	0.0625526	0.0709826	0.0726065	0.0576859	0.08576545	0.07320105	0.0493566	0.04585595	0.0616746	0.0604	0.0576222	0.07475665	0.06961235	0.0595176	0.0561275	0.0836268	0.297755	0.0774371	0.0866679	0.08701815	0.680483	0.10207805	0.0753625	0.07007485	0.289909	0.06575815	0.089705	0.0786291	0.16043395	0.0879397	0.0682359	0.08216375	0.0664824	0.0673389	0.09611405	0.08772935	0.1077618	0.07142075	0.0580546	0.0612519	0.0540348	0.7231575	0.08108645	0.08060715	0.0702001	0.06416485	0.06958985	0.08958715	0.08245945	0.07722185	0.0635331	0.0854381	0.087728	0.08184125	0.0845109	0.0751733	0.08024605	0.0662897	0.064537	0.09597405	0.07309365	0.1026475	0.0725081	0.0550038	0.0600014	0.0561313	0.0827117	0.0660901	0.2650915	0.7747655	0.0960682	0.09753305	0.093892	0.06627985	0.07823415	0.06939075	0.08620675	0.0823037	0.07426935	0.06857005	0.05553035	0.0863698	0.12259295	0.06076075	0.081801
NFE2L2	0.0342726	0.0643954	0.03717185	0.03880745	0.0411186	0.0403303	0.0479754	0.0509781	0.04266855	0.05212015	0.04185445	0.0412209	0.04380795	0.06093785	0.03601235	0.04059395	0.0481669	0.03745285	0.0415702	0.029129	0.03770035	0.0345499	0.03307045	0.03622815	0.037931	0.0358873	0.0339161	0.040509	0.0317228	0.0435848	0.05244025	0.0400498	0.0339129	0.07203795	0.0533199	0.03779175	0.04444325	0.0613346	0.0416451	0.0753858	0.0402521	0.05277625	0.0480094	0.05500765	0.04541315	0.045705	0.04580835	0.0399588	0.038205	0.0508237	0.0313505	0.0495301	0.06156395	0.06190235	0.04634285	0.05442145	0.05353405	0.0512671	0.0496941	0.04242295	0.03578295	0.0485973	0.04665205	0.05468065	0.0440817	0.04349655	0.05222115	0.044446	0.0524885	0.03828955	0.03470285	0.0479177	0.04072915	0.05569705	0.03505895	0.04020205	0.0414225	0.03670355	0.0316836	0.0406982	0.0497815	0.0460372	0.04421205	0.04890265	0.0342511	0.0390206	0.03740355	0.03865565	0.0353653	0.0406364	0.0497582	0.04396765	0.0387853	0.04224545	0.04049295	0.03678605	0.0351122	0.0370937	0.0354283	0.04061155	0.03559605	0.04296815	0.03481495	0.0353607	0.0388093	0.0400285	0.02961155	0.03203275	0.0799475	0.0330574	0.0391406	0.0381347	0.0494782	0.04565345	0.03831845	0.0465133	0.0457292	0.0523339	0.06013	0.0448175	0.0554194	0.0437259	0.0590393	0.0432454	0.0355255	0.044286	0.03802735	0.04816005	0.04086665	0.04157175	0.04294835	0.0378717	0.02798295	0.0400952	0.0321955	0.04267335	0.03389245	0.04416775	0.0378246	0.04799765	0.0572923	0.0487564	0.04879365	0.05917955	0.06099455	0.05111065	0.0514708	0.045577	0.04768985	0.03802365	0.0359547	0.0457667	0.04270105	0.0353509
RPL8	0.0599575	0.0661715	0.0475096	0.0503007	0.0604748	0.0554845	0.0647279	0.0762262	0.0682555	0.0620401	0.0601559	0.0736518	0.0556078	0.0653558	0.0516564	0.0543995	0.0664113	0.0579418	0.0658281	0.0528903	0.0614267	0.0573114	0.0543823	0.0620416	0.0510285	0.0595814	0.0488415	0.0524563	0.0605284	0.0553536	0.0794523	0.0564193	0.0594278	0.0821392	0.0699592	0.0742828	0.0760139	0.0900971	0.0703105	0.138123	0.0792734	0.0757527	0.0701208	0.0978351	0.0863528	0.0893501	0.07467	0.0755857	0.0475609	0.0498779	0.0487621	0.0625463	0.0744209	0.0740393	0.050807	0.0713813	0.0512844	0.0777666	0.0917164	0.0711414	0.0646975	0.0722981	0.0586134	0.0651803	0.0678998	0.0546497	0.0619406	0.0594285	0.0794719	0.060882	0.0510432	0.12949	0.0703024	0.0860296	0.0586135	0.0597933	0.0586283	0.0606159	0.052944	0.0677072	0.0649559	0.0766076	0.0771791	0.0604321	0.0777328	0.0638767	0.0737485	0.0543151	0.0614758	0.0609717	0.0797167	0.0888813	0.0763138	0.0760213	0.0595502	0.0503771	0.0513472	0.0588456	0.0588605	0.0711867	0.0491649	0.0555142	0.057593	0.0468698	0.059178	0.0598218	0.0429345	0.0632381	0.0793055	0.058105	0.0538165	0.230432	0.0710144	0.0752952	0.0686999	0.0834083	0.0744037	0.0788306	0.0695637	0.0548904	0.0599145	0.0707109	0.0841247	0.0555226	0.0617924	0.0640825	0.0531752	0.054516	0.0721023	0.0589231	0.0590354	0.0573246	0.0562283	0.0644593	0.0545267	0.0643851	0.0499661	0.0735634	0.0691608	0.0685553	0.0737511	0.0792877	0.0737635	0.0768845	0.0769502	0.0701606	0.0702408	0.0578976	0.0737222	0.0546162	0.0779021	0.0782782	0.0667924	0.0629884
SAT1	0.447726	0.462166	0.0286306	0.0414908	0.0311474	0.0309936	0.0302004	0.0380839	0.441905	0.518979	0.0273265	0.0323566	0.033706	0.0339147	0.297527	0.414722	0.0513114	0.460708	0.116227	0.0331179	0.299555	0.0379651	0.0367069	0.0266493	0.203306	0.476853	0.1563	0.0213321	0.0895403	0.0294965	0.41761	0.356004	0.0300765	0.472918	0.442948	0.043537	0.0350407	0.140571	0.492477	0.0257588	0.0379081	0.166049	0.438602	0.0333177	0.191139	0.0346314	0.115546	0.239814	0.494308	0.602474	0.0291358	0.0322387	0.0352251	0.0323732	0.0289734	0.0508944	0.531484	0.0386198	0.0368066	0.448229	0.535065	0.487289	0.0235561	0.46315	0.483679	0.0319732	0.028452	0.029609	0.0342994	0.382564	0.404547	0.4183	0.026242	0.0512198	0.44103	0.0264082	0.0559513	0.0311969	0.458372	0.0315253	0.0311698	0.0367109	0.0365953	0.0280574	0.0325172	0.0318322	0.030939	0.500236	0.51647	0.18621	0.039687	0.398514	0.0301171	0.028655	0.410917	0.0267181	0.0267475	0.029789	0.543159	0.0431115	0.033129	0.030267	0.472813	0.0234698	0.0290805	0.258875	0.0332894	0.028622	0.489938	0.0285617	0.0291857	0.398478	0.143791	0.0303341	0.023859	0.384375	0.0372311	0.0352142	0.357491	0.0285835	0.0364762	0.0362332	0.491865	0.035322	0.0303021	0.0244664	0.484403	0.593222	0.218055	0.513026	0.422119	0.489728	0.027439	0.024893	0.0240601	0.0352321	0.0313323	0.450597	0.0772925	0.030135	0.0427492	0.0361735	0.0352289	0.0310717	0.029036	0.43979	0.480427	0.0288701	0.0398254	0.452676	0.0291944	0.362591	0.0353477	0.0358011
SLC1A5	0.100696	0.179928	0.128224	0.158489	0.181519	0.161486	0.197582	0.0755281	0.106665	0.120607	0.118887	0.103934	0.281674	0.143879	0.192598	0.215594	0.327605	0.174823	0.160466	0.17143	0.145292	0.115478	0.139348	0.285971	0.0542419	0.127267	0.113896	0.115754	0.0764882	0.160041	0.162008	0.218857	0.114796	0.161882	0.0972857	0.121224	0.101693	0.147191	0.142857	0.300352	0.412813	0.187764	0.162453	0.089166	0.149138	0.221576	0.17289	0.181202	0.150207	0.163162	0.0891722	0.102423	0.215851	0.0822552	0.143802	0.194753	0.324221	0.296705	0.21635	0.226113	0.300487	0.237605	0.193714	0.128396	0.142851	0.155915	0.11496	0.213247	0.177747	0.110419	0.220054	0.0905964	0.120708	0.214658	0.0955533	0.12598	0.0821729	0.195075	0.100598	0.142512	0.158349	0.262364	0.119152	0.300305	0.124645	0.118892	0.114675	0.167348	0.160166	0.10785	0.179948	0.285996	0.125548	0.193962	0.312398	0.158147	0.254589	0.125589	0.11152	0.105621	0.169509	0.202762	0.0900549	0.0827916	0.0704597	0.103421	0.130803	0.101446	0.114996	0.299813	0.0955427	0.0782068	0.196508	0.132875	0.122662	0.145791	0.210045	0.298262	0.23122	0.126578	0.133123	0.163518	0.25044	0.204148	0.183302	0.194073	0.136614	0.150397	0.133611	0.21299	0.0807418	0.124726	0.0890481	0.128304	0.142208	0.143209	0.0674489	0.132632	0.104931	0.163676	0.179989	0.405059	0.173813	0.257627	0.20284	0.199613	0.131946	0.130643	0.30371	0.338387	0.151275	0.116291	0.134113	0.0900346
SLC7A11	0.0515057	0.0743709	0.049025	0.0576775	0.0434986	0.051326	0.0541281	0.0515335	0.0471855	0.0726491	0.0524767	0.0607239	0.344345	0.0738556	0.0864926	0.105669	0.0700595	0.0525602	0.103756	0.0732109	0.0596347	0.0827692	0.102489	0.114497	0.0942134	0.104139	0.056158	0.0497881	0.0643707	0.117664	0.0516618	0.592702	0.0700384	0.0635348	0.0758727	0.0574849	0.0538192	0.0540895	0.0503863	0.0716711	0.421386	0.330834	0.17158	0.224524	0.18427	0.284412	0.224888	0.181245	0.0824263	0.172113	0.0752613	0.0448092	0.08134	0.0584404	0.0907799	0.0475809	0.0944542	0.0531661	0.0470124	0.0533664	0.0601146	0.0705342	0.353671	0.0583009	0.0608961	0.0479487	0.057889	0.0641082	0.0826016	0.065936	0.0658579	0.34420095	0.0745507	0.053503	0.0667028	0.0739986	0.0811915	0.0806257	0.0778056	0.0618001	0.11314	0.174689	0.295629	0.107852	0.0878563	0.151703	0.121584	0.105707	0.0770231	0.152167	0.0528167	0.0608071	0.126161	0.0957638	0.108006	0.12222	0.123557	0.124699	0.075222	0.047684	0.12881	0.145047	0.0928975	0.113089	0.140628	0.123925	0.0692621	0.0605537	0.128966	0.113692	0.10396	0.15622	0.0367033	0.2443204	0.174498	0.246075	0.0559108	0.0657885	0.0525348	0.0459933	0.0601254	0.0429959	0.0537512	0.0833939	0.089463	0.120465	0.120678	0.0861452	0.176624	0.143928	0.209738	0.17811	0.0555396	0.0876228	0.0835704	0.0524459	0.0635562	0.127497	0.127755	0.0416068	0.0603004	0.0694939	0.0497671	0.0594937	0.0506073	0.0446396	0.0486724	0.113698	0.0424444	0.0637695	0.235711	0.301412	0.22027	0.267434
