,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_001081108,142.151,123.792,110.088,102.717,129.037,114.871,100.328,100.766,86.088,114.817,77.518,81.653,122.714,121.886,93.071,112.804,121.576,108.569,97.677,93.345
NM_008363,124.317,116.067,98.777,96.865,127.549,115.443,106.869,101.626,66.942,67.521,61.009,51.585,121.695,111.902,102.135,97.47,88.411,89.13,73.856,72.91
NM_175383,127.811,137.356,103.554,108.763,117.63,124.213,85.984,100.286,88.997,91.491,58.933,80.292,144.325,121.763,108.308,91.504,108.119,112.527,91.076,89.15
NM_026130,103.934,131.241,95.889,116.031,111.223,126.815,99.311,105.684,111.202,97.343,109.577,95.301,111.146,142.162,108.703,121.262,91.969,112.803,84.726,98.814
NM_009294,142.298,133.959,110.784,114.298,123.803,113.515,105.059,102.953,87.439,87.466,79.719,76.116,149.683,145.637,123.695,128.596,110.485,90.314,95.775,82.009
NM_007508,112.918,147.81,107.602,136.388,103.832,132.47,95.834,112.798,100.043,82.456,89.196,77.977,138.492,159.372,135.503,144.461,123.915,141.916,121.132,127.305
NM_145926,106.523,130.546,95.658,114.394,107.954,126.62,104.905,104.369,70.655,69.452,69.131,76.213,98.353,129.977,77.619,110.4,102.444,120.495,81.039,92.961
NM_001160356,109.162,133.865,80.91,109.473,109.065,124.29,66.644,71.509,96.854,91.257,44.532,39.982,128.261,130.391,87.674,95,123.809,102.026,69.735,70.927
NM_008669,156.803,188.432,134.967,151.284,113.054,118.26,90.847,97.615,72.491,65.904,57.633,64.802,157.354,146.02,132.575,120.229,77.74,85.751,65.341,66.32
NM_013651,88.022,91.39,81.552,85.093,115.777,113.007,118.144,103.303,73.039,75.037,66.342,79.27,91.942,100.26,74.816,88.056,110.786,95.219,93.472,88.895
NM_023229,115.514,117.726,101.692,111.645,112.593,110.907,91.868,93.438,85.851,89.963,70.586,81.495,110.57,124.688,83.501,99.292,115.423,106.117,90.072,93.013
NM_029023,129.246,140.757,113.731,123.392,105.384,116.201,93.712,98.926,75.262,61.53,65.812,64.314,156.192,154.577,131.71,139.591,103.284,118.724,90.278,100.986
NM_010073,101.028,113.799,100.68,110.708,111.042,110.058,93.012,95.605,78.235,80.041,73.65,67.128,121.883,149.945,87.24,110.204,99.236,110.103,76.913,90.788
NM_007651,117.403,136.653,116.649,129.227,93.955,126.972,90.791,118.587,68.582,86.875,64.978,77.354,115.287,144.95,107.289,129.183,81.19,104.421,77.162,98.673
NM_026977,87.614,105.011,70.14,79.882,100.431,117.132,77.508,92.279,56.092,62.6,46.949,56.504,89.539,118.563,56.856,93.143,61.739,78.822,42.396,54.927
NM_011503,126.78,105.271,106.678,87.864,116.462,100.799,99.516,88.511,96.307,97.048,83.402,79.723,140.709,125.068,114.559,108.612,107.499,87.568,92.731,76.706
NR_027804,116.255,121.379,94.451,105.706,111.139,105.569,90.211,86.781,82.174,68.945,71.819,65.68,140.683,129.361,99.562,104.619,93.598,85.949,74.097,75.094
NM_134020,95.299,101.707,83.087,93.458,102.861,110.035,89.555,101.135,78.382,88.265,78.241,76.719,103.645,118.273,86.376,97.358,97.227,106.159,77.22,84.001
NM_007414,93.667,91.111,80.297,80.324,108.158,103.941,99.369,98.762,71.755,76.009,73.311,77.357,97.396,96.407,82.479,86.308,94.558,98.398,88.121,85.375
NM_001099314,85.973,118.938,65.603,94.006,98.772,109.769,71.322,83.73,53.575,30.467,43.325,51.251,121.887,133.389,72.975,90.449,61.623,81.157,43.526,66.985
NM_019479,140.958,124.48,92.715,85.094,112.782,94.731,69.243,64.878,61.421,63.727,44.991,36.746,128.965,103.634,81.429,71.239,104.397,108.55,71.199,67.883
NR_110986,86.276,108.988,68.604,82.244,86.08,117.057,66.018,80.306,68.436,73.425,48.752,49.19,76.426,99.394,64.074,66.541,55.255,62.103,37.462,50.087
NM_001031667,89.957,87.62,73.327,72.91,105.496,95.634,95.46,83.851,78.376,76.816,64.752,73.448,100.629,117.391,77.511,94.324,98.572,82.179,77.235,73.904
NM_145530,295.327,176.413,83.742,140.363,117.787,79.763,27.086,36.76,100.758,93.183,26.154,37.079,305.122,209.461,107.43,96.343,113.054,60.643,58.231,39.16
NM_001145960,109.821,117.405,91.607,96.613,93.844,102.81,72.423,78.784,45.991,53.057,31.734,42.358,121.473,81.014,94.606,66.917,89.58,87.316,70.977,66.675
NM_001347310,87.311,93.115,69.805,83.952,100.271,95.702,88.91,81.462,67.932,66.895,68.122,73.953,91.128,86.153,83.694,78.198,92.602,88.854,76.59,75.163
NM_026975,113.086,77.043,83.628,70.467,105.717,89.627,68.9,84.495,63.117,102.04,51.862,62.429,96.507,84.334,53.082,85.036,78.453,79.4,56.766,60.497
NM_133858,84.545,111.056,60.265,84.06,87.487,104.73,63.002,79.965,32.606,27.056,24.385,22.703,78.194,85.045,55.668,61.755,66.021,67.552,49.141,49.976
NM_017475,90.072,115.787,79.349,96.806,86.729,102.493,69.657,80.201,102.751,83.82,76.23,81.575,92.756,113.47,76.304,94.162,97.933,117.375,78.748,92.966
NM_144525,93.58,100.29,76.286,95.177,90.419,98.583,74.68,86.937,63.39,73.922,62.185,56.588,83.147,110,67.204,91.872,96.639,89.554,73.724,77.361
NM_001284411,90.798,95.098,78.31,78.357,91.782,97.187,74.123,80.761,52.289,58.468,45.138,51.427,91.511,91.154,74.536,81.846,67.152,82.478,51.752,67.893
NM_025340,87.37,83.995,68.79,75.596,89.526,98.107,71.626,76.875,80.412,82.791,67.43,73.008,91.839,96.855,70.674,82.208,68.681,66.054,54.166,53.359
NM_080837,116.167,88.73,97.014,77.833,104.3,80.406,87.378,70.222,89.262,108.174,80.909,75.125,106.918,115.866,80.993,97.891,109.488,81.468,91.192,79.542
NM_001310693,81.813,88.953,78.897,84.648,82.554,100.125,80.699,99.085,85.058,89.044,80.587,75.632,72.894,96.031,80.449,93.09,77.141,73.496,73.505,74.097
NM_153142,115.412,103.786,91.988,89.405,94.424,87.659,78.679,78.003,78.127,80.151,63.791,65.85,120.846,117.074,88.67,102.628,73.636,76.059,60.379,59.195
NM_172935,137.002,114.472,110.401,103.115,89.814,92.128,75.543,81.566,59.455,55.354,44.795,49.948,114.303,90.648,85.646,76.556,95.225,104.874,75.086,85.664
NM_026011,105.635,153.143,95.868,135.785,71.698,108.085,62.055,84.108,43.845,37.013,35.018,33.629,122.301,160.695,115.244,145.851,108.173,123.287,87.669,111.622
NM_019953,98.324,71.43,80.961,62.08,93.604,83.909,75.491,71.834,53.292,63.033,44.807,45.615,88.912,77.794,60.796,70.664,79.12,63.179,59.423,61.943
NM_138950,85.232,97.473,63.072,78.5,89.031,88.065,62.181,62.361,82.218,74.695,66.939,68.893,93.25,108.504,68.162,80.487,72.533,76.806,50.956,56.503
NM_013489,105.785,112.724,93.822,96.237,81.615,94.639,69.041,77.669,50.941,45.995,38.809,38.012,102.265,71.251,86.682,59.871,69.967,83.965,54.463,65.532
NM_133693,77.189,75.653,62.783,62.68,94.151,81.893,86.615,74.073,55.32,53.364,50.452,57.617,76.26,80.059,59.319,67.088,84.552,77.601,76.49,67.571
NM_001168220,116.107,137.321,86.239,109.78,81.184,94.16,61.804,71.767,33.736,30.41,28.037,25.999,118.602,138.909,100.182,110.802,59.392,55.1,46.772,47.652
NM_177648,94.559,98.529,74.713,91.24,91.232,83.126,76.908,73.892,66.374,64.132,51.546,50.369,81.977,94.543,61.33,82.858,80.585,81.023,60.678,67.567
NM_145609,97.313,85.026,73.722,74.018,85.664,88.453,67.334,69.99,61.646,76.857,64.664,71.918,89.118,94.974,82.156,88.413,79.839,76.824,64.548,56.253
NM_012003,110.095,108.777,89.287,94.933,88.169,85.931,72.603,74.923,75.845,70.675,66.669,66.907,96.556,102.823,74.948,88.962,106.2,95.566,86.317,82.41
NM_027151,82.855,83.799,64.07,71.123,86.706,87.095,72.453,72.209,63.247,60.011,52.604,45.289,96.446,91.728,75.827,75.94,88.952,87.325,71.823,73.157
NM_001164709,88.304,105.819,73.906,99.414,78.48,93.594,75.078,82.195,89.166,86.807,92.295,80.934,92.521,103.487,77.9,87.931,87.98,86.598,72.305,70.604
NM_019704,88.095,95.039,72.636,78.787,86.223,84.28,70.91,62.094,63.658,55.313,42.414,60.7,98.975,103.713,67.001,76.821,81.495,90.091,60.291,65.036
NM_001302505,84.089,91.063,60.481,72.799,81.944,86.962,57.01,59.867,56.447,60.064,44.521,44.495,94.132,96.205,64.72,78.355,69.527,75.339,49.864,54.748
NM_009230,103.311,168.209,93.677,149.207,69.569,98.218,61.927,80.339,60.558,49.12,48.752,46.004,96.638,125.982,94.536,115.529,96.116,115.621,85.245,104.008
NM_001271591,87.676,45.767,78.207,43.508,110.724,56.179,93.916,43.502,31.245,42.491,24.36,27.26,139.427,67.317,123.576,62.032,70.18,29.469,72.58,23.065
NR_045955,95.577,105.834,82.595,89.335,78.774,85.796,70.958,74.806,55.305,44.282,48.694,46.495,118.194,115.15,98.025,104.822,77.517,86.946,67.521,75.331
NM_026198,60.94,75.682,45.906,55.782,76.285,87.616,56.172,65.174,52.816,54.539,38.257,45.75,77.357,86.664,51.016,63.541,70.299,76.918,54.782,58.773
NM_001012638,94.981,100.321,78.238,85.166,77.004,85.589,73.039,77.647,67.162,57.639,50.837,73.456,94.861,103.33,68.813,82.729,87.41,99.903,76.921,76.629
NM_010807,33.838,38.691,1301.155,858.726,61.231,100.548,1283.891,885.426,1490.896,1307.897,3621.593,3393.43,94.315,102.235,1217.062,908.615,891.321,834.071,3804.472,3183.747
NM_026875,74.158,79.551,53.545,63.065,74.052,87.007,59.329,61.623,30.181,35.546,22.448,27.987,126.251,108.096,80.538,83.518,46.964,75.847,29.191,46.597
NM_011697,97.198,123.909,80.43,107.218,74.43,85.486,65.058,69.621,61.078,52.05,47.645,49.663,121.116,147.961,88.6,120.074,110.379,132.177,86.026,111.416
NM_013908,67.834,85.213,57.447,70.779,75.731,84.142,62.779,72.137,46.112,47.558,46.434,40.517,80.776,83.002,62.292,72.558,75.092,80.198,63.704,69.141
NM_025289,80.574,80.242,69.528,68.06,78.42,80.775,68.194,65.452,61.141,62.262,58.778,58.36,93.235,87.587,80.82,71.991,75.749,64.553,61.863,53.758
NM_023625,86.151,98.805,78.719,95.2,74.55,83.937,69.419,75.341,76.901,68.769,70.22,77.002,83.922,98.754,70.853,80.812,72.649,85.793,61.052,68.906
NM_025843,110.775,88.748,87.999,70.972,86.437,71.758,74.056,58.933,71.776,69.57,66.803,68.958,89.41,72.329,66.122,59.25,98.209,73.594,80.038,63.78
NM_021337,71.665,75.049,63.706,62.726,82.446,75.148,71.449,64.259,41.163,46.109,40.459,44.675,80.988,81.194,67.211,68.42,70.612,65.984,59.895,56.201
NM_175402,78.431,80.822,56.559,66.089,81.86,73.635,72.027,62.496,49.506,70.037,45.513,74.181,81.766,99.124,70.885,72.311,73.73,69.352,58.071,47.622
NM_019980,90.344,138.829,95.044,128.529,65.82,89.326,64.554,78.657,54.131,44.333,54.302,50.076,89.33,124.94,88.843,117.496,85.371,103.008,82.073,100.732
NM_016783,84.165,101.1,68.191,88.497,73.966,81.03,64.687,70.354,53.656,58.301,44.722,51.455,68.915,77.031,60.102,71.559,69.383,71.233,55.781,64.562
NM_007478,66.643,90.068,61.053,76.057,65.548,84.212,59.148,70.265,74.56,74.492,70.402,73.196,71.8,81.907,62.495,72.227,76.946,93.824,64.418,75.931
NM_019742,78.593,75.668,55.25,52.21,76.009,70.26,49.885,47.087,47.037,55.116,38.815,31.917,79.462,83.752,47.657,57.954,69.411,62.238,47.441,43.693
NM_025272,90.573,82.574,86.423,75.682,69.973,75.588,63.181,69.937,56.011,56.554,45.921,48.785,93.873,104.991,74.499,86.786,85.075,81.994,72.295,78.356
NM_009497,67.184,96.094,56.172,80.487,61.367,83.507,50.136,64.148,31.986,32.261,27.491,28.609,91.777,103.236,71.727,78.357,74.747,96.8,60.078,78.427
NM_029748,87.382,80.817,70.219,66.46,73.081,71.556,57.659,57.572,65.681,69.534,52.531,56.355,86.151,94.28,62.069,76.303,58.606,55.185,45.464,44.688
NM_134076,68.295,85.768,57.552,72.148,64.425,80.204,53.636,65.255,43.546,39.184,39.852,34.404,81.284,112.526,61.542,97.43,60.016,86.048,50.846,70.311
NM_027410,88.331,102.636,65.436,83.503,68.752,75.609,58.598,62.398,40.939,28.062,35.687,33.161,77.236,69,58.472,52.037,67.721,62.589,50.15,47.891
NM_007537,87.727,89.659,71.196,69.869,71.655,72.326,69.564,74.252,50.97,52.629,49.559,57.138,102.092,98.435,85.238,80.022,75.074,69.275,69.563,73.954
NM_028728,82.123,78.182,59.811,63.502,75.006,68.843,54.336,51.191,45.59,48.895,32.962,34.187,78.781,58.237,56.747,44.595,75.647,79.166,54.285,52.152
NM_013543,86.677,90.97,71.296,75.116,70.442,73.357,54.095,61.838,46.729,39.254,32.741,52.935,105.756,79.487,80.194,66.093,62.046,58.887,56.289,54.817
NM_019437,60.523,74.559,57.819,61.565,70.838,72.71,59.163,62.327,57.354,65.799,48.273,53.791,88.664,89.753,78.494,76.772,61.01,67.688,52.104,57.929
NR_045889,70.601,68.458,66.18,60.305,77.287,65.684,71.872,59.923,52.77,40.129,47.216,43.689,82.076,82.689,73.673,70.938,65.329,57.303,55.482,48.251
NM_027278,59.553,53.406,46.143,37.188,77.19,64.828,47.844,52.121,52.597,57.522,39.744,46.29,80.132,71.936,41.399,52.915,80.066,64.02,57.522,43.316
