,Category,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
3091,C7,GSE7348_UNSTIM_VS_LPS_STIM_MACROPHAGE_DN,GSE7348_UNSTIM_VS_LPS_STIM_MACROPHAGE_DN,30/816,170/20394,6.81802897545775e-12,5.53396685174654e-10,3.22720038171667e-10,IL1A/MMP10/ITGB8/RAB11FIP1/ZHX2/ISG15/AMPD3/FLNB/IFIH1/PLSCR1/CFLAR/PIM1/PTGS2/KLF3/MARCKSL1/MPP5/N4BP1/ZFAND5/MAP3K8/ABI1/EDN1/NOD2/CASP4/CXCL11/RIPK2/REL/ARHGEF3/CXCL1/BIRC3/TNIP1,30
3092,C7,GSE3982_CTRL_VS_LPS_4H_MAC_DN,GSE3982_CTRL_VS_LPS_4H_MAC_DN,32/816,198/20394,1.55152747791677e-11,1.2386784946647e-09,7.22350497915347e-10,IL1RN/ITGB8/CHST11/HERC5/IFIH1/DAPP1/CFLAR/CYP1A1/ELF4/OAS1/TDRD7/MFHAS1/PMAIP1/MYD88/SPHK1/CKB/LIG4/CD55/NEK7/TICAM1/CCL5/ISG20/SEMA3C/MAFF/OASL/SPSB1/USP18/MMP1/REL/ZC3H12A/F2RL1/LAMP3,32
3093,C7,GSE10325_MYELOID_VS_LUPUS_MYELOID_DN,GSE10325_MYELOID_VS_LUPUS_MYELOID_DN,32/816,200/20394,2.03960123725006e-11,1.57664413101711e-09,9.19439287903203e-10,HERC6/IL1RN/IFI27/IFI6/CHST11/UPP1/ISG15/HERC5/MX1/IFIH1/PLSCR1/JUP/PIM1/RSAD2/RTP4/IFIT1/CXCL10/SPTLC2/IRF7/LIMK2/GTPBP2/SLC39A8/RAB8B/CTSD/MFSD5/PARP12/OASL/USP18/APOL6/SEMA4D/CXCL11/ADM,32
3094,C7,GSE21360_NAIVE_VS_QUATERNARY_MEMORY_CD8_TCELL_DN,GSE21360_NAIVE_VS_QUATERNARY_MEMORY_CD8_TCELL_DN,32/816,200/20394,2.03960123725006e-11,1.57664413101711e-09,9.19439287903203e-10,HERC6/IFI27/SAMD9/IFI6/ISG15/HERC5/MX1/IFIH1/C3orf52/PLSCR1/DDX58/RSAD2/OAS1/RTP4/TDRD7/IFIT1/CASP1/TRIM38/IRF7/N4BP1/ISG20/OAS3/PARP12/YIPF6/LGALS8/OASL/USP18/APOL6/OAS2/CASP4/BST2/LAMP3,32
3095,C7,GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_2H_DN,GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_2H_DN,31/816,194/20394,4.34959666249088e-11,3.30977121036415e-09,1.93013351898033e-09,TNFSF10/IFI27/SAMD9/ISG15/IFIH1/KIAA0040/PLSCR1/DDX58/OSBPL2/ELF4/OAS1/TDRD7/PHACTR4/CXCL10/MYD88/SPTLC2/C21orf91/IRF7/ISG20/GCH1/OAS3/PARP12/B4GALT5/OASL/ZBTB43/OAS2/BST2/CXCL11/ARHGEF3/AMOTL2/LAMP3,31
3096,C7,GSE2706_UNSTIM_VS_8H_LPS_AND_R848_DC_DN,GSE2706_UNSTIM_VS_8H_LPS_AND_R848_DC_DN,31/816,196/20394,5.69309738327286e-11,4.2654437317752e-09,2.4874456259223e-09,CLDN1/SERPINB7/HERC6/ITGB8/IFI27/LAMB3/EHF/SERPINB1/LAMA3/IFIH1/DDX58/RSAD2/TDRD7/GALNT3/IFIT1/NEDD4L/CXCL10/LYN/SOS1/IRF7/OXTR/MAP3K8/GCH1/HLA-DOB/USP18/OAS2/CXCL11/RIPK2/REL/AMIGO2/TNIP1,31
3097,C7,GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_UP,GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_UP,31/816,197/20394,6.50392280281135e-11,4.65795647789578e-09,2.71634422940945e-09,HERC6/IFI27/ZNF185/IFI6/UPP1/ISG15/HERC5/MX1/VDR/PLSCR1/JUP/RSAD2/ELF4/OAS1/IFIT1/ULK1/SNN/LYN/MYLK/IRF7/OAS3/PARP12/APOBEC3A/OASL/NOD2/USP18/APOL6/OAS2/ETV6/HPSE/LAMP3,31
3098,C7,GSE2706_UNSTIM_VS_8H_R848_DC_DN,GSE2706_UNSTIM_VS_8H_R848_DC_DN,31/816,197/20394,6.50392280281135e-11,4.65795647789578e-09,2.71634422940945e-09,IGSF3/HERC6/TNFSF10/ITGB8/LAMB3/IFI6/ISG15/HERC5/IFIH1/DDX58/IL1B/SLAMF7/TDRD7/ROPN1B/IFIT1/PMAIP1/CXCL10/MARCKSL1/TINAGL1/MAP3K8/ISG20/APOBEC3A/UGCG/USP18/OAS2/CXCL11/FAM49A/REL/OSBPL3/ZC3H12A/BIRC3,31
3099,C7,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_1H_UP,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_1H_UP,31/816,197/20394,6.50392280281135e-11,4.65795647789578e-09,2.71634422940945e-09,IL1A/LAMB3/SPAG1/SERPINB1/UPP1/AMPD3/MXD1/MYO6/IL1B/PLAUR/PTGS2/MICALL1/SMPDL3A/LYN/SOS1/LIMK2/FOSL2/MAP3K4/YIPF6/HOXA1/UGCG/PTAFR/CASP4/SRC/PPIF/ADM/ZC3H12A/SLC11A2/CXCL1/TNIP1/NUP98,31
3100,C7,GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_DN,GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_DN,31/816,198/20394,7.42322971940857e-11,5.23929401935069e-09,3.0553583192928e-09,HERC6/IL1RN/TNFSF10/IFI27/SAMD9/IFI6/ISG15/HERC5/MX1/IFIH1/PLSCR1/DDX58/RSAD2/OAS1/RTP4/TDRD7/IFIT1/SLC31A2/CASP1/CXCL10/IRF7/TLR1/GCH1/OAS3/PARP12/APOBEC3A/OASL/USP18/APOL6/OAS2/LAMP3,31
3101,C7,GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_DN,GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_DN,31/816,199/20394,8.46458514413247e-11,5.49633728692335e-09,3.20525624124483e-09,HERC6/IFI27/IFI6/ISG15/HERC5/MX1/IFIH1/PLSCR1/JUP/DDX58/RSAD2/OAS1/RTP4/IFIT1/SLC31A2/CXCL10/PRSS16/IRF7/GCH1/OAS3/PARP12/APOBEC3A/TLR5/EAF2/OASL/USP18/OAS2/BST2/CXCL11/EFNA4/LAMP3,31
3102,C7,GSE16755_CTRL_VS_IFNA_TREATED_MAC_DN,GSE16755_CTRL_VS_IFNA_TREATED_MAC_DN,31/816,199/20394,8.46458514413247e-11,5.49633728692335e-09,3.20525624124483e-09,SERPINB2/HERC6/TNFSF10/ARNTL2/ISG15/IFIH1/KIAA0040/C3orf52/DDX58/IRX4/ELF4/TDRD7/PTGS2/SFT2D2/SDC4/SLC31A2/CXCL10/MYD88/LYN/N4BP1/TICAM1/RAB8B/SEMA3C/OAS3/PARP12/B4GALT5/CXCL11/SRC/ZC3H12A/STK17A/LAMP3,31
3103,C7,GSE17301_IFNA2_VS_IFNA2_AND_ACD3_ACD28_STIM_CD8_TCELL_DN,GSE17301_IFNA2_VS_IFNA2_AND_ACD3_ACD28_STIM_CD8_TCELL_DN,31/816,199/20394,8.46458514413247e-11,5.49633728692335e-09,3.20525624124483e-09,CLDN1/EPS8L1/TNFSF10/CA2/EFNA3/TPD52/TUFT1/SLC20A2/HERC5/FLNB/HES1/IL1R2/PLSCR1/RSAD2/OAS1/IL4R/CSTB/PTGS2/CREG1/MMP9/GNA15/ATP2B4/ADD3/NEK7/MXI1/GLS2/SEMA3C/SMAD3/RASA1/BIRC3/GRK5,31
3104,C7,GSE22140_GERMFREE_VS_SPF_MOUSE_CD4_TCELL_UP,GSE22140_GERMFREE_VS_SPF_MOUSE_CD4_TCELL_UP,31/816,199/20394,8.46458514413247e-11,5.49633728692335e-09,3.20525624124483e-09,TNFSF10/IFI27/ATP1B1/STX3/ISG15/MX1/KLF4/PIM1/RSAD2/OAS1/TDRD7/SFT2D2/SLC31A2/CXCL10/STK3/IRF7/LIMK2/TLR1/PTPRR/ISG20/FURIN/GCH1/B4GALT5/HOMER2/OASL/MACF1/OAS2/CASP4/CXCL11/TAP2/DEFB1,31
3105,C7,GSE37533_PPARG1_FOXP3_VS_PPARG2_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_DN,GSE37533_PPARG1_FOXP3_VS_PPARG2_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_DN,31/816,199/20394,8.46458514413247e-11,5.49633728692335e-09,3.20525624124483e-09,HERC6/ISG15/MX1/IFIH1/PLSCR1/DDX58/RSAD2/OAS1/RTP4/HLA-F/TDRD7/IFIT1/SFT2D2/PMAIP1/CASP1/CXCL10/MYD88/STK3/FZD5/SNRK/FOSL2/GCH1/OAS3/PARP12/USP18/APOL6/OAS2/CXCL11/RIPK2/TAP2/DNAJB1,31
3106,C7,GSE3982_NEUTROPHIL_VS_NKCELL_UP,GSE3982_NEUTROPHIL_VS_NKCELL_UP,31/816,199/20394,8.46458514413247e-11,5.49633728692335e-09,3.20525624124483e-09,ANXA3/SLPI/IL1RN/RNF141/OGFRL1/AMPD3/VDR/PLSCR1/MXD1/CFLAR/DDX58/PPP4R1/MMP9/SLC31A2/MFAP3L/LYN/CD9/ADIPOR1/LIMK2/ACPP/SLCO3A1/APOBEC3A/YIPF6/B4GALT5/GOLGA2/GNAQ/MKRN1/S100P/YIPF1/REL/PINK1,31
3107,C7,GSE10325_BCELL_VS_LUPUS_BCELL_DN,GSE10325_BCELL_VS_LUPUS_BCELL_DN,31/816,200/20394,9.64313248799847e-11,6.02077630981443e-09,3.51108926486098e-09,HERC6/IFI27/SDC1/IFI6/CHST11/ISG15/HERC5/MX1/PLSCR1/CFLAR/RSAD2/ZMIZ1/CTSC/RTP4/SLC7A5/ITCH/IFIT1/SLC31A2/IRF7/LAMP2/ISG20/OAS3/APOBEC3A/ASB7/PRKCI/EAF2/OASL/USP18/OAS2/PPIF/RALA,31
3108,C7,GSE35825_UNTREATED_VS_IFNG_STIM_MACROPHAGE_UP,GSE35825_UNTREATED_VS_IFNG_STIM_MACROPHAGE_UP,31/816,200/20394,9.64313248799847e-11,6.02077630981443e-09,3.51108926486098e-09,SERPINB2/IL1RN/IL1A/MREG/SYK/SLC2A1/HBEGF/LAD1/AMPD3/KIAA0040/CFLAR/SLAMF7/RTP4/AVPI1/HK2/PTGS2/TJP2/FILIP1L/IRF7/RASA2/ACP5/MAP3K8/GCH1/B4GALT5/ID2/SAA1/RHOF/CASP4/ADM/SLC11A2/BIRC3,31
3109,C7,GSE36527_CD69_NEG_VS_POS_TREG_CD62L_LOS_KLRG1_NEG_UP,GSE36527_CD69_NEG_VS_POS_TREG_CD62L_LOS_KLRG1_NEG_UP,31/816,200/20394,9.64313248799847e-11,6.02077630981443e-09,3.51108926486098e-09,TNFSF10/FRMD4B/SYNE2/ISG15/MX1/OGFRL1/IFIH1/DAPP1/RSAD2/OAS1/RTP4/TDRD7/CXCL10/MYD88/IRF7/N4BP1/MAP3K8/GPR87/ISG20/GCH1/PARP12/LGALS8/OASL/ETNK1/USP18/OAS2/APOBEC3B/CASP4/RIPK2/HOOK2/FAM102A,31
