	GBM	LGG	CESC	LUAD	COAD	BRCA	ESCA	SARC	KIRP	STAD	PRAD	UCEC	HNSC	KIRC	LUSC	THYM	LIHC	THCA	MESO	READ	PAAD	OV	TGCT	PCPG	SKCM	UVM	UCS	BLCA	ACC	KICH	CHOL	DLBC
RBMX	0.82562693338179	0.773989398270765	0.729151644602304	1.222976042262	0.804946781234098	1.18443635975184	1.61046253514063	1.60327153128397	1.25277573407754	1.03701424676046	1.24799046603283	0.828650629489314	1.01862089587657	0.521264572225768	0.988718497060388	0.256691530860474	1.47773979019198	1.50803088521301	1.0872694469577	0.650444790261237	1.07845883024683	0.841582153347555	2.14496998038322	Inf	2.5592425905746	0.457250464128928	0.89955312905307	0.966872116929534	3.99443041664632	2.43568044605292	1.15464367880924	0.798381837469793
METTL3	0.92566180837996	0.999718465949535	1.05706952915954	0.91646784398969	0.905756372024218	1.04847829213463	0.966307484608277	1.32104695927037	1.17968405008835	0.823521340667373	1.88367298446159	0.717472463795633	0.984098785819825	1.14132942899348	0.785887785345495	0.541890053170659	1.74774701012971	0.715254284278644	0.570956278810641	0.631732062865926	0.590335174922075	0.901932928177469	0	1.3552894004576	1.37657945957482	1.69232070978704	0.855431849278803	0.975167835351382	2.18335094976472	8.40734500274008	0.726369552040436	1.88335503815201
METTL14	0.714669802698534	1.19024322009615	1.62718248649579	1.23668021916325	1.11238656420297	1.05214591465044	0.758879141892052	1.03279758367799	0.640789911555132	1.0688149662251	1.85683109805315	0.873681377958097	0.845100922867427	0.475416139393063	1.22791961633247	1.3895108839068	1.01191265872945	2.33573198653062	0.699224119116556	0.435174081193284	1.22812067209411	1.1514771679051	0.330551498713401	2.13453177323292	0.926805990142333	0.942436251875358	1.15367788825261	1.04614008219981	0.831085666437319	3.77404604728694	0.912429968314029	1.97826664019282
WTAP	1.14942690537786	1.35108294427844	1.4970401669057	1.18131750871616	0.98214670887168	1.11288325441597	1.14359378189642	0.95383840638544	1.87075042264207	0.990386158725043	0.823595487339981	0.735617501909796	1.04329248372524	0.682811875621172	0.769966427690655	0.612505801557004	1.53427040466722	0.94201065242196	1.50742263988644	0.624218737183311	0.86068427983441	1.60201685072477	0.975170701427685	1.034224317849	1.28819730169025	1.5062028862288	1.00744627234168	1.02447294989592	1.21428164253058	2.64701511011086	0.65060388567444	0.437812611484445
KIAA1429	1.1450096981721	1.25946342153366	1.00945363652579	1.39271943524478	1.68151561424795	1.37454886524892	0.92561607789127	1.27981315360397	2.07710500330225	1.07420446819155	1.19184712168241	1.56599775445996	1.09990640049076	1.43824918419228	0.968920987775871	0.117806261186441	1.59627311807022	0.940115911293923	1.35318258141102	1.32290027729933	0.991839930926236	0.952402011101691	0.355216192679478	0.441146283301998	1.00909497385185	2.78813030367545	0.966279310962871	1.07995655904441	1.45926134359998	3.59689157728897	1.0166386552468	1.74218000368872
RBM15	0.897100379794261	1.64592860431471	1.1922666321459	1.35819383026438	0.983763767949428	1.12084922516048	0.874492657424206	1.13868972879777	1.1718586573217	0.775191603862653	1.99758918092186	1.39224968826828	0.887101818070257	0.592344355154471	0.970180894118659	0.315808162377009	1.20687963431181	3.05451253306671	1.45661434445714	0.621201873985872	1.44315758624778	0.978894347685952	1.02044322709163	1.70471572873968	1.42271414212932	1.09363917936538	1.08749626667804	0.97743465134919	2.75874455662854	4.82184376484708	0.35227075442178	0.408606941119946
RBM15B	0.957803622708258	1.24039024128797	0.907668769813188	1.25249620562777	0.824623365204193	0.903721660010626	0.790487585151904	1.1807948660944	0.836816497566953	0.994808456431952	1.73692042786364	0.681078434372608	0.9134400767449	0.674398737660567	0.96416263465678	0.469950808424126	1.66576458792921	1.47813461738523	0.972652920848905	0.443022993704468	0.870682100736176	0.910906239364625	0.417444331676512	2.14179692506824	1.77141604297672	0.196715651636587	0.855859371460857	1.07301038250217	3.30824931495496	2.17704848266374	1.5316836566135	1.97826664019282
ZC3H13	0.84793151282037	0.94766590418592	1.96743594135446	0.891479158695738	0.739167227067919	1.01943718122365	1.17552615438136	1.11404080988124	0.835137304024981	0.982182603936943	0.995254873927127	0.691151964285393	1.00288920608884	0.48912882666167	1.07273570624705	0.542644704720465	0.916520952419008	1.36453989225463	1.40311888967669	0.745914718253678	1.10134497034939	1.10118221513303	0.573230767941612	1.1051521855823	0.840549614928585	0.943009569755447	0.7847101675911	1.1317014267681	1.17832967382442	3.62906752250415	1.11519776942271	1.97826664019282
FTO	0.777925550976914	0.772821546062897	1.11507394246817	0.961188609478376	1.18791455874655	1.0462886041566	1.07792834814775	0.909283115271649	0.629506571010646	1.18629943568238	0.613694184239499	0.87631053290887	1.0662443311278	0.55740306247314	1.1944010132561	0.869907225440385	1.05735046499668	4.37580968989906	1.22684301883801	0.655715958639201	0.823215602979692	1.21159056771444	1.3513550226305	0.59945411768346	0.773743533350585	0.98213134882576	1.02254363189977	1.44711449956976	0.678871113951346	2.24716600580557	0.692551666258537	1.2796536324401
ALKBH5	1.27446747294954	1.70487262988564	0.627965526179964	1.36334588937082	1.10779301131217	1.03793912105002	0.770650716709421	1.01167526557347	0.976041172686402	0.925743526372873	1.20009514342814	0.789387127780666	0.916478898176011	0.750193187599448	0.89916482433996	1.64043044319223	1.09776448803183	1.22655666752186	1.07486456131904	1.07343177876348	0.795754841314831	0.858398452235508	0.963674644853706	0.508505393845099	0.638631451825474	3.7620238110103	0.977032185224417	1.47738072681325	1.97578373076656	8.49497162861328	1.1396420970287	1.26160888327022
