,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,avg_logFC,threshold,adj_p_signi,thr_signi
28,4.41794248182013e-142,2.67325872135848,0.975,0.175,6.05876631956813e-138,5,IFITM3,2.67325872135848,Up,Highly,Up_Highly
29,3.17224388058304e-124,3.014070207081,1,0.315,4.35041525783158e-120,5,LST1,3.014070207081,Up,Highly,Up_Highly
30,1.05904069764566e-117,2.73814459881237,1,0.317,1.45236841275125e-113,5,FCER1G,2.73814459881237,Up,Highly,Up_Highly
31,1.08761490749187e-259,4.80511197044378,0.966,0.072,1.49155508413435e-255,6,GZMB,4.80511197044378,Up,Highly,Up_Highly
32,5.90335326952477e-246,4.07915490425231,0.912,0.063,8.09585867382627e-242,6,FGFBP2,4.07915490425231,Up,Highly,Up_Highly
33,1.31837342849235e-198,3.95011407019888,0.959,0.112,1.80801731983441e-194,6,PRF1,3.95011407019888,Up,Highly,Up_Highly
34,1.51230873520736e-170,4.81663734056689,0.939,0.135,2.07398019946338e-166,6,GNLY,4.81663734056689,Up,Highly,Up_Highly
35,4.87569978008228e-127,3.93371336620108,0.986,0.263,6.68653467840484e-123,6,NKG7,3.93371336620108,Up,Highly,Up_Highly
36,1.42858272580019e-267,3.86881205707472,0.833,0.009,1.95915835016238e-263,7,FCER1A,3.86881205707472,Up,Highly,Up_Highly
37,2.92632134742007e-160,2.54806219362885,0.694,0.014,4.01315709585188e-156,7,CLEC10A,2.54806219362885,Up,Highly,Up_Highly
38,3.89637991428131e-33,2.91458882472865,0.944,0.207,5.34349541444539e-29,7,HLA-DQA1,2.91458882472865,Up,Highly,Up_Highly
39,1.10677660894537e-23,2.57371865920988,1,0.484,1.51783344150768e-19,7,HLA-DPA1,2.57371865920988,Up,Highly,Up_Highly
40,1.61463506665517e-23,2.80021132452478,1,0.508,2.2143105304109e-19,7,HLA-DPB1,2.80021132452478,Up,Highly,Up_Highly
41,6.13014154668131e-200,6.46172442943347,0.933,0.009,8.40687611711875e-196,8,GNG11,6.46172442943347,Up,Highly,Up_Highly
42,6.19060836195868e-182,7.12532008626463,0.933,0.011,8.48980030759013e-178,8,PF4,7.12532008626463,Up,Highly,Up_Highly
43,6.46977319818258e-182,6.12807536453867,0.933,0.011,8.8726469639876e-178,8,SDPR,6.12807536453867,Up,Highly,Up_Highly
44,1.59459388173407e-132,6.02115221335538,0.867,0.014,2.1868260494101e-128,8,CLU,6.02115221335538,Up,Highly,Up_Highly
45,4.23897408583263e-116,8.47389541624899,1,0.024,5.81332906131087e-112,8,PPBP,8.47389541624899,Up,Highly,Up_Highly
46,3.7009426056624e-103,-3.70179913079246,0.259,0.66,5.07547268940542e-99,0,HLA-DRA,-3.70179913079246,Down,Highly,Down_Highly
47,4.32801780219959e-78,-3.55989664782619,0.121,0.493,5.93544361393651e-74,0,TYROBP,-3.55989664782619,Down,Highly,Down_Highly
48,1.62478922669762e-52,-4.37741819793201,0.141,0.431,2.22823594549312e-48,0,S100A9,-4.37741819793201,Down,Highly,Down_Highly
49,1.23906931390677e-46,-3.93581209622975,0.075,0.345,1.69925965709174e-42,0,S100A8,-3.93581209622975,Down,Highly,Down_Highly
50,5.06257163967566e-45,-3.72228518789768,0.467,0.652,6.94281074665119e-41,0,LYZ,-3.72228518789768,Down,Highly,Down_Highly
51,2.97879587193898e-139,-2.83079881284944,0.108,0.759,4.08512065877711e-135,1,PTPRCAP,-2.83079881284944,Down,Highly,Down_Highly
52,2.40001884692292e-135,-3.14049112996515,0.244,0.803,3.2913858466701e-131,1,LTB,-3.14049112996515,Down,Highly,Down_Highly
53,1.54405239440077e-104,-3.00129489026605,0.108,0.653,2.11751345368122e-100,1,IL32,-3.00129489026605,Down,Highly,Down_Highly
54,2.7611819353413e-24,-2.95607045431864,0.151,0.357,3.78668490612706e-20,1,CCL5,-2.95607045431864,Down,Highly,Down_Highly
55,4.06792026461267e-14,-3.08452746036296,0.189,0.327,5.57874585088982e-10,1,NKG7,-3.08452746036296,Down,Highly,Down_Highly
56,3.58694913231784e-51,-3.41720441744633,0.343,0.601,4.91914204006068e-47,2,HLA-DRA,-3.41720441744633,Down,Highly,Down_Highly
57,3.48660667043387e-46,-3.49555938234803,0.137,0.451,4.78153238783301e-42,2,TYROBP,-3.49555938234803,Down,Highly,Down_Highly
58,1.51877626307319e-25,-4.20461228924977,0.188,0.391,2.08284976717857e-21,2,S100A9,-4.20461228924977,Down,Highly,Down_Highly
59,2.64438444343184e-20,-3.48769976852424,0.552,0.615,3.62650882572242e-16,2,LYZ,-3.48769976852424,Down,Highly,Down_Highly
60,1.09511227798235e-18,-3.63866403523772,0.133,0.305,1.501836978025e-14,2,S100A8,-3.63866403523772,Down,Highly,Down_Highly
61,7.02880637442378e-37,-3.40618743029506,0.103,0.441,9.63930506188477e-33,3,TYROBP,-3.40618743029506,Down,Highly,Down_Highly
62,7.29286547923905e-23,-4.03910148202462,0.135,0.389,1.00014357182284e-18,3,S100A9,-4.03910148202462,Down,Highly,Down_Highly
63,1.43300440624811e-22,-3.39023543602336,0.083,0.335,1.96522224272866e-18,3,NKG7,-3.39023543602336,Down,Highly,Down_Highly
64,9.67481410178939e-21,-3.71876541936563,0.074,0.305,1.3268040059194e-16,3,S100A8,-3.71876541936563,Down,Highly,Down_Highly
65,1.19980498511321e-19,-3.4003393566847,0.424,0.631,1.64541255658426e-15,3,LYZ,-3.4003393566847,Down,Highly,Down_Highly
66,2.5142430971177e-35,-3.01513754265487,0.298,0.593,3.44803298338721e-31,4,HLA-DRA,-3.01513754265487,Down,Highly,Down_Highly
67,5.48652905000029e-26,-3.95505478890024,0.038,0.309,7.52422593917039e-22,4,S100A8,-3.95505478890024,Down,Highly,Down_Highly
68,9.24650301409017e-25,-3.0891778214848,0.168,0.431,1.26806542335233e-20,4,CST3,-3.0891778214848,Down,Highly,Down_Highly
69,2.69113860322979e-21,-3.49960090129287,0.416,0.631,3.69062748046933e-17,4,LYZ,-3.49960090129287,Down,Highly,Down_Highly
70,4.35728616505105e-20,-4.02997560291114,0.153,0.385,5.97558224675102e-16,4,S100A9,-4.02997560291114,Down,Highly,Down_Highly
71,5.50346185828025e-39,-2.65352633671476,0.164,0.67,7.54744759244554e-35,5,PTPRCAP,-2.65352633671476,Down,Highly,Down_Highly
72,3.9240411248885e-30,-2.65796439384045,0.075,0.548,5.38142999867209e-26,5,CD3D,-2.65796439384045,Down,Highly,Down_Highly
73,1.46564594433633e-28,-2.85059685331212,0.164,0.579,2.00998684806285e-24,5,IL32,-2.85059685331212,Down,Highly,Down_Highly
74,1.23337534218174e-11,-2.02859006197689,0.075,0.313,1.69145094426803e-07,5,CTSW,-2.02859006197689,Down,Highly,Down_Highly
75,9.72369373933555e-08,-2.9699798515971,0.164,0.329,0.00133350735941248,5,CCL5,-2.9699798515971,Down,Highly,Down_Highly
76,7.62226260424848e-36,-2.8472023992834,0.223,0.729,1.04531709354664e-31,6,LTB,-2.8472023992834,Down,Highly,Down_Highly
77,1.68626823698679e-11,-2.70288654547516,0.365,0.567,2.31254826020369e-07,6,HLA-DRA,-2.70288654547516,Down,Highly,Down_Highly
78,4.02119970904791e-09,-4.05463029536571,0.155,0.368,5.5146732809883e-05,6,S100A9,-4.05463029536571,Down,Highly,Down_Highly
79,2.01380200500616e-08,-3.42555317478681,0.466,0.612,0.000276172806966545,6,LYZ,-3.42555317478681,Down,Highly,Down_Highly
80,1.30912449894605e-07,-3.55139782519569,0.101,0.285,0.00179533333785462,6,S100A8,-3.55139782519569,Down,Highly,Down_Highly
81,2.62520592277476e-13,-1.38194055028988,1,1,3.60020740249331e-09,7,MALAT1,-1.38194055028988,Down,Highly,Down_Highly
82,1.5720157942518e-08,-1.43957018016179,0.889,0.876,0.000215586246023692,7,BTG1,-1.43957018016179,Down,Highly,Down_Highly
83,2.83007601286511e-07,-2.34508551465945,0.472,0.704,0.00388116624404322,7,LTB,-2.34508551465945,Down,Highly,Down_Highly
84,5.36107520431885e-07,-1.89260160680814,0.306,0.645,0.00735217853520287,7,PTPRCAP,-1.89260160680814,Down,Highly,Down_Highly
85,1.19779644047709e-06,-2.52464764286102,0.167,0.525,0.0164265803847028,7,CD3D,-2.52464764286102,Down,Lowly,Down_Lowly
86,7.07378070298934e-11,-3.35187860876826,0.933,1,9.70098285607958e-07,8,MALAT1,-3.35187860876826,Down,Highly,Down_Highly
87,6.15795790715018e-10,-3.15231550670085,0.333,0.979,8.44502347386576e-06,8,RPL9,-3.15231550670085,Down,Highly,Down_Highly
88,6.72423363714624e-10,-3.19023183969925,0.2,0.96,9.22161400998235e-06,8,RPS24,-3.19023183969925,Down,Highly,Down_Highly
89,1.07844514006008e-09,-3.27930444743377,0.467,0.975,1.4789796650784e-05,8,RPS27A,-3.27930444743377,Down,Highly,Down_Highly
90,8.39651911335376e-09,-3.25188714301235,0.133,0.887,0.000115149863120533,8,RPS4Y1,-3.25188714301235,Down,Highly,Down_Highly
