,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,threshold,adj_p_signi,thr_signi
LGALS1,1.08021896973333e-86,-3.49947648371626,0.18,0.578,1.48141229509229e-82,0,LGALS1,Down,Highly,Down_Highly
ACTB,2.69308220804274e-84,-0.932731887271284,0.984,0.994,3.69329294010981e-80,0,ACTB,Down,Highly,Down_Highly
TPT1,4.7711645389879e-84,0.594939967671754,0.996,0.98,6.54317504876801e-80,0,TPT1,Up,Highly,Up_Highly
CLIC1,2.59612948260027e-82,-1.69606733877656,0.351,0.742,3.560331972438e-78,0,CLIC1,Down,Highly,Down_Highly
CCR7,1.10182834912345e-81,2.34742518169015,0.432,0.111,1.51104739798791e-77,0,CCR7,Up,Highly,Up_Highly
RPS20,3.81403349504173e-81,0.696517518664402,0.987,0.941,5.23056553510023e-77,0,RPS20,Up,Highly,Up_Highly
RPS29,1.5374869131331e-80,0.74256494293128,0.989,0.9,2.10850955267074e-76,0,RPS29,Up,Highly,Up_Highly
RPS23,9.10691260720248e-80,0.566564114313334,0.997,0.976,1.24892199495175e-75,0,RPS23,Up,Highly,Up_Highly
CD3D,4.19643335077244e-79,1.09744852986479,0.848,0.407,5.75498869724932e-75,0,CD3D,Up,Highly,Up_Highly
SH3BGRL3,5.93742205444135e-79,-1.20073571847499,0.741,0.897,8.14258060546086e-75,0,SH3BGRL3,Down,Highly,Down_Highly
TYROBP,4.32801780219959e-78,-4.8753505840233,0.121,0.493,5.93544361393651e-74,0,TYROBP,Down,Highly,Down_Highly
RPL23A,1.60702229871979e-77,0.528650467063828,0.999,0.987,2.20387038046433e-73,0,RPL23A,Up,Highly,Up_Highly
SRGN,2.08912236645336e-76,-1.93447022297937,0.342,0.686,2.86502241335413e-72,0,SRGN,Down,Highly,Down_Highly
RPS4X,1.14187429179561e-73,0.512917758871893,0.996,0.991,1.5659664037685e-69,0,RPS4X,Up,Highly,Up_Highly
RPS16,1.99428249830793e-73,0.537578299556233,0.996,0.981,2.7349590181795e-69,0,RPS16,Up,Highly,Up_Highly
FCER1G,3.08030797854251e-71,-4.33275681786118,0.093,0.449,4.2243343617732e-67,0,FCER1G,Down,Highly,Down_Highly
FTH1,5.40030176713299e-71,-1.99879126401313,0.978,0.992,7.40597384344618e-67,0,FTH1,Down,Highly,Down_Highly
RPL5,7.16769837428878e-71,0.59355472741047,0.984,0.963,9.82978155049964e-67,0,RPL5,Up,Highly,Up_Highly
ARPC3,3.03320309063942e-68,-1.14861966402921,0.657,0.865,4.15973471850289e-64,0,ARPC3,Down,Highly,Down_Highly
SAT1,6.654743830687e-68,-2.32387075601208,0.355,0.669,9.12631568940416e-64,0,SAT1,Down,Highly,Down_Highly
RPL10A,1.89299105945106e-66,0.53269547575638,0.989,0.982,2.59604793893118e-62,0,RPL10A,Up,Highly,Up_Highly
RPSA,6.79475908768162e-62,0.554236091209295,0.983,0.943,9.31833261284657e-58,0,RPSA,Up,Highly,Up_Highly
FTL,1.19613117491208e-61,-2.30713306485816,0.967,0.995,1.64037429327442e-57,0,FTL,Down,Highly,Down_Highly
S100A11,2.44295995123566e-61,-2.17720719938202,0.289,0.609,3.35027527712458e-57,0,S100A11,Down,Highly,Down_Highly
CST3,3.46863960702579e-61,-4.56703167847265,0.165,0.479,4.75689235707517e-57,0,CST3,Down,Highly,Down_Highly
S100A6,4.50086891939527e-60,-1.55478650246877,0.697,0.81,6.17249163605867e-56,0,S100A6,Down,Highly,Down_Highly
RPS5,3.08258003804817e-58,0.510855023836723,0.986,0.972,4.22745026417926e-54,0,RPS5,Up,Highly,Up_Highly
TYMP,7.27290971334456e-58,-3.26972190701688,0.112,0.43,9.97406838088074e-54,0,TYMP,Down,Highly,Down_Highly
LST1,1.05777160512656e-57,-3.86518319059529,0.124,0.436,1.45062797927056e-53,0,LST1,Down,Highly,Down_Highly
MYL6,9.83095124018542e-57,-0.990531426299548,0.753,0.883,1.34821665307903e-52,0,MYL6,Down,Highly,Down_Highly
GSTP1,2.61410772141101e-56,-2.38789739053436,0.224,0.54,3.58498732914306e-52,0,GSTP1,Down,Highly,Down_Highly
RPS10,7.89734296222187e-56,0.511242796976282,0.983,0.964,1.08304161383911e-51,0,RPS10,Up,Highly,Up_Highly
HLA-DMA,9.7052157834224e-56,-4.06491997869881,0.036,0.341,1.33097329253855e-51,0,HLA-DMA,Down,Highly,Down_Highly
ANXA2,1.2016429968066e-55,-1.95119619448072,0.187,0.52,1.64793320582058e-51,0,ANXA2,Down,Highly,Down_Highly
CTSS,1.99385517243384e-54,-2.35673896148084,0.316,0.587,2.73437298347577e-50,0,CTSS,Down,Highly,Down_Highly
PFN1,1.30874230337964e-53,-0.783283498822096,0.914,0.953,1.79480919485484e-49,0,PFN1,Down,Highly,Down_Highly
S100A9,1.62478922669762e-52,-5.59241436326783,0.141,0.431,2.22823594549312e-48,0,S100A9,Down,Highly,Down_Highly
PSAP,2.33506267719216e-52,-2.13444388200171,0.302,0.576,3.20230495550133e-48,0,PSAP,Down,Highly,Down_Highly
RPL36,3.81269059443625e-52,0.531006460208952,0.989,0.946,5.22872388120987e-48,0,RPL36,Up,Highly,Up_Highly
GAPDH,6.57056545994843e-52,-0.993418549952751,0.767,0.868,9.01087347177328e-48,0,GAPDH,Down,Highly,Down_Highly
NPM1,2.06794741506318e-51,0.764124892040777,0.905,0.791,2.83598308501764e-47,0,NPM1,Up,Highly,Up_Highly
RPL4,6.46436803992186e-51,0.527252392004332,0.986,0.952,8.86523432994884e-47,0,RPL4,Up,Highly,Up_Highly
HLA-DQA1,2.23567381613591e-50,-5.60049041022088,0.016,0.287,3.06600307144879e-46,0,HLA-DQA1,Down,Highly,Down_Highly
COTL1,4.7868715808161e-50,-2.01354165255667,0.467,0.681,6.5647156859312e-46,0,COTL1,Down,Highly,Down_Highly
RPLP0,8.06683131189415e-50,0.512287293510976,0.981,0.936,1.10628524611316e-45,0,RPLP0,Up,Highly,Up_Highly
HLA-DQB1,9.45238057226822e-50,-4.37096282553516,0.032,0.311,1.29629947168086e-45,0,HLA-DQB1,Down,Highly,Down_Highly
RPL7,2.18063170651744e-49,0.56272695585966,0.976,0.966,2.99051832231802e-45,0,RPL7,Up,Highly,Up_Highly
CD3E,5.53445886192719e-49,0.977396009415191,0.71,0.402,7.58995688324695e-45,0,CD3E,Up,Highly,Up_Highly
ARPC1B,9.50588995919047e-49,-1.17512824474476,0.589,0.795,1.30363774900338e-44,0,ARPC1B,Down,Highly,Down_Highly
PRKCQ-AS1,2.52523264036909e-48,2.11738387163157,0.336,0.108,3.46310404300217e-44,0,PRKCQ-AS1,Up,Highly,Up_Highly
PYCARD,5.62643144007009e-48,-2.28762726065328,0.148,0.447,7.71608807691213e-44,0,PYCARD,Down,Highly,Down_Highly
NOSIP,1.39556212827092e-47,1.21138449150159,0.625,0.358,1.91387390271074e-43,0,NOSIP,Up,Highly,Up_Highly
SPI1,2.80171632547039e-47,-4.64807290919794,0.019,0.278,3.84227376875009e-43,0,SPI1,Down,Highly,Down_Highly
ARPC2,3.24088902352519e-47,-0.817144007466437,0.677,0.838,4.44455520686245e-43,0,ARPC2,Down,Highly,Down_Highly
RPL36A,3.98823156885209e-47,0.594116318276595,0.961,0.885,5.46946077352375e-43,0,RPL36A,Up,Highly,Up_Highly
S100A8,1.23906931390677e-46,-5.69018969573209,0.075,0.345,1.69925965709174e-42,0,S100A8,Down,Highly,Down_Highly
FCN1,3.86118129318121e-46,-3.97267130850694,0.096,0.362,5.29522402546871e-42,0,FCN1,Down,Highly,Down_Highly
CD68,4.19747876394451e-46,-4.24959685405602,0.027,0.285,5.7564223768735e-42,0,CD68,Down,Highly,Down_Highly
LYZ,5.06257163967566e-45,-4.11454159414655,0.467,0.652,6.94281074665119e-41,0,LYZ,Down,Highly,Down_Highly
BTG1,1.54582898087547e-44,0.636210097998033,0.94,0.854,2.11994986437262e-40,0,BTG1,Up,Highly,Up_Highly
CFD,1.76300059902069e-44,-4.23161378788602,0.04,0.293,2.41777902149698e-40,0,CFD,Down,Highly,Down_Highly
RPL22,2.81291131915418e-44,0.683484759885366,0.897,0.776,3.85762658308804e-40,0,RPL22,Up,Highly,Up_Highly
FGR,1.50828243621921e-43,-3.77820196620908,0.027,0.277,2.06845853303103e-39,0,FGR,Down,Highly,Down_Highly
GRN,4.20609291248102e-43,-3.46808888592971,0.05,0.306,5.76823582017647e-39,0,GRN,Down,Highly,Down_Highly
PRELID1,5.92854140527798e-43,-1.57148694662513,0.251,0.54,8.13040168319822e-39,0,PRELID1,Down,Highly,Down_Highly
LGALS2,6.83768074504248e-43,-4.93955997969787,0.032,0.275,9.37719537375126e-39,0,LGALS2,Down,Highly,Down_Highly
CEBPD,1.01245265782548e-41,-3.42448848294852,0.039,0.287,1.38847757494186e-37,0,CEBPD,Down,Highly,Down_Highly
LEF1,3.98952171097368e-41,1.93015932207377,0.316,0.109,5.4712300744293e-37,0,LEF1,Up,Highly,Up_Highly
JUNB,4.30143832951011e-41,0.724158851535408,0.905,0.9,5.89899252509016e-37,0,JUNB,Up,Highly,Up_Highly
IL7R,6.43916938796897e-41,0.968528549652604,0.611,0.329,8.83067689866065e-37,0,IL7R,Up,Highly,Up_Highly
TMEM66,6.79222479405429e-41,0.804519969813651,0.836,0.694,9.31485708256606e-37,0,TMEM66,Up,Highly,Up_Highly
LGALS3,7.01914000172849e-41,-3.10655010039491,0.059,0.31,9.62604859837045e-37,0,LGALS3,Down,Highly,Down_Highly
NPC2,2.417046998065e-40,-2.15812754301246,0.234,0.478,3.31473825314633e-36,0,NPC2,Down,Highly,Down_Highly
GLTSCR2,3.41247371937968e-40,0.616459273732984,0.908,0.801,4.6798664587573e-36,0,GLTSCR2,Up,Highly,Up_Highly
GABARAP,2.45765410016986e-39,-1.60708695101116,0.312,0.548,3.37042683297295e-35,0,GABARAP,Down,Highly,Down_Highly
NKG7,3.33899330740623e-39,-4.61851849310271,0.118,0.366,4.5790954217769e-35,0,NKG7,Down,Highly,Down_Highly
SERPINA1,4.58350567449368e-39,-3.17037201484756,0.065,0.306,6.28581968200064e-35,0,SERPINA1,Down,Highly,Down_Highly
RPL38,1.1042343954735e-38,0.545325158364903,0.95,0.87,1.51434704995236e-34,0,RPL38,Up,Highly,Up_Highly
RAC1,1.64985760464984e-38,-1.6421064675868,0.237,0.505,2.2626147190168e-34,0,RAC1,Down,Highly,Down_Highly
IFITM3,2.23416341083093e-38,-3.9038830900826,0.05,0.281,3.06393170161354e-34,0,IFITM3,Down,Highly,Down_Highly
AP1S2,2.12234212703073e-37,-2.22235882395696,0.111,0.361,2.91057999300994e-33,0,AP1S2,Down,Highly,Down_Highly
PIK3IP1,5.75474818447155e-37,1.37273361126259,0.42,0.188,7.89206166018429e-33,0,PIK3IP1,Up,Highly,Up_Highly
EEF1B2,7.82799551070236e-37,0.501060823332589,0.931,0.866,1.07353130433772e-32,0,EEF1B2,Up,Highly,Up_Highly
SERF2,7.91465623994687e-37,-0.706369782467739,0.782,0.881,1.08541595674631e-32,0,SERF2,Down,Highly,Down_Highly
RPS21,1.18340274901686e-35,0.525758348928098,0.937,0.834,1.62291853000172e-31,0,RPS21,Up,Highly,Up_Highly
CFP,3.92151722280694e-35,-3.18513538211967,0.045,0.264,5.37796871935744e-31,0,CFP,Down,Highly,Down_Highly
TKT,1.42576643226069e-34,-2.03283037888236,0.171,0.412,1.9552960852023e-30,0,TKT,Down,Highly,Down_Highly
GPX1,4.58612357093816e-34,-2.29895700862725,0.251,0.48,6.28940986518459e-30,0,GPX1,Down,Highly,Down_Highly
CD79B,1.34945760158951e-33,-3.31508437219541,0.079,0.299,1.85064615481985e-29,0,CD79B,Down,Highly,Down_Highly
ATP6V0B,8.12586846722034e-33,-1.75916101864845,0.154,0.401,1.1143816015946e-28,0,ATP6V0B,Down,Highly,Down_Highly
CARD16,9.50091092118519e-33,-1.87660163676624,0.109,0.348,1.30295492373134e-28,0,CARD16,Down,Highly,Down_Highly
FAM26F,2.41358001495391e-32,-2.44952648214577,0.065,0.282,3.30998363250779e-28,0,FAM26F,Down,Highly,Down_Highly
ITGB2,3.46494642036685e-32,-1.36124542779762,0.29,0.529,4.7518275208911e-28,0,ITGB2,Down,Highly,Down_Highly
MAL,3.66931752798457e-32,1.88341360607648,0.259,0.087,5.03210205787804e-28,0,MAL,Up,Highly,Up_Highly
LTB,8.23277178966303e-32,0.542514291196633,0.897,0.633,1.12904232323439e-27,0,LTB,Up,Highly,Up_Highly
RGS2,1.45219441069062e-31,-2.20374300699081,0.109,0.334,1.99153941482111e-27,0,RGS2,Down,Highly,Down_Highly
RPL34,7.09629036955241e-31,0.625101490347242,0.924,0.904,9.73185261280417e-27,0,RPL34,Up,Highly,Up_Highly
AP2S1,7.76592642273233e-31,-1.754802511248,0.177,0.412,1.06501914961351e-26,0,AP2S1,Down,Highly,Down_Highly
RPSAP58,8.58583330976567e-31,0.591608075711852,0.835,0.693,1.17746118010126e-26,0,RPSAP58,Up,Highly,Up_Highly
CD7,2.44116915821843e-29,0.747000743901024,0.545,0.305,3.34781938358075e-25,0,CD7,Up,Highly,Up_Highly
EMP3,2.73707187182526e-29,-0.878494780561107,0.618,0.771,3.75362036502117e-25,0,EMP3,Down,Highly,Down_Highly
ISG15,3.62304601626846e-29,-1.42463058881682,0.272,0.507,4.96864530671056e-25,0,ISG15,Down,Highly,Down_Highly
CD27,4.5675139641897e-29,0.978102721341822,0.392,0.185,6.26388865048976e-25,0,CD27,Up,Highly,Up_Highly
TCF7,5.94327126552668e-29,1.24475526869461,0.374,0.182,8.1506022135433e-25,0,TCF7,Up,Highly,Up_Highly
LY6E,7.74931415908777e-29,-0.873708634452288,0.536,0.709,1.0627409437773e-24,0,LY6E,Down,Highly,Down_Highly
CD63,8.43384927720839e-29,-1.39946362212684,0.174,0.403,1.15661808987636e-24,0,CD63,Down,Highly,Down_Highly
TSPO,8.5108841671835e-29,-1.26976845286236,0.305,0.533,1.16718265468755e-24,0,TSPO,Down,Highly,Down_Highly
AIF1,2.49679063790255e-28,-2.54064281162818,0.243,0.419,3.42409868081956e-24,0,AIF1,Down,Highly,Down_Highly
MYO1F,2.78577509753055e-28,-1.78671539977023,0.08,0.291,3.8204119687534e-24,0,MYO1F,Down,Highly,Down_Highly
CTSC,2.23013112408169e-27,-1.84687590816926,0.111,0.322,3.05840182356564e-23,0,CTSC,Down,Highly,Down_Highly
TALDO1,2.44790020458085e-27,-1.8209581579432,0.201,0.423,3.35705034056218e-23,0,TALDO1,Down,Highly,Down_Highly
C6orf48,2.61039772780435e-27,0.917676901496842,0.67,0.494,3.57989944391089e-23,0,C6orf48,Up,Highly,Up_Highly
RHOG,5.64415319614066e-27,-1.28834354665764,0.218,0.449,7.7403916931873e-23,0,RHOG,Down,Highly,Down_Highly
EIF4A1,6.1595905722678e-27,-0.890016304671063,0.562,0.719,8.44726251080806e-23,0,EIF4A1,Down,Highly,Down_Highly
TIMP1,5.54368912585722e-26,-1.66146580225605,0.168,0.38,7.60261526720059e-22,0,TIMP1,Down,Highly,Down_Highly
CAPG,7.4057457612941e-26,-1.90101261844995,0.083,0.28,1.01562397370387e-21,0,CAPG,Down,Highly,Down_Highly
FKBP1A,1.04602706861516e-25,-1.19734213908309,0.309,0.515,1.43452152189883e-21,0,FKBP1A,Down,Highly,Down_Highly
PSMB9,1.91796379601825e-25,-0.84892713043102,0.421,0.637,2.63029554985943e-21,0,PSMB9,Down,Highly,Down_Highly
LINC00936,3.39500634926672e-25,-1.78511098509978,0.122,0.331,4.65591170738438e-21,0,LINC00936,Down,Highly,Down_Highly
BRI3,4.79595789474402e-25,-2.30930648147372,0.069,0.25,6.57717665685195e-21,0,BRI3,Down,Highly,Down_Highly
YBX1,5.60140759170427e-25,-0.707562071516766,0.75,0.834,7.68177037126324e-21,0,YBX1,Down,Highly,Down_Highly
CD37,6.29537875010626e-24,-0.918150954989132,0.674,0.795,8.63348241789572e-20,0,CD37,Down,Highly,Down_Highly
TPI1,7.08127848342469e-24,-0.881703781559894,0.348,0.559,9.71126531216863e-20,0,TPI1,Down,Highly,Down_Highly
ANXA5,1.26097462520969e-23,-1.54718532451676,0.155,0.357,1.72930060101256e-19,0,ANXA5,Down,Highly,Down_Highly
ACTG1,1.33518784325544e-23,-0.618806745887615,0.807,0.879,1.83107660824051e-19,0,ACTG1,Down,Highly,Down_Highly
FCGRT,1.93589439308518e-23,-1.91461631415893,0.093,0.278,2.65488557067701e-19,0,FCGRT,Down,Highly,Down_Highly
NEAT1,1.95886366142441e-23,-0.934355884195643,0.529,0.675,2.68638562527743e-19,0,NEAT1,Down,Highly,Down_Highly
PSMB8,2.06996490392963e-23,-1.04300636409788,0.29,0.517,2.83874986924909e-19,0,PSMB8,Down,Highly,Down_Highly
S100A10,4.49934188407514e-23,-0.922098303777751,0.526,0.679,6.17039745982065e-19,0,S100A10,Down,Highly,Down_Highly
C20orf24,7.75741547784219e-23,-1.36390425624976,0.155,0.36,1.06385195863128e-18,0,C20orf24,Down,Highly,Down_Highly
IFI6,3.57166661132914e-22,-1.05529340486983,0.253,0.452,4.89818359077678e-18,0,IFI6,Down,Highly,Down_Highly
BST2,3.58941510014149e-22,-1.00742996374203,0.286,0.501,4.92252386833404e-18,0,BST2,Down,Highly,Down_Highly
AES,3.73905490743279e-22,0.702184041092805,0.631,0.439,5.12773990005334e-18,0,AES,Up,Highly,Up_Highly
REEP5,5.54092061349885e-22,-1.49086782430546,0.119,0.31,7.59881852935232e-18,0,REEP5,Down,Highly,Down_Highly
IFITM2,7.28465867489009e-22,-0.751602006006896,0.598,0.741,9.99018090674427e-18,0,IFITM2,Down,Highly,Down_Highly
STXBP2,7.86520263707604e-22,-1.8663870946608,0.111,0.287,1.07863388964861e-17,0,STXBP2,Down,Highly,Down_Highly
ASAH1,2.73027848378667e-21,-1.72045602613388,0.114,0.29,3.74430391266504e-17,0,ASAH1,Down,Highly,Down_Highly
LEPROTL1,3.70725100306703e-21,1.09405357378633,0.379,0.216,5.08412402560612e-17,0,LEPROTL1,Up,Highly,Up_Highly
TOMM7,6.67234629647787e-21,0.510205728736385,0.832,0.753,9.15045571098975e-17,0,TOMM7,Up,Highly,Up_Highly
C12orf57,7.02301597205559e-21,1.12869420276306,0.427,0.258,9.63136410407704e-17,0,C12orf57,Up,Highly,Up_Highly
CALM2,7.37652514786968e-21,-0.821140930598358,0.395,0.586,1.01161665877885e-16,0,CALM2,Down,Highly,Down_Highly
BRK1,7.59759883924054e-21,-0.898419285990248,0.402,0.598,1.04193470481345e-16,0,BRK1,Down,Highly,Down_Highly
H3F3A,1.21227747314351e-20,-1.08210358681951,0.234,0.434,1.66251732666901e-16,0,H3F3A,Down,Highly,Down_Highly
RHOA,1.52014862591118e-20,-0.764033494110814,0.414,0.612,2.08473182557459e-16,0,RHOA,Down,Highly,Down_Highly
RGCC,1.77892604296052e-20,1.11122874269232,0.351,0.188,2.43961917531606e-16,0,RGCC,Up,Highly,Up_Highly
CCL5,1.14898475680046e-19,-1.49994309053459,0.187,0.365,1.57571769547616e-15,0,CCL5,Down,Highly,Down_Highly
UBE2L6,1.27177836221754e-19,-1.21567109762271,0.197,0.394,1.74411684594513e-15,0,UBE2L6,Down,Highly,Down_Highly
NFKBIA,4.30071704332212e-19,-1.03248766734338,0.323,0.5,5.89800335321196e-15,0,NFKBIA,Down,Highly,Down_Highly
CNPY3,4.59175889659745e-19,-1.34053766827617,0.147,0.323,6.29713815079374e-15,0,CNPY3,Down,Highly,Down_Highly
CTSD,6.04501628568721e-19,-1.50988481565966,0.118,0.284,8.29013533419144e-15,0,CTSD,Down,Highly,Down_Highly
TMEM123,8.37519364955011e-19,0.732658879264324,0.539,0.385,1.1485740570993e-14,0,TMEM123,Up,Highly,Up_Highly
VASP,8.85743133213111e-19,-1.24790608526489,0.141,0.319,1.21470813288846e-14,0,VASP,Down,Highly,Down_Highly
PSMB3,9.70605735909934e-19,-0.908667817340603,0.233,0.432,1.33108870622688e-14,0,PSMB3,Down,Highly,Down_Highly
CEBPB,9.89661313679415e-19,-1.42003681449467,0.197,0.367,1.35722152557995e-14,0,CEBPB,Down,Highly,Down_Highly
NDFIP1,1.2878148144113e-18,1.06650988996139,0.435,0.284,1.76610923648365e-14,0,NDFIP1,Up,Highly,Up_Highly
CASP1,1.45672074841408e-18,-1.2240596538196,0.142,0.315,1.99774683437507e-14,0,CASP1,Down,Highly,Down_Highly
GNAI2,1.77031315424346e-18,-1.42487144593131,0.105,0.272,2.42780745972949e-14,0,GNAI2,Down,Highly,Down_Highly
CD3G,1.830495214936e-18,0.962589027279118,0.335,0.178,2.51034113776324e-14,0,CD3G,Up,Highly,Up_Highly
APOBEC3G,1.86049636712326e-18,-1.45799467313944,0.098,0.257,2.55148471787284e-14,0,APOBEC3G,Down,Highly,Down_Highly
LCK,2.42094767085389e-18,0.768815173327752,0.491,0.313,3.32008763580902e-14,0,LCK,Up,Highly,Up_Highly
H2AFY,2.54008409927037e-18,-1.41965496122099,0.164,0.341,3.48347133373939e-14,0,H2AFY,Down,Highly,Down_Highly
ARRB2,3.32864007006115e-18,-1.51078486373889,0.129,0.299,4.56489699208186e-14,0,ARRB2,Down,Highly,Down_Highly
DOK2,4.58267525136567e-18,-1.49675734321963,0.116,0.283,6.28468083972287e-14,0,DOK2,Down,Highly,Down_Highly
HN1,1.06988166454409e-17,-1.06956533661701,0.116,0.286,1.46723571475577e-13,0,HN1,Down,Highly,Down_Highly
RGS19,1.18080973463863e-17,-1.27776863536778,0.142,0.312,1.61936247008342e-13,0,RGS19,Down,Highly,Down_Highly
C1orf162,2.71826220868702e-17,-1.20395835342795,0.259,0.426,3.72782479299338e-13,0,C1orf162,Down,Highly,Down_Highly
SNX3,2.87062567306686e-17,-0.697906419281315,0.335,0.505,3.93677604804389e-13,0,SNX3,Down,Highly,Down_Highly
PPP1CA,4.37088872723146e-17,-0.788574904278606,0.385,0.561,5.99423680052523e-13,0,PPP1CA,Down,Highly,Down_Highly
DBI,4.39653772836784e-17,-1.0361495471568,0.218,0.401,6.02941184068365e-13,0,DBI,Down,Highly,Down_Highly
LCP1,5.87870620279996e-17,-0.809141440206215,0.256,0.431,8.06205768651987e-13,0,LCP1,Down,Highly,Down_Highly
RHOH,6.02530582653039e-17,1.02799379335656,0.361,0.21,8.26310441050378e-13,0,RHOH,Up,Highly,Up_Highly
NOP10,1.64796785982485e-16,-1.20356421759941,0.17,0.338,2.2600231229638e-12,0,NOP10,Down,Highly,Down_Highly
GNB2,1.7644623043575e-16,-1.24157596874118,0.142,0.307,2.41978360419587e-12,0,GNB2,Down,Highly,Down_Highly
FLT3LG,2.79156515735512e-16,1.19945780288616,0.264,0.14,3.82835245679682e-12,0,FLT3LG,Up,Highly,Up_Highly
LAMTOR1,3.68734609117817e-16,-0.68441342721273,0.216,0.388,5.05682642944174e-12,0,LAMTOR1,Down,Highly,Down_Highly
TRAT1,4.12686047474238e-16,1.07899980705665,0.264,0.137,5.6595764550617e-12,0,TRAT1,Up,Highly,Up_Highly
MT2A,5.70764241149683e-16,-1.27931581542262,0.198,0.356,7.82746080312676e-12,0,MT2A,Down,Highly,Down_Highly
