,x,y,PAM50,Cohort,Class,color
BRCA-A5D6-01A,-2.38042978940321,-5.66419032649857,Normal,TCGA,Normal_TCGA,#CAB2D6
BRCA-A3XT-01A,24.0523376310162,-3.90581098519834,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A04Y-01A,3.27308088331644,1.81763133187747,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0HN-01A,-7.22909538745992,20.7797734486459,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0D4-01A,1.84036781288442,18.2379760864647,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A3NW-01A,-8.97308594199388,4.36054792343089,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1LA-01A,4.13229897562107,-0.766082010613882,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A2D9-01A,-10.8473070730119,0.502907868767437,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0D0-01A,30.4877878863938,3.86186505273892,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0YC-01A,-9.43044197878413,4.43256332008268,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0E6-01A,17.7271365543174,-0.729759967418966,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A2OB-01A,-17.2813693750449,-12.1523253279028,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0J9-01A,-2.47681180116788,-12.5589107825935,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A66O-01A,1.05143171292253,18.869691268083,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0SW-01A,8.0076542655575,-3.01043796534838,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A04N-01A,-12.4601425089748,-1.01222289795887,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0CR-01A,-0.143513318629309,-14.1390134585599,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A3KD-01A,-8.83903268827144,3.19443935710993,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A3QP-01A,-8.63510546527135,-8.46411581006137,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A408-01A,-2.07613042748963,0.343547721510325,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A740-01A,0.0500967605289132,-4.52635437787042,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1KI-01A,-16.5387616178123,3.85732900109896,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0CD-01A,-9.62018979511636,12.3773113108361,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1G0-01A,-16.9643456694133,-5.4206334401965,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1IJ-01A,-12.8965445982801,-14.4551862356589,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A107-01A,1.1523717609564,13.9736167703967,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1LI-01A,25.1421228352314,2.02142525574746,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0HB-01A,5.79506735642861,4.32176400171555,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A10A-01A,-2.89972583606476,8.42701604820399,LumA,TCGA,LumA_TCGA,#FB9A99
