"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"SEPT1",1.36289619443904e-11,0.266273960092076,0.338,0.202,1.8690758410537e-07,"0","SEPT1"
"ANKRD12",2.80721688827298e-11,0.270966658411666,0.408,0.258,3.84981724057756e-07,"0","ANKRD12"
"BIN1",3.30298437069693e-11,0.258604423686775,0.354,0.217,4.52971276597377e-07,"0","BIN1"
"CCR7",3.61381941413606e-11,0.295004127520311,0.293,0.166,4.9559919445462e-07,"0","CCR7"
"SOCS3",6.0713577585162e-11,0.393241124637247,0.259,0.15,8.32626003002911e-07,"0","SOCS3"
"TSC22D3",1.04114630871273e-10,0.279549374755339,0.843,0.722,1.42782804776863e-06,"0","TSC22D3"
"SLC2A3",1.13002671807567e-10,0.428418253369224,0.349,0.221,1.54971864116897e-06,"0","SLC2A3"
"SKP1",1.3638748645973e-10,0.278433541297389,0.577,0.434,1.87041798930874e-06,"0","SKP1"
"PPP2R5C",2.05903446595627e-10,0.36343376944126,0.34,0.216,2.82375986661243e-06,"0","PPP2R5C"
"C12orf57",7.83691397146949e-10,0.322467600478695,0.409,0.272,1.07475438204733e-05,"0","C12orf57"
"COX6C",1.97843855568279e-09,0.260503057134968,0.557,0.419,2.71323063526338e-05,"0","COX6C"
"DDX24",2.06158208384155e-09,0.328274112304314,0.325,0.208,2.82725366978031e-05,"0","DDX24"
"BTG2",1.02356822033587e-08,0.264683745602139,0.453,0.33,0.000140372145736861,"0","BTG2"
"SRP9",1.59548986830805e-08,0.395612165738736,0.426,0.303,0.000218805480539766,"0","SRP9"
"RWDD1",7.56763207743306e-08,0.307748545624547,0.34,0.232,0.00103782506309917,"0","RWDD1"
"YWHAQ",9.39345585957908e-08,0.263690091289994,0.372,0.263,0.00128821853658268,"0","YWHAQ"
"ABRACL",2.28443466883836e-07,0.292606232589123,0.36,0.258,0.00313287370484493,"0","ABRACL"
"PPA1",6.81613443426535e-07,0.252201015770326,0.398,0.29,0.0093476467631515,"0","PPA1"
"PSMC5",6.74899251535238e-06,0.262620032201616,0.36,0.267,0.0925556833555425,"0","PSMC5"
"CD47",8.78378908607e-05,0.390032546969551,0.311,0.23,1,"0","CD47"
"RBM39",0.00210040462982146,0.268616138735046,0.411,0.337,1,"0","RBM39"
"NSA2",0.00343837936771898,0.376933169395537,0.266,0.211,1,"0","NSA2"
"TERF2IP",0.00732416473524667,0.25089405907465,0.266,0.216,1,"0","TERF2IP"
"RPS121",5.60940344383391e-132,0.509716891943066,1,0.991,7.69273588287382e-128,"1","RPS12"
"RPS6",2.89532418982577e-127,0.466138182762723,0.998,0.994,3.97064759392706e-123,"1","RPS6"
"RPL32",3.49508942393219e-124,0.437841855882574,0.998,0.995,4.7931656359806e-120,"1","RPL32"
"RPS14",1.54574814419426e-108,0.42302812646613,0.998,0.995,2.11983900494801e-104,"1","RPS14"
"RPL31",1.3238990622436e-105,0.518311059461781,1,0.963,1.81559517396088e-101,"1","RPL31"
"RPS251",2.23942938593118e-105,0.502532846912787,0.998,0.974,3.07115345986602e-101,"1","RPS25"
"RPL13",1.6052397951572e-104,0.393767242957925,1,0.997,2.20142585507859e-100,"1","RPL13"
"RPS271",3.16889879788435e-104,0.453574789790659,0.998,0.992,4.3458278114186e-100,"1","RPS27"
"RPL3",4.37194721954896e-99,0.418078519349573,0.995,0.995,5.99568841688944e-95,"1","RPL3"
