GenePairs,frac.of.var.tissue,frac.of.var.species,frac.of.var.residual
C18orf21_2700062C07Rik,0.115440834941746,0,0.884559165058254
SLC39A6_Slc39a6,0.42203534767922,0.399477425265397,0.178487227055383
FGF9_Fgf9,0.56626835719874,0,0.43373164280126
GALR1_Galr1,0.192308036236858,0.00808884137617,0.799603122386972
ADPRHL1_Adprhl1,0.480376333937551,0.018076291382253,0.501547374680196
MBP_Mbp,0.796383214950795,0.0633579752182122,0.140258809830993
TNFSF11_Tnfsf11,0,0,1
ALG11_Alg11,0,0.775267170662169,0.224732829337831
LRRC63_Lrrc63,0.632054443123204,0,0.367945556876796
PCDH20_Pcdh20,0.381086554235817,0,0.618913445764183
RNF17_Rnf17,0.794080885374273,0.0878412743170023,0.118077840308724
NDFIP2_Ndfip2,0.0837563384106916,0.533836560930415,0.382407100658893
ATP4B_Atp4b,0.247837464364751,0.137056186107281,0.615106349527968
DLEU7_Dleu7,0.309493859688296,0.126848586542932,0.563657553768772
SLAIN1_Slain1,0.605555254581676,0.0104075510726199,0.384037194345704
MEX3C_Mex3c,0.681856972294424,0.0815384529286233,0.236604574776953
ONECUT2_Onecut2,0.790525056661142,0,0.209474943338858
PTPRM_Ptprm,0.543674696387713,0.087625723585809,0.368699580026478
KL_Kl,0.370700884304146,0.323950234620788,0.305348881075066
PCDH8_Pcdh8,0.656580030760146,0.0375874743406184,0.305832494899236
DACH1_Dach1,0.477371874382185,0.0387297496875875,0.483898375930228
NUFIP1_Nufip1,0.553476208956921,0.0169427059881375,0.429581085054941
APCDD1_Apcdd1,0.590783823949725,0.156593511924732,0.252622664125543
AMER2_Amer2,0.548260909257208,0.17674504739226,0.274994043350533
SOHLH2_Sohlh2,0.501430910497372,0,0.498569089502628
BCL2_Bcl2,0.380966247923605,0.350981332816891,0.268052419259504
CCDC169_Ccdc169,0.685221802395288,0,0.314778197604712
CIDEA_Cidea,0.171106654389209,0.344395828370315,0.484497517240476
DSC3_Dsc3,0.194267970771641,0.0416308469188846,0.764101182309474
DSC1_Dsc1,0,0,1
GPC6_Gpc6,0,0.245830194873454,0.754169805126546
DSG1_Dsg1b,0.198640653976996,4.25306931826361e-10,0.801359345597697
DCT_Dct,0,0.378746666131903,0.621253333868097
PSMA8_Psma8,0.679924200582936,0.118502285164692,0.201573514252372
HS6ST3_Hs6st3,0.175089501679647,0,0.824910498320353
NFATC1_Nfatc1,0.184354691429541,0.438129436839049,0.377515871731411
TUBA3C_Tuba3b,0.726295455907303,0,0.273704544092697
GPC5_Gpc5,0.350217373095073,0.0381389549213778,0.611643671983549
URAD_Urah,0.079630882997002,0.704541452259489,0.215827664743509
BRCA2_Brca2,0.277551674467961,0.649834887758138,0.0726134377739006
ING1_Ing1,0.288793062093102,0.602468716474831,0.108738221432067
GTF3A_Gtf3a,0,0.0480004615055095,0.95199953849449
LAMA3_Lama3,0.535602763620084,2.56037534943348e-09,0.464397233819541
C13orf46_1700029H14Rik,0.34020353974587,0,0.65979646025413
C13orf42_Gm4131,0.777593204483454,0,0.222406795516546
GNAL_Gnal,0.621941211301823,0.089904434036258,0.288154354661919
MEP1B_Mep1b,0.0923844514094573,0.0168936500371965,0.890721898553346
LOXHD1_Loxhd1,0.444699092518223,0.179620936998242,0.375679970483535
SERPINB13_Serpinb13,0.814879567801345,0,0.185120432198655
SERPINB4_Serpinb3a,0.87374715045513,0.00101162487085912,0.125241224674011
SERPINB11_Serpinb11,0.511878616318826,1.91217238730437e-08,0.48812136455945
SERPINB12_Serpinb12,0,0,1
PRELID3A_Prelid3a,0.739069233696519,1.49000143256053e-09,0.26093076481348
RAB12_Rab12,0.643833132247478,0,0.356166867752523
TXNL4A_Txnl4a,0,0,1
RBFA_Rbfa,0.0411176350977821,0.903479171771541,0.0554031931306771
PARD6G_Pard6g,0.384764896615369,5.72999090761423e-10,0.615235102811632
WDR7_Wdr7,0.449336352314632,0.428893345817583,0.121770301867785
TXNDC2_Txndc2,0.76421666757845,0.0108990315275286,0.224884300894021
PIEZO2_Piezo2,0.134111243175272,0.319441939827869,0.546446816996859
CCDC178_Ccdc178,0.308997688460819,0.460673596290097,0.230328715249084
STARD6_Stard6,0.594241028006687,0.0911429018773566,0.314616070115957
GRP_Grp,0.850808972484234,0,0.149191027515766
SIGLEC15_Siglec15,0.338896035561965,0.0110643472921909,0.650039617145844
ASXL3_Asxl3,0.25590976343353,0.350301323656441,0.393788912910029
ZNF519_Zfp941,0.397485576987345,1.15350363326922e-10,0.602514422897304
CHMP1B_Chmp1b,0.0793216062713315,0.719346532310205,0.201331861418464
TSHZ1_Tshz1,0.376327560147497,0.146187340673843,0.47748509917866
ZNF236_Zfp236,0.0563369293145329,0.847761704757098,0.095901365928369
DLGAP1_Dlgap1,0.319343469411626,0.376673101551776,0.303983429036598
ITSN1_Itsn1,0.0524736330929285,0.895652014165889,0.051874352741182
DCC_Dcc,0.301125330025824,0,0.698874669974176
ADRA1D_Adra1d,0.264989363799392,0.526051267055666,0.208959369144942
DEFB129_Defb23,0,0,1
DEFB125_Defb26,0,0,1
DEFB128_Defb20,0.316001127932572,0,0.683998872067428
ROCK1_Rock1,0.342165855250552,0.137239728506507,0.520594416242941
BTBD3_Btbd3,0.562516856164874,0.0735525167363437,0.363930627098783
ISM1_Ism1,0.0664242507456029,0,0.933575749254397
SCRT2_Scrt2,0.709964588546193,0.0744122400285638,0.215623171425243
DEFB127_Defb22,0.25459188155699,1.71243570877942e-10,0.745408118271766
FAM83D_Fam83d,0.271224861993424,0,0.728775138006576
KCNB1_Kcnb1,0.00764404496234035,0.403891704993265,0.588464250044395
CBLN4_Cbln4,0.300897969206509,0.232193073490795,0.466908957302696
RBBP8NL_Rbbp8nl,0.388154579258692,0.0825211646064547,0.529324256134853
PMEPA1_Pmepa1,0.357653567242692,0.340252419516336,0.302094013240972
SALL4_Sall4,0.335267525681516,0,0.664732474318484
CDH4_Cdh4,0.267541893395298,0.356554460773509,0.375903645831193
SS18L1_Ss18l1,0.145784922900262,0.0266140860974618,0.827600991002277
SYCP2_Sycp2,0.345116793403542,0.540426262634324,0.114456943962133
LAMA5_Lama5,0.242997178988902,0.65540281517689,0.101600005834208
TP53TG5_Trp53tg5,0.189538399939742,0.402786664767701,0.407674935292557
TUBB1_Tubb1,0.624562835477745,0,0.375437164522255
C20orf173_6430550D23Rik,0.119642777041596,0.821548821654696,0.0588084013037085
FTCD_Ftcd,0.71695408948131,3.13353324868776e-11,0.283045910487355
FITM2_Fitm2,0.382928857795277,0.125543033556604,0.491528108648118
GTSF1L_Gtsf1l,0.785777598096698,0.0137226509854716,0.20049975091783
OSM_Osm,0.478590958555263,0.132837761720311,0.388571279724425
R3HDML_R3hdml,0.284236950404207,0.0348517205036935,0.680911329092099
NCF4_Ncf4,0.36448240232675,0,0.63551759767325
NKAIN4_Nkain4,0,0.723699359680884,0.276300640319116
CHRNA4_Chrna4,0.338404674546591,0.300945746699822,0.360649578753587
CACNA1I_Cacna1i,0.481557832884572,0.405309444334163,0.113132722781265
MKKS_Mkks,0.157988735417033,0.0637053839116768,0.778305880671291
COL6A1_Col6a1,0.606203151423819,0.00704215831086473,0.386754690265316
XKR7_Xkr7,0.454666967054889,0.241914416560925,0.303418616384186
PLAGL2_Plagl2,0.445592446455696,0.08549380389463,0.468913749649674
OXT_Oxt,0,0.341222271595853,0.658777728404147
OVOL2_Ovol2,0.580970143931706,0.226580556458424,0.192449299609871
HLCS_Hlcs,1.16770404901342e-09,0.489691481008901,0.510308517823395
PET117_Pet117,0.014545641420634,0.952517404852052,0.0329369537273135
CLDN14_Cldn14,0.305167235299602,0.0621914869642256,0.632641277736172
SNX21_Snx21,0.0792395659709356,0.826035456919651,0.0947249771094131
ENTHD1_Enthd1,0.866580292119666,0,0.133419707880334
ABCG1_Abcg1,0.751854435382261,1.3619376375717e-10,0.248145564481545
LIF_Lif,0.833001628837705,0.00117203451193616,0.165826336650358
TRIOBP_Triobp,0.213052257835674,0.719143465339242,0.0678042768250833
C20orf144_1700003F12Rik,0.201819922423002,0.506227200908534,0.291952876668463
BANF2_Banf2,0.944941923838523,2.32484787074746e-06,0.0550557513136064
TOP1_Top1,0.0663227458294156,0.522777253477209,0.410900000693376
PRND_Prnd,0.420986552144719,0.187055943776723,0.391957504078558
RTL6_Rtl6,0.706036122988547,0.0518563302833408,0.242107546728112
SLPI_Slpi,0.51688105976542,0.225697581000466,0.257421359234113
SPINT3_Spint3,0.261829019406153,0,0.738170980593847
SHISAL1_Shisal1,0.636097921967351,0.117623328317468,0.24627874971518
SIK1_Sik1,0.0291925192209644,0.878303121289962,0.0925043594890734
EPPIN_Eppin,0.796287392588378,0.0644408849933553,0.139271722418267
WFDC3_Wfdc3,0.5780096066872,0.234681086941455,0.187309306371345
RUNX1_Runx1,0.678194188573493,0,0.321805811426507
CRYBA4_Cryba4,0.0980866079554204,0.628401575723089,0.273511816321491
TNNC2_Tnnc2,0.0592985617392324,0,0.940701438260768
LRRC3_Lrrc3,0.261541410746183,0.191652783861609,0.546805805392208
C2CD2_C2cd2,3.09259944985562e-10,0.526996299763851,0.473003699926889
NTSR1_Ntsr1,0.595987064633741,8.55592993561676e-11,0.404012935280699
