specificSubtype	otherSubtype	EnrichScore	tissue
hE01_Endothelium-CDH5	hT11_CD4-CTLA4	-0.912861130275639	tumor
hE01_Endothelium-CDH5	hT18_CD8-LAYN	-0.997580192479981	tumor
hF01_Myofib-ACTA2	hM01_Mast-TPSAB1	1.97543393285604	tumor
hF01_Myofib-ACTA2	hM02_pDC-LILRA4	0.17186371432093	tumor
hF01_Myofib-ACTA2	hM03_cDC2-CD1C	-1.76911980262336	tumor
hF01_Myofib-ACTA2	hM04_cDC1-BATF3	-1.65430656112615	tumor
hF01_Myofib-ACTA2	hM08_Macro-NLRP3	1.53436479485019	tumor
hF01_Myofib-ACTA2	hM12_TAM-C1QC	-0.842326315654066	tumor
hF01_Myofib-ACTA2	hT04_CD4-TCF7	0.335866199280091	tumor
hF01_Myofib-ACTA2	hT05_CD4-CXCR6	0.380719316726093	tumor
hF01_Myofib-ACTA2	hT06_CD4-CXCR5	-0.171689492433314	tumor
hF01_Myofib-ACTA2	hT15_CD8-GZMK	0.215913226786532	tumor
hF01_Myofib-ACTA2	hT16_CD8-CD6	-0.396926691395424	tumor
hF01_Myofib-ACTA2	hT17_CD8-CD160	-0.274238111254679	tumor
hF01_Myofib-ACTA2	hI02_NK-GZMK	0.0617561899425838	tumor
hF01_Myofib-ACTA2	hI04_ILC3-SLC4A10	-0.381264247642714	tumor
hF01_Myofib-ACTA2	hB02_GALTB-IgA	0.283524600312381	tumor
hF01_Myofib-ACTA2	hB03_FollicularB-IgD	0.051328639386299	tumor
hF01_Myofib-ACTA2	hB05_GCBCell-LRMP	-2.18183499423413	tumor
hF01_Myofib-ACTA2	hB01_PlasmaB-IgG	0.733844799999154	tumor
hF01_Myofib-ACTA2	hF01_Myofib-ACTA2	0.103543990818753	tumor
hF01_Myofib-ACTA2	hF02_CAF-FAP	2.23767739648723	tumor
hF01_Myofib-ACTA2	hM13_TAM-SPP1	0.487066349707419	tumor
hF01_Myofib-ACTA2	hT07_CD4-GZMK	0.409062176603152	tumor
hF01_Myofib-ACTA2	hT08_CD4-IL23R	-0.169978997097488	tumor
hF01_Myofib-ACTA2	hT09_CD4-CXCL13	-0.0605559795236383	tumor
hF01_Myofib-ACTA2	hT11_CD4-CTLA4	-0.507189533629484	tumor
hF01_Myofib-ACTA2	hT18_CD8-LAYN	-0.572534601462404	tumor
hF02_CAF-FAP	hM01_Mast-TPSAB1	0.12386066715675	tumor
hF02_CAF-FAP	hM02_pDC-LILRA4	-0.385268330292796	tumor
hF02_CAF-FAP	hM03_cDC2-CD1C	-1.98613413513093	tumor
hF02_CAF-FAP	hM04_cDC1-BATF3	-1.75147786161316	tumor
hF02_CAF-FAP	hM08_Macro-NLRP3	0.900545769243514	tumor
hF02_CAF-FAP	hM12_TAM-C1QC	-1.69244773080487	tumor
hF02_CAF-FAP	hT04_CD4-TCF7	0.588901936361639	tumor
hF02_CAF-FAP	hT05_CD4-CXCR6	0.788200582340303	tumor
hF02_CAF-FAP	hT06_CD4-CXCR5	0.137090189322091	tumor
hF02_CAF-FAP	hT15_CD8-GZMK	0.518640554163935	tumor
hF02_CAF-FAP	hT16_CD8-CD6	0.421848690055465	tumor
hF02_CAF-FAP	hT17_CD8-CD160	0.626583975125786	tumor
hF02_CAF-FAP	hI02_NK-GZMK	0.330114390333818	tumor
hF02_CAF-FAP	hI04_ILC3-SLC4A10	0.212365638791281	tumor
hF02_CAF-FAP	hB02_GALTB-IgA	0.239522422611698	tumor
hF02_CAF-FAP	hB03_FollicularB-IgD	0.168745967473039	tumor
hF02_CAF-FAP	hB05_GCBCell-LRMP	-2.39929231892849	tumor
hF02_CAF-FAP	hB01_PlasmaB-IgG	0.135190922468001	tumor
hF02_CAF-FAP	hF01_Myofib-ACTA2	0.717349085152411	tumor
hF02_CAF-FAP	hF02_CAF-FAP	2.18218999856574	tumor
hF02_CAF-FAP	hM13_TAM-SPP1	-0.500210314830551	tumor
hF02_CAF-FAP	hT07_CD4-GZMK	0.65345523810362	tumor
hF02_CAF-FAP	hT08_CD4-IL23R	0.153955008943594	tumor
hF02_CAF-FAP	hT09_CD4-CXCL13	0.399498983177509	tumor
hF02_CAF-FAP	hT11_CD4-CTLA4	-0.299106504659733	tumor
hF02_CAF-FAP	hT18_CD8-LAYN	-0.284122823129679	tumor
hM01_Mast-TPSAB1	hM01_Mast-TPSAB1	-1.69518402087953	tumor
hM01_Mast-TPSAB1	hM02_pDC-LILRA4	1.63217988042137	tumor
hM01_Mast-TPSAB1	hM03_cDC2-CD1C	-0.129453707079354	tumor
hM01_Mast-TPSAB1	hM04_cDC1-BATF3	0.873068545100938	tumor
hM01_Mast-TPSAB1	hM08_Macro-NLRP3	0.370471785999882	tumor
hM01_Mast-TPSAB1	hM12_TAM-C1QC	0.401465166644717	tumor
hM01_Mast-TPSAB1	hT04_CD4-TCF7	0.801376772460846	tumor
hM01_Mast-TPSAB1	hT05_CD4-CXCR6	0.249297006735663	tumor
hM01_Mast-TPSAB1	hT06_CD4-CXCR5	1.45916232021964	tumor
hM01_Mast-TPSAB1	hT15_CD8-GZMK	0.686405304543907	tumor
hM01_Mast-TPSAB1	hT16_CD8-CD6	-0.155496126558921	tumor
hM01_Mast-TPSAB1	hT17_CD8-CD160	0.145773094453288	tumor
hM01_Mast-TPSAB1	hI02_NK-GZMK	-0.0170843570026369	tumor
hM01_Mast-TPSAB1	hI04_ILC3-SLC4A10	-0.645917668844125	tumor
hM01_Mast-TPSAB1	hB02_GALTB-IgA	-1.12780061212594	tumor
hM01_Mast-TPSAB1	hB03_FollicularB-IgD	1.17774569947928	tumor
hM01_Mast-TPSAB1	hB05_GCBCell-LRMP	-2.10576702745987	tumor
hM01_Mast-TPSAB1	hB01_PlasmaB-IgG	-1.16815447579371	tumor
hM01_Mast-TPSAB1	hF01_Myofib-ACTA2	-1.05905372406327	tumor
hM01_Mast-TPSAB1	hF02_CAF-FAP	1.70572314577261	tumor
hM01_Mast-TPSAB1	hM13_TAM-SPP1	-1.04350206663502	tumor
hM01_Mast-TPSAB1	hT07_CD4-GZMK	0.813703287477036	tumor
hM01_Mast-TPSAB1	hT08_CD4-IL23R	-0.2770009412364	tumor
hM01_Mast-TPSAB1	hT09_CD4-CXCL13	-0.150599590557754	tumor
hM01_Mast-TPSAB1	hT11_CD4-CTLA4	-0.331002766707277	tumor
hM01_Mast-TPSAB1	hT18_CD8-LAYN	-0.410354924365367	tumor
hM02_pDC-LILRA4	hM01_Mast-TPSAB1	-0.299464209757384	tumor
hM02_pDC-LILRA4	hM02_pDC-LILRA4	-0.974568740387583	tumor
hM02_pDC-LILRA4	hM03_cDC2-CD1C	-0.89195627164062	tumor
hM02_pDC-LILRA4	hM04_cDC1-BATF3	-1.24937358019395	tumor
hM02_pDC-LILRA4	hM08_Macro-NLRP3	-0.552027959925826	tumor
hM02_pDC-LILRA4	hM12_TAM-C1QC	-0.244855821363178	tumor
hM02_pDC-LILRA4	hT04_CD4-TCF7	2.02665331647111	tumor
hM02_pDC-LILRA4	hT05_CD4-CXCR6	1.56327471062548	tumor
hM02_pDC-LILRA4	hT06_CD4-CXCR5	2.24572960238898	tumor
hM02_pDC-LILRA4	hT15_CD8-GZMK	0.4060200977483	tumor
hM02_pDC-LILRA4	hT16_CD8-CD6	0.177370583019482	tumor
hM02_pDC-LILRA4	hT17_CD8-CD160	-0.309875872243141	tumor
hM02_pDC-LILRA4	hI02_NK-GZMK	-0.158460911692178	tumor
hM02_pDC-LILRA4	hI04_ILC3-SLC4A10	-0.269522194994358	tumor
hM02_pDC-LILRA4	hB02_GALTB-IgA	-0.638391122306419	tumor
hM02_pDC-LILRA4	hB03_FollicularB-IgD	-0.721300159905411	tumor
hM02_pDC-LILRA4	hB05_GCBCell-LRMP	-1.17269910697728	tumor
hM02_pDC-LILRA4	hB01_PlasmaB-IgG	-0.542064014877845	tumor
hM02_pDC-LILRA4	hF01_Myofib-ACTA2	-1.26363989264324	tumor
hM02_pDC-LILRA4	hF02_CAF-FAP	-0.641488960266208	tumor
hM02_pDC-LILRA4	hM13_TAM-SPP1	-0.45382279546221	tumor
hM02_pDC-LILRA4	hT07_CD4-GZMK	1.0333804267684	tumor
hM02_pDC-LILRA4	hT08_CD4-IL23R	1.22604442838803	tumor
hM02_pDC-LILRA4	hT09_CD4-CXCL13	0.790852293523266	tumor
hM02_pDC-LILRA4	hT11_CD4-CTLA4	1.10102179403245	tumor
