Tumor_Sample_Barcode,Expr_level
TCGA-CC-A8HT,high
TCGA-DD-AAEB,low
TCGA-DD-A4NE,high
TCGA-DD-A114,high
TCGA-5C-AAPD,med
TCGA-DD-A1EA,high
TCGA-XR-A8TD,med
TCGA-ZS-A9CG,med
TCGA-2Y-A9H2,high
TCGA-FV-A2QQ,high
TCGA-CC-A3MC,med
TCGA-DD-AAE1,high
TCGA-DD-A4NN,high
TCGA-DD-AACK,high
TCGA-G3-A5SK,low
TCGA-DD-A4NP,med
TCGA-DD-AADL,med
TCGA-4R-AA8I,med
TCGA-KR-A7K8,med
TCGA-DD-A73A,med
TCGA-BC-A8YO,high
TCGA-2Y-A9GY,high
TCGA-DD-AAVR,med
TCGA-DD-AAE6,low
TCGA-G3-A25T,high
TCGA-BD-A3EP,high
TCGA-FV-A23B,high
TCGA-DD-AACT,med
TCGA-CC-A7IL,low
TCGA-G3-AAV7,med
TCGA-DD-A11D,med
TCGA-CC-A9FU,low
TCGA-2Y-A9HB,med
TCGA-DD-AAC9,med
TCGA-DD-AAVU,med
TCGA-DD-AAEK,med
TCGA-CC-5258,med
TCGA-FV-A495,med
TCGA-UB-A7MF,med
TCGA-CC-A7IK,low
TCGA-DD-AAED,high
TCGA-CC-5262,high
TCGA-LG-A6GG,low
TCGA-G3-A7M6,high
TCGA-2Y-A9GV,med
TCGA-DD-AACJ,med
TCGA-DD-A3A2,med
TCGA-ED-A97K,high
TCGA-CC-A5UD,high
TCGA-DD-AAE9,med
TCGA-DD-AAC8,high
TCGA-WJ-A86L,low
TCGA-DD-A4NF,med
TCGA-DD-A1EB,med
TCGA-GJ-A9DB,med
TCGA-2Y-A9H9,low
TCGA-DD-AAD5,high
TCGA-5R-AAAM,med
TCGA-ED-A4XI,high
TCGA-BC-A10Y,low
TCGA-DD-A73E,med
TCGA-DD-AADK,high
TCGA-EP-A2KB,high
TCGA-XR-A8TF,high
TCGA-DD-AADM,high
TCGA-GJ-A6C0,med
TCGA-DD-A1EJ,high
TCGA-2V-A95S,high
TCGA-K7-AAU7,high
TCGA-DD-AAW0,high
TCGA-XR-A8TE,high
TCGA-G3-A6UC,med
TCGA-BC-A112,high
TCGA-ED-A459,med
TCGA-NI-A8LF,low
TCGA-BC-A5W4,med
TCGA-CC-A7IE,high
TCGA-5R-AA1D,high
TCGA-CC-A7II,high
TCGA-DD-AACA,high
TCGA-DD-A73C,med
TCGA-KR-A7K7,high
TCGA-DD-AAVP,med
TCGA-DD-AAD1,high
TCGA-DD-AADS,med
TCGA-DD-A3A1,med
TCGA-RC-A7SB,med
TCGA-DD-AAVZ,high
TCGA-2Y-A9GT,med
TCGA-DD-AADQ,high
TCGA-DD-A119,med
TCGA-DD-A4NO,med
TCGA-BW-A5NP,high
TCGA-DD-A4NA,high
TCGA-MI-A75E,med
TCGA-BC-A10Q,high
TCGA-DD-AAEE,low
TCGA-BC-A3KG,high
TCGA-DD-A3A7,low
TCGA-CC-A8HV,high
TCGA-DD-AACN,high
TCGA-G3-A25V,med
TCGA-DD-AAVS,high
TCGA-CC-A3MB,high
TCGA-ZP-A9D0,med
TCGA-DD-AAE2,med
TCGA-RG-A7D4,high
TCGA-DD-A4NK,med
TCGA-DD-A39W,med
TCGA-DD-AADJ,high
TCGA-DD-AACA,med
TCGA-CC-5263,low
TCGA-DD-A11C,med
TCGA-DD-A4NL,med
TCGA-HP-A5N0,med
TCGA-ZP-A9D1,high
TCGA-ES-A2HS,low
TCGA-UB-AA0U,med
TCGA-DD-AAD3,med
TCGA-BW-A5NQ,low
TCGA-DD-A11B,high
TCGA-G3-A25Y,high
TCGA-DD-AACA,med
TCGA-CC-A7IH,med
TCGA-MR-A8JO,high
TCGA-2Y-A9GX,high
TCGA-DD-AACS,high
TCGA-K7-A5RG,med
TCGA-DD-A1ED,med
TCGA-DD-AADV,low
TCGA-DD-AAD8,low
TCGA-DD-A4NQ,low
TCGA-NI-A4U2,low
TCGA-G3-AAV5,high
TCGA-G3-AAV2,med
TCGA-BC-A216,med
TCGA-DD-AAEA,low
TCGA-EP-A2KC,med
TCGA-RC-A6M5,med
TCGA-2Y-A9GU,med
TCGA-BC-A10T,med
TCGA-RC-A7SK,med
TCGA-BC-A69H,low
TCGA-DD-AAVW,med
TCGA-DD-AADO,high
TCGA-ZS-A9CD,high
TCGA-DD-AACU,high
TCGA-G3-A7M5,med
TCGA-WQ-A9G7,high
TCGA-G3-A5SJ,high
TCGA-O8-A75V,med
TCGA-ED-A5KG,high
TCGA-CC-A8HU,med
TCGA-DD-AACV,low
TCGA-CC-A8HS,high
TCGA-CC-A123,med
TCGA-DD-A3A9,med
TCGA-DD-A4ND,high
TCGA-ZP-A9CV,high
TCGA-ED-A7XO,med
TCGA-ZP-A9D2,high
TCGA-2Y-A9GZ,med
TCGA-DD-A11A,med
TCGA-LG-A9QC,high
TCGA-DD-A4NV,med
TCGA-CC-A7IG,low
TCGA-DD-AADR,med
TCGA-BC-A110,med
TCGA-DD-A118,med
TCGA-UB-A7ME,high
TCGA-DD-A4NI,med
TCGA-G3-A3CI,med
TCGA-DD-AACY,med
TCGA-2Y-A9H5,high
TCGA-ZS-A9CF,med
TCGA-RC-A6M6,low
TCGA-XR-A8TC,med
TCGA-RC-A7SF,med
TCGA-CC-A7IJ,high
TCGA-DD-A1EL,med
TCGA-BC-A10Z,med
TCGA-BC-4073,med
TCGA-G3-A5SM,low
TCGA-DD-AAVQ,high
TCGA-CC-5259,low
TCGA-DD-AAE4,med
TCGA-DD-AACL,high
TCGA-DD-AADW,high
TCGA-DD-A39Y,med
TCGA-ED-A7PZ,low
TCGA-DD-AAD6,med
TCGA-RC-A6M4,med
TCGA-KR-A7K0,med
TCGA-DD-A73D,med
TCGA-DD-AADU,med
TCGA-G3-A3CJ,med
TCGA-DD-A1EI,med
TCGA-DD-A4NS,high
TCGA-ED-A7PX,high
TCGA-BD-A3ER,high
TCGA-2Y-A9H0,med
TCGA-DD-AACP,high
TCGA-2Y-A9GS,high
TCGA-5R-AA1C,high
TCGA-DD-AACE,low
TCGA-WX-AA44,med
TCGA-ED-A7XP,med
TCGA-DD-A1EC,med
TCGA-DD-AAVV,med
TCGA-2Y-A9H8,high
TCGA-RC-A7SH,high
TCGA-ZS-A9CE,low
TCGA-BC-A10U,med
TCGA-ZP-A9CZ,high
TCGA-DD-AAW2,high
TCGA-G3-A25X,low
TCGA-DD-AADA,med
TCGA-DD-AACD,high
TCGA-G3-AAV3,high
TCGA-G3-A3CH,med
TCGA-G3-A3CK,med
TCGA-5C-A9VG,high
TCGA-G3-A7M8,med
TCGA-DD-A4NR,high
TCGA-FV-A4ZP,high
TCGA-UB-AA0V,med
TCGA-DD-A116,med
TCGA-DD-A1EH,high
TCGA-CC-A9FS,med
TCGA-DD-A1EK,low
TCGA-CC-A3MA,high
TCGA-DD-A4NH,med
TCGA-PD-A5DF,med
TCGA-UB-A7MD,med
TCGA-BC-A69I,med
TCGA-FV-A2QR,med
TCGA-DD-AACC,med
TCGA-WX-AA47,med
TCGA-MI-A75I,med
TCGA-ED-A8O6,low
TCGA-CC-A1HT,high
TCGA-HP-A5MZ,med
TCGA-DD-A113,high
TCGA-DD-A3A8,med
TCGA-DD-AADP,high
TCGA-DD-A73G,high
TCGA-G3-A7M7,high
TCGA-CC-A5UE,high
TCGA-DD-AACX,med
TCGA-DD-AADD,med
TCGA-DD-A73F,med
TCGA-CC-A9FW,high
TCGA-BC-A10R,low
TCGA-ES-A2HT,med
TCGA-DD-A3A4,med
TCGA-WX-AA46,med
TCGA-DD-A1EE,high
TCGA-FV-A4ZQ,high
