Drug	Subtype	AUC
Cisplatin	Subtype3	0.900442176
Cisplatin	Subtype3	0.858074402
Cisplatin	Subtype3	0.793368623
Cisplatin	Subtype3	0.832898089
Cisplatin	Subtype3	0.81877555
Cisplatin	Subtype3	0.877937909
Cisplatin	Subtype3	0.834463225
Cisplatin	Subtype3	0.869593169
Cisplatin	Subtype3	0.824276123
Cisplatin	Subtype3	0.903016703
Cisplatin	Subtype3	0.85473215
Cisplatin	Subtype3	0.862836198
Cisplatin	Subtype3	0.848835592
Cisplatin	Subtype3	0.882509672
Cisplatin	Subtype3	0.843112389
Cisplatin	Subtype3	0.838303418
Cisplatin	Subtype3	0.861491698
Cisplatin	Subtype3	0.855092038
Cisplatin	Subtype3	0.815066248
Cisplatin	Subtype3	0.779268929
Cisplatin	Subtype3	0.850776297
Cisplatin	Subtype3	0.835813742
Cisplatin	Subtype3	0.843770017
Cisplatin	Subtype3	0.835337814
Cisplatin	Subtype3	0.738486063
Cisplatin	Subtype3	0.79531037
Cisplatin	Subtype3	0.877309407
Cisplatin	Subtype3	0.894966724
Cisplatin	Subtype3	0.809995721
Cisplatin	Subtype3	0.881118676
Cisplatin	Subtype3	0.791232444
Cisplatin	Subtype3	0.858934127
Cisplatin	Subtype3	0.826309993
Cisplatin	Subtype3	0.829636166
Cisplatin	Subtype3	0.805373909
Cisplatin	Subtype3	0.820649824
Cisplatin	Subtype3	0.832787833
Cisplatin	Subtype3	0.823853456
Cisplatin	Subtype3	0.840831751
Cisplatin	Subtype3	0.889871321
Cisplatin	Subtype3	0.839176293
Cisplatin	Subtype3	0.846501084
Cisplatin	Subtype3	0.869457236
Cisplatin	Subtype3	0.840957103
Cisplatin	Subtype3	0.769321251
Cisplatin	Subtype3	0.839205225
Cisplatin	Subtype3	0.869834991
Cisplatin	Subtype3	0.852417449
Cisplatin	Subtype3	0.85282554
Cisplatin	Subtype3	0.840574372
Cisplatin	Subtype3	0.845830255
Cisplatin	Subtype3	0.843215947
Cisplatin	Subtype3	0.9063573
