GeneSymbol	VM	HN	P1	P2	YFB-S	YFB-C	YFB-G	FB-S	FB-C
jgi|Copci_AmutBmut1|111284|	1.68748514991216	2.42409510560887	2.57674608920253	1.99632952418813	2.69062676284966	3.32886352028576	3.94667843496122	0.267592608406183	0.524668522353136
jgi|Copci_AmutBmut1|111349|	5.70670042689758	7.4388591361739	6.05969903267175	5.71649147384925	7.64074210132895	8.27739905617033	5.4917749929466	5.50616995975449	6.04471153842924
jgi|Copci_AmutBmut1|111662|	4.89378296367587	5.28484621144114	6.22752999346842	5.5461375513499	1.29073886887387	1.00736837076098	0.900189264358952	0.777512893422413	0.0546288421039868
jgi|Copci_AmutBmut1|111837|	2.54660410085454	2.91368374938017	5.43654914064936	4.0348902544939	1.42475930295298	1.7734664093527	1.70793456873841	3.03066817850178	1.20698070746924
jgi|Copci_AmutBmut1|113190|	0.580294335891465	0.956623296445524	1.44508476727888	1.7882506229454	1.41243226392049	0.845891665118882	0.441235853533938	2.90648990944216	0.569112344352202
jgi|Copci_AmutBmut1|113984|	3.39336955816542	5.16331288054915	2.74083957442066	2.88517444499448	0.245766420992297	1.56961519602547	0.525094818294967	2.58617087433984	3.85467896353836
jgi|Copci_AmutBmut1|114194|	5.13030036598828	5.59757503342641	3.89991651011895	4.70116322925728	3.13008124247381	3.41038368402988	2.05122356121361	7.67342614919694	6.23224980094793
jgi|Copci_AmutBmut1|114948|	1.90885167448019	1.2585316536562	0.957208208129342	1.13380554052511	0.503710644347799	1.36882208393393	5.00340168301454	0.616056532775553	2.30753792825217
jgi|Copci_AmutBmut1|115401|	2.67185773604921	3.20785867309499	3.31706609949581	2.7179917750894	5.99228770260243	5.56648794651719	4.02011646393797	3.93280339531955	4.74187153161883
jgi|Copci_AmutBmut1|11580|	4.22623431528513	5.25905526290688	5.38203730872336	4.60447380812998	6.66865693936041	6.23060542558236	4.77840949581805	6.16030636365038	5.14116422875811
jgi|Copci_AmutBmut1|116409|	3.86738070926334	6.27271191587338	5.43174583262685	4.73997994021147	6.6949755747292	8.16625656493813	7.99223740997487	5.27551623316921	8.00176467735958
jgi|Copci_AmutBmut1|116639|	3.37098317749615	2.66485482895733	3.28933576661567	3.33484667761658	4.56042246888667	2.5360555406102	1.75245983229973	2.33056862028726	3.89759393735732
jgi|Copci_AmutBmut1|11671|	4.7904856488696	5.73202501912289	5.82839388613599	5.90436638116163	8.25304846109558	5.87121276029692	4.854142639884	9.99319273984548	8.21847555084929
jgi|Copci_AmutBmut1|116727|	2.34064377569795	3.3883897494579	3.99869172343722	3.70131317475929	4.73447000660342	3.00638576186413	3.26174494103589	3.71474597532557	2.6397462022596
jgi|Copci_AmutBmut1|116926|	2.75840742718542	3.13504120795869	2.65688471358762	2.49462124040563	2.37105729048553	2.46768799625397	1.34240247689852	3.29688953080072	2.1221822269698
jgi|Copci_AmutBmut1|117415|	1.52525861666926	3.29617050566005	4.82973603126518	3.73291526821222	5.96375787854421	3.09612354850884	5.16787151144296	4.35654876832923	1.30781625275209
jgi|Copci_AmutBmut1|118376|	3.55161704727689	3.82473102475807	4.5430694643004	4.17195433412198	4.02639401103858	4.57792919203702	4.80683948476364	2.79250844130702	2.27737003536064
jgi|Copci_AmutBmut1|118807|	5.31215967862212	2.83528127563595	2.29140142191361	2.78625218687231	2.14007927063708	0.790407903533153	1.27838706495817	2.48351535524566	1.69221327152185
jgi|Copci_AmutBmut1|118945|	2.82682264248358	2.66157734242603	2.02486574094563	2.09820550971345	3.6622648636136	3.03875060784665	2.57425668520561	4.29318760715243	2.86444107452813
jgi|Copci_AmutBmut1|119922|	6.07196150701403	6.47483278235091	4.17518079007769	4.3088259860899	7.88706251416978	7.33697910323668	6.50878128515474	5.69500333939046	7.40637346325276
jgi|Copci_AmutBmut1|120101|	5.098122637816	5.94739939615757	4.00917556756919	5.12924112525685	5.71328454683675	6.58236544690188	4.84566692824755	5.11354570872496	6.28983938732285
jgi|Copci_AmutBmut1|120497|	4.39330110273706	3.24358131219022	3.78173401305115	4.10151788262613	3.38878417900208	3.49790097804103	4.63743180034661	3.04540828509362	0.424691122793542
jgi|Copci_AmutBmut1|120659|	2.76951261736275	3.59698264442467	3.5315518312757	3.46967526997813	2.66499155138086	4.27612792442066	3.99847756877876	1.62594064813373	1.75846364827905
jgi|Copci_AmutBmut1|120762|	4.98379710939489	5.2237865270308	4.96036438391875	5.0392287875558	4.40582362866972	4.98190376121708	3.30259201507253	5.1505727517277	2.92948145593193
jgi|Copci_AmutBmut1|12095|	5.99165701408363	4.32471129854244	4.95406587036504	5.20095554593093	3.73264112910217	3.27931302764227	5.43807260799933	5.11694215492596	4.27475707951773
jgi|Copci_AmutBmut1|121686|	4.23101728261394	4.57495128341147	5.30722748476489	4.84526116417086	4.52798136846627	5.00158340089853	6.37342318838748	3.20226327250517	2.60352754922049
jgi|Copci_AmutBmut1|122298|	3.92993080340733	2.87002655099587	2.77337530236382	3.03729842050019	2.62121260337382	2.55382788785757	4.62892146156487	3.76361934026575	7.59567497255075
jgi|Copci_AmutBmut1|122307|	2.45428208637015	1.47287864371686	2.06761442707968	1.92072693084565	1.98835141690119	1.55071831816113	1.53748744863308	2.73275188543917	5.7846094336845
jgi|Copci_AmutBmut1|123181|	0.500768559184377	3.09485072640131	1.43078854208538	1.54482137414611	0.871961263927279	0.513956546313037	4.59294150170594	2.3908650179284	2.40155796252803
jgi|Copci_AmutBmut1|123183|	3.27885944591333	3.3754806906459	4.60050038750912	3.9568868406508	3.48178245717592	3.1952245130254	5.32079713371454	2.03856283056624	3.54569497184407
jgi|Copci_AmutBmut1|124161|	4.8875389094126	3.88346996656805	3.3957099429784	4.35986244550068	1.71851330802707	1.96509989788292	3.68604680514945	1.30875584374846	4.55451868373323
jgi|Copci_AmutBmut1|12424|	2.39285573212816	1.59854702425925	1.78119731203681	1.35436022755954	3.78931754394502	0.879280529421914	1.28274829354263	6.11443653619438	5.94960292818346
jgi|Copci_AmutBmut1|124287|	4.01716762136338	3.88081438690969	4.46129718613871	4.11123448228801	2.82895756987036	3.31997045243673	3.75533162263078	5.64074910553865	4.61271690473591
jgi|Copci_AmutBmut1|124402|	3.65199803558498	3.69908505386213	4.00933510668063	3.63538750597136	4.56556612564566	1.95976645357988	3.02694660252382	6.12403433684754	3.76007818113823
jgi|Copci_AmutBmut1|124633|	4.09101392809784	2.43974066212101	3.34106539520729	3.86925607273395	1.66674649651599	2.72248820980251	2.90117799186928	3.02767000785342	4.2616134823893
jgi|Copci_AmutBmut1|124967|	4.34895061794821	3.38152378486263	3.06119247614507	3.42057116430723	0.946893648583686	0.126157213595918	1.9836771737379	2.48554608572605	2.01183182479544
jgi|Copci_AmutBmut1|125515|	2.35558136636165	3.65135077093027	4.1008759346165	4.20567473565085	4.21502232294669	4.21578886189039	3.38202520016485	6.03042284322221	7.53435495547875
jgi|Copci_AmutBmut1|126201|	3.72080942578706	3.50510968994176	4.01892027430208	3.49700023426351	2.1270593631196	1.19677013280738	3.53889842776894	3.12858361088051	2.97601528431884
