GeneSymbol	SPOT	Profile	VM	HN	P1	P2	YFB-S	YFB-C	YFB-G	FB-S	FB-C
JGI|COPCI_AMUTBMUT1|416757|	ID_1665	36	0.00	-0.60	-0.71	-0.56	-1.66	-4.32	-0.17	-6.00	-1.86
JGI|COPCI_AMUTBMUT1|417204|	ID_1666	10	0.00	-0.61	-0.78	-0.62	-2.14	-2.85	-1.64	-1.66	-2.23
JGI|COPCI_AMUTBMUT1|417261|	ID_1667	39	0.00	-0.57	-0.46	-0.38	-0.33	1.54	-0.06	2.42	2.67
JGI|COPCI_AMUTBMUT1|417281|	ID_1668	40	0.00	2.69	0.78	0.92	-0.48	-0.95	-1.11	-1.48	-0.69
JGI|COPCI_AMUTBMUT1|417711|	ID_1670	39	0.00	1.96	2.39	1.86	3.06	4.22	3.45	3.29	3.93
JGI|COPCI_AMUTBMUT1|417881|	ID_1671	21	0.00	-0.30	-0.46	-0.30	-2.39	-1.70	-1.52	-1.01	-1.40
JGI|COPCI_AMUTBMUT1|417913|	ID_1672	31	0.00	0.39	0.89	0.53	0.41	-0.54	1.82	0.46	3.66
JGI|COPCI_AMUTBMUT1|417945|	ID_1673	29	0.00	0.73	0.82	1.53	0.97	2.64	0.49	-3.14	-1.05
JGI|COPCI_AMUTBMUT1|418009|	ID_1675	39	0.00	0.37	0.41	0.29	0.16	2.74	0.66	3.23	4.91
JGI|COPCI_AMUTBMUT1|418011|	ID_1676	39	0.00	-0.11	-0.26	-0.30	0.53	0.04	0.57	0.94	3.60
JGI|COPCI_AMUTBMUT1|418097|	ID_1677	39	0.00	-0.08	-0.14	0.20	1.39	1.94	0.44	6.37	5.41
JGI|COPCI_AMUTBMUT1|418146|	ID_1678	29	0.00	0.81	1.41	1.21	2.73	1.62	1.47	-2.41	-2.13
JGI|COPCI_AMUTBMUT1|418269|	ID_1679	20	0.00	-0.67	-1.08	-0.62	-2.92	-0.05	-0.34	-0.65	-1.28
JGI|COPCI_AMUTBMUT1|418355|	ID_1680	13	0.00	0.93	2.70	4.01	2.85	5.01	7.61	-0.20	4.19
JGI|COPCI_AMUTBMUT1|418402|	ID_1681	9	0.00	-0.97	-0.75	-0.38	-0.01	-1.55	0.61	-3.21	-2.12
JGI|COPCI_AMUTBMUT1|418419|	ID_1682	15	0.00	0.34	0.35	0.41	-2.25	-1.36	-0.56	-1.29	-0.70
JGI|COPCI_AMUTBMUT1|418471|	ID_1683	49	0.00	0.97	2.50	2.38	1.09	0.96	2.13	1.15	2.38
JGI|COPCI_AMUTBMUT1|418683|	ID_1684	8	0.00	-0.22	0.19	0.09	-0.69	1.57	-2.42	-1.32	-1.72
JGI|COPCI_AMUTBMUT1|418806|	ID_1685	29	0.00	0.02	0.55	0.29	2.25	2.58	1.92	0.39	-0.70
JGI|COPCI_AMUTBMUT1|419244|	ID_1687	29	0.00	0.11	0.29	0.35	0.23	0.19	1.24	-2.28	-2.75
JGI|COPCI_AMUTBMUT1|419323|	ID_1688	29	0.00	0.47	0.84	0.92	0.81	0.77	0.50	-0.36	-1.36
JGI|COPCI_AMUTBMUT1|419405|	ID_1689	29	0.00	0.35	0.56	0.46	1.70	1.73	1.50	0.39	-0.87
