Gene ID #2	Gene ID #1	Class	type
AADAC	ID173	1	 CTNNB1 class
ODZ2	ID174	1	 CTNNB1 class
SRD5A2	ID175	1	 CTNNB1 class
C10orf65	ID176	1	 CTNNB1 class
RPIB9	ID177	1	 CTNNB1 class
DNAJC12	ID178	1	 CTNNB1 class
HTR2B	ID179	1	 CTNNB1 class
VLDLR	ID180	1	 CTNNB1 class
shorlee	ID181	1	 CTNNB1 class
CYP2E1	ID182	1	 CTNNB1 class
RBP1	ID183	1	 CTNNB1 class
SLCO1B1	ID184	1	 CTNNB1 class
peyly	ID185	1	 CTNNB1 class
CYP8B1	ID186	1	 CTNNB1 class
UST	ID187	1	 CTNNB1 class
kloyla	ID188	1	 CTNNB1 class
werwey	ID189	1	 CTNNB1 class
C1orf53	ID190	1	 CTNNB1 class
ABCB11	ID191	1	 CTNNB1 class
BAMBI	ID192	1	 CTNNB1 class
HIST1H2AE	ID193	1	 CTNNB1 class
LOC284739	ID194	1	 CTNNB1 class
TMEM7	ID195	1	 CTNNB1 class
IRX3	ID196	1	 CTNNB1 class
CST1	ID197	1	 CTNNB1 class
ESRRG	ID198	1	 CTNNB1 class
HPD	ID199	1	 CTNNB1 class
FGF13	ID200	1	 CTNNB1 class
HAL	ID201	1	 CTNNB1 class
FURIN	ID202	1	 CTNNB1 class
C20orf59	ID203	1	 CTNNB1 class
GLDC	ID204	1	 CTNNB1 class
haso	ID205	1	 CTNNB1 class
NAV2	ID206	1	 CTNNB1 class
SLPI	ID207	1	 CTNNB1 class
43714	ID208	1	 CTNNB1 class
dufa.shed1	ID209	1	 CTNNB1 class
KIBRA.shed4	ID210	1	 CTNNB1 class
ATP2B2	ID211	1	 CTNNB1 class
MAP3K5	ID212	1	 CTNNB1 class
VNN1	ID213	1	 CTNNB1 class
MGLL	ID214	1	 CTNNB1 class
LOC388610	ID215	1	 CTNNB1 class
AMIGO2	ID216	1	 CTNNB1 class
C9orf150	ID217	1	 CTNNB1 class
TMEM45A	ID218	1	 CTNNB1 class
UGCG	ID219	1	 CTNNB1 class
teku	ID220	1	 CTNNB1 class
FLJ31978	ID221	1	 CTNNB1 class
NCALD	ID222	1	 CTNNB1 class
RDH12	ID223	1	 CTNNB1 class
LOC91461	ID224	1	 CTNNB1 class
C20orf74.shed1	ID225	1	 CTNNB1 class
C8orf47	ID226	1	 CTNNB1 class
CYFIP2	ID227	1	 CTNNB1 class
TIMP1	ID228	1	 CTNNB1 class
STAT4	ID229	1	 CTNNB1 class
LISCH7	ID230	1	 CTNNB1 class
MAL2	ID231	1	 CTNNB1 class
FLJ20647	ID232	1	 CTNNB1 class
MCC	ID233	1	 CTNNB1 class
FLJ39501	ID234	1	 CTNNB1 class
FGFR2	ID235	1	 CTNNB1 class
MYO1E	ID236	1	 CTNNB1 class
LGALS3	ID237	1	 CTNNB1 class
ACSL4	ID238	1	 CTNNB1 class
KCNT2	ID239	1	 CTNNB1 class
TNFSF13B	ID240	1	 CTNNB1 class
DCPS	ID241	1	 CTNNB1 class
TPST1	ID242	1	 CTNNB1 class
zawobo	ID243	1	 CTNNB1 class
SLC15A1	ID244	1	 CTNNB1 class
RAB27A	ID245	1	 CTNNB1 class
HPGD	ID246	1	 CTNNB1 class
ACP5	ID247	1	 CTNNB1 class
HABP2	ID248	1	 CTNNB1 class
SDSL	ID249	1	 CTNNB1 class
VNN2	ID250	1	 CTNNB1 class
CRP	ID251	1	 CTNNB1 class
BASP1	ID252	1	 CTNNB1 class
GLS2	ID253	1	 CTNNB1 class
SLC2A9	ID254	1	 CTNNB1 class
zustoby	ID255	1	 CTNNB1 class
INHBE	ID256	1	 CTNNB1 class
LUM	ID257	1	 CTNNB1 class
heri	ID258	1	 CTNNB1 class
RAFTLIN	ID259	1	 CTNNB1 class
PLTP	ID260	1	 CTNNB1 class
SLC7A2	ID261	1	 CTNNB1 class
CDA	ID262	1	 CTNNB1 class
ASRGL1	ID263	1	 CTNNB1 class
neejee	ID264	1	 CTNNB1 class
KCNT2.shed1	ID265	1	 CTNNB1 class
ETS2.shed2	ID266	1	 CTNNB1 class
PTGDS	ID267	1	 CTNNB1 class
mutura	ID268	1	 CTNNB1 class
URB	ID269	1	 CTNNB1 class
CDH1	ID270	1	 CTNNB1 class
barney	ID271	1	 CTNNB1 class
GCH1	ID272	1	 CTNNB1 class
CHST11	ID273	1	 CTNNB1 class
GDA	ID274	1	 CTNNB1 class
ARRDC4	ID275	1	 CTNNB1 class
COL5A1	ID276	1	 CTNNB1 class
HSD17B2	ID277	1	 CTNNB1 class
EFEMP1	ID278	1	 CTNNB1 class
PELI1.shed1	ID279	1	 CTNNB1 class
FOXA3	ID280	1	 CTNNB1 class
GLIS3	ID281	1	 CTNNB1 class
nerora	ID282	1	 CTNNB1 class
EPHA1	ID283	1	 CTNNB1 class
DUSP5	ID284	1	 CTNNB1 class
THBS2	ID285	1	 CTNNB1 class
IL7R	ID286	1	 CTNNB1 class
jeyjoybu	ID287	1	 CTNNB1 class
LGALS4	ID288	1	 CTNNB1 class
NMES1	ID289	1	 CTNNB1 class
AEBP1	ID290	1	 CTNNB1 class
CNGA1	ID291	1	 CTNNB1 class
SERPINB9.shed2	ID292	1	 CTNNB1 class
CXCL16	ID293	1	 CTNNB1 class
LOXL1	ID294	1	 CTNNB1 class
SOCS3	ID295	1	 CTNNB1 class
KIAA0746	ID296	1	 CTNNB1 class
SLC25A18	ID297	1	 CTNNB1 class
GEM	ID298	1	 CTNNB1 class
zarly	ID299	1	 CTNNB1 class
TBX15	ID300	1	 CTNNB1 class
CD2	ID301	1	 CTNNB1 class
CCL20	ID302	1	 CTNNB1 class
slarbly	ID303	1	 CTNNB1 class
smoyva	ID304	1	 CTNNB1 class
DSCR1L1	ID305	1	 CTNNB1 class
varger	ID306	1	 CTNNB1 class
CSDA	ID307	1	 CTNNB1 class
LOC145837	ID308	1	 CTNNB1 class
MOXD1	ID309	1	 CTNNB1 class
MYOM1	ID310	1	 CTNNB1 class
CKLFSF3	ID311	1	 CTNNB1 class
CP.shed1	ID312	1	 CTNNB1 class
CD52	ID313	1	 CTNNB1 class
COL1A2	ID314	1	 CTNNB1 class
MXRA5	ID315	1	 CTNNB1 class
CSPG2	ID316	1	 CTNNB1 class
PRG4	ID317	1	 CTNNB1 class
GATA6	ID318	1	 CTNNB1 class
KLRB1	ID319	1	 CTNNB1 class
BGN	ID320	1	 CTNNB1 class
PMP22	ID321	1	 CTNNB1 class
SERPINE2	ID322	1	 CTNNB1 class
PAG1	ID323	1	 CTNNB1 class
CD24	ID324	1	 CTNNB1 class
SERPINE1	ID325	1	 CTNNB1 class
sperla	ID326	1	 CTNNB1 class
CCL19	ID327	1	 CTNNB1 class
KCTD12	ID328	1	 CTNNB1 class
fleyswuby	ID329	1	 CTNNB1 class
CYBA	ID330	1	 CTNNB1 class
IGKVandIGKJ_	ID331	1	 CTNNB1 class
TIMP2	ID332	1	 CTNNB1 class
sparla	ID333	1	 CTNNB1 class
COL3A1	ID334	1	 CTNNB1 class
EGR2	ID335	1	 CTNNB1 class
PSCDBP	ID336	1	 CTNNB1 class
SLC12A2	ID337	1	 CTNNB1 class
ISLR	ID338	1	 CTNNB1 class
korori	ID339	1	 CTNNB1 class
EGR1	ID340	1	 CTNNB1 class
tumare	ID341	1	 CTNNB1 class
BACE2	ID342	1	 CTNNB1 class
RASGRP1	ID343	1	 CTNNB1 class
CTHRC1	ID344	1	 CTNNB1 class
CYP2B7P1	ID345	1	 CTNNB1 class
AIM2	ID346	1	 CTNNB1 class
noyboy	ID347	1	 CTNNB1 class
COL1A1	ID348	1	 CTNNB1 class
SERPINE1.shed3	ID349	1	 CTNNB1 class
PAPLN	ID350	1	 CTNNB1 class
SULF1	ID351	1	 CTNNB1 class
RGS1	ID352	1	 CTNNB1 class
MMD	ID353	1	 CTNNB1 class
bawgloy	ID354	1	 CTNNB1 class
CXCL12	ID355	1	 CTNNB1 class
EVI2A	ID356	1	 CTNNB1 class
ZNF83	ID357	1	 CTNNB1 class
SEMA6A	ID358	1	 CTNNB1 class
F3	ID359	1	 CTNNB1 class
SLC16A14	ID360	1	 CTNNB1 class
RAB27B.shed1	ID361	1	 CTNNB1 class
