Accession	Title	Platform	Contrib	DataProcessing	SampleFile	1:Source	1:Organism	1:molecule	1:label	1:TAG5	2:Source	2:Organism	2:molecule	2:label	2:TAG5
GSM5346	S25-M2	GPL257	contrib1		GSM5346-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5347	S25-P2	GPL257	contrib1		GSM5347-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5348	S26-M2	GPL257	contrib1		GSM5348-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5349	S26-P2	GPL257	contrib1		GSM5349-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5350	S26-M1	GPL257	contrib1		GSM5350-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5351	S26-P1	GPL257	contrib1		GSM5351-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5352	S27-M1	GPL257	contrib1		GSM5352-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5353	S27-P1	GPL257	contrib1		GSM5353-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5354	S27-M2	GPL257	contrib1		GSM5354-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5355	S27-P2	GPL257	contrib1		GSM5355-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5356	S28-M2	GPL257	contrib1		GSM5356-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5357	S28-P2	GPL257	contrib1		GSM5357-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5358	S28-M1	GPL257	contrib1		GSM5358-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5359	S28-P1	GPL257	contrib1		GSM5359-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5360	S29-M1	GPL257	contrib1		GSM5360-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5361	S29-P1	GPL257	contrib1		GSM5361-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5362	S29-M2	GPL257	contrib1		GSM5362-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5363	S29-P2	GPL257	contrib1		GSM5363-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5364	S30-M2	GPL257	contrib1		GSM5364-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5365	S30-P2	GPL257	contrib1		GSM5365-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5366	S30-M1	GPL257	contrib1		GSM5366-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5367	S30-P1	GPL257	contrib1		GSM5367-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5368	S32-M1	GPL257	contrib1		GSM5368-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5369	S32-P1	GPL257	contrib1		GSM5369-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5370	S33-M1	GPL257	contrib1		GSM5370-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5371	S33-P1	GPL257	contrib1		GSM5371-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5372	S34-M1	GPL257	contrib1		GSM5372-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5373	S34-P1	GPL257	contrib1		GSM5373-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5374	S41-T2	GPL257	contrib1		GSM5374-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
