sampleID,fpi,tissue,p,p.lab,TCGA
TCGA-B0-5100-01,0.376810723263814,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4991-01,0.165667933906707,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5400-01,-0.657959036321601,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4330-01,0.412332011812662,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4873-01,-0.22480074822095,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-AK-3443-01,-4.07023304083645,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4992-01,-0.649005682079271,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-3307-01,-0.368491948001899,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-3320-01,0.790757871310717,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CZ-5469-01,1.60498623803121,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4688-01,2.57217553257293,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B2-4101-01,-0.246453822616743,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-AK-3429-01,0.728102361889337,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-AK-3455-01,-0.717748948184626,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-AK-3433-01,-2.46369962751132,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-3306-01,-0.366982552662576,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4869-01,0.0456674237959121,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4983-01,1.69069689176997,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B4-5378-01,-1.11834119512402,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B2-5639-01,1.07858835180256,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-GK-A6C7-01,-0.612373974724312,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-3359-01,-0.266553361527135,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4878-01,1.66155231899726,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4701-01,0.632304330416427,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4691-01,-0.0820149657705935,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-5689-01,0.714241320824843,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-3363-01,-1.19997652258289,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4325-01,-0.0297669744662785,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CZ-5985-01,1.4209132753229,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-3316-01,0.922533623726553,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5081-01,0.059805315994425,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CW-5587-01,1.07629777589408,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-5686-01,0.790181441624176,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-5001-01,-0.252549501220872,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4968-01,0.170666843496804,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4838-01,-0.114161812177579,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B2-A4SR-01,0.698251673650609,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4903-01,-0.742031743082423,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-5189-01,0.395255718499844,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4881-01,1.39574287463124,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4807-01,2.25069852103705,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B8-A54G-01,-0.31728719954883,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-AK-3450-01,0.509441945658079,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4811-01,-0.480107595587629,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B8-5550-01,1.01001229615769,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-5194-01,0.508117101159108,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B8-A54K-01,-0.400543764708002,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4890-01,0.822365076075852,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4326-01,0.507422520842986,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4893-01,0.361727906563883,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-3329-01,-1.09171513122524,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-AK-3458-01,-1.36820117514219,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4882-01,0.140258775678972,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4833-01,0.216906629576225,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4973-01,-0.22080548004914,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-3326-01,0.275701056734934,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-AK-3445-01,1.51795770497986,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4636-01,0.327943080116655,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CW-5583-01,0.0388846915158958,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-5185-01,-0.466274597959417,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4897-01,0.852988281021422,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-5198-01,0.0854249540091244,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4962-01,-0.529299339115037,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4342-01,0.16713678300523,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CZ-5464-01,1.08146661019404,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4886-01,0.318875736370065,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-3346-01,0.328447324801773,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CZ-5460-01,0.58915270971015,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4816-01,1.17484109576114,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4994-01,0.0242094185351644,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4970-01,0.314926633879638,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4703-01,0.700710147270403,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CZ-4856-01,-0.453860788211975,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4165-01,1.04831961673145,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5084-01,-2.31026214143127,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4965-01,0.693874125372247,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4707-01,0.216920593970981,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-6031-01,1.33404877927904,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-3325-01,-0.804791069708718,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4974-01,-0.308109434986477,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-3308-01,0.903265648697846,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4349-01,0.210874983703875,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4827-01,1.78275282562517,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4969-01,0.29887074741179,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-DV-5568-01,1.77718895480691,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5707-01,0.386095944467674,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4993-01,-1.20701498855977,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5694-01,-0.0730625937794803,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-DV-5575-01,0.8697487749405,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4173-01,-0.00267569131504287,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B8-4154-01,0.10920424922727,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4797-01,0.8614013663548,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-AK-3461-01,0.234609161767766,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4693-01,-0.0620781926172894,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-6D-AA2E-01,-1.07102735721312,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-DV-5567-01,-0.672736317421893,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5080-01,1.68755420206556,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4787-01,0.858193628667032,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-DV-5576-01,-0.384937843194203,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-3313-01,0.57368538482496,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B8-4143-01,0.889345995846815,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-5684-01,-0.415282652443692,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-5671-01,2.3321756482283,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4844-01,-0.110798339120061,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4848-01,-2.22177517314433,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CZ-4863-01,0.060146228498499,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4798-01,0.410096684150532,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4888-01,1.14439095711285,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4818-01,-0.902443868565383,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4774-01,-0.756692153171121,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4163-01,0.43757234376814,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4920-01,1.67159528313401,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4821-01,0.648159697681751,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4765-01,-0.205141147520609,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-AK-3427-01,-2.605544667432,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4756-01,-0.859110245834099,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-3324-01,0.842923287962905,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5110-01,0.0561595403798243,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4986-01,0.698997554045941,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-3358-01,-0.194008153151158,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4347-01,-0.202191986070543,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CW-6090-01,0.915690677004677,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-A8OW-01,0.884534428358514,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4822-01,0.990835581933396,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4334-01,-0.943257806724478,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5696-01,0.386627095213425,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-3367-01,0.554530300589276,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4718-01,1.04974807040267,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5692-01,-1.02472951702161,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-AK-3460-01,0.698499669240425,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-5169-01,0.600042085847555,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-A8OX-01,0.39680909176926,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4160-01,-0.556312222466771,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CZ-5458-01,1.21779204975843,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-5004-01,-0.150000447848125,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-MM-A563-01,1.74003045075497,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-5177-01,-0.472985514892347,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B8-4621-01,-0.0557915781391239,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5077-01,0.14107357012942,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4845-01,-0.308926705399224,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5691-01,1.53441065687731,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4327-01,-0.323663894715456,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-G6-A5PC-01,1.10443604156222,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4999-01,-0.189871051424925,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4690-01,-0.692287423033873,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-AK-3440-01,-2.29295452805497,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-AK-3425-01,0.703638254225396,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4842-01,-1.29471876204641,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5107-01,0.212393331664275,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4988-01,-0.342929052655476,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4344-01,-1.22904510542471,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CZ-4866-01,-0.523662347032634,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-G6-A8L6-01,0.60299742464536,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4353-01,0.833523420417279,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B8-5551-01,1.68866823292758,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4174-01,1.53904846970883,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-AK-3426-01,1.29098730314441,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4795-01,0.361243839049353,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4346-01,-0.731228800632697,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5094-01,0.67799365790677,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-A6NJ-01,0.24662758879767,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-5010-01,0.300161683994904,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5116-01,0.113451256606134,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4161-01,0.479026202927162,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5098-01,-0.941207092951954,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4995-01,0.10630457296938,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B8-A54H-01,-0.629342370378918,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4908-01,0.469720005597434,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4158-01,0.559553280908931,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-5176-01,1.02538311018395,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4907-01,-0.217690707578798,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4912-01,0.188398530202248,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4699-01,0.193720351187288,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-3317-01,-0.541692179539577,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5119-01,-0.683152557165596,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4916-01,0.274703159392593,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4696-01,-0.552630648812632,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-EU-5906-01,0.694656393977518,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CW-5580-01,-1.02550726545047,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5690-01,0.456887694348953,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CW-5584-01,-0.943464278752944,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-3376-01,0.676866790276573,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CZ-5986-01,-1.41781437503848,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-AK-3454-01,-0.581555567967431,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5121-01,-0.090242835578715,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CZ-4857-01,0.881566491847544,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-3352-01,-0.415591191169906,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B8-5159-01,-0.0487633767455902,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B4-5843-01,0.00870942013149749,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B8-A7U6-01,-1.03672283182883,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5402-01,0.830452062186425,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-DV-A4VZ-01,0.790434173448776,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B8-5553-01,1.39340483380741,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-3Z-A93Z-01,-0.226145882845481,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4872-01,-0.0713481518120096,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4876-01,-1.52684173958665,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B4-5844-01,-0.16224776813795,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4644-01,-1.71747450966882,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-AK-3436-01,-1.1704228477506,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4971-01,0.654545169701378,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-A8CQ-01,0.0861654171343756,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4770-01,0.195882205536934,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4803-01,0.0288879765269819,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4961-01,0.754593103579934,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5102-01,1.73636393361468,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4885-01,1.0743807799041,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4712-01,0.705051639751615,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4868-01,1.03724987607305,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B8-5549-01,-0.00185507463097414,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4815-01,0.490480525208719,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4698-01,-0.67255621058594,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5096-01,-0.910167199581449,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-AK-3465-01,-2.21393488589957,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4700-01,1.06421669599394,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5092-01,0.445617567133769,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CZ-4859-01,0.214202070029156,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-EU-5907-01,-1.30366657399243,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4640-01,0.40149607247647,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4839-01,1.31181792955397,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-6033-01,-0.370545335274253,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CZ-5468-01,-0.644115919417684,Tumor,4.72424117037281e-22,4.7e-22,KIRC
