SampleID,batch1,batch2
P88,pro-B,Replicate 1
P89,pro-B,Replicate 1
P90,pro-B,Replicate 1
P91,pro-B,Replicate 1
P92,pro-B,Replicate 1
P93,pro-B,Replicate 1
P94,pro-B,Replicate 1
P95,pro-B,Replicate 1
P96,pro-B,Replicate 1
P97,pro-B,Replicate 1
P98,pro-B,Replicate 1
P99,pro-B,Replicate 1
P100,pro-B,Replicate 1
P101,pro-B,Replicate 1
P102,pro-B,Replicate 1
P103,pro-B,Replicate 1
P104,pro-B,Replicate 1
P105,pro-B,Replicate 1
P106,pro-B,Replicate 1
P107,pro-B,Replicate 1
P108,pro-B,Replicate 1
P109,pro-B,Replicate 1
P110,pro-B,Replicate 1
P111,pro-B,Replicate 1
P112,pro-B,Replicate 1
P113,pro-B,Replicate 1
P114,pro-B,Replicate 1
P115,pro-B,Replicate 1
P116,pro-B,Replicate 1
P117,pro-B,Replicate 1
P118,pro-B,Replicate 1
P119,pro-B,Replicate 1
P120,pro-B,Replicate 1
P121,pro-B,Replicate 1
P122,pro-B,Replicate 1
P123,pro-B,Replicate 1
P124,pro-B,Replicate 1
P125,pro-B,Replicate 1
P126,pro-B,Replicate 1
P127,pro-B,Replicate 1
P128,pro-B,Replicate 1
P129,pro-B,Replicate 1
P130,pro-B,Replicate 1
P131,pro-B,Replicate 1
P132,pro-B,Replicate 1
P133,pro-B,Replicate 1
P134,pro-B,Replicate 1
P135,pro-B,Replicate 1
P136,pro-B,Replicate 1
P137,pro-B,Replicate 1
P138,pro-B,Replicate 1
P139,pro-B,Replicate 1
P140,pro-B,Replicate 1
P141,pro-B,Replicate 1
P142,pro-B,Replicate 1
P143,pro-B,Replicate 1
P144,pro-B,Replicate 1
P145,pro-B,Replicate 1
P146,pro-B,Replicate 1
P147,pro-B,Replicate 1
P148,pro-B,Replicate 1
P149,pro-B,Replicate 1
P150,pro-B,Replicate 1
P151,pro-B,Replicate 1
P152,pro-B,Replicate 1
P153,pro-B,Replicate 1
P154,pro-B,Replicate 1
P155,pro-B,Replicate 1
P156,pro-B,Replicate 1
P157,pro-B,Replicate 1
P158,pro-B,Replicate 1
P159,pro-B,Replicate 1
P160,pro-B,Replicate 1
P161,pro-B,Replicate 1
P162,pro-B,Replicate 1
P163,pro-B,Replicate 1
P164,pro-B,Replicate 1
P165,pro-B,Replicate 1
P166,pro-B,Replicate 1
P167,pro-B,Replicate 1
P168,pro-B,Replicate 1
P169,pro-B,Replicate 1
P170,pro-B,Replicate 1
P171,pro-B,Replicate 1
P172,pro-B,Replicate 1
P173,pro-B,Replicate 1
P174,pro-B,Replicate 1
P175,pro-B,Replicate 1
P176,pro-B,Replicate 1
P177,pro-B,Replicate 1
P178,pro-B,Replicate 1
P179,pro-B,Replicate 1
P180,pro-B,Replicate 1
P181,pro-B,Replicate 1
P182,pro-B,Replicate 1
P183,pro-B,Replicate 1
P184,pro-B,Replicate 1
P185,pro-B,Replicate 1
P186,pro-B,Replicate 1
P187,pro-B,Replicate 1
P188,pro-B,Replicate 1
P189,pro-B,Replicate 1
P190,pro-B,Replicate 1
P191,pro-B,Replicate 1
P192,pro-B,Replicate 1
P193,pro-B,Replicate 1
P194,pro-B,Replicate 1
P195,pro-B,Replicate 1
P196,pro-B,Replicate 1
P197,pro-B,Replicate 1
P198,pro-B,Replicate 1
P199,pro-B,Replicate 1
P200,pro-B,Replicate 1
P201,pro-B,Replicate 1
P202,pro-B,Replicate 1
P203,pro-B,Replicate 1
P204,pro-B,Replicate 1
P205,pro-B,Replicate 1
P206,pro-B,Replicate 1
P207,pro-B,Replicate 1
P208,pro-B,Replicate 1
P209,pro-B,Replicate 1
P210,pro-B,Replicate 1
P211,pro-B,Replicate 1
P212,pro-B,Replicate 1
P213,pro-B,Replicate 1
P214,pro-B,Replicate 1
P215,pro-B,Replicate 1
P216,pro-B,Replicate 1
P217,pro-B,Replicate 1
P218,pro-B,Replicate 1
P219,pro-B,Replicate 1
P220,pro-B,Replicate 1
P221,pro-B,Replicate 1
P222,pro-B,Replicate 1
P223,pro-B,Replicate 1
P224,pro-B,Replicate 1
P225,pro-B,Replicate 1
P226,pro-B,Replicate 1
P227,pro-B,Replicate 1
P228,pro-B,Replicate 1
P229,pro-B,Replicate 1
P230,pro-B,Replicate 1
P231,pro-B,Replicate 1
P232,pro-B,Replicate 1
P233,pro-B,Replicate 1
P234,pro-B,Replicate 1
P235,pro-B,Replicate 1
P236,pro-B,Replicate 1
P237,pro-B,Replicate 1
P238,pro-B,Replicate 1
P239,pro-B,Replicate 1
P240,pro-B,Replicate 1
P241,pro-B,Replicate 1
P242,pro-B,Replicate 1
P243,pro-B,Replicate 1
P244,pro-B,Replicate 1
P245,pro-B,Replicate 1
P246,pro-B,Replicate 1
P247,pro-B,Replicate 1
P248,pro-B,Replicate 1
P249,pro-B,Replicate 1
P250,pro-B,Replicate 1
P251,pro-B,Replicate 1
P252,pro-B,Replicate 1
P253,pro-B,Replicate 1
P254,pro-B,Replicate 1
P255,pro-B,Replicate 1
P256,pro-B,Replicate 1
P257,pro-B,Replicate 1
P258,pro-B,Replicate 1
P259,pro-B,Replicate 1
P260,pro-B,Replicate 1
P261,pro-B,Replicate 1
P262,pro-B,Replicate 1
P263,pro-B,Replicate 1
P264,pro-B,Replicate 1
P265,pro-B,Replicate 1
P266,pro-B,Replicate 1
P267,pro-B,Replicate 1
P268,pro-B,Replicate 1
P269,pro-B,Replicate 1
P270,pro-B,Replicate 1
P271,pro-B,Replicate 1
P272,pro-B,Replicate 1
P273,pro-B,Replicate 1
P274,pro-B,Replicate 1
P275,pro-B,Replicate 1
P276,pro-B,Replicate 1
P277,pro-B,Replicate 1
P278,pro-B,Replicate 1
P279,pro-B,Replicate 1
P280,pro-B,Replicate 1
P281,pro-B,Replicate 1
P282,pro-B,Replicate 1
P283,pro-B,Replicate 1
P284,pro-B,Replicate 1
P285,pro-B,Replicate 1
P286,pro-B,Replicate 1
P287,pro-B,Replicate 1
P288,pro-B,Replicate 1
P289,pro-B,Replicate 1
P290,pro-B,Replicate 1
P291,pro-B,Replicate 1
P292,pro-B,Replicate 1
P293,pro-B,Replicate 1
P294,pro-B,Replicate 1
P295,pro-B,Replicate 1
P296,pro-B,Replicate 1
P297,pro-B,Replicate 1
P298,pro-B,Replicate 1
P299,pro-B,Replicate 1
P300,pro-B,Replicate 1
P301,pro-B,Replicate 1
P302,pro-B,Replicate 1
P303,pro-B,Replicate 1
P304,pro-B,Replicate 1
P305,pro-B,Replicate 1
P306,pro-B,Replicate 1
P307,pro-B,Replicate 1
P308,pro-B,Replicate 1
P309,pro-B,Replicate 1
P310,pro-B,Replicate 1
P311,pro-B,Replicate 1
P312,pro-B,Replicate 1
P313,pro-B,Replicate 1
P314,pro-B,Replicate 1
P315,pro-B,Replicate 1
P316,pro-B,Replicate 1
P317,pro-B,Replicate 1
P318,pro-B,Replicate 1
P319,pro-B,Replicate 1
P320,pro-B,Replicate 1
P321,pro-B,Replicate 1
P322,pro-B,Replicate 1
P323,pro-B,Replicate 1
P324,pro-B,Replicate 1
P325,pro-B,Replicate 1
P326,pro-B,Replicate 1
P327,pro-B,Replicate 1
P328,pro-B,Replicate 1
P329,pro-B,Replicate 1
P330,pro-B,Replicate 1
P331,pro-B,Replicate 1
P332,pro-B,Replicate 1
P333,pro-B,Replicate 1
P334,pro-B,Replicate 1
P335,pro-B,Replicate 1
P336,pro-B,Replicate 1
P337,pro-B,Replicate 1
P338,pro-B,Replicate 1
P339,pro-B,Replicate 1
P340,pro-B,Replicate 1
P341,pro-B,Replicate 1
P342,pro-B,Replicate 1
P343,pro-B,Replicate 1
P344,pro-B,Replicate 1
P345,pro-B,Replicate 1
P346,pro-B,Replicate 1
P347,pro-B,Replicate 1
P348,pro-B,Replicate 1
P349,pro-B,Replicate 1
P350,0hrs,Replicate 1
P351,0hrs,Replicate 1
P352,0hrs,Replicate 1
P353,0hrs,Replicate 1
P354,0hrs,Replicate 1
P355,0hrs,Replicate 1
P356,0hrs,Replicate 1
P357,0hrs,Replicate 1
P358,0hrs,Replicate 1
P359,0hrs,Replicate 1
P360,0hrs,Replicate 1
P361,0hrs,Replicate 1
P362,0hrs,Replicate 1
P363,0hrs,Replicate 1
P364,0hrs,Replicate 1
P365,0hrs,Replicate 1
P366,0hrs,Replicate 1
P367,0hrs,Replicate 1
P368,0hrs,Replicate 1
P369,0hrs,Replicate 1
P370,0hrs,Replicate 1
P371,0hrs,Replicate 1
P372,0hrs,Replicate 1
P373,0hrs,Replicate 1
P374,0hrs,Replicate 1
P375,0hrs,Replicate 1
P376,0hrs,Replicate 1
P377,0hrs,Replicate 1
P378,0hrs,Replicate 1
P379,0hrs,Replicate 1
P380,0hrs,Replicate 1
P381,0hrs,Replicate 1
P382,0hrs,Replicate 1
P383,0hrs,Replicate 1
P384,0hrs,Replicate 1
P385,0hrs,Replicate 1
P386,0hrs,Replicate 1
P387,0hrs,Replicate 1
P388,0hrs,Replicate 1
P389,0hrs,Replicate 1
P390,0hrs,Replicate 1
P391,0hrs,Replicate 1
P392,0hrs,Replicate 1
P393,0hrs,Replicate 1
P394,0hrs,Replicate 1
P395,0hrs,Replicate 1
P396,0hrs,Replicate 1
P397,0hrs,Replicate 1
P398,0hrs,Replicate 1
P399,0hrs,Replicate 1
P400,0hrs,Replicate 1
P401,0hrs,Replicate 1
P402,0hrs,Replicate 1
P403,0hrs,Replicate 1
P404,0hrs,Replicate 1
P405,0hrs,Replicate 1
P406,0hrs,Replicate 1
P407,0hrs,Replicate 1
P408,0hrs,Replicate 1
P409,0hrs,Replicate 1
P410,0hrs,Replicate 1
P411,0hrs,Replicate 1
P412,0hrs,Replicate 1
P413,0hrs,Replicate 1
P414,0hrs,Replicate 1
P415,0hrs,Replicate 1
P416,0hrs,Replicate 1
P417,0hrs,Replicate 1
P418,0hrs,Replicate 1
P419,0hrs,Replicate 1
P420,0hrs,Replicate 1
P421,0hrs,Replicate 1
P422,0hrs,Replicate 1
P423,0hrs,Replicate 1
P424,0hrs,Replicate 1
P425,0hrs,Replicate 1
P426,0hrs,Replicate 1
P427,0hrs,Replicate 1
P428,0hrs,Replicate 1
P429,0hrs,Replicate 1
P430,0hrs,Replicate 1
P431,0hrs,Replicate 1
P432,0hrs,Replicate 1
P433,0hrs,Replicate 1
P434,0hrs,Replicate 1
P435,0hrs,Replicate 1
P436,0hrs,Replicate 1
P437,0hrs,Replicate 1
P438,0hrs,Replicate 1
P439,0hrs,Replicate 1
P440,0hrs,Replicate 1
P441,0hrs,Replicate 1
P442,0hrs,Replicate 1
P443,0hrs,Replicate 1
P444,0hrs,Replicate 1
P445,0hrs,Replicate 1
P446,0hrs,Replicate 1
P447,0hrs,Replicate 1
P448,0hrs,Replicate 1
P449,0hrs,Replicate 1
P450,0hrs,Replicate 1
P451,0hrs,Replicate 1
P452,0hrs,Replicate 1
P453,0hrs,Replicate 1
P454,0hrs,Replicate 1
P455,0hrs,Replicate 1
P456,0hrs,Replicate 1
P457,0hrs,Replicate 1
P458,0hrs,Replicate 1
P459,0hrs,Replicate 1
P460,0hrs,Replicate 1
P461,0hrs,Replicate 1
P462,0hrs,Replicate 1
P463,0hrs,Replicate 1
P464,0hrs,Replicate 1
P465,0hrs,Replicate 1
P466,0hrs,Replicate 1
P467,0hrs,Replicate 1
P468,0hrs,Replicate 1
P469,0hrs,Replicate 1
P470,0hrs,Replicate 1
P471,0hrs,Replicate 1
P472,0hrs,Replicate 1
P473,0hrs,Replicate 1
P474,0hrs,Replicate 1
P475,0hrs,Replicate 1
P476,0hrs,Replicate 1
P477,0hrs,Replicate 1
P478,0hrs,Replicate 1
P479,0hrs,Replicate 1
P480,0hrs,Replicate 1
P481,0hrs,Replicate 1
P482,0hrs,Replicate 1
P483,0hrs,Replicate 1
P484,0hrs,Replicate 1
P485,0hrs,Replicate 1
P486,0hrs,Replicate 1
P487,0hrs,Replicate 1
P488,0hrs,Replicate 1
P489,0hrs,Replicate 1
P490,0hrs,Replicate 1
P491,0hrs,Replicate 1
P492,0hrs,Replicate 1
P493,0hrs,Replicate 1
P494,0hrs,Replicate 1
P495,0hrs,Replicate 1
P496,0hrs,Replicate 1
P497,0hrs,Replicate 1
P498,0hrs,Replicate 1
P499,0hrs,Replicate 1
P500,0hrs,Replicate 1
P501,0hrs,Replicate 1
P502,0hrs,Replicate 1
P503,0hrs,Replicate 1
P504,0hrs,Replicate 1
P505,0hrs,Replicate 1
P506,0hrs,Replicate 1
P507,0hrs,Replicate 1
P508,0hrs,Replicate 1
P509,0hrs,Replicate 1
P510,0hrs,Replicate 1
P511,0hrs,Replicate 1
P512,0hrs,Replicate 1
P513,0hrs,Replicate 1
P514,0hrs,Replicate 1
P515,0hrs,Replicate 1
P516,0hrs,Replicate 1
P517,0hrs,Replicate 1
P518,0hrs,Replicate 1
P519,0hrs,Replicate 1
P520,0hrs,Replicate 1
P521,0hrs,Replicate 1
P522,0hrs,Replicate 1
P523,0hrs,Replicate 1
P524,0hrs,Replicate 1
P525,0hrs,Replicate 1
P526,0hrs,Replicate 1
P527,0hrs,Replicate 1
P528,0hrs,Replicate 1
P529,0hrs,Replicate 1
P530,0hrs,Replicate 1
P531,0hrs,Replicate 1
P532,0hrs,Replicate 1
P533,0hrs,Replicate 1
P534,0hrs,Replicate 1
P535,0hrs,Replicate 1
P536,0hrs,Replicate 1
P537,0hrs,Replicate 1
P538,0hrs,Replicate 1
P539,0hrs,Replicate 1
P540,0hrs,Replicate 1
P541,0hrs,Replicate 1
P542,0hrs,Replicate 1
P543,0hrs,Replicate 1
P544,0hrs,Replicate 1
P545,0hrs,Replicate 1
P546,0hrs,Replicate 1
P547,0hrs,Replicate 1
P548,0hrs,Replicate 1
P549,0hrs,Replicate 1
P550,0hrs,Replicate 1
P551,0hrs,Replicate 1
P552,0hrs,Replicate 1
P553,0hrs,Replicate 1
P554,0hrs,Replicate 1
P555,0hrs,Replicate 1
P556,0hrs,Replicate 1
P557,0hrs,Replicate 1
P558,0hrs,Replicate 1
P559,0hrs,Replicate 1
P560,0hrs,Replicate 1
P561,0hrs,Replicate 1
P562,0hrs,Replicate 1
P563,0hrs,Replicate 1
P564,0hrs,Replicate 1
P565,0hrs,Replicate 1
P566,0hrs,Replicate 1
P567,0hrs,Replicate 1
P568,0hrs,Replicate 1
P569,0hrs,Replicate 1
P570,0hrs,Replicate 1
P571,0hrs,Replicate 1
P572,0hrs,Replicate 1
P573,0hrs,Replicate 1
P574,0hrs,Replicate 1
P575,0hrs,Replicate 1
P576,0hrs,Replicate 1
P577,0hrs,Replicate 1
P578,0hrs,Replicate 1
P579,0hrs,Replicate 1
P580,0hrs,Replicate 1
P581,0hrs,Replicate 1
P582,0hrs,Replicate 1
P583,0hrs,Replicate 1
P584,0hrs,Replicate 1
P585,0hrs,Replicate 1
P586,0hrs,Replicate 1
P587,0hrs,Replicate 1
P588,0hrs,Replicate 1
P589,0hrs,Replicate 1
P590,0hrs,Replicate 1
P591,24hrs,Replicate 1
P592,24hrs,Replicate 1
P593,24hrs,Replicate 1
P594,24hrs,Replicate 1
P595,24hrs,Replicate 1
P596,24hrs,Replicate 1
P597,24hrs,Replicate 1
P598,24hrs,Replicate 1
P599,24hrs,Replicate 1
P600,24hrs,Replicate 1
P601,24hrs,Replicate 1
P602,24hrs,Replicate 1
P603,24hrs,Replicate 1
P604,24hrs,Replicate 1
P605,24hrs,Replicate 1
P606,24hrs,Replicate 1
P607,24hrs,Replicate 1
P608,24hrs,Replicate 1
P609,24hrs,Replicate 1
P610,24hrs,Replicate 1
P611,24hrs,Replicate 1
P612,24hrs,Replicate 1
P613,24hrs,Replicate 1
P614,24hrs,Replicate 1
P615,24hrs,Replicate 1
P616,24hrs,Replicate 1
P617,24hrs,Replicate 1
P618,24hrs,Replicate 1
P619,24hrs,Replicate 1
P620,24hrs,Replicate 1
P621,24hrs,Replicate 1
P622,24hrs,Replicate 1
P623,24hrs,Replicate 1
P624,24hrs,Replicate 1
P625,24hrs,Replicate 1
P626,24hrs,Replicate 1
P627,24hrs,Replicate 1
P628,24hrs,Replicate 1
P629,24hrs,Replicate 1
P630,24hrs,Replicate 1
P631,24hrs,Replicate 1
P632,24hrs,Replicate 1
P633,24hrs,Replicate 1
P634,24hrs,Replicate 1
P635,24hrs,Replicate 1
P636,24hrs,Replicate 1
P637,24hrs,Replicate 1
P638,24hrs,Replicate 1
P639,24hrs,Replicate 1
P640,24hrs,Replicate 1
P641,24hrs,Replicate 1
P642,24hrs,Replicate 1
P643,24hrs,Replicate 1
P644,24hrs,Replicate 1
P645,24hrs,Replicate 1
P646,24hrs,Replicate 1
P647,24hrs,Replicate 1
P648,24hrs,Replicate 1
P649,24hrs,Replicate 1
P650,24hrs,Replicate 1
P651,24hrs,Replicate 1
P652,24hrs,Replicate 1
P653,24hrs,Replicate 1
P654,24hrs,Replicate 1
P655,24hrs,Replicate 1
P656,24hrs,Replicate 1
P657,24hrs,Replicate 1
P658,24hrs,Replicate 1
P659,24hrs,Replicate 1
P660,24hrs,Replicate 1
P661,24hrs,Replicate 1
P662,24hrs,Replicate 1
P663,24hrs,Replicate 1
P664,24hrs,Replicate 1
P665,24hrs,Replicate 1
P666,24hrs,Replicate 1
P667,24hrs,Replicate 1
P668,24hrs,Replicate 1
P669,24hrs,Replicate 1
P670,24hrs,Replicate 1
P671,24hrs,Replicate 1
P672,24hrs,Replicate 1
P673,24hrs,Replicate 1
P674,24hrs,Replicate 1
P675,24hrs,Replicate 1
P676,24hrs,Replicate 1
P677,24hrs,Replicate 1
P678,24hrs,Replicate 1
P679,24hrs,Replicate 1
P680,24hrs,Replicate 1
P681,24hrs,Replicate 1
P682,24hrs,Replicate 1
P683,24hrs,Replicate 1
P684,24hrs,Replicate 1
P685,24hrs,Replicate 1
P686,24hrs,Replicate 1
P687,24hrs,Replicate 1
P688,24hrs,Replicate 1
P689,24hrs,Replicate 1
P690,24hrs,Replicate 1
P691,24hrs,Replicate 1
P692,24hrs,Replicate 1
P693,24hrs,Replicate 1
P694,24hrs,Replicate 1
P695,24hrs,Replicate 1
P696,24hrs,Replicate 1
P697,24hrs,Replicate 1
P698,24hrs,Replicate 1
P699,24hrs,Replicate 1
P700,24hrs,Replicate 1
P701,24hrs,Replicate 1
P702,24hrs,Replicate 1
P703,24hrs,Replicate 1
P704,24hrs,Replicate 1
P705,24hrs,Replicate 1
P706,24hrs,Replicate 1
P707,24hrs,Replicate 1
P708,24hrs,Replicate 1
P709,24hrs,Replicate 1
P710,24hrs,Replicate 1
P711,24hrs,Replicate 1
P712,24hrs,Replicate 1
P713,24hrs,Replicate 1
P714,24hrs,Replicate 2
P715,24hrs,Replicate 2
P716,24hrs,Replicate 2
P717,24hrs,Replicate 2
P718,24hrs,Replicate 2
P719,24hrs,Replicate 2
P720,24hrs,Replicate 2
P721,24hrs,Replicate 2
P722,24hrs,Replicate 2
P723,24hrs,Replicate 2
P724,24hrs,Replicate 2
P725,24hrs,Replicate 2
P726,24hrs,Replicate 2
P727,24hrs,Replicate 2
P728,24hrs,Replicate 2
P729,24hrs,Replicate 2
P730,24hrs,Replicate 2
P731,24hrs,Replicate 2
P732,24hrs,Replicate 2
P733,24hrs,Replicate 2
P734,24hrs,Replicate 2
P735,24hrs,Replicate 2
P736,24hrs,Replicate 2
P737,24hrs,Replicate 2
P738,24hrs,Replicate 2
P739,24hrs,Replicate 2
P740,24hrs,Replicate 2
P741,24hrs,Replicate 2
P742,24hrs,Replicate 2
P743,24hrs,Replicate 2
P744,24hrs,Replicate 2
P745,24hrs,Replicate 2
P746,24hrs,Replicate 2
P747,24hrs,Replicate 2
P748,24hrs,Replicate 2
P749,24hrs,Replicate 2
P750,24hrs,Replicate 2
P751,24hrs,Replicate 2
P752,24hrs,Replicate 2
P753,24hrs,Replicate 2
P754,24hrs,Replicate 2
P755,24hrs,Replicate 2
P756,24hrs,Replicate 2
P757,24hrs,Replicate 2
P758,24hrs,Replicate 2
P759,24hrs,Replicate 2
P760,24hrs,Replicate 2
P761,24hrs,Replicate 2
P762,24hrs,Replicate 2
P763,24hrs,Replicate 2
P764,24hrs,Replicate 2
P765,24hrs,Replicate 2
P766,24hrs,Replicate 2
P767,24hrs,Replicate 2
P768,24hrs,Replicate 2
P769,24hrs,Replicate 2
P770,24hrs,Replicate 2
P771,24hrs,Replicate 2
P772,24hrs,Replicate 2
P773,24hrs,Replicate 2
P774,24hrs,Replicate 2
P775,24hrs,Replicate 2
P776,24hrs,Replicate 2
P777,24hrs,Replicate 2
P778,24hrs,Replicate 2
P779,24hrs,Replicate 2
P780,24hrs,Replicate 2
P781,24hrs,Replicate 2
P782,24hrs,Replicate 2
P783,24hrs,Replicate 2
P784,24hrs,Replicate 2
P785,24hrs,Replicate 2
P786,24hrs,Replicate 2
P787,24hrs,Replicate 2
P788,24hrs,Replicate 2
P789,24hrs,Replicate 2
P790,24hrs,Replicate 2
P791,24hrs,Replicate 2
P792,24hrs,Replicate 2
P793,24hrs,Replicate 2
P794,24hrs,Replicate 2
P795,24hrs,Replicate 2
P796,24hrs,Replicate 2
P797,24hrs,Replicate 2
P798,24hrs,Replicate 2
P799,24hrs,Replicate 2
P800,24hrs,Replicate 2
P801,24hrs,Replicate 2
P802,24hrs,Replicate 2
P803,24hrs,Replicate 2
P804,24hrs,Replicate 2
P805,24hrs,Replicate 2
P806,24hrs,Replicate 2
P807,24hrs,Replicate 2
P808,24hrs,Replicate 2
P809,24hrs,Replicate 2
P810,24hrs,Replicate 2
P811,24hrs,Replicate 2
P812,24hrs,Replicate 2
P813,24hrs,Replicate 2
P814,24hrs,Replicate 2
P815,24hrs,Replicate 2
P816,24hrs,Replicate 2
P817,24hrs,Replicate 2
P818,24hrs,Replicate 2
P819,24hrs,Replicate 2
P820,24hrs,Replicate 2
P821,24hrs,Replicate 2
P822,24hrs,Replicate 2
P823,24hrs,Replicate 2
P824,24hrs,Replicate 2
P825,24hrs,Replicate 2
P826,24hrs,Replicate 2
P827,24hrs,Replicate 2
P828,24hrs,Replicate 2
P829,24hrs,Replicate 2
P830,24hrs,Replicate 2
P831,24hrs,Replicate 2
P832,24hrs,Replicate 2
P833,24hrs,Replicate 2
P834,24hrs,Replicate 2
P835,24hrs,Replicate 2
P836,24hrs,Replicate 2
P837,24hrs,Replicate 2
P838,24hrs,Replicate 2
P839,24hrs,Replicate 2
P840,24hrs,Replicate 2
P841,24hrs,Replicate 2
P842,24hrs,Replicate 2
P843,24hrs,Replicate 2
P844,24hrs,Replicate 2
P845,24hrs,Replicate 2
P846,24hrs,Replicate 2
P847,24hrs,Replicate 2
P848,24hrs,Replicate 2
P849,24hrs,Replicate 2
P850,24hrs,Replicate 2
P851,24hrs,Replicate 2
P852,24hrs,Replicate 2
P853,24hrs,Replicate 2
P854,24hrs,Replicate 2
P855,24hrs,Replicate 2
P856,24hrs,Replicate 2
P857,24hrs,Replicate 2
P858,24hrs,Replicate 2
P859,24hrs,Replicate 2
P860,24hrs,Replicate 2
P861,24hrs,Replicate 2
P862,24hrs,Replicate 2
P863,24hrs,Replicate 2
P864,24hrs,Replicate 2
P865,24hrs,Replicate 2
P866,24hrs,Replicate 2
P867,24hrs,Replicate 2
P868,24hrs,Replicate 2
P869,24hrs,Replicate 2
P870,24hrs,Replicate 2
P871,24hrs,Replicate 2
P872,24hrs,Replicate 2
P873,24hrs,Replicate 2
P874,24hrs,Replicate 2
P875,24hrs,Replicate 2
P876,24hrs,Replicate 2
P877,24hrs,Replicate 2
P878,24hrs,Replicate 2
P879,24hrs,Replicate 2
P880,24hrs,Replicate 2
P881,24hrs,Replicate 2
P882,24hrs,Replicate 2
P883,24hrs,Replicate 2
P884,24hrs,Replicate 2
P885,24hrs,Replicate 2
P886,24hrs,Replicate 2
P887,24hrs,Replicate 2
P888,24hrs,Replicate 2
P889,24hrs,Replicate 2
P890,24hrs,Replicate 2
P891,24hrs,Replicate 2
P892,24hrs,Replicate 2
P893,24hrs,Replicate 2
P894,24hrs,Replicate 2
P895,24hrs,Replicate 2
P896,24hrs,Replicate 2
P897,24hrs,Replicate 2
P898,24hrs,Replicate 2
P899,24hrs,Replicate 2
P900,24hrs,Replicate 2
P901,24hrs,Replicate 2
P902,24hrs,Replicate 2
P903,24hrs,Replicate 2
P904,24hrs,Replicate 2
P905,24hrs,Replicate 2
P906,24hrs,Replicate 2
P907,24hrs,Replicate 2
P908,24hrs,Replicate 2
P909,24hrs,Replicate 2
P910,24hrs,Replicate 2
P911,24hrs,Replicate 2
P912,24hrs,Replicate 2
P913,24hrs,Replicate 2
P914,24hrs,Replicate 2
P915,24hrs,Replicate 2
P916,24hrs,Replicate 2
P917,24hrs,Replicate 2
P918,24hrs,Replicate 2
P919,24hrs,Replicate 2
P920,24hrs,Replicate 2
P921,24hrs,Replicate 2
P922,24hrs,Replicate 2
P923,24hrs,Replicate 2
P924,24hrs,Replicate 2
P925,24hrs,Replicate 2
P926,24hrs,Replicate 2
P927,24hrs,Replicate 2
P928,24hrs,Replicate 2
P929,24hrs,Replicate 2
P930,24hrs,Replicate 2
P931,24hrs,Replicate 2
