"","CC_FB_CL_R1","CC_FB_CL_R2","CC_FB_CL_R3","CC_FB_S_R1","CC_FB_S_R2","CC_FB_S_R3","CC_H_R2","CC_H_R3","CC_H_R4","CC_P1_R1","CC_P1_R2","CC_P1_R3","CC_P1_R4","CC_P2_R1","CC_P2_R2","CC_P2_R3","CC_P2_R4","CC_VM_R1","CC_VM_R2","CC_VM_R3","CC_YFB_C_R1","CC_YFB_C_R2","CC_YFB_C_R3","CC_YFB_L_R1","CC_YFB_L_R2","CC_YFB_L_R3","CC_YFB_S_R1","CC_YFB_S_R2","CC_YFB_S_R3"
"jgi|Copci_AmutBmut1|373393|",-0.0978049747151504,1.43193336912425,0.851054797855662,1.67575219334524,1.69043514043499,1.60862702739469,3.84690119778042,3.38807039780424,3.54778595780209,3.35574642943479,3.41495551925915,3.76990012847457,3.46480896816413,3.3534401413136,3.58853141924393,3.40831101938699,3.47153940612278,4.00908709510237,4.03741572596401,4.26626650805419,2.18844799642879,1.62035681547008,0.683915440155408,1.43768498096078,2.97870726662171,3.12127707829538,2.25710438900393,1.86813145702209,2.89737635754217
"jgi|Copci_AmutBmut1|373404|",2.41801338468164,2.89457169066187,2.88400884415004,5.47176106267448,2.21997661408576,4.01898619423672,5.43518522451795,6.8137958355725,5.72680477976009,7.31050761610197,7.33911951401657,7.25992513660171,6.17382659364551,7.63794632520964,7.2137225633634,5.52435598815869,5.57137590864932,3.57415770209781,4.07466525396724,3.6028969446797,10.5123592461451,11.2871918409632,9.8270924124614,7.79804999822598,6.99723778910806,6.86759340688259,6.67637812507867,5.62531802126268,7.09170296849226
"jgi|Copci_AmutBmut1|373410|",5.41402604130026,4.88324811573513,5.28647422230488,5.65280878353903,5.06936900200783,5.22393381969414,6.14214537455643,6.49004261795539,5.42822713441997,5.96485042825421,5.99274377787366,6.27599858363047,5.79648046777552,6.01426989760404,6.73138349180955,6.37224432803898,5.73808423051641,6.93975023475126,8.14591214560547,6.95471829675291,3.77775862617356,4.15413372227293,3.92787861000886,5.19385430910008,5.29200171861982,5.85707123286722,5.79859582205875,6.3415331607851,5.80013274257934
"jgi|Copci_AmutBmut1|373420|",7.57206012693778,8.94736863993759,8.80842832380674,6.7607786786136,6.91618281169357,6.42867837521117,5.95261376988803,6.880804728282,3.09609255728211,4.13904633601825,2.78252331860156,4.00618482842273,3.36500486580264,3.36180239738704,3.18212136027898,4.68130865799389,2.84159661618192,4.57109426071633,4.41104884889413,4.66743953647916,5.43813848623078,6.07228914397727,8.34830763710862,7.97460946586622,8.18449609315184,8.4259095400584,4.46785150516535,4.86829071805712,4.68888494258633
"jgi|Copci_AmutBmut1|373441|",0.584011156288317,1.43496497705004,0.986672045399261,2.08349313078291,2.16623681386119,1.91825507645186,5.78841788268701,4.3491925974648,4.5220231558429,2.78157496009754,2.90851482604804,2.5064664251663,4.49336469383563,2.91084593012712,4.57518052281825,4.06474927454686,3.66205106470627,7.2406840150073,7.11675588596971,7.28116500565928,3.39541683190376,3.25873894833886,0.306172373318899,0.257590448010838,1.14626388824722,1.13319464945276,0.548001336595524,-0.116516663416254,0.984814114165616
"jgi|Copci_AmutBmut1|373469|",-0.151132410576737,-0.195406267897952,-0.557586901387835,2.55891654985752,2.91741587987096,2.03110841614175,2.24238554009079,1.73187138853227,2.99163565873856,2.97625252274111,2.81305092961322,3.29973180842335,2.47942953546121,3.46518640642595,2.62690880781159,2.41903006526543,3.00916616060132,2.72313296439108,2.50161500425294,2.87805078769885,1.86395966122286,1.31824286343582,-1.73625251246912,3.0855167760181,4.85384269759817,5.12453815894965,2.13584433498144,0.312364169721321,1.71131270928075
"jgi|Copci_AmutBmut1|373471|",3.64914785414546,3.30213794050958,4.08372467393951,2.03488953540234,1.5716624134171,2.109535656207,2.5338916002687,2.60425740137226,2.78904089274187,2.17995718030992,2.09409632214401,2.4522492233222,2.48545611900689,2.41931729646721,2.39848030474016,2.21008709562783,2.16363925158309,2.66675391237254,2.8574200043818,2.88727625291185,2.20154102042171,1.63952402598041,2.08845643919192,3.22786889187982,2.89345234212955,2.86524318259032,2.8176717478224,2.88815982379322,2.49219541997717
"jgi|Copci_AmutBmut1|373473|",7.36522319245952,7.44444245052333,7.55318428628207,3.94859928263922,3.14998746221611,3.82388903489077,5.29667507992728,4.50166650205228,3.53983564027146,4.56225599160861,4.84919675251108,3.83322488652741,5.62681196825243,4.75522950867206,5.38132872135545,4.8442283434936,5.08054363581962,6.3031127525432,6.60367494388215,5.70986074029378,3.44892216194402,3.30613681571799,3.09867929890804,7.65345602678148,5.65898708849252,5.71566895814048,2.90141269062191,2.05557892544744,2.95984754541943
"jgi|Copci_AmutBmut1|373476|",6.06773371187337,5.69102836062626,5.56966289493705,5.08785875454679,5.95473299826057,4.89755059740668,4.69222504644107,4.82733942718217,4.73638624152239,5.0685700152238,5.52937062218661,5.71607436364599,4.61410091650288,5.42958929255074,4.7985562274066,5.10008618930142,4.55024288039808,4.36303884580194,3.94611635223231,4.31379324907641,5.49714610845438,5.58101449784341,5.48729428705813,4.43625440444138,4.24633879210219,4.32417406828771,7.62746268503746,8.30815765449708,7.46007051850968
"jgi|Copci_AmutBmut1|373482|",6.07381977246644,5.44493576392903,5.64811790456195,5.36365031253289,5.37305508286031,5.08363958493854,4.88536368058371,4.37463471096983,4.37090480106503,4.39773117959628,4.52562408490294,3.71400616862696,4.99385406455947,4.36228822523274,4.87828217910248,4.67681364077597,4.94246347229188,5.56171668143652,6.04010967396252,5.57765578486393,4.165590341877,4.57170469236107,5.49384821811633,4.65276550024856,4.95965667645113,4.93734676529025,5.35827989308295,5.78294362735207,5.39740121445892
"jgi|Copci_AmutBmut1|373496|",2.27337434162643,2.85922288868331,3.72838072653217,1.42874000535399,1.12517301466272,2.50286745096309,3.87952174469051,6.56241314780284,2.17140226296853,3.30521931731735,1.22980180167494,2.46082021330353,1.81672380564085,1.71394338751601,1.82915469741582,3.7545518370898,1.68951181723407,4.41057419895932,3.71315190516587,4.34380881350853,1.79879461455641,1.5434735814144,2.73495994343268,1.8827643331641,3.23877267679522,3.16228190959609,2.79822344508475,2.3264150890178,2.42256440749923
"jgi|Copci_AmutBmut1|373502|",6.38869736777433,5.81447542154276,6.1432954744016,2.63044230556734,3.12508378039389,2.3630238564298,3.05546921400399,3.04549970361485,3.38833773637578,2.79800941818318,2.80477218080825,2.94448122839756,2.87269165304716,3.19128013034279,2.81142340001087,3.15798048188838,3.17815027482944,3.62243059859182,3.79409623392853,3.53376110124719,3.09727336893666,2.91124229388141,2.55129465927247,3.96282992375417,3.77878879473772,3.59096623667924,3.57706460450935,3.60688555580798,3.04546710650138
