REGISTRY,YEAR,SEX,CANCER,TOTAL,N0_4,N5_9,N10_14,N15_19,N20_24,N25_29,N30_34,N35_39,N40_44,N45_49,N50_54,N55_59,N60_64,N65_69,N70_74,N75_79,N80_84,N85+,N_UNK
 3600200,1983,2,12,24,0,1,4,2,3,3,0,1,0,2,0,0,1,1,2,2,2,0,0
 3600200,1983,2,13,728,0,0,2,15,35,61,75,64,66,73,57,51,58,62,42,39,16,12,0
 3600200,1983,2,14,42,5,0,0,1,1,1,3,3,5,1,2,1,8,4,3,3,0,1,0
 3600200,1983,2,15,1872,0,0,0,0,3,11,58,102,157,221,187,200,214,201,209,129,100,80,0
 3600200,1983,2,16,345,0,0,0,0,5,18,37,38,40,30,26,26,43,34,17,13,15,3,0
 3600200,1983,2,17,285,0,0,0,0,0,1,1,7,6,9,38,52,48,40,34,25,12,12,0
 3600200,1983,2,18,310,0,0,1,4,4,6,7,12,17,16,36,40,44,42,30,26,16,9,0
 3600200,1983,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1983,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1983,2,21,154,4,1,1,0,0,0,0,4,1,6,12,27,32,24,20,13,4,5,0
 3600200,1983,2,22,201,0,0,0,0,0,0,1,1,3,10,10,21,29,25,32,23,26,20,0
 3600200,1983,2,23,35,5,0,0,0,1,2,0,1,2,3,0,5,7,2,4,1,1,1,0
 3600200,1983,2,24,148,6,2,1,4,4,5,5,8,13,8,8,18,24,12,14,12,3,1,0
 3600200,1983,2,25,132,0,1,0,2,8,10,19,13,13,10,12,12,7,10,4,6,4,1,0
 3600200,1983,2,26,41,0,0,1,2,7,3,4,6,1,0,1,2,0,5,4,3,2,0,0
 3600200,1983,2,27,255,1,1,1,3,1,1,2,6,10,13,17,20,28,30,42,31,29,19,0
 3600200,1983,2,28,106,0,0,0,0,0,0,0,0,3,5,9,8,20,16,13,13,10,9,0
 3600200,1983,2,29,215,14,8,6,1,5,5,2,5,4,8,7,17,22,24,25,24,27,11,0
 3600200,1984,1, 1,9512,40,22,16,51,83,107,141,196,218,387,633,1016,1439,1525,1489,1126,663,358,2
 3600200,1984,1, 2,471,0,0,0,1,2,4,5,9,9,31,53,80,91,80,53,28,16,9,0
 3600200,1984,1, 3,123,0,0,0,0,0,0,0,1,0,2,8,14,28,19,22,16,10,3,0
 3600200,1984,1, 4,387,0,0,0,0,0,1,1,9,2,13,18,36,63,50,81,58,37,18,0
 3600200,1984,1, 5,869,0,0,0,0,1,1,6,14,18,41,51,86,122,149,153,118,62,47,0
 3600200,1984,1, 6,538,0,0,0,0,0,0,4,13,10,26,44,79,95,103,73,48,19,24,0
 3600200,1984,1, 7,49,0,0,0,0,0,2,3,0,2,0,3,8,7,7,7,5,2,3,0
 3600200,1984,1, 8,58,0,0,0,0,0,1,0,1,2,3,3,11,10,7,5,8,3,4,0
 3600200,1984,1, 9,243,0,0,0,0,0,0,0,1,2,6,12,26,44,41,45,31,24,11,0
 3600200,1984,1,10,199,0,0,0,0,0,0,1,1,3,9,26,35,35,39,23,15,7,5,0
 3600200,1984,1,11,1824,0,0,0,0,0,1,7,7,20,56,126,214,342,339,310,237,126,39,0
 3600200,1984,1,12,26,0,2,1,6,3,2,4,1,1,1,1,0,0,2,0,1,1,0,0
 3600200,1984,1,13,772,0,0,1,14,21,31,33,49,55,59,89,81,88,101,75,42,23,8,2
 3600200,1984,1,14,54,3,0,2,0,5,1,2,4,7,3,6,6,5,4,2,0,2,2,0
 3600200,1984,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1984,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1984,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1984,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1984,1,19,1199,0,0,0,0,1,0,0,0,0,7,24,56,121,231,275,241,152,91,0
 3600200,1984,1,20,121,2,0,0,8,19,26,20,10,20,8,1,1,2,1,1,2,0,0,0
 3600200,1984,1,21,243,4,1,0,0,0,1,2,6,6,18,25,31,38,34,33,26,9,9,0
 3600200,1984,1,22,547,0,1,0,0,2,0,5,6,11,21,34,57,90,92,94,64,51,19,0
 3600200,1984,1,23,24,2,0,0,1,0,0,2,3,1,0,3,1,5,2,1,2,0,1,0
 3600200,1984,1,24,214,6,5,5,5,5,12,8,6,6,12,13,32,32,28,23,6,9,1,0
 3600200,1984,1,25,41,0,0,0,1,3,2,6,2,4,8,2,2,3,0,2,4,2,0,0
 3600200,1984,1,26,74,0,1,2,5,9,9,12,4,3,4,2,4,9,2,4,3,1,0,0
 3600200,1984,1,27,289,3,2,0,3,4,5,11,13,13,18,22,34,38,31,41,27,16,8,0
 3600200,1984,1,28,115,0,0,0,0,0,1,0,3,0,5,9,12,13,20,20,20,7,5,0
 3600200,1984,1,29,306,17,9,5,7,8,3,5,14,6,13,17,21,34,41,39,30,19,18,0
 3600200,1984,2, 1,8322,46,20,20,42,69,134,236,331,403,468,626,852,1034,1011,1112,824,616,476,2
 3600200,1984,2, 2,167,0,0,0,1,1,1,3,3,5,9,20,20,20,19,26,20,9,10,0
 3600200,1984,2, 3,98,0,0,0,0,0,0,0,0,0,0,3,12,16,16,26,10,9,6,0
 3600200,1984,2, 4,247,0,0,0,0,0,1,2,5,3,6,6,17,28,33,38,39,32,37,0
 3600200,1984,2, 5,847,0,0,0,0,0,2,7,12,27,29,52,75,100,114,129,111,118,71,0
 3600200,1984,2, 6,418,0,0,0,0,0,1,3,6,7,15,33,34,54,56,66,60,48,35,0
 3600200,1984,2, 7,17,0,0,0,0,0,0,1,0,0,0,1,0,0,5,3,5,2,0,0
 3600200,1984,2, 8,100,0,0,0,0,0,0,1,0,1,0,3,8,8,12,20,18,13,16,0
 3600200,1984,2, 9,209,0,0,0,0,0,0,0,2,4,4,8,10,24,36,36,34,29,22,0
 3600200,1984,2,10,15,0,0,0,0,0,0,0,0,0,1,4,3,2,2,1,1,1,0,0
 3600200,1984,2,11,475,0,0,0,1,0,1,3,5,11,17,37,60,75,82,87,56,27,13,0
 3600200,1984,2,12,23,1,2,3,3,2,2,0,0,3,2,0,1,0,2,1,0,1,0,0
 3600200,1984,2,13,733,1,0,1,10,32,38,84,72,52,54,69,77,66,54,45,30,26,20,2
 3600200,1984,2,14,41,3,1,1,1,0,0,2,4,3,2,5,3,2,1,7,4,1,1,0
 3600200,1984,2,15,2006,0,0,0,1,3,20,52,113,170,190,201,239,256,216,229,146,94,76,0
 3600200,1984,2,16,353,0,0,0,1,4,22,27,41,44,26,24,28,38,33,25,23,9,8,0
 3600200,1984,2,17,313,0,0,0,0,0,1,0,10,6,15,27,58,59,47,41,24,11,14,0
 3600200,1984,2,18,298,0,0,1,4,3,4,7,10,10,33,31,28,51,33,32,27,14,10,0
 3600200,1984,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1984,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1984,2,21,176,4,0,0,0,0,0,0,3,3,9,12,23,32,29,30,18,11,2,0
 3600200,1984,2,22,219,0,0,0,0,0,2,1,1,4,2,13,22,29,34,42,29,22,18,0
 3600200,1984,2,23,16,2,1,0,0,1,2,0,1,1,0,0,1,0,4,1,1,1,0,0
 3600200,1984,2,24,157,11,6,6,5,4,7,6,5,10,7,10,7,22,11,16,16,6,2,0
 3600200,1984,2,25,103,0,0,1,2,6,14,9,9,12,10,8,10,2,4,6,4,3,3,0
 3600200,1984,2,26,59,0,0,2,2,8,7,6,5,2,0,2,6,2,6,2,3,3,3,0
 3600200,1984,2,27,306,2,0,1,2,2,2,9,7,10,17,19,33,47,44,40,34,28,9,0
 3600200,1984,2,28,99,0,0,0,0,0,0,0,0,2,2,4,10,6,17,27,16,5,10,0
 3600200,1984,2,29,212,16,9,3,7,2,3,4,11,5,3,8,16,15,18,31,19,18,24,0
 3600200,1985,1, 1,10038,44,21,25,41,84,117,166,190,265,392,657,1029,1501,1527,1636,1231,726,379,7
 3600200,1985,1, 2,479,0,0,0,1,5,7,10,14,18,40,50,79,77,62,61,36,11,8,0
 3600200,1985,1, 3,120,0,0,0,0,0,0,1,2,2,3,11,7,24,22,19,16,10,3,0
 3600200,1985,1, 4,420,0,0,0,0,0,3,2,8,11,16,27,41,56,63,75,52,38,28,0
 3600200,1985,1, 5,987,0,0,0,0,0,3,10,13,26,50,70,101,152,152,189,111,70,40,0
 3600200,1985,1, 6,563,0,0,0,0,2,2,2,2,10,24,52,85,112,87,72,56,34,23,0
 3600200,1985,1, 7,55,1,0,0,1,1,2,0,2,0,4,6,4,12,10,6,4,2,0,0
 3600200,1985,1, 8,70,0,0,0,0,0,0,1,1,2,2,3,6,12,13,10,12,3,5,0
 3600200,1985,1, 9,234,0,0,0,0,0,0,0,4,5,7,16,19,39,36,38,35,22,13,0
 3600200,1985,1,10,170,0,0,0,0,0,0,0,0,4,8,16,34,38,24,21,13,7,5,0
 3600200,1985,1,11,1768,0,0,0,0,2,1,3,5,19,53,116,218,342,312,318,227,109,43,0
 3600200,1985,1,12,31,0,1,2,3,5,3,2,1,1,2,1,1,4,1,2,2,0,0,0
 3600200,1985,1,13,819,0,0,0,9,23,36,43,51,53,49,83,100,106,85,88,56,18,14,5
 3600200,1985,1,14,48,2,2,0,4,0,2,1,2,10,5,2,1,5,4,3,1,4,0,0
 3600200,1985,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1985,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1985,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1985,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1985,1,19,1405,0,0,0,0,0,0,0,1,1,4,16,58,171,251,310,286,208,99,0
 3600200,1985,1,20,111,2,2,0,2,15,18,28,20,6,6,6,2,0,1,2,0,1,0,0
 3600200,1985,1,21,230,2,1,0,0,0,0,1,2,8,10,24,36,37,42,31,18,14,4,0
 3600200,1985,1,22,635,0,0,1,0,0,1,9,14,17,9,33,57,96,95,116,92,60,35,0
 3600200,1985,1,23,31,1,0,0,0,0,1,1,2,2,1,2,6,4,4,2,3,2,0,0
 3600200,1985,1,24,190,8,3,6,3,7,6,6,7,4,20,16,23,25,25,19,9,3,0,0
 3600200,1985,1,25,44,0,0,0,1,0,6,10,3,3,3,8,0,5,4,0,1,0,0,0
 3600200,1985,1,26,72,0,2,2,6,9,12,8,6,5,4,1,5,3,5,0,3,1,0,0
 3600200,1985,1,27,365,2,3,4,3,7,7,16,15,16,25,24,32,37,50,52,46,19,7,0
 3600200,1985,1,28,129,0,0,0,0,0,0,0,1,2,10,5,16,18,21,22,17,6,11,0
 3600200,1985,1,29,310,23,7,10,7,6,2,4,4,12,7,19,24,38,32,50,41,15,9,0
 3600200,1985,2, 1,8678,34,13,20,37,85,133,223,361,452,521,633,895,1050,1057,1105,914,630,511,4
 3600200,1985,2, 2,168,0,0,0,2,1,1,2,2,4,7,12,28,28,26,16,14,12,13,0
 3600200,1985,2, 3,115,0,0,0,0,0,0,0,1,1,1,4,12,14,13,25,17,12,15,0
 3600200,1985,2, 4,225,0,0,0,0,0,0,1,2,7,9,9,11,24,16,28,35,43,40,0
 3600200,1985,2, 5,962,0,0,0,0,2,0,7,12,26,54,67,89,112,112,143,136,102,100,0
 3600200,1985,2, 6,446,0,0,0,0,1,0,0,5,7,34,28,48,58,62,78,56,39,30,0
 3600200,1985,2, 7,34,2,0,1,0,0,2,1,3,1,0,2,1,2,5,5,4,4,1,0
 3600200,1985,2, 8,98,0,0,0,0,0,0,0,1,1,3,7,9,9,13,17,18,8,12,0
 3600200,1985,2, 9,206,0,0,0,0,0,0,0,0,1,1,6,19,20,29,35,35,31,29,0
 3600200,1985,2,10,18,0,0,0,0,1,0,0,1,0,2,1,4,3,2,0,3,0,1,0
 3600200,1985,2,11,518,0,0,0,2,0,1,1,9,15,17,31,73,77,98,87,62,28,17,0
 3600200,1985,2,12,24,0,1,2,2,1,1,3,1,2,3,1,0,4,0,1,1,0,1,0
 3600200,1985,2,13,772,0,0,0,7,46,51,75,85,61,47,74,63,58,74,60,35,14,19,3
 3600200,1985,2,14,29,1,0,1,0,0,1,1,2,2,2,1,4,1,6,3,1,3,0,0
 3600200,1985,2,15,2035,0,0,1,0,2,13,54,116,173,195,192,229,267,232,212,161,105,83,0
 3600200,1985,2,16,352,0,0,0,0,3,26,28,49,45,22,31,37,28,26,19,14,10,14,0
 3600200,1985,2,17,316,0,0,0,1,0,2,2,5,9,27,30,53,57,44,49,17,12,8,0
 3600200,1985,2,18,318,0,0,2,3,4,2,11,9,15,23,26,33,61,35,38,32,15,9,0
 3600200,1985,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1985,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1985,2,21,203,4,0,1,0,0,0,0,3,8,7,9,25,37,37,32,18,16,6,0
 3600200,1985,2,22,206,0,0,1,0,0,0,0,2,5,4,10,17,28,25,32,41,21,20,0
 3600200,1985,2,23,14,3,0,0,0,0,0,1,0,1,2,0,5,1,1,0,0,0,0,0
 3600200,1985,2,24,139,3,4,2,0,4,5,4,11,8,4,11,12,17,21,23,7,1,2,0
 3600200,1985,2,25,97,0,0,0,3,7,12,12,11,9,7,10,4,3,7,5,3,3,1,0
 3600200,1985,2,26,50,0,1,2,8,6,6,0,5,1,4,2,1,3,3,1,4,2,1,0
 3600200,1985,2,27,309,3,0,1,1,3,3,9,11,17,11,24,32,39,37,50,36,24,8,0
 3600200,1985,2,28,110,0,0,0,0,0,1,0,1,3,2,4,7,12,16,25,17,19,3,0
 3600200,1985,2,29,232,13,6,4,7,0,1,5,5,8,10,6,19,25,34,24,27,29,9,0
 3600200,1986,1, 1,10348,53,23,27,52,84,120,146,218,286,359,589,1006,1560,1630,1759,1295,766,371,4
 3600200,1986,1, 2,502,1,0,1,1,4,5,8,15,22,30,61,95,60,54,71,43,21,10,0
 3600200,1986,1, 3,156,0,0,0,0,0,0,0,1,2,4,2,15,35,27,37,15,13,5,0
 3600200,1986,1, 4,376,0,0,0,0,1,1,4,2,10,5,17,42,60,50,71,65,35,13,0
 3600200,1986,1, 5,985,2,0,0,0,2,6,5,20,22,30,63,108,154,171,166,135,73,28,0
 3600200,1986,1, 6,516,0,0,0,0,1,0,1,5,19,30,43,57,88,90,78,47,34,22,1
 3600200,1986,1, 7,69,0,0,0,0,2,0,0,1,0,3,5,11,20,12,10,3,2,0,0
 3600200,1986,1, 8,66,0,0,0,0,0,0,0,1,1,1,4,7,13,14,10,10,2,3,0
 3600200,1986,1, 9,264,0,0,0,0,0,0,4,3,8,8,11,28,45,36,43,38,27,13,0
 3600200,1986,1,10,213,0,0,0,0,1,0,2,0,2,9,23,38,49,39,26,14,9,1,0
 3600200,1986,1,11,1806,2,0,0,1,0,0,2,6,28,47,106,175,319,352,357,247,108,56,0
 3600200,1986,1,12,35,0,5,1,6,2,2,0,1,3,1,1,1,3,3,2,1,1,1,1
 3600200,1986,1,13,923,0,0,2,10,22,39,51,76,73,76,69,104,121,109,79,49,26,16,1
 3600200,1986,1,14,58,2,1,2,4,2,3,2,4,1,2,5,6,11,5,1,1,5,1,0
 3600200,1986,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1986,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1986,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1986,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1986,1,19,1547,0,0,0,0,0,0,0,1,2,6,15,76,181,268,372,304,219,103,0
 3600200,1986,1,20,134,0,1,0,9,19,28,22,24,16,7,1,1,3,1,1,0,1,0,0
 3600200,1986,1,21,271,7,2,1,0,0,1,2,3,7,10,14,27,50,47,31,42,20,7,0
 3600200,1986,1,22,553,0,0,0,1,0,3,1,8,10,8,25,42,81,91,120,80,57,25,1
 3600200,1986,1,23,23,2,0,0,0,0,1,0,1,1,1,2,1,5,3,3,2,0,1,0
 3600200,1986,1,24,200,6,2,13,3,7,8,6,9,9,8,16,26,28,22,21,10,5,1,0
 3600200,1986,1,25,44,0,0,0,1,2,2,0,4,5,7,2,6,1,7,2,4,1,0,0
 3600200,1986,1,26,60,0,2,2,4,4,6,7,2,3,5,3,4,2,6,5,4,1,0,0
 3600200,1986,1,27,320,3,1,1,3,3,5,4,14,10,20,29,35,49,29,48,39,15,12,0
 3600200,1986,1,28,117,0,0,0,0,0,0,2,1,2,0,11,11,24,15,24,10,8,9,0
 3600200,1986,1,29,324,21,8,4,3,9,7,8,8,7,10,18,26,34,48,42,32,26,13,0
 3600200,1986,2, 1,9066,38,28,23,43,69,133,245,381,486,584,643,838,1128,1131,1158,940,665,530,3
 3600200,1986,2, 2,190,1,1,1,2,1,1,6,11,9,11,14,21,29,24,19,19,9,11,0
 3600200,1986,2, 3,99,0,0,0,0,0,0,0,1,1,2,5,5,13,10,15,16,17,14,0
 3600200,1986,2, 4,258,0,0,0,0,0,6,2,6,6,12,10,17,20,31,39,47,28,34,0
 3600200,1986,2, 5,977,0,0,0,0,0,4,8,11,29,34,52,87,128,128,148,147,113,88,0
 3600200,1986,2, 6,429,0,0,0,0,0,1,4,6,10,22,33,35,54,74,57,64,42,27,0
 3600200,1986,2, 7,32,0,0,0,0,0,0,3,1,0,1,1,4,3,8,3,1,2,5,0
 3600200,1986,2, 8,104,0,0,0,0,0,0,0,2,1,5,3,9,11,13,21,15,16,8,0
 3600200,1986,2, 9,245,0,0,0,0,0,1,1,0,6,10,10,20,27,32,50,29,27,32,0
 3600200,1986,2,10,22,0,0,0,0,0,1,0,1,0,0,0,3,6,5,3,2,1,0,0
 3600200,1986,2,11,569,1,0,0,0,0,1,4,15,13,31,31,56,108,94,99,57,39,20,0
 3600200,1986,2,12,27,0,0,2,4,1,1,4,0,1,0,1,2,0,3,3,3,2,0,0
 3600200,1986,2,13,783,1,0,3,13,25,37,71,86,70,50,67,70,68,73,66,37,22,23,1
 3600200,1986,2,14,56,2,0,0,2,3,4,0,4,8,1,2,7,8,5,3,1,5,1,0
 3600200,1986,2,15,2167,3,0,0,0,3,10,51,111,185,221,214,247,267,226,251,187,95,94,2
 3600200,1986,2,16,384,0,0,0,1,2,22,38,43,43,45,29,29,35,33,25,20,13,6,0
 3600200,1986,2,17,337,1,0,0,0,0,0,5,7,10,20,34,45,47,55,44,34,20,15,0
 3600200,1986,2,18,320,0,1,1,1,3,6,9,14,18,21,23,39,54,35,35,25,16,19,0
 3600200,1986,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1986,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1986,2,21,212,6,4,0,0,0,0,1,3,3,11,12,24,34,51,23,21,12,7,0
 3600200,1986,2,22,227,0,0,0,0,1,0,4,4,8,6,14,24,21,31,48,30,21,15,0
 3600200,1986,2,23,21,2,1,1,0,0,0,0,2,0,3,1,0,1,3,2,1,2,2,0
 3600200,1986,2,24,145,6,13,4,3,1,5,5,9,9,10,7,7,22,20,8,11,4,1,0
 3600200,1986,2,25,119,0,0,0,3,9,11,11,14,11,9,9,11,9,6,4,5,7,0,0
 3600200,1986,2,26,48,0,0,3,7,9,4,2,1,3,0,4,1,2,3,4,0,4,1,0
 3600200,1986,2,27,285,2,1,1,3,2,4,4,9,15,13,17,14,42,43,43,37,22,13,0
 3600200,1986,2,28,115,0,0,0,0,0,1,0,1,3,3,9,12,11,21,19,12,17,6,0
 3600200,1986,2,29,232,9,6,5,3,6,7,6,9,8,8,9,14,20,23,26,26,24,23,0
 3600200,1987,1, 1,10524,39,23,18,49,72,133,177,213,301,423,641,1033,1426,1712,1708,1364,786,401,5
 3600200,1987,1, 2,512,1,0,1,2,4,9,7,13,25,42,60,71,90,88,47,31,12,7,2
 3600200,1987,1, 3,164,0,0,0,0,0,0,1,0,1,6,5,23,32,33,29,23,8,3,0
 3600200,1987,1, 4,419,0,0,0,0,0,2,1,4,5,13,20,39,68,63,70,67,37,30,0
 3600200,1987,1, 5,986,1,0,0,0,2,3,6,10,13,39,71,111,140,145,178,133,85,49,0
 3600200,1987,1, 6,557,1,0,0,0,1,1,1,10,10,23,54,77,84,96,82,69,29,19,0
 3600200,1987,1, 7,88,3,0,0,0,0,0,4,0,0,2,3,11,16,21,13,8,4,3,0
 3600200,1987,1, 8,68,0,0,0,0,0,0,0,0,2,0,8,5,4,15,14,7,10,3,0
 3600200,1987,1, 9,270,0,0,0,0,0,1,0,3,5,12,16,27,34,50,47,43,21,11,0
 3600200,1987,1,10,199,0,0,0,0,0,0,0,1,3,13,20,34,47,31,22,18,7,3,0
 3600200,1987,1,11,1796,1,0,0,0,0,0,1,4,34,57,92,204,296,383,321,231,126,46,0
 3600200,1987,1,12,26,0,1,0,3,3,2,2,1,1,1,1,1,1,5,2,1,0,1,0
 3600200,1987,1,13,1052,1,0,1,10,24,49,75,90,91,76,86,108,123,116,91,71,27,13,0
 3600200,1987,1,14,67,2,0,3,3,1,2,2,1,4,2,6,13,9,5,4,3,5,2,0
 3600200,1987,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1987,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1987,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1987,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1987,1,19,1532,0,0,0,0,0,0,0,0,0,3,25,63,157,252,370,325,224,112,1
 3600200,1987,1,20,117,0,0,1,3,14,24,22,20,15,8,1,4,1,0,3,1,0,0,0
 3600200,1987,1,21,261,2,2,0,0,0,0,5,9,7,17,16,36,37,38,42,27,14,9,0
 3600200,1987,1,22,488,0,0,0,1,1,3,2,3,9,5,24,47,67,90,82,82,51,20,1
 3600200,1987,1,23,34,1,0,0,0,0,0,1,2,0,1,2,1,4,9,5,4,2,1,1
 3600200,1987,1,24,207,6,5,2,7,5,10,6,9,6,17,18,21,24,29,24,12,4,2,0
 3600200,1987,1,25,45,0,0,0,0,3,3,3,5,5,5,2,3,1,5,3,3,4,0,0
 3600200,1987,1,26,63,0,1,1,6,3,10,6,1,3,2,6,5,8,1,4,5,0,1,0
 3600200,1987,1,27,391,1,2,3,1,5,6,17,10,28,24,28,27,35,61,61,48,23,11,0
 3600200,1987,1,28,136,0,0,0,0,0,0,0,1,5,5,8,12,14,22,28,22,10,9,0
 3600200,1987,1,29,329,14,10,6,13,6,5,9,4,15,21,19,22,34,37,47,33,22,12,0
