gene,HR,z,pvalue,lower,upper
RP11-739L10.1,0.763786338543732,-0.946783490233167,0.343749116265224,0.437228628569835,1.3342437636214
RP11-370A5.1,0.69529098625215,-1.24180933041398,0.214306919385127,0.391792455444825,1.23389194673139
RP11-17J14.2,0.867134847745997,-0.615155630674259,0.538451946260017,0.550583013634262,1.36568478422939
RP11-403A21.1,0.990261584602004,-0.0339826183930314,0.972891011208569,0.563151419974309,1.74130432980744
RP11-403A21.2,0.506990576071412,-1.92420768486147,0.0543285562537146,0.253815405467353,1.01270229737211
RP11-799B12.2,0.985536131685181,-0.0686088928430229,0.945300940084372,0.650002531148756,1.49427336096743
RP11-799B12.4,0.896586442994608,-0.545395868728441,0.585481281183044,0.605654330767486,1.32727070364223
RP11-621L6.2,0.837549459139657,-0.70252718136792,0.482350456634787,0.510762696291641,1.3734148981479
RP11-449D8.1,1.02527623311468,0.137930996290083,0.890294953037212,0.7191088430971,1.46179728462591
RP11-958F21.1,0.625489298002013,-1.40994211762116,0.158556774939889,0.325795172739928,1.20086758384036
RP11-17A19.1,0.592769604853464,-0.862262318429837,0.388543183447458,0.180569603579709,1.94592997643163
RP11-408H20.1,1.40130434315683,1.88367111129437,0.0596094763895572,0.986427358417717,1.99067254714023
RP11-408H20.2,0.946613016231243,-0.252289573252527,0.800817246870758,0.618106580633346,1.44971147464608
RP11-650P15.1,1.17655345240457,0.805302139634125,0.420645347391151,0.792054884221765,1.7477046779722
RP11-75N4.2,0.977632421990956,-0.0996722388150164,0.920604540980374,0.626596003270378,1.52532915553163
RP11-549B18.1,0.640611653887269,-1.64975258079372,0.0989935510105737,0.377418087015088,1.087343996526
RP11-326K13.4,0.85983888331592,-0.611097304322991,0.541135164329538,0.529753561587815,1.39559780031685
RP11-53I6.3,0.740532333755257,-1.22946110931499,0.218898970581628,0.458749565037774,1.19539761807045
RP11-53I6.4,1.18247304021681,0.875948228760815,0.381058179013197,0.812677718221555,1.72053750150732
RP11-158H5.7,0.860549102691984,-0.650885740564922,0.515120246913603,0.54748272971016,1.35263583298057
RP11-322E11.5,1.22325569044134,1.08410838312683,0.278316746332533,0.849756430284147,1.76092163691749
RP11-873E20.1,1.00429970911683,0.0171271802412934,0.986335155393593,0.614654030760302,1.64095223533235
RP11-49I11.1,1.22090963126891,0.916058678790423,0.359636118999835,0.796560539806018,1.87132082652273
RP11-95O2.5,0.975933546990233,-0.10468231189255,0.916627897901275,0.618494475845764,1.53994308007118
LINC00669,1.13862552984879,0.604770161123433,0.545331722504204,0.747582840686853,1.73421328936908
RP11-456K23.1,0.937399403840889,-0.294759696950782,0.768177456379661,0.60987615698806,1.44081324093878
RP11-116O18.1,1.02486868354611,0.176014505913378,0.860282546294672,0.779605668911162,1.34729115038443
RP11-116O18.3,0.825303155692094,-0.550925602107809,0.581684676127165,0.416830094090512,1.63405979666964
RP11-687F6.1,0.950036719798456,-0.24475846804394,0.806643453593854,0.630218386562515,1.43215397743061
RP11-49K24.4,0.892111004053993,-0.514111262806702,0.607174203452129,0.577296807638943,1.37860115112914
RP11-49K24.8,1.15099422126038,0.762352597611965,0.445849589577556,0.801784507846297,1.65229894617614
RP11-380M21.4,1.12237974271978,0.584053163238618,0.559184544802752,0.761869787806037,1.65347977703038
RP11-15F12.1,1.00774200527846,0.0353885467451841,0.97176991736614,0.657427521890327,1.54472381424285
RP11-110H1.4,1.11637038240254,0.491608086342255,0.622996425845455,0.719787205090686,1.73146010639154
SCARNA17,1.01712068050342,0.088437219456739,0.929529180323562,0.698203388219613,1.48170933593684
