num.gene,km.pvalue,core.gene
4 genes,0.00118463832199156,RP11-483E7.1 | NLRX1 | CTB-32O4.2 | NAV2
4 genes,0.104154601780824,RP11-483E7.1 | NLRX1 | GTSE1 | GS1-115G20.1
4 genes,0.0123495432521823,RP11-483E7.1 | NLRX1 | GTSE1 | NAV2
4 genes,0.218404920815446,RP11-483E7.1 | NLRX1 | GS1-115G20.1 | NAV2
4 genes,0.0928014439864471,RP11-483E7.1 | DSG1 | RP11-203J24.8 | AC131097.4
4 genes,0.0247653835231367,RP11-483E7.1 | DSG1 | RP11-203J24.8 | RP11-46H11.12
4 genes,0.00655895631452019,RP11-483E7.1 | DSG1 | RP11-203J24.8 | CTB-32O4.2
4 genes,0.0663180888955465,RP11-483E7.1 | DSG1 | RP11-203J24.8 | GTSE1
4 genes,0.0612658646756064,RP11-483E7.1 | DSG1 | RP11-203J24.8 | GS1-115G20.1
4 genes,0.131774088037381,RP11-483E7.1 | DSG1 | RP11-203J24.8 | NAV2
4 genes,0.00540918327498596,RP11-483E7.1 | DSG1 | AC131097.4 | RP11-46H11.12
4 genes,0.000527516783829562,RP11-483E7.1 | DSG1 | AC131097.4 | CTB-32O4.2
4 genes,0.00419767988408204,RP11-483E7.1 | DSG1 | AC131097.4 | GTSE1
4 genes,0.0241227749149273,RP11-483E7.1 | DSG1 | AC131097.4 | GS1-115G20.1
4 genes,0.0514999978636441,RP11-483E7.1 | DSG1 | AC131097.4 | NAV2
4 genes,0.00826221154636719,RP11-483E7.1 | DSG1 | RP11-46H11.12 | CTB-32O4.2
4 genes,0.114662511177035,RP11-483E7.1 | DSG1 | RP11-46H11.12 | GTSE1
4 genes,0.0354889413002355,RP11-483E7.1 | DSG1 | RP11-46H11.12 | GS1-115G20.1
4 genes,0.0083755451537193,RP11-483E7.1 | DSG1 | RP11-46H11.12 | NAV2
4 genes,0.0275233075793514,RP11-483E7.1 | DSG1 | CTB-32O4.2 | GTSE1
4 genes,0.012868624436329,RP11-483E7.1 | DSG1 | CTB-32O4.2 | GS1-115G20.1
4 genes,0.000858589385274056,RP11-483E7.1 | DSG1 | CTB-32O4.2 | NAV2
4 genes,0.0349326086030198,RP11-483E7.1 | DSG1 | GTSE1 | GS1-115G20.1
4 genes,0.0697126331824381,RP11-483E7.1 | DSG1 | GTSE1 | NAV2
4 genes,0.131336796945262,RP11-483E7.1 | DSG1 | GS1-115G20.1 | NAV2
4 genes,0.00158268624556046,RP11-483E7.1 | RP11-203J24.8 | AC131097.4 | RP11-46H11.12
4 genes,0.00856694546682291,RP11-483E7.1 | RP11-203J24.8 | AC131097.4 | CTB-32O4.2
4 genes,0.00244317217515633,RP11-483E7.1 | RP11-203J24.8 | AC131097.4 | GTSE1
4 genes,0.0316561191576809,RP11-483E7.1 | RP11-203J24.8 | AC131097.4 | GS1-115G20.1
4 genes,0.0927765880464835,RP11-483E7.1 | RP11-203J24.8 | AC131097.4 | NAV2
4 genes,0.000904915204873236,RP11-483E7.1 | RP11-203J24.8 | RP11-46H11.12 | CTB-32O4.2
4 genes,0.00274370986708294,RP11-483E7.1 | RP11-203J24.8 | RP11-46H11.12 | GTSE1
4 genes,0.00846943470625172,RP11-483E7.1 | RP11-203J24.8 | RP11-46H11.12 | GS1-115G20.1
4 genes,0.00482401454918246,RP11-483E7.1 | RP11-203J24.8 | RP11-46H11.12 | NAV2
4 genes,0.0021497300097173,RP11-483E7.1 | RP11-203J24.8 | CTB-32O4.2 | GTSE1
4 genes,0.00823285895134218,RP11-483E7.1 | RP11-203J24.8 | CTB-32O4.2 | GS1-115G20.1
4 genes,0.000302963507001541,RP11-483E7.1 | RP11-203J24.8 | CTB-32O4.2 | NAV2
4 genes,0.00079837251654824,RP11-483E7.1 | RP11-203J24.8 | GTSE1 | GS1-115G20.1
4 genes,0.00244462206636253,RP11-483E7.1 | RP11-203J24.8 | GTSE1 | NAV2
4 genes,0.265583241499089,RP11-483E7.1 | RP11-203J24.8 | GS1-115G20.1 | NAV2
4 genes,0.00765765969255749,RP11-483E7.1 | AC131097.4 | RP11-46H11.12 | CTB-32O4.2
4 genes,0.0678605442112388,RP11-483E7.1 | AC131097.4 | RP11-46H11.12 | GTSE1
4 genes,0.0252845273047261,RP11-483E7.1 | AC131097.4 | RP11-46H11.12 | GS1-115G20.1
4 genes,0.00363667784478472,RP11-483E7.1 | AC131097.4 | RP11-46H11.12 | NAV2
4 genes,0.000909926252195659,RP11-483E7.1 | AC131097.4 | CTB-32O4.2 | GTSE1
4 genes,0.0160883366663593,RP11-483E7.1 | AC131097.4 | CTB-32O4.2 | GS1-115G20.1
4 genes,8.90907373830574e-05,RP11-483E7.1 | AC131097.4 | CTB-32O4.2 | NAV2
4 genes,0.0113922653740455,RP11-483E7.1 | AC131097.4 | GTSE1 | GS1-115G20.1
4 genes,0.0128075119366052,RP11-483E7.1 | AC131097.4 | GTSE1 | NAV2
4 genes,0.130443906788935,RP11-483E7.1 | AC131097.4 | GS1-115G20.1 | NAV2
4 genes,0.0146332870321323,RP11-483E7.1 | RP11-46H11.12 | CTB-32O4.2 | GTSE1
4 genes,0.00853533059464584,RP11-483E7.1 | RP11-46H11.12 | CTB-32O4.2 | GS1-115G20.1
4 genes,0.00573149428827635,RP11-483E7.1 | RP11-46H11.12 | CTB-32O4.2 | NAV2
4 genes,0.362632892785989,RP11-483E7.1 | RP11-46H11.12 | GTSE1 | GS1-115G20.1
4 genes,0.0556162658467431,RP11-483E7.1 | RP11-46H11.12 | GTSE1 | NAV2
4 genes,0.110653485817814,RP11-483E7.1 | RP11-46H11.12 | GS1-115G20.1 | NAV2
4 genes,0.00885852856935099,RP11-483E7.1 | CTB-32O4.2 | GTSE1 | GS1-115G20.1
4 genes,0.000192067778062577,RP11-483E7.1 | CTB-32O4.2 | GTSE1 | NAV2
4 genes,0.000905241534233658,RP11-483E7.1 | CTB-32O4.2 | GS1-115G20.1 | NAV2
4 genes,0.100774877456829,RP11-483E7.1 | GTSE1 | GS1-115G20.1 | NAV2
4 genes,0.0431340847333239,NLRX1 | DSG1 | RP11-203J24.8 | AC131097.4
4 genes,0.131709824778212,NLRX1 | DSG1 | RP11-203J24.8 | RP11-46H11.12
4 genes,0.0601857253371815,NLRX1 | DSG1 | RP11-203J24.8 | CTB-32O4.2
4 genes,0.217249587571677,NLRX1 | DSG1 | RP11-203J24.8 | GTSE1
4 genes,0.511522080010699,NLRX1 | DSG1 | RP11-203J24.8 | GS1-115G20.1
4 genes,0.604145463922456,NLRX1 | DSG1 | RP11-203J24.8 | NAV2
4 genes,0.0291053167558553,NLRX1 | DSG1 | AC131097.4 | RP11-46H11.12
4 genes,0.00113871660130194,NLRX1 | DSG1 | AC131097.4 | CTB-32O4.2
4 genes,0.0222042762836476,NLRX1 | DSG1 | AC131097.4 | GTSE1
4 genes,0.017893746793315,NLRX1 | DSG1 | AC131097.4 | GS1-115G20.1
4 genes,0.0349329225064726,NLRX1 | DSG1 | AC131097.4 | NAV2
4 genes,0.0322267393600696,NLRX1 | DSG1 | RP11-46H11.12 | CTB-32O4.2
