"Process" "Occurences"
"GO:0009116" 63
"GO:0009117" 44
"GO:0009118" 2
"GO:0009119" 73
"GO:0009123" 18
"GO:0009124" 24
"GO:0009126" 24
"GO:0009127" 29
"GO:0009132" 21
"GO:0009141" 190
"GO:0009142" 68
"GO:0009143" 50
"GO:0009144" 160
"GO:0009145" 92
"GO:0009146" 35
"GO:0009150" 7
"GO:0009152" 46
"GO:0009154" 151
"GO:0009156" 21
"GO:0009161" 20
"GO:0009163" 34
"GO:0009164" 199
"GO:0009165" 36
"GO:0009166" 1
"GO:0009167" 24
"GO:0009168" 29
"GO:0009187" 3
"GO:0009190" 117
"GO:0009199" 156
"GO:0009201" 92
"GO:0009203" 46
"GO:0009205" 124
"GO:0009206" 82
"GO:0009207" 47
"GO:0009218" 223
"GO:0009220" 1
"GO:0009225" 727
"GO:0009226" 112
"GO:0009247" 6
"GO:0009250" 27
"GO:0009259" 8
"GO:0009260" 39
"GO:0009261" 162
"GO:0009266" 241
"GO:0009267" 323
"GO:0009308" 5
"GO:0009408" 838
"GO:0009410" 836
"GO:0009416" 53
"GO:0009451" 58
"GO:0009581" 1
"GO:0009582" 1
"GO:0009583" 58
"GO:0009605" 119
"GO:0009607" 143
"GO:0009611" 391
"GO:0009612" 216
"GO:0009615" 22
"GO:0009617" 615
"GO:0009620" 537
"GO:0009628" 49
"GO:0009653" 14
"GO:0009719" 64
"GO:0009725" 146
"GO:0009755" 7
"GO:0009792" 27
"GO:0009798" 99
"GO:0009812" 125
"GO:0009880" 241
"GO:0009887" 3
"GO:0009888" 10
"GO:0009889" 78
"GO:0009890" 611
"GO:0009891" 333
"GO:0009892" 614
"GO:0009893" 67
"GO:0009894" 23
"GO:0009896" 1
"GO:0009913" 8
"GO:0009952" 236
"GO:0009953" 269
"GO:0009966" 5
"GO:0009967" 12
"GO:0009968" 103
"GO:0009991" 59
"GO:0010001" 12
"GO:0010033" 107
"GO:0010035" 40
"GO:0010038" 3
"GO:0010212" 13
"GO:0010256" 6
"GO:0010453" 494
"GO:0010466" 300
"GO:0010467" 536
"GO:0010470" 188
"GO:0010498" 1
"GO:0010506" 677
"GO:0010556" 20
"GO:0010557" 301
"GO:0010558" 284
"GO:0010562" 33
"GO:0010564" 40
"GO:0010604" 2
"GO:0010605" 178
"GO:0010628" 14
"GO:0010629" 62
"GO:0010631" 2
"GO:0010638" 993
"GO:0010639" 988
"GO:0010646" 12
"GO:0010647" 1
"GO:0010648" 246
"GO:0010720" 941
"GO:0010721" 979
"GO:0010842" 969
"GO:0010862" 316
"GO:0010876" 9
"GO:0010941" 8
"GO:0010942" 2
"GO:0010948" 74
"GO:0010950" 1
"GO:0010951" 264
"GO:0010952" 1
"GO:0010955" 713
"GO:0010959" 623
"GO:0010970" 685
"GO:0010975" 58
"GO:0012501" 21
"GO:0014031" 14
"GO:0014032" 34
"GO:0014033" 129
"GO:0014037" 9
"GO:0014044" 54
"GO:0014074" 135
"GO:0014706" 93
"GO:0014902" 16
"GO:0014904" 217
"GO:0015031" 116
"GO:0015672" 84
"GO:0015698" 2
"GO:0015711" 7
"GO:0015749" 538
"GO:0015833" 98
"GO:0015931" 693
"GO:0015980" 54
"GO:0015985" 125
"GO:0015986" 125
"GO:0015988" 1
"GO:0015991" 1
"GO:0015992" 22
"GO:0016042" 10
"GO:0016049" 1
"GO:0016050" 3
"GO:0016051" 8
"GO:0016053" 3
"GO:0016054" 10
"GO:0016055" 483
"GO:0016070" 41
"GO:0016071" 4
"GO:0016073" 250
"GO:0016101" 15
"GO:0016236" 36
"GO:0016310" 150
"GO:0016311" 1
"GO:0016337" 1
"GO:0016477" 16
"GO:0016485" 2
"GO:0016567" 14
"GO:0016569" 310
"GO:0016570" 301
"GO:0016571" 218
"GO:0016575" 20
"GO:0016579" 605
"GO:0017015" 34
"GO:0017038" 954
"GO:0017144" 142
"GO:0017148" 238
"GO:0017156" 1
"GO:0017157" 1
"GO:0018105" 1
"GO:0018108" 87
"GO:0018130" 438
"GO:0018193" 4
"GO:0018205" 4
"GO:0018208" 1
"GO:0018209" 1
"GO:0018212" 233
"GO:0018393" 1
"GO:0019216" 4
"GO:0019219" 15
"GO:0019221" 998
"GO:0019222" 1
"GO:0019228" 53
"GO:0019318" 6
"GO:0019320" 30
"GO:0019362" 2
"GO:0019438" 281
"GO:0019439" 97
"GO:0019538" 11
"GO:0019637" 107
"GO:0019693" 10
"GO:0019725" 49
"GO:0019752" 629
"GO:0019941" 10
"GO:0019953" 41
"GO:0021510" 665
"GO:0021515" 125
"GO:0021517" 402
"GO:0021522" 837
"GO:0021532" 18
"GO:0021536" 365
"GO:0021545" 160
"GO:0021575" 31
"GO:0021675" 676
"GO:0021700" 31
"GO:0021782" 185
"GO:0021903" 918
"GO:0021915" 198
"GO:0021952" 113
"GO:0021953" 824
"GO:0021954" 17
"GO:0021955" 154
"GO:0022008" 2
"GO:0022037" 31
"GO:0022402" 377
"GO:0022406" 1
"GO:0022407" 11
"GO:0022411" 24
"GO:0022412" 26
"GO:0022414" 2
"GO:0022603" 163
"GO:0022604" 367
"GO:0022607" 45
"GO:0022610" 54
"GO:0022900" 4
"GO:0022904" 6
"GO:0023014" 2
"GO:0023051" 2
"GO:0023052" 2
"GO:0023056" 2
"GO:0023057" 163
"GO:0030003" 472
"GO:0030010" 1
"GO:0030011" 37
"GO:0030029" 780
"GO:0030030" 10
"GO:0030031" 1
"GO:0030036" 780
"GO:0030041" 317
"GO:0030042" 6
"GO:0030097" 128
"GO:0030098" 21
"GO:0030099" 120
"GO:0030100" 1
"GO:0030104" 26
"GO:0030111" 207
"GO:0030154" 24
"GO:0030155" 88
"GO:0030163" 9
"GO:0030166" 64
"GO:0030168" 123
"GO:0030177" 90
"GO:0030178" 514
"GO:0030182" 3
"GO:0030198" 10
"GO:0030203" 872
"GO:0030218" 129
"GO:0030223" 150
"GO:0030225" 519
"GO:0030239" 113
"GO:0030258" 16
"GO:0030261" 958
"GO:0030318" 9
"GO:0030334" 1
"GO:0030335" 119
"GO:0030490" 16
"GO:0030509" 7
"GO:0030510" 34
"GO:0030522" 4
"GO:0030593" 952
"GO:0030595" 986
"GO:0030641" 49
"GO:0030705" 400
"GO:0030811" 2
"GO:0030832" 831
"GO:0030833" 747
"GO:0030838" 344
"GO:0030851" 148
"GO:0030855" 11
"GO:0030900" 1
"GO:0030901" 246
"GO:0030902" 10
"GO:0030903" 996
"GO:0031018" 1
"GO:0031032" 4
"GO:0031056" 1
"GO:0031076" 991
"GO:0031098" 1
"GO:0031099" 2
"GO:0031103" 1
"GO:0031109" 151
"GO:0031123" 103
"GO:0031124" 2
"GO:0031175" 1
"GO:0031323" 22
"GO:0031324" 366
"GO:0031325" 352
"GO:0031326" 14
"GO:0031327" 286
"GO:0031328" 260
"GO:0031329" 15
"GO:0031331" 2
"GO:0031334" 336
"GO:0031344" 87
"GO:0031347" 663
"GO:0031349" 414
"GO:0031399" 5
"GO:0031400" 2
"GO:0031401" 1
"GO:0031503" 4
"GO:0031532" 68
"GO:0031570" 125
"GO:0031589" 11
"GO:0031629" 11
"GO:0031667" 326
"GO:0031668" 194
"GO:0031669" 143
"GO:0032101" 941
"GO:0032103" 999
"GO:0032147" 12
"GO:0032259" 963
"GO:0032269" 1
"GO:0032270" 4
"GO:0032271" 457
"GO:0032273" 294
"GO:0032386" 155
"GO:0032400" 92
"GO:0032401" 116
"GO:0032402" 116
"GO:0032446" 4
"GO:0032482" 106
"GO:0032496" 213
"GO:0032501" 471
"GO:0032502" 6
"GO:0032535" 628
"GO:0032774" 518
"GO:0032787" 27
"GO:0032835" 2
"GO:0032868" 432
"GO:0032869" 242
"GO:0032870" 352
"GO:0032879" 1
"GO:0032940" 150
"GO:0032956" 819
"GO:0032970" 730
"GO:0032984" 315
"GO:0032989" 60
"GO:0032990" 3
"GO:0033013" 745
"GO:0033014" 929
"GO:0033036" 284
"GO:0033043" 893
"GO:0033059" 4
"GO:0033121" 2
"GO:0033365" 117
"GO:0033554" 97
"GO:0033559" 13
"GO:0033674" 49
"GO:0033692" 47
"GO:0033865" 448
"GO:0033875" 448
"GO:0034032" 448
"GO:0034097" 689
"GO:0034101" 2
"GO:0034220" 248
"GO:0034329" 13
"GO:0034330" 10
"GO:0034470" 3
"GO:0034504" 859
"GO:0034613" 9
"GO:0034622" 1
"GO:0034637" 11
"GO:0034641" 119
"GO:0034645" 2
"GO:0034654" 479
"GO:0034655" 57
"GO:0034728" 64
"GO:0034754" 135
"GO:0034762" 32
"GO:0034765" 612
"GO:0034968" 981
"GO:0034976" 13
"GO:0035050" 1
"GO:0035051" 1
"GO:0035088" 397
"GO:0035107" 674
"GO:0035113" 95
"GO:0035148" 55
"GO:0035162" 861
"GO:0035268" 19
"GO:0035270" 2
"GO:0035272" 543
"GO:0035282" 40
"GO:0035383" 242
"GO:0035556" 6
"GO:0035601" 1
"GO:0036211" 38
"GO:0036293" 47
"GO:0036303" 36
"GO:0038034" 33
"GO:0038083" 618
"GO:0038127" 49
"GO:0040007" 26
"GO:0040008" 9
"GO:0040011" 65
"GO:0040012" 2
"GO:0040017" 260
"GO:0040036" 5
"GO:0042060" 2
"GO:0042063" 9
"GO:0042127" 69
"GO:0042147" 102
"GO:0042157" 1
"GO:0042158" 351
"GO:0042168" 586
"GO:0042176" 113
"GO:0042180" 74
"GO:0042221" 93
"GO:0042246" 127
"GO:0042274" 3
"GO:0042278" 51
"GO:0042325" 90
"GO:0042327" 72
"GO:0042330" 17
"GO:0042391" 4
"GO:0042398" 2
"GO:0042440" 502
"GO:0042445" 420
"GO:0042451" 57
"GO:0042454" 181
"GO:0042455" 42
"GO:0042461" 26
"GO:0042462" 71
"GO:0042471" 994
"GO:0042472" 748
"GO:0042490" 51
"GO:0042493" 1
"GO:0042552" 69
"GO:0042558" 86
"GO:0042594" 212
"GO:0042659" 374
"GO:0042692" 23
"GO:0042742" 975
"GO:0042773" 1
"GO:0042775" 8
"GO:0042787" 579
"GO:0042886" 1
"GO:0042981" 12
"GO:0043009" 24
"GO:0043038" 356
"GO:0043039" 356
"GO:0043044" 55
"GO:0043062" 10
"GO:0043065" 6
"GO:0043066" 196
"GO:0043067" 2
"GO:0043068" 2
"GO:0043069" 40
"GO:0043086" 1
"GO:0043087" 51
"GO:0043094" 2
"GO:0043101" 3
"GO:0043154" 983
"GO:0043161" 4
"GO:0043170" 13
"GO:0043207" 127
"GO:0043241" 280
"GO:0043242" 17
"GO:0043244" 205
"GO:0043254" 916
"GO:0043269" 34
"GO:0043280" 2
"GO:0043281" 22
"GO:0043401" 140
"GO:0043405" 7
"GO:0043406" 1
"GO:0043408" 1
"GO:0043410" 52
"GO:0043412" 54
"GO:0043413" 974
"GO:0043414" 105
"GO:0043434" 179
"GO:0043436" 591
"GO:0043484" 1
"GO:0043491" 10
"GO:0043523" 22
"GO:0043534" 1
"GO:0043542" 25
"GO:0043543" 3
"GO:0043549" 1
"GO:0043562" 45
"GO:0043583" 2
"GO:0043603" 878
"GO:0043604" 111
"GO:0043623" 2
"GO:0043624" 432
"GO:0043628" 34
"GO:0043631" 1
"GO:0043632" 14
"GO:0043648" 9
"GO:0043933" 12
"GO:0044042" 1
"GO:0044057" 4
"GO:0044085" 19
"GO:0044087" 678
"GO:0044106" 28
"GO:0044242" 6
"GO:0044248" 261
"GO:0044249" 94
"GO:0044255" 7
"GO:0044257" 38
"GO:0044260" 19
"GO:0044262" 2
"GO:0044265" 1
"GO:0044267" 277
"GO:0044270" 72
"GO:0044271" 47
"GO:0044272" 87
"GO:0044281" 14
"GO:0044344" 791
"GO:0044700" 2
"GO:0044702" 3
"GO:0044703" 42
"GO:0044707" 470
"GO:0044708" 2
"GO:0044710" 51
"GO:0044711" 226
"GO:0044712" 16
"GO:0044723" 56
"GO:0044728" 6
"GO:0044744" 2
"GO:0044765" 88
"GO:0044767" 243
"GO:0044770" 529
"GO:0044772" 823
"GO:0044782" 957
"GO:0044802" 2
"GO:0045010" 166
"GO:0045017" 379
"GO:0045087" 670
"GO:0045088" 339
"GO:0045089" 32
"GO:0045165" 696
"GO:0045184" 227
"GO:0045197" 954
"GO:0045214" 41
"GO:0045216" 108
"GO:0045321" 11
"GO:0045333" 2
"GO:0045446" 4
"GO:0045454" 838
"GO:0045595" 183
"GO:0045597" 560
"GO:0045637" 533
"GO:0045664" 514
"GO:0045744" 26
"GO:0045765" 48
"GO:0045786" 797
"GO:0045860" 29
"GO:0045892" 12
"GO:0045893" 1
"GO:0045934" 364
"GO:0045935" 1
"GO:0045937" 33
"GO:0045944" 267
"GO:0045995" 162
"GO:0046034" 79
"GO:0046039" 1
"GO:0046040" 82
"GO:0046068" 181
"GO:0046112" 596
"GO:0046128" 53
"GO:0046129" 57
"GO:0046130" 75
"GO:0046131" 59
"GO:0046132" 1
"GO:0046134" 2
"GO:0046148" 853
"GO:0046328" 54
"GO:0046390" 46
"GO:0046394" 3
"GO:0046395" 10
"GO:0046425" 994
"GO:0046456" 338
"GO:0046467" 28
"GO:0046474" 7
"GO:0046483" 29
"GO:0046486" 33
"GO:0046488" 16
"GO:0046496" 2
"GO:0046530" 19
"GO:0046649" 6
"GO:0046683" 121
"GO:0046686" 6
"GO:0046688" 10
"GO:0046700" 46
"GO:0046834" 4
"GO:0046839" 31
"GO:0046854" 18
"GO:0046856" 104
"GO:0046903" 9
"GO:0046907" 231
"GO:0048010" 134
"GO:0048013" 38
"GO:0048017" 829
"GO:0048048" 999
"GO:0048193" 96
"GO:0048278" 10
"GO:0048332" 2
"GO:0048368" 1
"GO:0048384" 86
"GO:0048385" 138
"GO:0048468" 11
"GO:0048469" 38
"GO:0048489" 12
"GO:0048511" 223
"GO:0048513" 17
"GO:0048514" 347
"GO:0048518" 31
"GO:0048519" 20
"GO:0048522" 1
"GO:0048523" 17
"GO:0048534" 75
"GO:0048545" 307
"GO:0048546" 7
"GO:0048562" 42
"GO:0048565" 639
"GO:0048568" 377
"GO:0048583" 29
"GO:0048584" 831
"GO:0048585" 51
"GO:0048588" 1
"GO:0048589" 4
"GO:0048592" 95
"GO:0048593" 193
"GO:0048596" 980
"GO:0048598" 36
"GO:0048634" 403
"GO:0048645" 547
"GO:0048646" 1
"GO:0048666" 1
"GO:0048668" 37
"GO:0048670" 312
"GO:0048675" 2
"GO:0048678" 2
"GO:0048699" 1
"GO:0048701" 6
"GO:0048705" 1
"GO:0048706" 49
"GO:0048709" 282
"GO:0048729" 1
"GO:0048731" 353
"GO:0048732" 869
"GO:0048736" 523
"GO:0048738" 2
"GO:0048741" 275
"GO:0048754" 214
"GO:0048762" 1
"GO:0048791" 396
"GO:0048812" 2
"GO:0048821" 828
"GO:0048839" 1
"GO:0048844" 5
"GO:0048854" 137
"GO:0048856" 2
"GO:0048858" 16
"GO:0048863" 52
"GO:0048864" 7
"GO:0048869" 72
"GO:0048878" 4
"GO:0050654" 125
"GO:0050673" 5
"GO:0050684" 5
"GO:0050767" 375
"GO:0050768" 906
"GO:0050769" 281
"GO:0050776" 866
"GO:0050778" 887
"GO:0050789" 10
"GO:0050793" 29
"GO:0050794" 13
"GO:0050795" 658
"GO:0050801" 24
"GO:0050804" 7
"GO:0050808" 464
"GO:0050817" 306
"GO:0050877" 4
"GO:0050878" 766
"GO:0050896" 109
"GO:0050900" 998
"GO:0050906" 17
"GO:0050920" 964
"GO:0050931" 122
"GO:0050953" 322
"GO:0050982" 2
"GO:0051017" 989
"GO:0051049" 2
"GO:0051056" 10
"GO:0051093" 72
"GO:0051094" 127
"GO:0051125" 424
"GO:0051128" 534
"GO:0051129" 945
"GO:0051130" 127
"GO:0051146" 1
"GO:0051170" 875
"GO:0051171" 82
"GO:0051172" 223
"GO:0051173" 346
"GO:0051179" 49
"GO:0051186" 35
"GO:0051188" 990
"GO:0051216" 133
"GO:0051225" 34
"GO:0051234" 16
"GO:0051235" 522
"GO:0051236" 15
"GO:0051239" 226
"GO:0051241" 1
"GO:0051246" 3
"GO:0051248" 4
"GO:0051252" 2
"GO:0051253" 520
"GO:0051254" 60
"GO:0051258" 29
"GO:0051260" 112
"GO:0051261" 7
"GO:0051271" 3
"GO:0051272" 29
"GO:0051276" 1
"GO:0051301" 19
"GO:0051302" 52
"GO:0051321" 987
"GO:0051336" 9
"GO:0051338" 1
"GO:0051346" 618
"GO:0051347" 295
"GO:0051402" 5
"GO:0051403" 9
"GO:0051453" 48
"GO:0051480" 1
"GO:0051493" 563
"GO:0051494" 754
"GO:0051495" 364
"GO:0051597" 108
"GO:0051603" 44
"GO:0051604" 3
"GO:0051640" 161
"GO:0051641" 30
"GO:0051648" 80
"GO:0051649" 202
"GO:0051650" 25
"GO:0051656" 178
"GO:0051704" 160
"GO:0051707" 164
"GO:0051716" 22
"GO:0051726" 357
"GO:0051783" 277
"GO:0051875" 35
"GO:0051896" 19
"GO:0051904" 131
"GO:0051905" 127
"GO:0051924" 159
"GO:0051960" 332
"GO:0052547" 221
"GO:0052548" 56
"GO:0052646" 164
"GO:0052652" 115
"GO:0055001" 1
"GO:0055002" 1
"GO:0055007" 1
"GO:0055065" 521
"GO:0055074" 14
"GO:0055080" 361
"GO:0055082" 88
"GO:0055085" 326
"GO:0055086" 345
"GO:0055114" 485
"GO:0055123" 109
"GO:0060026" 946
"GO:0060042" 11
"GO:0060047" 74
"GO:0060048" 3
"GO:0060070" 952
"GO:0060215" 45
"GO:0060216" 191
"GO:0060218" 66
"GO:0060255" 1
"GO:0060271" 677
"GO:0060284" 261
"GO:0060322" 282
"GO:0060326" 961
"GO:0060341" 34
"GO:0060389" 1
"GO:0060395" 1000
"GO:0060429" 4
"GO:0060485" 108
"GO:0060537" 57
"GO:0060538" 94
"GO:0060548" 34
"GO:0060828" 223
"GO:0060840" 12
"GO:0060841" 16
"GO:0061008" 25
"GO:0061024" 2
"GO:0061053" 98
"GO:0061061" 21
"GO:0061077" 4
"GO:0061136" 318
"GO:0061138" 53
"GO:0061245" 397
"GO:0061318" 127
"GO:0061351" 1
"GO:0061387" 11
"GO:0061448" 639
"GO:0061515" 991
"GO:0061572" 993
"GO:0065003" 1
"GO:0065004" 9
"GO:0065007" 6
"GO:0065008" 334
"GO:0065009" 19
"GO:0070085" 872
"GO:0070482" 208
"GO:0070588" 1
"GO:0070646" 524
"GO:0070727" 14
"GO:0070848" 26
"GO:0070887" 182
"GO:0070925" 48
"GO:0070972" 28
"GO:0070997" 136
"GO:0071103" 39
"GO:0071310" 10
"GO:0071345" 930
"GO:0071363" 53
"GO:0071375" 243
"GO:0071383" 795
"GO:0071391" 802
"GO:0071396" 406
"GO:0071407" 656
"GO:0071417" 971
"GO:0071466" 792
"GO:0071495" 10
"GO:0071496" 147
"GO:0071559" 4
"GO:0071560" 6
"GO:0071621" 1000
"GO:0071696" 53
"GO:0071702" 249
"GO:0071705" 99
"GO:0071774" 794
"GO:0071804" 30
"GO:0071805" 30
"GO:0071822" 5
"GO:0071824" 2
"GO:0071840" 1
"GO:0071900" 148
"GO:0071902" 32
"GO:0072001" 211
"GO:0072010" 127
"GO:0072112" 127
"GO:0072175" 14
"GO:0072311" 127
"GO:0072330" 1
"GO:0072331" 1
"GO:0072348" 165
"GO:0072358" 494
"GO:0072359" 494
"GO:0072376" 717
"GO:0072503" 17
"GO:0072507" 71
"GO:0072511" 1
"GO:0072521" 41
"GO:0072522" 8
"GO:0072523" 9
"GO:0072527" 590
"GO:0072528" 120
"GO:0072594" 48
"GO:0072657" 30
"GO:0072665" 7
"GO:0072666" 1
"GO:0080134" 785
"GO:0080135" 5
"GO:0090066" 376
"GO:0090090" 260
"GO:0090100" 1
"GO:0090101" 4
"GO:0090130" 1
"GO:0090132" 4
"GO:0090150" 86
"GO:0090287" 513
"GO:0090288" 535
"GO:0090304" 14
"GO:0090407" 46
"GO:0090502" 48
"GO:0090504" 851
