,GSM904985,GSM904986,GSM904988,GSM904989
ADAM10,8.101745394,8.825247133,7.893624031,8.428454353
ADAM11,5.866156573,6.1526904515,6.193447051,5.956849974
ADAM12,5.466074856,5.358886491,4.936413169,5.26135962
ADAM15,7.206931094,7.4535282115,7.380484226,7.4624246825
ADAM17,8.170488621,8.698939223,7.43215747,7.824971603
ADAM18,3.704843202,4.29195956,3.995943212,4.4797420785
ADAM19,5.904254919,6.7517001325,5.92514401,6.1117987915
ADAM2,3.78306154,3.917921116,3.959141245,4.120450855
ADAM20,5.74353156,5.76964032,6.0826631915,5.654455668
ADAM21,4.5235335585,4.59432761,4.414784385,4.3008965935
ADAM22,5.6867195265,5.2180189915,5.444275311,5.3065536105
ADAM23,5.2877970765,4.2079642665,4.0806341885,4.5821385155
ADAM28,5.9800761285,6.6198326415,5.5939740385,6.1833021175
ADAM30,4.3089130525,4.135091171,4.2966123655,4.8348885375
ADAM32,3.287062389,3.95928231,3.487178258,3.375027901
ADAM33,7.830833828,7.1263684965,7.152291819,6.852321544
ADAM3A,4.1291442025,4.1252905,4.2124073665,3.9852525455
ADAM3B,4.468579851,4.565713414,4.637649985,4.263564359
ADAM5,4.262119546,4.5041812955,4.718519909,4.138847877
ADAM6,5.404160426,4.961069548,5.273270157,5.605360319
ADAM7,5.224726964,4.979935997,5.280152553,4.855091928
ADAM8,6.0438012645,6.508664394,6.4682853125,6.2464888135
ADAM9,8.074511814,7.752278284,8.665791385,9.519944001
ADAMDEC1,3.840924224,5.255555885,4.152918339,6.196814248
ADAMTS1,8.776813392,9.562066387,7.7273785875,8.648161926
ADAMTS10,6.5247545125,6.970120987,7.022203778,7.0407974375
ADAMTS12,5.826216995,6.6311695745,6.160805034,6.3396701555
ADAMTS13,6.437161503,6.53741987,6.61272765,6.4931548485
ADAMTS14,5.273215445,6.429044772,6.137108306,5.911300694
ADAMTS15,5.905559811,5.6856768395,6.2662221635,5.1644770435
ADAMTS16,7.251165624,6.390000554,6.800208072,6.118487909
ADAMTS17,5.073822476,5.366280886,5.520370327,5.18925489
ADAMTS18,4.7359939455,5.3013777165,4.232545056,4.8073001425
ADAMTS19,4.8462329985,4.059939856,4.189365024,4.1754677485
ADAMTS2,6.117318743,6.317437203,5.978060947,5.662118934
ADAMTS20,3.41554064,3.322950402,3.3405071905,4.0040029155
ADAMTS3,5.779110644,5.502585667,5.52229963,5.258770971
ADAMTS4,6.748708303,6.429044772,6.457890095,6.721344588
