,GSM904985,GSM904986,GSM904988,GSM904989
C1RL-AS1,6.2670952485,5.956067263,6.4586468395,6.2033460235
C21orf91-OT1,5.208137915,4.636220615,5.106648448,4.669230576
C3orf36,5.323795959,5.768480089,5.632175057,5.690379255
C3P1,6.666651985,6.513429425,6.937793774,6.769669952
C8orf34-AS1,3.847106683,4.960827945,3.570613348,4.322899301
C8orf44,6.117787162,6.429044772,6.48313711,6.961291825
C9orf163,7.118611496,6.909753428,7.299446977,7.108557938
CABIN1,7.8287939015,8.0332056065,7.6749563545,7.3395525555
CACNA1G-AS1,6.102081529,6.03946707,6.829139152,5.804500317
CADM2-AS1,3.289496723,2.923852023,3.008912786,3.525755741
CADM3-AS1,5.572827309,5.021539332,5.846672464,5.297235595
CAHM,5.915169514,6.506559895,5.965838088,6.113617309
CAPN15,6.342806784,7.107829672,6.5038688505,7.0099205465
CARD8-AS1,6.024858011,6.2535381455,5.6623555755,6.630482194
CARMN,6.6565270095,6.617799591,6.192048394,6.5166851195
CASC11,5.041889638,4.414629973,4.697514912,4.274188256
CASC15,5.274445682,5.326196712,5.630401544,5.3724764785
CASC16,5.55300074,4.867197802,5.448748736,5.380629145
CASC17,4.520226674,4.427558425,4.422032709,4.415122783
CASC18,5.029717997,4.552934469,5.057191367,4.63293585
CASC2,4.763078982,4.283029708,4.78939155,5.112810561
CASC22,3.777986935,3.792362823,4.058994239,4.276994891
CASC23,5.854185617,5.527534274,5.493137923,5.701141615
CASC6,3.740873405,3.873350356,3.935655943,3.943185376
CAST,8.908216352,9.351850135,8.799323211,10.00739602
CATIP-AS1,7.062477318,6.188997967,6.985422791,6.631080854
CBR3-AS1,7.1529769435,6.767153983,7.3290284005,6.968613647
CCDC13-AS1,4.395062658,4.523613077,4.014560163,4.579054728
CCDC140,3.499214079,4.147150254,3.720816804,3.669746599
CCDC144NL-AS1,3.720426904,3.347350968,3.4361395425,3.9761257005
CCDC148-AS1,3.663662352,3.687852132,3.8003614,3.330667621
CCDC18-AS1,7.417520401,7.716548558,8.0067269155,7.898297036
CCDC26,3.841343858,3.22989555,3.372595152,3.492701045
CCEPR,7.66748655,7.264541607,8.488502543,9.106879112
CCNT2-AS1,6.289986919,5.330499369,4.795715276,5.59697907
CD81-AS1,5.651482209,5.779699601,6.081062431,5.720354816
CD99P1,5.6600932655,6.2926115445,5.780445426,6.024627428
CDC42-IT1,4.412645126,4.801963232,4.928781307,5.466799074
CDKN2A-AS1,5.181359163,5.795677645,5.113815184,5.409482115
CDKN2B-AS1,3.504865986,4.262010052,3.552586012,3.94560659
CDR1,3.262041514,3.474423843,3.507048011,3.242722289
CECR3,5.250132486,5.475003987,5.46469356,5.116038354
CELF2-AS1,5.103302262,4.694721821,5.167941973,4.782322381
CES1P1,4.988054761,5.957941734,6.119035814,5.276447877
CFLAR-AS1,4.262075599,4.576227386,4.640390549,4.665755624
CHL1-AS1,3.483516611,3.599537586,3.636654082,3.262726041
CHRM3-AS2,3.969580667,3.430734031,3.630156626,3.958746975
CIRBP-AS1,5.899531242,6.0440923075,6.2520022675,5.923470341
CKMT2-AS1,6.1523835915,5.8611114125,6.0752949405,5.593828721
CLDN10-AS1,3.677883088,3.367137345,3.838546318,3.430776718
CLIP1-AS1,4.861982098,5.05210532,5.345657076,4.926688357
CLSTN2-AS1,4.327245173,4.282963027,4.233397866,4.486931795
CLYBL-AS1,4.507257956,4.31657206,4.281427404,4.13411139
CLYBL-AS2,4.404251972,4.438615242,4.728021455,4.625258261
CMAHP,6.484064237,5.9942199085,6.4828593345,7.032659667
CNTFR-AS1,4.8918206945,4.560627844,4.6684482885,4.5162862785
COL18A1-AS1,6.225710455,5.775547912,6.303082968,6.007053409
COLCA1,9.8449823205,9.557354573,9.893000691,9.7321798805
COPG2IT1,7.619119907,5.753409067,6.563342161,5.234957222
CPEB1-AS1,4.18468508,3.875345856,4.063717616,3.921346484
CPS1-IT1,4.820256799,5.106613086,5.15049639,5.463121867
CRNDE,8.385046278,9.872065819,7.692485473,11.0909929
CSMD2-AS1,5.616860334,5.567717956,5.868798688,5.709344053
CSNK1G2-AS1,6.377820061,6.148680233,6.51023216,6.256909529
CSPG4P1Y,5.863703205,5.804021749,5.979840406,6.045177678
CT62,4.988054761,4.930677883,5.143002844,4.805553293
CTBP1-AS,4.793027469,5.545246529,4.763238172,5.092669828
CYP1B1-AS1,4.8099507535,4.553869602,5.1197971915,4.927023736
CYP4F30P,3.680000006,3.465689277,3.10803816,4.170469131
CYP4Z2P,4.487074966,4.277985859,3.45714308,3.714577397
CYP51A1-AS1,4.509358541,4.056712561,3.792855752,4.364441029
DAB1-AS1,3.367754665,3.449465142,3.478758238,3.072388108
DACT3-AS1,4.747812937,4.181206596,4.388972852,4.497432923
DANCR,11.43109677,9.551956293,11.02361606,8.423688979
DANT2,5.01123716,5.515892864,5.153596542,5.059973348
DAOA-AS1,3.300638444,3.058903721,3.204839864,3.846300019
DAPK1-IT1,5.874645004,6.048341295,5.8095491,5.613779027
DAXX,8.0379924765,8.3821139285,8.010538982,7.870173846
DBH-AS1,6.489700275,5.857489015,6.449689161,5.344475697
DBIL5P,5.779803616,5.466092959,5.38055722,5.396987395
DCTN1-AS1,3.500683105,3.127472793,3.603550515,3.891281951
DDC-AS1,5.076218784,4.912578416,5.262852997,4.777338246
DDX11-AS1,3.331666159,3.394276427,3.559491901,3.094860078
DEFB122,3.992931549,4.217172364,4.063717616,5.254028133
DEPDC1-AS1,3.321814539,3.349695767,3.262088745,3.48377397
DGCR11,6.293408723,7.181534478,6.108337588,6.338894994
DGCR5,6.4468654755,10.1370921325,7.090507145,9.966278632
DHRS4-AS1,8.427728391,7.903938211,9.0349417345,7.287899623
DIAPH2-AS1,4.1745671495,4.1054244355,4.274186183,4.8218843785
DIAPH3-AS1,4.126204632,3.759797691,3.858242986,3.905567268
DICER1-AS1,5.7443345825,5.451006908,5.856958828,5.734130558
DIO2-AS1,4.118361975,4.113016961,4.636411416,4.057624922
DIO3OS,5.854633953,5.7245035005,5.813424841,5.7663478105
DIRC1,3.243314646,3.027386874,3.393792597,3.345088749
DIRC3,5.400699393,5.559904461,5.101352468,5.896402255
DISC1FP1,3.498226707,3.185800356,3.277419679,3.608546148
DLEU1,8.190026821,8.231898672,9.135655371,9.538135108
DLEU2,4.85233329,5.124952258,4.697874996,5.05998556
DLG1-AS1,4.779184477,3.855940473,4.701701368,4.230372357
DLG3-AS1,6.712452913,6.399807591,6.726813258,6.382064525
