	TCGA-3X-AAV9-01	TCGA-3X-AAVA-01	TCGA-3X-AAVB-01	TCGA-3X-AAVC-01	TCGA-3X-AAVE-01	TCGA-4G-AAZO-01	TCGA-4G-AAZT-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2I-01	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2R-01	TCGA-W5-AA2T-01	TCGA-W5-AA2U-01	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA31-01	TCGA-W5-AA33-01	TCGA-W5-AA34-01	TCGA-W5-AA36-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-W6-AA0S-01	TCGA-WD-A7RX-01	TCGA-YR-A95A-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y4-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-ZH-A8Y8-01	TCGA-ZU-A8S4-01	TCGA-W5-AA2I-11	TCGA-W5-AA2Q-11	TCGA-W5-AA2R-11	TCGA-W5-AA2U-11	TCGA-W5-AA2X-11	TCGA-W5-AA30-11	TCGA-W5-AA31-11	TCGA-W5-AA34-11	TCGA-ZU-A8S4-11
RBM15	112.194	111.492	108.424	333.56	194.757	200.172	263.102	187.729	299.001	173.119	102.799	209.164	294.669	126.392	234.5	190.272	207.169	167.929	261.486	189.577	267.712	123.203	87.5576	102.101	176.95	109.52	133.854	130.911	170.874	259.237	146.246	124.031	91.8837	171.123	190.124	100.71	147.799	118.457	207.632	138.431	162.393	113.444	168.784	174.578	165.083
RBM15B	1654.69	1240.42	1895.78	1050.24	1757.96	1066.21	1523.54	1133.92	1773.99	2026.81	1292.77	1824.76	1125.42	1331.27	1024.1	1113.68	2138.73	1349.13	1679.19	1458.32	1577.52	1496.2	1407.49	1326.61	619.988	1276.52	1304.67	2034.31	1391.17	1397.92	1695.27	1528.28	2128.16	1614.35	1150.92	1829.76	783.711	1063.93	1206.63	1059.99	1015.04	944.74	797.795	1002.85	1020.22
RBMX	2578.66	3765.58	2574.45	2962.8	4124.5	2587.63	3859.64	2581.02	4459.43	2651.44	3262.65	4419.6	4595.81	3365.62	2705.52	4059.66	3965.81	3966.15	3740.47	2968.43	3585.67	2954.31	2789.75	2197.36	2142.03	4724.26	3553	3089.39	3400.97	3454.73	4618.01	3656.01	3349.78	2265.5	2482.72	2994.89	1237.95	1670.8	1474.28	2335.47	1857.91	1919.83	1329.4	1744.97	1356.5
WTAP	1493.2	817.038	1372.55	1652	2268.89	951.031000000001	930.883000000001	865.233	2521.22	786.659	966.631000000001	1436.57	2132.07	937.046	841.229	955.089	2073.73	881.069	1207.72	1185.97	1045.56	1450.72	671.083	1329.75	1515.72	1198.25	1120.38	869.665	967.476	1661.31	1037.87	913.76	695.171	1390.75	1032.1	2194.19	808.176	1128.1	1399.38	1166.62	1304.49	999.182	878.403	794.047	1030.68
YTHDC1	1407.19	2160.09	1663.3	1641.64	1447.5	1361.68	1109.52	1037.76	2242.2	2317.31	964.478	1963.94	1369.26	2105.08	1694.61	1091.53	1271.08	1773.72	1877.32	1563.64	1826.77	1612.42	1110.02	714.216	750.873	1670.34	1806.82	1854.67	1983.98	1728.77	1330.89	852.713000000001	2257.84	1511.21	1238.27	1086.38	993.711	1103.31	1327.33	1463.58	1342.95	1364.6	1151.54	1135.96	1242.47
YTHDC2	551.443	554.603	979.215	476.904	1121.01	542.096	289.837	681.175	958.802	653.245	863.294	768.774	1168.96	733.172	697.648	1442.76	547.519	1378.17	803.03	958.252	1588.51	659.651	495.392	491.451	830.035	783.505	812.966	669.55	680.097	807.322	1081.9	1115.31	647.284	1285.67	872.428	405.335	670.86	449.036	959.469	651.968	875	622.852	813.975	921.159	836.275
YTHDF1	2140.45	1496.28	1303.03	1640.55	1662.4	1541.24	1509.34	1549.03	1296.5	1722.96	1446.72	1411.54	1702.79	1261.5	1278.72	1275.41	1914.02	959.466	1874.88	1825.42	1333.65	1633.98	1347.35	1429.41	1154.83	1213.89	1477.45	1401.38	1540.29	1485.34	1391.69	1200.58	1601.43	1345.34	1956.79	1190.08	1185.53	1070.25	1224.93	1181.13	1207.27	1137.71	1048.09	1145.62	1159.92
YTHDF2	1405.01	1123.5	1641.42	1790.43	1020.28	1092.78	1497.8	1110.64	1639.2	1172.48	1007	955.876	1182.38	846.489	999.662	892.731000000001	1550.2	1012.03	1462.85	1435.16	1326.53	1209.45	1207.37	2211.04	1749.71	984.003	1188.86	1324.11	1374.27	1444.86	1028.44	1198.16	970.437	1362.23	1438.68	1638.79	1308.18	1275.48	1643.04	1291.65	1537.39	1194.44	1311.25	1382.14	1396.69
YTHDF3	1341.86	1634.08	1304.49	2419.95	1697.02	1375.43	952.757	1616.68	964.419	1066.11	520.452	1462.88	2154.27	1462.47	1360.64	1868.61	1237.91	1768.82	1045.45	1927.98	1275.75	910.164	1007.49	955.055999999999	2098.95	1228.58	810.352	1644.75	1320.87	1822.66	1597.17	1596.41	2825.96	1956.66	1358.85	1169.64	1598.53	1493.11	1953.07	1578.57	2154.91	1603.49	2131.58	2167.34	1889.76
ZC3H13	1174.74	1483.13	1561.69	1653.09	1195.4	1106.53	405.286	1138.96	696.005	971.755	536.06	2185.41	1008.9	773.85	916.395	2035.43	1304.76	1115.81	938.416	1556.6	1244.9	394.25	722.35	481.192	3722.93	2895.6	932.166	1209.34	1593.2	1543.81	1776.96	1456.88	1514.13	1713.48	961.728	1110.81	2163.52	1082.64	1412.66	1173.32	2435.9	1496.59	1458.26	1062.75	4164
