	TCGA-02-0047-01	TCGA-02-0055-01	TCGA-02-2483-01	TCGA-02-2485-01	TCGA-02-2486-01	TCGA-06-0125-01	TCGA-06-0125-02	TCGA-06-0129-01	TCGA-06-0130-01	TCGA-06-0132-01	TCGA-06-0138-01	TCGA-06-0141-01	TCGA-06-0152-02	TCGA-06-0156-01	TCGA-06-0157-01	TCGA-06-0158-01	TCGA-06-0168-01	TCGA-06-0171-02	TCGA-06-0174-01	TCGA-06-0178-01	TCGA-06-0184-01	TCGA-06-0187-01	TCGA-06-0190-01	TCGA-06-0190-02	TCGA-06-0210-01	TCGA-06-0210-02	TCGA-06-0211-01	TCGA-06-0211-02	TCGA-06-0219-01	TCGA-06-0221-02	TCGA-06-0238-01	TCGA-06-0644-01	TCGA-06-0645-01	TCGA-06-0646-01	TCGA-06-0649-01	TCGA-06-0686-01	TCGA-06-0743-01	TCGA-06-0744-01	TCGA-06-0745-01	TCGA-06-0747-01	TCGA-06-0749-01	TCGA-06-0750-01	TCGA-06-0878-01	TCGA-06-0882-01	TCGA-06-1804-01	TCGA-06-2557-01	TCGA-06-2558-01	TCGA-06-2559-01	TCGA-06-2561-01	TCGA-06-2562-01	TCGA-06-2563-01	TCGA-06-2564-01	TCGA-06-2565-01	TCGA-06-2567-01	TCGA-06-2569-01	TCGA-06-2570-01	TCGA-06-5408-01	TCGA-06-5410-01	TCGA-06-5411-01	TCGA-06-5412-01	TCGA-06-5413-01	TCGA-06-5414-01	TCGA-06-5415-01	TCGA-06-5416-01	TCGA-06-5417-01	TCGA-06-5418-01	TCGA-06-5856-01	TCGA-06-5858-01	TCGA-06-5859-01	TCGA-08-0386-01	TCGA-12-0616-01	TCGA-12-0618-01	TCGA-12-0619-01	TCGA-12-0821-01	TCGA-12-1597-01	TCGA-12-3650-01	TCGA-12-3652-01	TCGA-12-3653-01	TCGA-12-5295-01	TCGA-12-5299-01	TCGA-14-0736-02	TCGA-14-0781-01	TCGA-14-0787-01	TCGA-14-0789-01	TCGA-14-0790-01	TCGA-14-0817-01	TCGA-14-0871-01	TCGA-14-1034-01	TCGA-14-1034-02	TCGA-14-1402-02	TCGA-14-1823-01	TCGA-14-1825-01	TCGA-14-1829-01	TCGA-14-2554-01	TCGA-15-0742-01	TCGA-15-1444-01	TCGA-16-0846-01	TCGA-16-1045-01	TCGA-19-0957-02	TCGA-19-1389-02	TCGA-19-1390-01	TCGA-19-1787-01	TCGA-19-2619-01	TCGA-19-2620-01	TCGA-19-2624-01	TCGA-19-2625-01	TCGA-19-2629-01	TCGA-19-4065-01	TCGA-19-4065-02	TCGA-19-5960-01	TCGA-26-1442-01	TCGA-26-5132-01	TCGA-26-5133-01	TCGA-26-5134-01	TCGA-26-5135-01	TCGA-26-5136-01	TCGA-26-5139-01	TCGA-27-1830-01	TCGA-27-1831-01	TCGA-27-1832-01	TCGA-27-1834-01	TCGA-27-1835-01	TCGA-27-1837-01	TCGA-27-2519-01	TCGA-27-2521-01	TCGA-27-2523-01	TCGA-27-2524-01	TCGA-27-2526-01	TCGA-27-2528-01	TCGA-28-1747-01	TCGA-28-1753-01	TCGA-28-2499-01	TCGA-28-2509-01	TCGA-28-2510-01	TCGA-28-2513-01	TCGA-28-2514-01	TCGA-28-5204-01	TCGA-28-5207-01	TCGA-28-5208-01	TCGA-28-5209-01	TCGA-28-5213-01	TCGA-28-5215-01	TCGA-28-5216-01	TCGA-28-5218-01	TCGA-28-5220-01	TCGA-32-1970-01	TCGA-32-1980-01	TCGA-32-1982-01	TCGA-32-2615-01	TCGA-32-2616-01	TCGA-32-2632-01	TCGA-32-2634-01	TCGA-32-2638-01	TCGA-32-4213-01	TCGA-32-5222-01	TCGA-41-2571-01	TCGA-41-2572-01	TCGA-41-3915-01	TCGA-41-4097-01	TCGA-41-5651-01	TCGA-76-4925-01	TCGA-76-4926-01	TCGA-76-4927-01	TCGA-76-4928-01	TCGA-76-4929-01	TCGA-76-4931-01	TCGA-76-4932-01	TCGA-06-0675-11	TCGA-06-0678-11	TCGA-06-0680-11	TCGA-06-0681-11	TCGA-06-AABW-11
RBM15	87.8945	148.003	155.859	165.238	80.4878	106.335	133.16	198.203	134.09	79.614	63.5798	88.2957	124.729	155.682	99.577	106.573	91.7431	177.819	172.466	73.0348	112.8	125.994	159.89	118.072	128.267	116.076	95.822	94.4504	91.3391	208.521	108.42	78.4697	103.502	116.903	69.3117	94.3396	68.8924	83.7144	92.0662	97.561	74.5165	90.5743	129.311	96.2384	182.886	139.549	130.303	178.384	102.006	125.84	73.6283	138.475	116.497	169.589	161.425	139.983	163.887	91.5571	70.9024	81.611	121.369	111.809	109.669	265.078	146.947	157.323	155.955	141.75	116.769	162.193	103.525	126.866	202.006	136.79	116.971	89.8973	135.604	145.033	76.6259	98.3747	60.8794	98.6614	77.6488	170.562	84.6416	98.2282	201.278	123.736	258.964	63.1654	70.5176	118.729	72.2232	91.6104	94.7368	120.775	136.487	100.935	140.676	114.163	181.948	181.309	104.651	94.3223	122.95	302.234	97.3985	159.639	115.951	197.157	96.4866	195.087	201.154	290.984	129.747	191.554	108.237	119.479	114.71	120.144	116.377	107.837	97.5323	108.181	84.5908	105.408	111.993	65.7303	106.14	83.0585	123.258	101.446	203.908	75.9931	84.1414	129.925	126.93	107.466	109.674	158.949	59.9455	130.559	131.898	143.064	91.4808	140.059	87.0098	101.394	150.756	161.888	118.265	237.864	112.04	145.454	108.094	123.061	100.68	144.269	104.374	110.925	163.738	69.6798	113.253	80.631	138.47	127.529	149.751	123.707	108.752	105.741	97.4359	94.9749
RBM15B	1327.67	1356.62	3150.11	1504.23	699.896	1937.69	1651.28	2525.85	1504.44	890.326	1119.74	1160.77	1850.99	2338.91	1327.72	1436.3	1706.81	1402.97	1939.61	943.156	1415	1737.78	1675.73	1875.51	1659.19	2295.61	1898.2	1789.22	694.203	2890.3	1309.42	1709.72	1498.33	1692.77	1488.17	2505.94	1315.37	1828.39	957.891	1579.92	1173.85	1596.5	966.268	1317.71	1808.89	2295.14	1228.24	1421.54	1300.72	1356.49	1486.16	1566.23	1641.53	1440.78	1392.84	2039.58	1975.32	1226.86	1230.16	1180.29	1579.5	1234.33	1544.28	1858.07	1291.18	1289.39	1620.66	1891.97	781.304	1761.96	1574.38	1489.02	2039.66	2203.45	1368.96	1671.42	861.054	1198.46	526.349	1559.09	732.976	1239.4	1970.8	1506.15	1078.14	1071.37	3170.77	1558.31	1479.79	511.682	662.138	3263.44	449.294	997.223	2559.32	1427.52	1309.42	1434.65	1829.5	1714.33	2515.73	1799.92	1784.42	1395.44	1847.35	1206.05	2371.79	1347.22	2241.09	2725.69	1197.26	1739.06	1646.9	2114.63	1797.48	1688.6	1688.36	1942.84	523.714	1461.61	1655.19	1578.91	1794.09	1767.94	2408.11	2039.56	1485.4	755.635	1390.09	1818.07	2468.49	1268.63	1976.73	1478.13	1387.76	1327.53	2096.86	1996.42	1553.94	2415.86	924.687	2390.88	2294.86	3029.3	697.204	1606.25	1076.56	1030.27	1747.22	1961.14	1706.16	2377.74	1410.12	1447.43	885.797	2528.22	1259.4	1878.63	1399.32	2232.34	2545.64	1783.99	1997.49	1613.77	2244.17	2205.98	1815.07	1171.57	1162.98	1061.79	1128.68	1215.12
RBMX	2778.82	2697.13	7143.85	5823.33	2690.24	3907.92	2122.24	5684.21	3512.12	1750.3	3644.09	2533.37	3161.54	4163.14	4091.84	3171.64	2346.33	1785.57	5036.31	8317.51	2435.02	2730.67	3418.88	2901.91	2627.3	2536.67	3288.83	3291.36	5359	3952.38	5595.16	2784.05	2846.84	3061.54	2491.34	4710.32	2974.56	4521.12	3798.9	3815.77	2783.85	2629.38	3176.59	2359.26	2582.06	3613.33	3914.65	4692.03	2394.93	2761.31	4088.26	3345.37	4889.88	3570.72	4835.87	4150.09	3760.57	2013.81	3393.65	2660.84	5388.99	3108.67	3639.84	4382.73	5967.56	2874.01	3918.61	3302.64	3743.29	3642.26	5730.34	4293.79	3853.17	4885.63	5329.28	7429.79	4621.47	3501.09	3924.02	3407.19	2391.21	1783.34	2999.27	1726.47	3964.51	4985.97	5859.42	2174.14	3555.78	5176.72	4077.27	4774.25	4837.5	3636.45	4090.53	2916.18	2714.61	2262.93	2790.62	2003.59	4486.01	4226.96	2970.51	2879.12	4515.73	2553.66	3794.38	3834.18	3301.05	6284.27	2612.48	3155.75	2919.49	4000	2654.43	4117.65	2460	3194.27	4429.96	3271.99	2528.53	3083.05	2915.39	2714.75	4493.01	5029.7	3801.17	2598.31	3414.56	3777.7	4320.47	2749.6	3568.14	2237.77	2546.92	3091.48	4020.94	4051.84	5183.91	3857.97	3337.87	3627.21	3661.81	4509.1	4300.17	2960.82	1995.39	3604.56	3215.98	2551.21	3073.22	5110.29	2785.38	3128.67	5364.5	3199	2917.89	3180.5	2300.08	5545.63	3680.67	3305.08	3022.49	3227.43	2919.6	4158.59	3473.63	1541.62	1655.24	1612.94	1585.47	2349.25
WTAP	2402.66	4253.4	2499.21	2248.57	5700	2663.68	2995.58	2130.7	1995.36	4733.41	4875.6	3635.52	2498.95	6784.15	1840.73	3138.17	5926.61	2518.67	2052.95	2674.61	2249.63	2745.78	3051.69	4700.15	4268.64	2941.72	4132.61	5522.41	7954.98	1396.49	2738.75	1756.05	6390.49	3331.97	2648.74	2000	2595.12	2669.68	2773.87	2135	2468.15	2521.89	5871.97	3163.21	1616.95	1258.85	2321.72	3255.51	1428.17	2060.9	2022.89	3458.18	2470.66	3353.1	2767.2	1953.13	3074.54	4002.56	2582.41	3056.17	1702.73	3942.72	1544.52	1927.03	2893.13	5429.89	2200.7	1843.66	1601.78	2268.87	2531.26	2271.8	6006.84	5713.54	1494.93	2706.34	3333.55	1063.09	2655.51	1663.39	4167.98	2486.86	2399.13	6088.44	1630.03	3726.72	1849.84	2976.31	1618.86	6654.36	6072.02	2108.7	7827.1	4882.84	1340	1844.07	2494.56	2712.15	1872.41	5314.92	1452.33	2184.75	1837.62	2057.69	2058.79	3442.77	2223.1	3067.82	1890.85	920.679	1567.38	3779.74	1912.21	1680.33	1560.76	2645.55	4549.38	4198.44	4239.32	2567.46	1883.1	1367.72	1592.24	5365.98	2775.64	1801.77	3371.76	2395.51	2180.39	1388.54	1287.25	1274.61	2076.15	1495.68	6098.76	2344.64	1177.71	2434.45	3096.26	1469.28	7450.95	1622.72	2737.82	1293.38	1718.7	1946.13	1491.37	3116.18	3003.89	2473.57	1969.05	2303.79	3402.12	4372.03	3368.02	1773.49	1901.93	2815.55	1266.31	1872.92	1937.42	3574.86	1984.74	1958.81	1055.28	1150.59	2656.72	1044.54	1340.33	1004.93	1138.89	1219.1
YTHDC1	1202.25	898.108	1710.18	1426.19	1251.22	1311.06	1408.06	1924.68	1078.91	896.864	885.28	1031.83	1314.25	1061.47	1261.63	1441.81	1011.47	1281.56	1416.04	648.856	1006.87	1290.27	1183.18	1227.28	1290.9	1276.83	1182.56	1155.82	849.454	1844.11	1426.76	835.772	1106.64	1186.59	1153.04	1202	1317.96	1297.3	956.725	1593.19	1232.08	963.579	1398.04	1136.69	1756.54	1284.19	1307.07	1577.12	1226.48	1162.11	1159.65	1328.22	1637.33	1335.46	1167.67	1746.21	1741.36	939.912999999999	1040.06	964.494	1259.17	1262.85	1203.77	1233.8	2043.89	1136	1457.98	1378.76	1348.19	1389.38	1254.17	1794.58	1136.8	1582.5	1169.03	922.945000000001	850.9	1277.74	757.244	1298.12	660.654	1006.45	1124.82	1639.29	1423.89	857.264	1690.1	1393.09	1450.86	1028.39	947.487	934.783	755.791	1375.12	1380.53	1566.92	1632.09	999.377	1815.7	1057.06	1458.43	1298.02	1323.51	1448.72	1472.92	1267.1	1313.63	973.512	1118.7	2604.77	1472.47	1388.84	1361.93	1313.52	1064.56	1642.53	1480.19	1423.44	1015.89	1325.05	1362.33	1490.96	1051.7	1246.5	1382.97	1352.61	975.595	882.023	1362.68	1225.85	1421.22	1279.63	1101.2	1236.04	876.622	1288.65	1308.12	1543.4	1492.82	1546.3	907.357	1352.12	1545.34	1214.76	1153.8	1602.35	906.706	1064.64	1325.7	1150.14	1110.25	1546.12	1210.3	854.545	1248.37	841.996000000001	853.643999999999	1156.79	1120.49	2076.49	1488.64	1403.95	1154.22	1099.04	1309.88	1335.53	1402.49	1376.52	1572.66	1315.84	1352.56	1872.86
YTHDC2	551.338	487.736	398.945	677.619	340.854	804.644	552.926	1107.59	806.601000000001	402.292	512.785	966.119	678.349	803.995	543.807	602.004	305.046	651.088	445.789	388.238	476.704	340.578	560.717	547.122	588.093	418.65	523.615	491.996	509.542	840.1	452.134	467.568	519.08	566.952	656.842	431.743	642.819	638.93	341.96	651.617	378.84	547.265	767.384	627.948	673.5	666.597	560.606	686.254	902.535	630.99	734.867	608.503	973.639	572.947	373.333	632.908	541.138	475.582	568.14	468.469	471.308	476.658	614.155	1025.32	667.939	417.875	697.465	530.538	775.933	392.918	439.555	487.824	545.828	470.727	300.203	384.418	426.092	469.181	260.786	281.865	392.334	516.609	472.424	456.728	515.358	406.52	373.802	325.939	660.027	682.754	828.957	473.244	490.972	423.337	567.368	470.031	475.072	733.956	547.437	728.468999999999	853.973999999999	391.473	509.967	565.018	932.439	524.457	556.92	626.203	591.417	800.092	682.748	468.595	331.076	766.393	418.354	607.843	568.955	682.812	601.609	618.268	531.856	967.18	431.257	552.207	342.329	513.274	314.418	169.663	508.329	522.291	665.595	614.705	461.924	613.126	449.351	729.792	504.235	601.053	519.157	516.474	452.316	590.746	587.173	413.726	501.429	503.918	417.01	540.769	620.734	385.22	459.243	714.354	604.953	311.888	455.002	331.499	408.821	483.531	780.506	627.762	474.925	491.055	363.052	439.965	481.854	612.706	381.592	880.346	787.497	911.817	672.222	590.955
YTHDF1	1739.45	1539.45	1568.76	1339.05	1333.54	2546.34	2782.31	1526.64	1589.48	1474.07	2514.86	1768.48	2203.1	1765.31	2535.83	2925.02	1371.56	2348.68	1757.44	1546.8	1794.51	2225.34	1955.07	1357.55	2304.45	1967.95	2001.82	2506.4	1351.82	1521.8	1707.04	1578.68	2894.93	1977.31	1357.73	1385.13	2292.53	1718.04	2213.83	3271.24	1533.56	2019.92	1683.16	2432.95	2251.76	2016.41	1567.17	1662.64	1599.44	2118.23	1797.76	2053.95	2032.31	1848.9	1892.15	1582.51	1588.07	1431.86	1263.35	1802.86	1391.82	3991.76	2960.9	1461.65	1763.36	2018.4	1633.67	1371.47	1684.68	1970.07	1732.76	1772.58	2084.82	2389.12	2565.92	1378.42	1708.87	1533.72	1516.42	1960.65	1367.53	1603.87	2293.18	1789.01	1530.38	1362.44	2214.06	1676.17	3062.42	1929.74	2497.37	1384.62	1224.88	2570.88	2708.95	1739.52	2438.97	1449.84	1781.35	1688.28	1395.34	1454.35	2472.18	2870.88	1624.76	2349.81	1847.24	1642.48	1308.5	1645.12	1783.95	1981.85	2379.73	1483.61	1543.04	1969.83	2496.26	1910.94	1656.28	2885.85	1318.01	1964.5	1876.62	2174.92	2949.22	2166.76	1287.62	2633.71	2499.76	2182	1558.41	1498.59	2560.12	1369.6	3812.62	1533.3	1365.86	1393.28	1446.84	1598.4	1621.25	1695.54	1449.1	1765.1	1460.83	1761.02	1308.33	1279.26	1806.05	1445.59	1746.89	2372.95	2429.64	1946.85	1433.38	2822.75	2368.11	1833.99	1303.91	2360.51	2486.07	2284.37	1847.39	1769.06	2379.68	1931.29	1842.79	1327.04	1453.23	1118.96	1235.9	1530.65
YTHDF2	1359.6	1800.7	2647.81	1844.29	1488.41	1731.11	1408.06	1829.91	2151.62	1508.44	1406.36	1793.12	1505.93	1702.16	1706.83	1265.22	1084.86	1469.42	2132.12	2193.35	1805.79	2366.91	2014.06	2042.15	1972.89	1947.06	1706.63	1891.68	2100.15	1871.18	2025.37	1853.56	1596.45	1651.69	1720.49	1951.17	1339.16	1708.85	1546.88	1547.36	1205.92	1718.73	2111.37	1538.89	1497.64	1849.44	1805.56	1654.25	1614.08	1008.96	1500.41	1437.84	935.799	1641.48	2037.05	1821.01	2017.89	1612.38	1563.08	1749.87	2258.7	1510.79	1409.53	2119.14	1883.59	888.356	2365.8	1638.1	1948.97	1969.16	2072.19	1659.07	2291.84	2745.83	1638.27	1646.4	1510.93	1700.51	1977.46	1870.4	1558.06	1427.86	1534.83	1586.86	1624.57	2102.34	2249.2	2384.19	1822.71	1624.56	2052.51	1754.18	1999.64	1776.28	1821.58	1615.59	1757.59	1383.8	1764.45	2416.15	1027.37	2023.69	1228.41	1379.12	1791.44	2814.35	1998.75	2009.26	1539.11	2464.01	1258	1709.79	2382.74	2192.62	1300	1888.39	1719.33	1745.31	2298.33	1551.32	1461.5	1803.08	1573.44	1874.06	1961.89	1879.25	2362.63	1580.9	1748.69	1462.81	1797.43	1527.72	2070.14	1284.97	1401.16	1588.13	1747.15	1779.4	2127.87	2209.26	1550.41	1773.53	2281.05	2213.63	1777.59	1669.93	1551.32	1441.49	1579.27	1778.19	1704.34	1667.33	1580.58	1636.36	2015.08	2139.14	1581.59	1479.58	1426.71	2179.49	2048.01	1689.74	1701.2	1811.57	2081.52	1741.18	1030.35	1356.28	1406.11	1349.77	1417.95	1223.62
YTHDF3	1384.19	2567.62	1882.85	1159.52	825	1626.4	1760.21	1727.72	1638.47	1772.01	1433.31	1622.69	1427.16	1849.14	1533.78	1460.75	1238.53	1941.35	1827.53	1447.63	1533.1	1455.52	1636.39	1764.98	1898.35	1626.52	1786.1	1701.71	1653.89	1560.9	1636.68	1523.43	1392.05	1424.91	1354.49	1130.97	973.502999999999	1206.03	1079.76	1318.21	870.876	1043.24	1705.42	1561.89	1655.65	1451.56	1826.77	1823.71	1496.34	1672.19	1591.98	1725.49	1855.02	1614.71	2815.81	1409.59	1174.16	1460.5	1289.59	1456.81	1681.09	1529.62	1632.71	1411.76	2196.56	1884.41	1545.11	1494.53	1504.18	1584.92	1501.95	1497.64	1378.02	1764.16	1584.18	1480.31	1938.3	1733.14	1495.81	1635.16	1352.87	1324.74	991.292	1578.02	1545.39	1545.57	1495.21	1114.83	1142.76	2361.25	1673.67	1802.68	2791.9	2037.61	935.263	1689.95	876.218	1505.92	1298.8	1582.58	1595.2	1079.24	1285.3	1280.22	1114.39	1139.06	1135.07	1747.48	1362.27	1596.52	1088.62	1281.86	1576.62	1397.54	981.646	1283.56	1549.33	1522.92	2752.22	1147.57	1549.58	1118.55	1148.06	1310.01	1267.98	1419.08	884.564	1711.24	1687.29	1056.8	1367.63	1523.2	1263.03	1048.36	1559.9	1396.46	1610.76	1311.19	1852.01	1706.14	1777.93	2193.64	1247.57	3426.45	1304.75	1366.8	1047.83	1407.69	1402.16	1423.14	1440.73	1777.9	1767.69	1697.9	1612.37	1155.83	1533.39	1431.49	1727.55	1228.71	1488.64	1665.72	1227.31	1404.47	1190.95	1335.06	1339.8	1399.02	1538.14	1394.36	1162.39	1260.3
ZC3H13	1402.01	668.816	911.873000000001	1138.57	1054.27	1320.84	1802.86	1803.12	746.777	806.996	350.38	690.452	1424.53	606.943	1113.72	763.623999999999	653.67	1765.41	1188.1	285.989	501.716	1003.6	582.77	762.756	1241.53	1640.12	1138.51	752.401	264.883	1684.71	828.143	940.244	842.655	1262.85	853.765	826.859	881.293	866.309	598.218	1151.22	627.418	701.678	1359.88	1153.58	1147.07	1213.58	697.98	890.346	1554.37	1224.81	1138.41	1345.43	1681.12	647.753	1462.65	1125.93	1388.4	1140.37	897.33	651.298	1066.79	1012.55	1021.12	663.44	881.679	1124.09	723.938	1745.67	799.109	1610.51	964.814	1344.85	1328.32	1142.99	648.411	592.466	264.781	602.611	453.96	1037.64	267.193	649.479	458.636	1534.43	1238.23	310.135	2300.32	734.571	913.015	577.715	507.877	784.281	374.248	1116.68	460.526	1237.04	893.41	870.405	2176.12	992.432999999999	2647.81	1172.7	1128.74	1339.74	1506.34	502.946	1283.25	690.343000000001	1297.49	2702.43	1562.14	730.969	733.885	1301.23	1221.52	1345.4	1361.19	799.479	796.369	620.074	809.972	1326.86	1030.55	622.713	798.326	1144.94	423.417	600	1582.58	1088.56	1412.65	472.077	964.93	1223.37	1045.5	1412.13	1435.55	1288.51	1555.08	2006.23	588.556	1115.57	988.848999999999	1317.22	1002.29	782.076	893.442	611.745	1067.82	579.485	976.513	853.045	1242.14	433.566	872.298	417.465	849.372	617.918	808.903	1566.36	1630.95	1297.55	1283.53	1197.2	714.684	1415.53	1167.66	1937.48	1978.54	2053.26	1528.63	2312.56
