	TCGA-KL-8323-01	TCGA-KL-8324-01	TCGA-KL-8325-01	TCGA-KL-8326-01	TCGA-KL-8327-01	TCGA-KL-8328-01	TCGA-KL-8329-01	TCGA-KL-8330-01	TCGA-KL-8331-01	TCGA-KL-8332-01	TCGA-KL-8333-01	TCGA-KL-8334-01	TCGA-KL-8335-01	TCGA-KL-8336-01	TCGA-KL-8337-01	TCGA-KL-8338-01	TCGA-KL-8339-01	TCGA-KL-8340-01	TCGA-KL-8341-01	TCGA-KL-8342-01	TCGA-KL-8343-01	TCGA-KL-8344-01	TCGA-KL-8345-01	TCGA-KL-8346-01	TCGA-KM-8438-01	TCGA-KM-8439-01	TCGA-KM-8440-01	TCGA-KM-8441-01	TCGA-KM-8442-01	TCGA-KM-8443-01	TCGA-KM-8476-01	TCGA-KM-8477-01	TCGA-KM-8639-01	TCGA-KN-8418-01	TCGA-KN-8419-01	TCGA-KN-8421-01	TCGA-KN-8422-01	TCGA-KN-8423-01	TCGA-KN-8424-01	TCGA-KN-8425-01	TCGA-KN-8426-01	TCGA-KN-8427-01	TCGA-KN-8428-01	TCGA-KN-8429-01	TCGA-KN-8430-01	TCGA-KN-8431-01	TCGA-KN-8432-01	TCGA-KN-8433-01	TCGA-KN-8434-01	TCGA-KN-8435-01	TCGA-KN-8436-01	TCGA-KN-8437-01	TCGA-KO-8403-01	TCGA-KO-8404-01	TCGA-KO-8405-01	TCGA-KO-8406-01	TCGA-KO-8407-01	TCGA-KO-8408-01	TCGA-KO-8409-01	TCGA-KO-8410-01	TCGA-KO-8411-01	TCGA-KO-8413-01	TCGA-KO-8414-01	TCGA-KO-8415-01	TCGA-KO-8416-01	TCGA-KO-8417-01	TCGA-KL-8324-11	TCGA-KL-8326-11	TCGA-KL-8329-11	TCGA-KL-8332-11	TCGA-KL-8336-11	TCGA-KL-8339-11	TCGA-KN-8419-11	TCGA-KN-8422-11	TCGA-KN-8423-11	TCGA-KN-8424-11	TCGA-KN-8425-11	TCGA-KN-8426-11	TCGA-KN-8427-11	TCGA-KN-8428-11	TCGA-KN-8429-11	TCGA-KN-8430-11	TCGA-KN-8431-11	TCGA-KN-8432-11	TCGA-KN-8433-11	TCGA-KN-8434-11	TCGA-KN-8435-11	TCGA-KN-8436-11	TCGA-KN-8437-11	TCGA-KO-8403-11	TCGA-KO-8415-11
RBM15	153.969	79.4173	93.1313	42.022	82.0755	115.541	85.7403	96.7004	65.6367	107.696	150.706	96.9364	89.8967	113.513	94.4751	68.1391	125.402	60.9052	123.055	72.2946	77.5167	74.6483	165.116	62.3401	76.1681	113.187	82.1137	255.409	107.889	105.809	146.046	123.721	105.093	74.0238	173.488	66.7417	112.065	158.202	92.853	124.847	129.297	141.683	232.628	125.323	104.704	82.7273	174.281	65.5738	102.401	258.501	131.565	169.436	66.9347	232.094	101.776	110.592	84.39	52.3504	78.9474	182.146	54.3623	174.353	130.329	89.1994	78.9162	78.966	108.396	105.173	113.458	86.6541	137.856	90.6318	178.205	135.145	108.083	85.5329	93.0621	169.428	151.082	92.286	101.073	126.844	113.164	89.9912	122.194	92.4457	133.548	119.802	152.668	135.027	107.049
RBM15B	1995.49	2174.79	1600.25	1691.84	1603.26	2151.34	2036.89	2199.68	2730.61	2193.28	828.036	1577.47	1593.51	1768.27	2555.14	2332.35	1323.78	2344.84	926.643	1989.87	1249.01	1403.04	1492.26	3656.19	1530.88	1649.3	2014.21	1599.9	2743.39	2388.41	2454.44	1006.26	2019.34	1709.17	1038.8	979.842	1959.69	1228.87	1929.79	1606.85	1535.14	1538.91	3293.42	1450.91	1951.67	1877.33	1268.54	1507.63	2124.51	1802.96	1020.88	1459.74	1651.03	2679.61	1952.9	2152.82	2037.39	3033.19	1290.07	1167.48	1431.26	1912.68	1416.88	1897.06	2107.47	2135.81	1106.24	1382.81	1325.38	621.709000000001	2063.03	806.028	1396.35	1853.2	1063.26	1474.52	1167.01	955.722	1506.65	1475.97	911.243	948.523	1118.58	523.233	1382.62	1192.37	1344.27	1088.33	1863.25	1425.95	1146.98
RBMX	2435.18	1805.92	2216.46	2605.36	4177.36	2695.06	2124.31	2206.8	2432.66	1820.33	2753.7	2468.4	2159.13	2302.74	3306.63	1684.68	3158.41	1877.14	2224.81	2268.52	1921.43	2607.52	2334.88	1570.97	2366.06	2542.99	2341	2028.73	2481.46	2315.35	3588.86	2251.72	1996.16	3025.47	2268.37	2949.38	1612.29	2268.06	2334.64	2139.15	2083.33	3646.29	3954.98	3562.66	2615.54	1806.36	3200.23	1327.87	2010.18	2753.3	4987.35	1803.78	2736.5	1915.02	2045.61	2774.33	2264.54	1904.38	2654.43	3349.32	2872.83	2043.47	2320.75	1893.07	2544.78	3156.52	2515.83	2728.43	2206.4	3261.58	2588.53	3115.34	2616.51	2992.03	2681.87	3627.96	2165.23	1915.44	2474.81	2585.77	3204.92	1959.61	2592.66	2964.75	2143.54	2413.59	2070.61	2090.55	3129.5	2443.9	2972.09
WTAP	662.146	817.199	726.357	1045.61	947.170000000001	678.749	839.527	855.603	675.648	938.271999999999	1288.94	796.342	711.548	857.989	847.998999999999	726.504	940.014	728.342	688.998	714.414	1087.69	1258.11	709.302	651.347	727.236	1126.19	669.835	1433.86	1264.67	608.299	675.549	1302.44	1338.56	673.005	1398.6	746.532	627.655	779.182	773.775	818.483	1074.8	1126.56	551.057	1061	1042.13	649.091	774.958000000001	600.656	601.423	731.437	959.791	1236.43	848.854	1096.49	1430.63	660.258	674.246	552.885	539.474	1215.51	835.472	1227.07	696.711	749.06	694.463	669.264	1427.74	1664.17	1556.43	2077.81	2185.52	1530.82	2588.41	1284.03	1352.11	1403.03	1464.47	1480.33	1782.26	1318.42	2075.11	1505.58	1208	2554.43	1468.9	1181.44	1274.27	1193.91	1508.84	1195.7	1659.94
YTHDC1	1475.87	1189.85	1258.77	1117.29	1759.43	1645.67	1113.63	1354.79	1382.06	1140.01	1469.06	1349.79	1220.03	1229.3	1306.34	986.372	1608.12	1010.19	1282.13	1224.97	1056.47	1434.68	1359.3	1125.13	1052.77	1275.21	1086.11	1268.24	1828.73	1191.29	1315.11	1170.17	985.788	1416.3	1520.47	1153.36	1304.56	1638.8	1297.94	1261.03	1239.43	1192.31	1566.77	2051.76	1462.58	1030	1690.92	773.77	1098.87	1423.66	2416.01	1162.2	1472.13	1056.47	1128.18	1414.26	1238.3	893.697	1180.75	1902.98	1463.77	1309.11	953.715	944.653	1156.91	1275.14	1516.52	1549.12	1355.46	945.283	1459.91	1073.22	1879.29	2165.06	2335.58	1711.74	1934.52	2154.43	1726.16	1490.67	1671.51	1977.67	2052.9	1442.34	1453.44	1621.94	1566.4	1851.7	2162.47	2154.6	1653.05
YTHDC2	1009.97	324.248	1147.95	391.546	616.981	739.465	889.514	495.916	684.263	837.93	1010.99	940.465999999999	640.514	734.218	692.059	584.587	1429.96	756.064	927.821	625.505	598.737	824.289	909.302	349.105	361.435	468.043	985.364	796.92	453.81	799.17	762.07	749.522	661.596	920.883	488.372	490.439	756.439	590.227	1043.68	793.025	665.853999999999	854.374	655.589	1231.05	505.113	407.273	966.159	259.672	860.339999999999	995.489	1114.74	710.653	922.743	517.544	550.648	1072.6	747.704	540.064	362.881	653.923	913.962	381.228	650.832	454.594	695.515	931.303	660.702	779.497	691.31	531.981	565.396	569.1	834.458	680.586	620.637	622.09	745.054	754.257	589.669	660.092	681.205	760.46	646.784	608.06	640.044	573.646	667.429	626.342	695.785	712.755	636.779
YTHDF1	1749.9	1521.15	1422.34	970.955000000001	2238.68	1534.66	1392.7	1344.01	1551.49	1179.93	1397.34	1369.55	666.198	890.077	1646.3	1300.28	1470.55	1334.45	1742.96	1286.04	1285.86	1089.58	1634.88	1578.71	1289.04	1208.78	1386.43	1225.42	1741.07	1678.01	1535.21	885.39	1360.68	1387.78	853.023	1572.55	1216	1731.94	1369.17	1787.27	917.886	1492.11	1465.26	1466.54	1415.95	1147.27	1648.05	1408.52	1313.34	1745.66	1571.41	1233.33	1357.82	1795.5	2054.25	1431.84	1344.99	1263.35	1569.25	1841.66	1408.68	2025.19	1658.55	1651.8	1515.19	1466.36	1066.76	1163.36	1162.04	772.351	1442.52	899.82	1291.8	1182.6	1103.18	1016.33	957.37	1078.1	1354.66	1106.73	853.583	1110.18	1026.14	762.448	1172.25	1031.05	1075.18	992.862	1299.46	1105	1086.11
YTHDF2	1465.5	1147.09	1033.46	931.9	832.076	1434.53	1360.92	895.459	1477.24	1019.18	1259.85	1200.18	791.813	1612.07	1197.82	1541.35	1246.41	1129.48	1173.93	1132.91	1459.14	987.367	1512.79	1244.22	995.037	1640.56	1149.97	1502.96	1128.12	1254.36	1000.87	1485.1	1588.08	1102.21	1206.05	823.397	1295.07	1552.15	1094.93	1434.7	1143.9	1159.77	2010.88	1083.18	1121.88	1032.73	1398.2	1123.93	1128.64	1283.14	1128.86	1517.53	1218.73	1981.36	1473.84	1208.09	1094.88	1139.96	1046.4	1325.52	1237.36	1520.45	1075.11	1332.62	1077.47	1250.35	1419.48	1655.81	1736.27	1371.39	2001.09	1437.46	2334.78	1569.51	1259.34	1506.89	1370.86	1376.1	1918.4	1365.97	1286.6	1335.49	1373.92	1175.66	1402.28	1417.04	1390.81	1122.4	1408.57	1358.14	1496.84
YTHDF3	2541.68	1821.9	2891.08	1745.15	961.321	2183.05	2703.96	2829.47	2188.57	2472.81	3181.69	2911.75	2553.63	3376.95	1735.46	1992.48	3482.04	2489.97	2641.91	2452.18	2703.26	1781.8	3154.26	2396.01	2138.53	1117.88	3249.19	1659.19	2781.86	2526.56	1329.64	2370.94	2198.66	2309.34	3124.19	2569.55	2102.12	3410.66	2859.81	2357.8	3697.56	2419.46	2017.52	3073.2	2607.77	1941.82	1534.69	1183.61	2220.58	3029.84	1305.73	2002.75	2151.91	1838.82	2288.53	3016.39	2197.2	1977.03	1973.68	3172.95	1475.47	2637.39	1539.18	2188.07	966.987	1415.01	1770.13	1423.83	1805.07	1909.78	1714.2	1818.79	2524.82	1630.25	1300.37	1372.48	1549.46	1808.57	1639.35	1510.74	1555.56	1034.51	1398.76	1787.44	1608.39	1586.41	1810.93	1149.73	1671.31	1501.04	1625.95
ZC3H13	1167.53	474.624	2752.55	965.517	698.113	590.394	935.198	949.69	754.412	870.501999999999	2314.14	1119.71	835.959	1136.09	1304.82	616.541	986.71	761.105	1830.13	1362.37	1949.84	1996.27	2820.93	526.667	731.602	976.292	1027.56	1353.11	1250.17	815.768	437.446	1195.82	1319.51	986.418	1669.77	665.542	503.389	1463.15	1775.52	1206.63	824.797	1498.69	1487.61	1314.6	1021.68	742.727	1142.7	470.82	981.848	1434.77	2978.96	1457.39	919.265	703.399	846.856	1160.12	751.64	584.936	552.632	1352.21	1933.96	1054.95	539.992	907.039	802.315	1099.86	1189.61	1013	1300.24	624.286	1501.2	679.91	1325.08	1921.49	1455.6	921.455	1391.75	2052.85	1555.35	1237.06	917.272	1262.21	1078.28	588.245	1408.91	1180.75	1630.7	1531.97	2054.04	1893.58	1291.48
