,MMRd_C110_T,MMRd_C111_T,MMRd_C114_T,MMRd_C116_T,MMRd_C118_T,MMRd_C122_T,MMRd_C123_T,MMRd_C130_TA,MMRd_C130_TB,MMRd_C132_T,MMRd_C137_T,MMRd_C138_T,MMRd_C139_T,MMRd_C142_T,MMRd_C143_T,MMRd_C144_T,MMRd_C146_T,MMRd_C147_T,MMRd_C154_T,MMRd_C156_T,MMRd_C158_T,MMRd_C163_T,MMRd_C164_T,MMRd_C165_T,MMRd_C167_T,MMRd_C168_T,MMRd_C169_T,MMRd_C170_T,MMRd_C173_T,MMRp_C103_T,MMRp_C105_T,MMRp_C107_T,MMRp_C112_T,MMRp_C113_T,MMRp_C124_T,MMRp_C125_T,MMRp_C126_T,MMRp_C129_T,MMRp_C133_T,MMRp_C134_T,MMRp_C135_T,MMRp_C136_T,MMRp_C140_T,MMRp_C149_T,MMRp_C153_T,MMRp_C155_T,MMRp_C157_T,MMRp_C159_T,MMRp_C160_T,MMRp_C161_T,MMRp_C162_T,MMRp_C171_TA,MMRp_C171_TB,MMRp_C172_T,Normal_C110_N,Normal_C111_N,Normal_C112_N,Normal_C114_N,Normal_C123_N,Normal_C124_N,Normal_C125_N,Normal_C126_N,Normal_C129_N,Normal_C130_N,Normal_C134_N,Normal_C137_N,Normal_C139_N,Normal_C162_N,Normal_C165_N,Normal_C170_N
cTNI11,7,33,10,104,89,47,131,15,23,68,19,27,95,21,44,455,166,13,18,115,12,63,53,6,17,57,39,93,36,50,46,219,34,43,248,61,14,123,144,23,121,59,11,102,29,72,18,35,64,14,110,287,59,14,4,81,6,9,59,34,19,52,31,11,57,16,18,96,2,41
cTNI12,1,6,5,10,32,4,10,0,6,3,0,1,8,2,6,5,1,3,6,191,10,65,32,4,19,1,7,43,3,1,0,3,2,5,6,2,3,2,0,1,4,1,2,9,1,52,1,122,3,0,19,22,19,37,0,3,2,0,3,0,1,12,1,1,4,0,1,13,3,0
cTNI13,1,0,2,4,3,2,7,10,11,3,0,0,3,11,31,5,2,8,17,3,7,27,5,0,0,28,2,48,1,64,4,2,14,4,4,36,3,2,9,47,390,97,52,42,50,21,12,26,11,1,23,116,819,4,1,1,1,1,1,2,0,15,2,9,34,11,0,2,1,0
cTNI14,207,13,62,558,59,34,887,119,279,194,248,17,34,176,91,171,90,26,35,161,2,307,218,0,402,135,49,264,348,4,1,161,0,7,26,28,8,36,3,29,111,111,13,1,80,3,0,94,41,0,13,11,19,29,0,0,1,10,3,1,1,3,0,1,9,0,0,0,0,1
cTNI15,21,1,2,1,1,5,1,5,14,2037,11,20,0,0,4,67,42,1,135,32,0,17,11,0,30,4,499,94,5,1,0,633,0,12,0,13,1,0,28,7,7,42,0,0,0,6,0,19,4,0,4,0,0,55,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
cTNI16,38,2,29,91,15,7,161,27,139,390,79,3,9,27,15,48,17,15,81,85,1,48,76,1,83,44,73,114,34,8,1,145,2,6,4,30,2,5,0,14,18,31,7,0,32,8,4,22,14,2,19,15,13,21,0,3,0,9,3,1,0,7,0,0,6,2,6,1,0,1
cTNI17,2,3,20,10,17,70,43,20,80,16,8,11,277,18,12,26,48,25,3,7,0,59,19,1,0,0,0,2,2,43,17,6,3,23,148,67,0,70,6,3,16,7,1,25,6,57,1,6,11,32,31,3,2,5,12,236,61,37,25,568,479,197,206,1,26,280,216,79,78,16
cTNI18,31,6,32,12,9,12,169,61,309,57,167,35,111,92,109,400,148,63,111,16,0,22,692,1,20,22,2,74,24,4,1,7,2,1,16,13,15,2,8,51,42,21,3,1,28,0,1,3,10,2,44,2,2,29,0,0,1,0,2,3,0,4,0,0,14,1,6,0,0,1
cTNI19,0,0,7,0,0,0,24,17,83,4,11,1,26,4,9,26,17,15,13,0,0,1,42,0,0,2,0,9,2,0,0,2,1,1,2,3,1,2,0,2,1,7,1,0,1,0,0,1,0,0,1,0,0,3,0,0,0,1,0,0,0,1,0,0,1,4,3,0,0,0
cTNI20,49,5,40,3,340,1,162,223,278,15,24,15,115,48,6,98,298,232,25,61,16,249,164,5,3,41,2,55,4,56,3,20,9,10,59,32,17,6,25,162,27,3,5,20,11,25,6,7,33,28,35,12,32,46,1,16,129,2,20,14,15,62,5,17,5,29,22,66,1,26
cTNI21,18,0,13,0,42,0,27,39,80,4,14,10,11,8,4,14,20,31,6,5,5,22,63,0,3,24,1,10,0,5,0,1,1,0,4,11,3,2,3,9,0,3,0,2,3,5,3,0,10,6,9,5,5,6,0,1,14,1,0,0,0,10,2,0,1,8,9,7,0,2
cTNI22,13,9,0,4,13,8,14,1,3,5,32,0,16,2,32,75,19,12,5,11,7,14,8,10,1,64,25,13,2,1,4,35,11,3,35,3,5,12,19,11,47,8,4,2,6,4,9,2,6,1,16,11,3,2,2,11,1,0,3,15,0,2,0,0,7,7,2,11,10,0
cTNI23,6,2,5,10,20,0,39,33,39,7,38,21,27,1,15,13,36,12,21,26,21,27,26,10,5,4,4,59,7,41,18,62,20,7,48,24,20,18,51,4,27,16,26,23,5,13,6,6,14,4,23,9,3,43,1,4,3,1,6,19,1,11,1,3,4,3,4,6,11,2
cTNI24,13,1,3,3,55,5,29,19,5,6,62,30,44,8,5,9,23,5,13,3,1,18,10,4,4,151,14,23,1,16,3,31,8,2,16,16,6,5,10,4,4,3,2,10,1,11,0,12,49,1,47,9,7,15,7,13,12,8,9,5,3,3,11,33,21,13,9,40,6,13
cTNI25,9,1,2,0,23,1,21,4,18,28,27,24,13,3,17,6,26,4,1,4,2,6,20,2,0,3,3,16,8,20,7,24,10,1,9,19,5,29,20,3,8,7,2,13,12,7,0,1,2,3,13,7,13,9,2,1,3,0,4,0,8,0,7,14,6,9,1,10,1,5
cTNI26,0,1,2,3,4,6,7,4,0,1,3,2,20,4,4,6,4,1,2,7,3,4,0,2,2,0,3,11,1,11,2,4,6,21,12,17,9,12,15,2,2,1,4,6,1,14,4,6,7,1,55,5,31,1,14,15,14,16,7,13,20,12,104,33,39,27,27,57,12,16
cB1,2,7,15,91,2,4,65,20,4,18,3,68,168,49,20,9,171,24,8,93,7,97,0,12,1,0,10,202,2,10,27,29,11,59,95,160,20,640,51,2,31,1,92,353,97,72,0,25,26,20,266,24,8,6,462,136,62,6,217,7,298,35,234,104,1,77,308,580,117,249
cB2,22,33,102,150,54,110,184,98,38,70,49,178,160,41,186,236,255,22,15,254,13,70,18,16,6,3,32,36,10,29,138,74,69,117,925,250,56,508,113,7,84,57,192,355,94,405,10,82,125,70,687,223,90,24,183,315,70,77,268,102,230,53,489,393,33,218,208,641,134,109
cB3,1,10,41,10,1,10,50,17,1,15,1,23,138,22,19,16,60,3,1,698,0,3,0,0,3,0,0,206,0,10,406,7,15,10,68,20,15,131,63,2,7,5,21,30,60,18,0,2,10,25,19,7,3,1,280,290,85,51,206,8,146,18,131,42,1,149,422,124,155,1139
cP1,0,2,67,83,10,180,23,3,0,0,0,2,157,60,1,30,3,7,8,12,0,94,0,0,0,0,0,0,1,12,23,3,11,269,147,99,1,630,4,1,30,3,8,136,8,228,243,2,26,92,486,187,187,10,51,112,521,457,1302,697,378,3831,2152,968,639,717,759,1731,161,41
cP2,1,97,379,456,312,103,231,27,57,4,11,9,212,390,43,40,62,78,132,126,0,193,1,1,1,5,27,7,11,44,315,13,43,72,338,586,6,191,106,35,583,238,73,316,28,155,17,15,39,142,394,5760,463,57,3,68,39,200,40,40,22,534,88,28,1438,134,181,102,55,13
cP3,0,1,18,38,14,3,21,3,6,6,1,2,33,35,3,3,4,3,18,29,0,7,0,0,1,1,0,0,0,10,30,2,6,1,12,17,2,16,14,2,42,14,1,31,14,15,1,2,9,9,28,419,13,6,1,2,0,1,5,2,0,4,8,2,13,2,29,0,4,6
cMA01,7,26,47,5,11,15,60,12,9,81,15,51,151,92,24,22,25,47,14,29,21,38,0,21,0,8,7,60,12,28,6,63,63,24,375,120,19,105,53,5,39,57,33,90,100,58,49,39,33,11,225,14,54,69,0,96,38,8,39,70,39,151,22,255,108,24,13,92,4,9
cM01,514,334,55,95,83,137,331,191,111,118,511,287,186,97,247,196,244,201,63,71,414,47,103,719,77,238,279,894,156,43,51,272,292,63,826,306,333,177,66,505,598,48,160,89,192,92,82,115,168,123,691,39,87,112,4,139,12,20,8,68,12,42,13,13,89,32,17,30,41,15
cM02,426,364,97,276,413,93,742,154,245,296,148,48,243,88,157,172,225,501,67,185,505,86,110,692,155,421,139,1048,194,194,80,331,825,100,1090,716,601,229,403,188,266,243,331,157,459,178,632,243,326,176,1531,143,175,290,38,34,88,41,98,51,79,89,41,61,136,37,30,128,33,16
cM03,5,2,1,1,6,2,11,2,5,1,7,3,11,2,9,2,10,4,4,5,3,7,4,0,2,2,1,9,1,1,5,2,6,1,5,7,2,9,6,2,10,3,2,4,3,4,3,2,4,3,11,4,3,3,2,8,1,1,3,2,1,4,1,2,4,2,0,18,4,1
cM04,10,11,3,10,2,5,21,3,1,4,11,14,17,5,26,6,24,3,6,25,12,10,1,9,4,6,2,38,7,13,3,23,24,11,27,49,19,13,7,4,29,5,32,35,24,10,15,7,12,16,42,19,20,7,6,18,9,5,9,12,11,11,5,21,34,20,17,51,17,4
cM05,12,4,10,6,13,3,66,4,12,73,2,1,21,6,9,2,9,6,0,33,19,7,2,4,7,1,1,13,4,26,9,7,49,10,12,69,14,55,11,2,31,8,22,26,22,9,18,8,12,23,38,46,14,5,3,0,5,3,10,4,12,14,3,12,6,8,8,12,5,5
cM06,0,4,5,6,0,2,23,4,3,4,4,1,4,4,1,7,2,2,4,10,12,4,0,1,1,2,0,8,2,17,8,3,11,2,11,33,3,41,13,1,12,4,11,11,9,5,3,8,3,5,11,10,10,3,3,27,0,5,2,0,4,3,2,2,24,4,6,6,10,3
cM07,9,4,2,10,7,2,57,7,12,9,12,35,17,9,21,2,17,1,21,3,7,14,3,6,7,6,6,29,3,5,1,113,16,3,11,13,18,29,18,1,31,2,9,7,16,0,10,10,1,19,61,2,8,7,0,8,0,0,0,1,0,1,0,1,3,0,2,6,4,0
cM08,1,2,1,2,0,0,6,1,2,0,3,2,0,0,6,0,3,0,0,3,4,0,0,2,0,1,2,3,0,0,0,4,2,0,1,4,2,0,1,3,13,0,3,1,1,1,1,2,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cM09,24,11,10,20,20,7,71,8,8,7,45,24,24,11,82,10,37,3,14,15,28,13,8,7,9,19,15,53,8,18,15,33,50,16,17,98,62,24,10,13,97,22,43,31,68,17,5,11,5,27,54,18,22,5,9,19,1,7,2,2,7,6,1,2,3,9,3,21,2,0
cM10,49,40,4,1,5,12,1,3,7,10,7,5,1,1,6,45,0,4,0,3,131,3,0,80,30,0,21,1099,34,5,31,11,8,3,15,1,7,0,1,20,4,4,2,3,2,40,6,19,5,0,7,0,2,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
