,MMRd_C110_T,MMRd_C111_T,MMRd_C114_T,MMRd_C116_T,MMRd_C118_T,MMRd_C122_T,MMRd_C123_T,MMRd_C130_TA,MMRd_C130_TB,MMRd_C132_T,MMRd_C137_T,MMRd_C138_T,MMRd_C139_T,MMRd_C142_T,MMRd_C143_T,MMRd_C144_T,MMRd_C146_T,MMRd_C147_T,MMRd_C154_T,MMRd_C156_T,MMRd_C158_T,MMRd_C163_T,MMRd_C164_T,MMRd_C165_T,MMRd_C167_T,MMRd_C168_T,MMRd_C169_T,MMRd_C170_T,MMRd_C173_T,MMRp_C103_T,MMRp_C105_T,MMRp_C107_T,MMRp_C112_T,MMRp_C113_T,MMRp_C124_T,MMRp_C125_T,MMRp_C126_T,MMRp_C129_T,MMRp_C133_T,MMRp_C134_T,MMRp_C135_T,MMRp_C136_T,MMRp_C140_T,MMRp_C149_T,MMRp_C153_T,MMRp_C155_T,MMRp_C157_T,MMRp_C159_T,MMRp_C160_T,MMRp_C161_T,MMRp_C162_T,MMRp_C171_TA,MMRp_C171_TB,MMRp_C172_T,Normal_C110_N,Normal_C111_N,Normal_C112_N,Normal_C114_N,Normal_C123_N,Normal_C124_N,Normal_C125_N,Normal_C126_N,Normal_C129_N,Normal_C130_N,Normal_C134_N,Normal_C137_N,Normal_C139_N,Normal_C162_N,Normal_C165_N,Normal_C170_N
cTNI11,-4.03738796,1.714591963,-2.557927215,8.540382453,8.15389072,5.567251927,3.83101931,-1.633628951,-2.643524459,-1.173518232,-2.567094335,0.589123868,4.928483093,-1.584695625,1.034378462,51.96322547,15.48674591,-2.706849354,-0.266297832,6.669261317,-2.512391865,2.755658515,2.095928652,-4.104618791,-0.577102017,4.519935855,2.100986822,-1.251699573,2.138953568,4.705910867,1.957352261,20.6992805,-0.932066331,2.663359067,14.45925193,-1.067126065,-2.585140504,5.308188889,16.679867,-0.128018076,6.699753487,4.092445959,-3.61171844,7.707427215,-1.296133719,3.971788562,-1.133968944,1.78468034,7.21602146,-1.151831891,0.022267565,10.20624952,1.183879314,-1.251311547,-4.784761585,6.835700841,-3.316671404,-2.207499774,0.935919937,-0.074230165,-2.972042403,-5.073291257,-5.139908706,-4.448184325,-0.058215326,-3.485094752,-4.006461098,-0.244837853,-3.335381311,0.052060942
cTNI12,-1.386692922,0.931168152,0.594784323,0.215978615,7.230340653,0.728703966,-2.502000237,-1.146569185,-0.619626991,-3.290071819,-1.945036326,-0.806046308,-1.122015791,-1.009973396,-0.345120427,-1.727998179,-2.507234947,-0.556132337,1.502253322,40.58226681,2.024010757,14.90457421,6.803314774,-0.384680204,6.274700311,-1.30502258,0.897697995,2.805037777,-0.167852542,-0.859066419,-1.853568887,-2.319048693,-1.679206314,0.1763458,-3.504771944,-3.15971452,-0.587737446,-3.365273836,-2.018285382,-0.793035015,-2.491902524,-1.539806529,-1.22554684,-0.234368614,-1.786717089,11.36329274,-0.830274954,40.06097154,-0.194932974,-0.800719867,-1.586885138,-2.893507011,2.019182708,12.83959285,-1.853568887,-1.171422839,-0.456005857,-0.829981784,-2.081459062,-1.894434763,-1.858827752,-2.629867376,-3.660756049,-2.012404198,-2.127290711,-2.170416083,-2.318385609,-2.173388752,0.528263161,-2.25314086
cTNI13,-1.719517566,-1.451210676,-0.792342678,-1.778796412,-1.525658503,-0.36676117,-3.563156881,1.8044899,0.234569206,-3.721013465,-2.265122596,-1.454286006,-2.710453668,1.27623005,5.930874748,-2.156462202,-2.635078999,0.57640084,4.95612215,-2.93338123,0.569364347,3.990955228,-1.179095307,-1.947247139,-1.110794269,6.303395811,-1.092584519,2.721933253,-1.178315397,19.06436682,-1.051083027,-2.942370012,1.068582112,-0.538042262,-4.338871324,3.270900916,-0.957496417,-3.778678243,0.095937943,13.86543372,77.58156696,25.08441123,12.49958084,7.291773134,10.99130236,2.449668503,2.401828684,6.690974855,1.999187991,-0.746005841,-1.582049908,9.281374969,189.1948866,0.238460937,-1.891130679,-2.087794838,-1.12616143,-0.777919995,-2.938748141,-1.657789801,-2.466333273,-2.697906869,-3.872968235,-0.307873603,4.077238202,0.390391146,-2.916695341,-4.631682998,-0.56632381,-2.582352743
cTNI14,62.21172822,3.358722667,20.39443521,145.7091705,15.03198901,12.01669192,162.3162537,40.14889225,74.36230628,35.55427645,70.76267246,4.739021942,5.053839301,53.39053424,23.98458875,38.34748169,19.71352439,6.815357895,12.44775751,33.70318787,-0.650668497,79.40309881,58.93844491,-1.635266587,149.1787174,40.7352253,14.69437811,41.80811712,118.242432,0.169599602,-1.554821267,35.1536653,-2.232398609,0.826681715,0.129279101,2.418000504,1.005877336,3.691417477,-1.15182914,8.93630394,21.31552235,31.41861413,2.079186539,-2.306544424,20.78037114,-1.64364062,-1.175155254,30.57767341,12.7851045,-0.800719867,-2.629228709,-4.501563642,2.019182708,9.879220377,-1.853568887,-2.034944254,-0.802799359,2.888538358,-2.081459062,-1.59819436,-1.858827752,-4.224865179,-3.865330272,-2.012404198,-0.949884342,-2.170416083,-2.576842034,-4.551599071,-0.636061157,-1.977689095
cTNI15,5.15015659,-0.644663037,-0.277933079,-2.003450134,-1.56209097,1.31058062,-3.989596039,0.791694409,1.861392989,424.001085,1.539300294,6.150528885,-2.851436315,-1.484024788,-0.724202026,13.93412525,8.235918486,-1.036679421,51.98864618,4.535489524,-1.171098641,2.419646232,1.174727473,-1.484024788,10.88694928,-0.172034413,167.983532,12.55073239,0.721513614,-0.700658286,-1.699905385,152.1396413,-2.073904083,2.728532161,-4.392549458,-0.528123752,-1.06453058,-3.595281708,6.486704094,1.517561645,-1.596525614,11.30650962,-1.673060159,-2.402214022,-1.916016436,-0.634162261,-1.028078964,5.532518317,0.338401078,-0.656030139,-3.961109965,-5.870924473,-2.573831818,20.30576984,-1.699905385,-1.879064057,-1.002708905,-0.685139355,-2.653932478,-1.740287692,-1.692432689,-4.55044741,-3.678518992,-2.126814299,-2.411309543,-2.012764188,-2.413315915,-4.350129873,-0.492121393,-2.094359945
cTNI16,10.14961489,-0.41965756,9.032248168,21.92213846,2.381500136,1.906650646,26.12666005,8.318930024,36.20655784,76.00086389,21.40832562,-0.074181854,-0.832917546,6.89673776,2.294125664,8.76915269,1.552565084,3.355181228,30.05063751,16.44770325,-0.950817726,10.4963171,19.31665601,-1.287912653,30.39805526,12.31285122,22.77497113,15.5183619,10.58373844,1.591671216,-1.51967156,31.63210249,-1.641240686,0.547065202,-3.819396531,2.93043506,-0.869729252,-2.695496331,-1.984743803,3.789143414,0.688903531,7.545718205,0.324078254,-2.530330889,7.165209514,-0.266996467,0.245469524,6.275009863,3.627000986,-0.015987882,-1.518973135,-3.85006287,0.574511408,7.003375096,-1.820471356,-1.131902824,-1.118008994,2.570794297,-2.04024363,-1.562954712,-2.106681684,-3.462872325,-3.824954657,-2.25172416,-1.609562619,-1.572474783,-0.980177332,-4.323826638,-0.60515248,-1.94156817
cTNI17,-10.0340379,-8.675015378,-6.868608805,-11.22260669,-9.494301714,-0.218841613,-14.82571,-6.880548854,-4.940300628,-14.93206565,-10.10106444,-7.84162691,6.405525692,-8.375969079,-10.05455852,-11.40130063,-9.207458102,-7.382764516,-7.828310329,-13.55760096,-9.363751971,-7.212713142,-9.734702476,-9.986576226,-8.279048091,-10.04311471,-9.548156549,-18.32412138,-8.88681335,-4.636611801,-9.054434157,-13.123529,-11.26018856,-7.389572767,-9.737101684,-10.70199991,-9.870882686,-11.18271866,-10.46309522,-8.654658795,-13.41556782,-9.924316603,-10.43798289,-10.38545395,-10.59999664,-7.444595946,-8.941460205,-8.614458148,-8.004819527,-4.621353921,-17.10044092,-22.21938977,-12.64335733,-7.796421879,-9.507083043,9.556463092,-2.579843713,-4.141806783,-11.13783401,40.29863991,29.61010694,-7.772518572,-3.050649768,-11.56163016,-11.80172138,12.40350723,4.540703603,-13.38209013,1.258760719,-10.22741448
cTNI18,7.973658257,0.977045309,10.08149342,0.803676453,0.635891265,3.800905327,27.64046104,20.19868166,83.21934405,7.812261689,47.38505875,11.09213569,23.56186794,27.35836379,29.38474463,94.3322287,34.4841981,18.84483741,41.45135307,0.517137046,-1.287449267,3.519122366,193.1653019,-1.287912653,6.730178738,5.36330844,-0.708199614,8.410488292,7.127979724,0.210694954,-1.51967156,-1.322056314,-1.641240686,-1.089942901,-1.623987956,-0.741584427,3.302131267,-3.322422705,0.341677947,16.73408541,6.065568419,4.528916327,-0.885897911,-2.269529623,6.014723061,-2.405164856,-0.796278593,-0.204289649,2.251295645,-0.015987882,2.853958952,-5.763547988,-2.199694616,9.984083144,-1.820471356,-2.001355993,-0.768833277,-0.798862967,-2.288574293,-0.966404001,-2.106681684,-3.998190412,-3.824954657,-2.25172416,0.287228231,-1.854455601,-0.980177332,-4.508022551,-0.60515248,-1.94156817
cTNI19,-1.662721133,-1.118008994,1.337782961,-2.404191194,-1.98252204,-0.745305907,0.202818084,4.824885425,20.71999297,-3.040578901,1.335395467,-0.7720767,3.232880035,-0.343529913,0.564937219,3.42146044,1.552565084,3.355181228,4.209015561,-3.176907291,-1.287449267,-2.116304154,9.721113864,-1.6027069,-0.783432857,-0.954457727,-1.369697381,-3.13980632,-0.474689448,-1.170281308,-1.820471356,-2.516047575,-1.919736845,-1.089942901,-4.18529796,-2.90159589,-1.190641599,-3.322422705,-1.984743803,-0.409216153,-3.119567431,0.305393698,-1.490885994,-2.530330889,-1.751060498,-2.405164856,-1.143527965,-0.886321177,-1.187967707,-0.769636295,-4.667484238,-6.057930314,-2.704095711,0.296781989,-1.820471356,-2.001355993,-1.118008994,-0.424456605,-2.785235619,-1.861230068,-2.106681684,-4.533508498,-3.824954657,-2.25172416,-2.7950569,-1.008513146,-1.760872823,-4.508022551,-0.60515248,-2.218912084
cTNI20,5.304567459,-2.416969079,5.225566249,-4.667185175,57.06111034,-2.816873444,11.22361413,45.07370463,42.99032672,-5.280213359,-0.09712381,-0.245979125,11.18520721,5.305707484,-3.589418029,9.009665943,41.10540261,42.70881539,2.886556756,2.552074833,-0.357852871,36.51628907,24.05082675,-3.133041909,-2.396046848,3.980980618,-3.406368131,-2.380057137,-2.702704796,8.483093939,-3.832403258,-2.995356575,-3.328981626,-1.837680176,-1.468082533,-2.443681815,-0.596985419,-6.242687213,-0.077135846,31.84006146,-2.690790594,-3.81245029,-3.416922386,-2.085720061,-2.707976618,-1.002887079,-2.237978991,-2.152568378,3.483714096,3.49563734,-4.808420103,-9.337754085,-0.542782816,7.541149024,-4.207454305,-1.740416166,24.57587008,-2.650346514,-2.588943634,-1.844656888,-2.117340222,-1.53601772,-6.503288501,-2.042710742,-5.287180974,0.288475835,-1.783584357,-0.555305542,-2.64308836,-0.42362331
cTNI21,3.199815723,-1.451210676,2.789063465,-2.774202555,9.036809989,-1.072109253,-0.040146495,11.23709324,17.99777263,-3.530391613,1.58199114,1.794081259,-0.92933872,0.397099907,-1.312817121,-0.11992961,1.577224029,7.485692192,1.064697096,-2.503530918,-0.057379284,2.741897155,14.05875572,-1.947247139,-0.061626042,5.12714842,-1.400480143,-3.563980697,-1.500013531,0.10240083,-2.171146563,-3.16466838,-2.301711145,-1.757160831,-4.338871324,-1.756010062,-0.957496417,-3.778678243,-1.528319414,1.489239646,-3.752308045,-1.314120539,-2.143258507,-2.419469743,-1.592865585,-1.531192647,-0.507475344,-1.562805981,1.679025418,1.007930908,-3.861687916,-5.927946698,-1.911657859,0.932149571,-2.171146563,-2.087794838,3.099478774,-0.777919995,-3.169920273,-2.213121543,-2.466333273,-3.528456895,-3.872968235,-2.616300208,-3.206402742,-0.397100493,-0.736436507,-3.774338978,-0.930097198,-2.065991346
cTNI22,0.601452422,0.459967954,-2.089677136,-2.638007225,0.039103063,0.76537919,-3.566909949,-1.81015586,-2.642230655,-4.333541076,4.727156255,-2.101000667,-1.049524417,-2.109576481,4.415613648,10.77256474,0.022944628,0.657560157,-0.140101726,-2.315104806,-0.362055663,-0.428666406,-1.367420927,-0.059895833,-1.435890788,13.85040781,4.361093156,-4.311057637,-1.586547235,-1.872847724,-1.881252574,2.62912043,-0.785079922,-1.620981511,-0.7596588,-4.281774117,-1.216740739,-2.987994521,1.455350278,1.04422328,3.997047797,-0.880737129,-1.8459644,-3.225226819,-1.696743809,-2.639264094,0.418498133,-1.660070573,-0.493315031,-1.420380406,-4.034558292,-6.43057904,-3.229622918,-1.17488331,-2.370892655,-0.465303848,-1.813576489,-1.757971909,-3.330739714,0.736105067,-3.176685998,-5.868951423,-5.126716444,-3.337989324,-2.866355744,-1.603195249,-3.238779784,-4.271716221,1.626587052,-3.301436845
cTNI23,-0.356065846,-0.868398471,0.104943548,-0.383071689,2.947311612,-1.129959212,1.905161636,9.092383604,7.252341219,-3.05338586,7.983557759,5.222954773,2.487191864,-1.719282859,1.524229188,-0.45290921,5.14772094,1.672197327,6.220648863,1.867924264,4.814536423,3.840577875,4.188289351,0.885187793,0.558025114,-0.830105917,-0.552433468,4.332985571,0.664397749,11.44855363,2.743611741,10.15276675,2.494448087,0.289174072,2.967869673,0.722338427,3.985530982,-0.786921137,11.22982532,-0.21460321,1.734591704,2.218119824,5.024314951,2.542019888,-1.137996752,0.35253596,0.378807884,0.258509885,2.844267837,0.230917194,-1.716583191,-5.496053702,-2.458488336,13.52114116,-1.957240834,-1.355574567,-0.547406473,-0.840287605,-1.869304402,2.933829204,-2.269894002,-3.471613373,-4.144994396,-1.92171604,-2.626315089,-1.783950192,-2.027081424,-4.043065086,2.964014323,-2.137506403
cTNI24,-0.327278295,-2.396982957,-1.877718706,-3.567196508,8.024093156,-0.854014973,-2.549851615,2.195036708,-2.938833402,-5.050388469,9.785808191,4.982280172,2.818733238,-1.368575697,-2.653426992,-3.156089585,-0.317178573,-1.893191545,1.383730395,-4.5892819,-2.598171626,-0.604743629,-1.76824182,-2.287229105,-1.181760875,31.61288192,0.440601334,-4.083602468,-2.453632278,1.31928112,-2.801146877,0.531996855,-2.280349128,-2.514501635,-4.689086204,-3.036361194,-1.695791674,-5.034417752,-1.531026223,-1.620512825,-4.64734845,-2.782710434,-2.98642576,-2.401559186,-3.506521267,-2.008542833,-2.680533144,0.210098309,9.564146807,-1.9879338,-1.200225657,-7.80882216,-3.226903775,1.757766808,-1.923333001,-0.923500965,0.405233194,-0.109927075,-2.983131135,-2.419223476,-3.17604145,-6.640004416,-4.250021578,2.663958553,-1.283571146,-1.157859045,-2.609147558,-1.394164747,-0.371540784,-1.300020785
cTNI25,0.112012725,-1.453060247,-1.139449038,-3.119768072,3.171078932,-1.040629989,-1.761572536,-0.534897849,1.407778403,0.301849131,4.362335025,5.548015152,-1.033813652,-1.44203144,1.557673377,-2.380241102,2.243241649,-1.01600637,-1.025153328,-3.149415265,-1.34723666,-1.693578967,2.09765523,-1.716764543,-1.410625601,-1.421786222,-1.155056602,-3.191423322,0.605088164,4.213831052,-0.659004024,1.245575775,-0.468490556,-1.785317174,-4.027635283,-0.780385545,-0.769776633,0.717923997,2.404677744,-0.832332279,-2.572898928,-0.638667322,-1.939916375,-0.296449981,0.283544269,-1.488009321,-1.784409266,-1.574310136,-1.230476263,-0.409771612,-3.802802689,-6.243046773,-0.58138983,1.477121548,-1.971602054,-2.435972177,-0.843581963,-1.426565891,-2.663533559,-2.539896481,-0.820577507,-5.64267747,-3.405583735,0.410241011,-2.55648236,-0.618124429,-3.040381604,-3.809327175,-0.885913691,-1.710911594
cTNI26,-3.934751467,-3.04015315,-2.803212569,-4.359997448,-3.58112628,-1.347333072,-6.647635541,-2.354561528,-4.659832189,-6.708668518,-3.672047159,-2.816949775,-2.53899118,-3.040934697,-3.647327186,-4.585460106,-4.643973989,-3.504691606,-2.315170957,-4.856753599,-2.815250487,-4.157976038,-4.529565179,-3.450454189,-2.381716952,-3.839500813,-2.927089147,-6.802377784,-3.100067104,-0.859977575,-3.741386879,-5.040051907,-3.527660108,0.841256233,-6.38024263,-4.02649583,-1.868314499,-5.045967483,-1.503602386,-2.801246167,-5.84242943,-3.91869256,-3.31152842,-4.02880993,-4.222648811,-2.449038993,-2.394484839,-2.068274952,-1.785588604,-2.609197653,-1.962644902,-9.487394679,-0.190245564,-2.672109376,-1.393503183,-1.534384035,-0.087549295,1.008041207,-4.252534968,-1.661973429,-0.806361301,-6.642581679,7.140111672,1.230618609,0.301637045,0.417228722,-0.491127861,-0.918157358,0.38688229,-1.754839299
