cancer,infiltrates,rho,p,adj.p
HNSC (n=522),Monocyte_CIBERSORT,0.041637042079809,0.356734755145418,0.446857219603207
HNSC (n=522),Monocyte_CIBERSORT-ABS,0.166749273431977,0.000202952169043447,0.000431273359217326
HNSC (n=522),Monocyte_MCPCOUNTER,0.575283043027416,1.07703786786123e-44,2.56335012550972e-43
HNSC (n=522),Monocyte_QUANTISEQ,0.0936096219642949,0.0379272675261965,0.0626853449391303
HNSC (n=522),Monocyte_XCELL,0.188360109119141,2.60966017136465e-05,5.97210693062294e-05
HNSC-HPV- (n=422),Macrophage/Monocyte_MCPCOUNTER,0.577612461610501,5.70848012604473e-37,7.54787927777025e-36
HNSC-HPV- (n=422),Monocyte_CIBERSORT,0.0712245970466855,0.155072625989023,0.223680515062954
HNSC-HPV- (n=422),Monocyte_CIBERSORT-ABS,0.172859364210781,0.000515551537002024,0.00103984123564815
HNSC-HPV- (n=422),Monocyte_MCPCOUNTER,0.577612461610501,5.70848012604473e-37,7.54787927777025e-36
HNSC-HPV- (n=422),Monocyte_QUANTISEQ,-0.000685120220931969,0.989101615366358,0.993275039903769
HNSC-HPV- (n=422),Monocyte_XCELL,0.293316354272915,2.23133724716284e-09,8.17012715115011e-09
HNSC-HPV+ (n=98),Macrophage/Monocyte_MCPCOUNTER,0.554527566844745,1.71737697214289e-08,5.30825609571438e-08
HNSC-HPV+ (n=98),Monocyte_CIBERSORT,-0.178406272099941,0.0943790723776887,0.141271819030754
HNSC-HPV+ (n=98),Monocyte_CIBERSORT-ABS,0.0355129220497678,0.741100509526975,0.790950319584843
HNSC-HPV+ (n=98),Monocyte_MCPCOUNTER,0.554527566844745,1.71737697214289e-08,5.30825609571438e-08
HNSC-HPV+ (n=98),Monocyte_QUANTISEQ,0.255751652162015,0.0155621619776394,0.0268390909469432
HNSC-HPV+ (n=98),Monocyte_XCELL,-0.12338430528457,0.249338296846148,0.33338491376058
KICH (n=66),Macrophage/Monocyte_MCPCOUNTER,0.549729556884075,2.10662822479587e-06,5.39115610216578e-06
KICH (n=66),Monocyte_CIBERSORT,-0.202835153505361,0.105130765406504,0.156382013542175
KICH (n=66),Monocyte_CIBERSORT-ABS,0.22103370851258,0.076825505876147,0.118730327263136
KICH (n=66),Monocyte_MCPCOUNTER,0.549729556884075,2.10662822479587e-06,5.39115610216578e-06
KICH (n=66),Monocyte_QUANTISEQ,0.0767971563521333,0.543158413123252,0.633684815310461
KICH (n=66),Monocyte_XCELL,0.51106041176431,1.36068972429604e-05,3.23844154382457e-05
KIRC (n=533),Macrophage/Monocyte_MCPCOUNTER,0.515303503288999,1.24786685304982e-32,1.34996505011753e-31
KIRC (n=533),Monocyte_CIBERSORT,-0.328582711831762,4.56199777048968e-13,2.01065827662323e-12
KIRC (n=533),Monocyte_CIBERSORT-ABS,-0.0608569570429128,0.192125846408987,0.265848554914761
KIRC (n=533),Monocyte_MCPCOUNTER,0.515303503288999,1.24786685304982e-32,1.34996505011753e-31
KIRC (n=533),Monocyte_QUANTISEQ,-0.0651981208359435,0.162248289483959,0.23262104154929
KIRC (n=533),Monocyte_XCELL,0.425828914656028,9.90518440650559e-22,8.41940674552975e-21
KIRP (n=290),Macrophage/Monocyte_MCPCOUNTER,0.360709063898502,2.40435883772781e-09,8.52913071492674e-09
KIRP (n=290),Monocyte_CIBERSORT,-0.0822300927494662,0.187963317707741,0.261609763827149
KIRP (n=290),Monocyte_CIBERSORT-ABS,0.304318862458249,6.25935193843108e-07,1.67384917005236e-06
KIRP (n=290),Monocyte_MCPCOUNTER,0.360709063898502,2.40435883772781e-09,8.52913071492674e-09
KIRP (n=290),Monocyte_QUANTISEQ,0.00950106953067881,0.879287766875161,0.902027967742623
KIRP (n=290),Monocyte_XCELL,0.445941830659246,5.19962930695079e-14,2.42649367657704e-13
LGG (n=516),Macrophage/Monocyte_MCPCOUNTER,-0.00832870083797176,0.855882099228723,0.889519386971336
LGG (n=516),Monocyte_CIBERSORT,-0.168451794037911,0.000215832709883196,0.000454585707541598
LGG (n=516),Monocyte_CIBERSORT-ABS,0.253703192444627,1.86017692927664e-08,5.67592447651076e-08
LGG (n=516),Monocyte_MCPCOUNTER,-0.00832870083797176,0.855882099228723,0.889519386971336
LGG (n=516),Monocyte_QUANTISEQ,-0.366218928461255,1.28488083576286e-16,7.84106766439897e-16
LGG (n=516),Monocyte_XCELL,0.366931645046021,1.11083397889355e-16,7.14536451288284e-16
LIHC (n=371),Macrophage/Monocyte_MCPCOUNTER,0.410908397468842,1.736374609827e-15,8.79270547103883e-15
LIHC (n=371),Monocyte_CIBERSORT,-0.278796618896052,1.40673577651819e-07,4.1333717877942e-07
LIHC (n=371),Monocyte_CIBERSORT-ABS,0.163387969407212,0.00233249243683073,0.0044410655997257
LIHC (n=371),Monocyte_MCPCOUNTER,0.410908397468842,1.736374609827e-15,8.79270547103883e-15
LIHC (n=371),Monocyte_QUANTISEQ,0.0181518534651032,0.736901198885737,0.790011195201826
LIHC (n=371),Monocyte_XCELL,0.208164671547442,9.8114298993764e-05,0.00021621484407885
