cancer,infiltrates,rho,p,adj.p
BRCA-LumB (n=219),NK cell_MCPCOUNTER,0.659787445708459,2.29598009231192e-25,2.53349527427522e-24
BRCA-LumB (n=219),NK cell_QUANTISEQ,-0.0716342764074613,0.323455830334186,0.396574198110879
BRCA-LumB (n=219),NK cell_XCELL,-0.0561317049101632,0.439336135390669,0.507536329693192
CESC (n=306),NK cell activated_CIBERSORT,0.409165393528821,1.32232532397009e-12,8.13738660904672e-12
CESC (n=306),NK cell activated_CIBERSORT-ABS,0.707395093552308,2.45648932176667e-43,6.5506381913778e-42
CESC (n=306),NK cell resting_CIBERSORT,-0.146752764058028,0.0144989623897428,0.0303246272203771
CESC (n=306),NK cell resting_CIBERSORT-ABS,-0.124022314466359,0.0391336266154067,0.0711520483916486
CESC (n=306),NK cell_EPIC,0.442348771528521,1.06395132698491e-14,7.56587610300378e-14
CESC (n=306),NK cell_MCPCOUNTER,0.770284745571137,1.15795570791058e-55,7.41091653062769e-54
CESC (n=306),NK cell_QUANTISEQ,-0.0327045787178693,0.587821064873293,0.65541024654862
CESC (n=306),NK cell_XCELL,0.142666952620452,0.0175071653424164,0.035683394328492
CHOL (n=36),NK cell activated_CIBERSORT,-0.00277405163764291,0.987381588135686,0.990476828223886
CHOL (n=36),NK cell activated_CIBERSORT-ABS,0.538083889643839,0.000855955514644519,0.00210696742066343
CHOL (n=36),NK cell resting_CIBERSORT,-0.174387593005011,0.316378948060585,0.392273081622217
CHOL (n=36),NK cell resting_CIBERSORT-ABS,-0.15777676091218,0.36535490900643,0.434622940081998
CHOL (n=36),NK cell_EPIC,0.173991690734634,0.317496025437982,0.392273081622217
CHOL (n=36),NK cell_MCPCOUNTER,0.462241750521248,0.00517991254077906,0.0116535546170382
CHOL (n=36),NK cell_QUANTISEQ,-0.0644420938217997,0.713036196701907,0.77874260390652
CHOL (n=36),NK cell_XCELL,0.143600552255328,0.410521115278301,0.482966017974472
COAD (n=458),NK cell activated_CIBERSORT,0.10573842350101,0.0800499194893361,0.126811753646473
COAD (n=458),NK cell activated_CIBERSORT-ABS,0.336976844365991,9.97417334631971e-09,4.14511100106793e-08
COAD (n=458),NK cell resting_CIBERSORT,-0.188331271800695,0.00170678331724323,0.00407590045908831
COAD (n=458),NK cell resting_CIBERSORT-ABS,-0.0213021784332673,0.725072637387834,0.78386231068955
COAD (n=458),NK cell_EPIC,0.394631786007228,1.10534439244691e-11,6.20544220321074e-11
COAD (n=458),NK cell_MCPCOUNTER,0.581576503478023,2.76836045420224e-26,3.40721286671045e-25
COAD (n=458),NK cell_QUANTISEQ,0.112894321510018,0.0615402030521952,0.102035569827474
COAD (n=458),NK cell_XCELL,0.0602725304160153,0.319318286470198,0.393007121809475
