cancer,infiltrates,rho,p,adj.p
BLCA (n=408),Macrophage M2_XCELL,0.0606069776037121,0.246148806075801,0.277611435423835
BLCA (n=408),Macrophage_EPIC,0.131421944880806,0.0116197291130726,0.0152556618552375
BLCA (n=408),Macrophage_TIMER,-0.138952034820263,0.0075974384500532,0.0102207692153182
BLCA (n=408),Macrophage_XCELL,0.0639904044375067,0.220715402472678,0.25313342261499
BLCA (n=408),Macrophage/Monocyte_MCPCOUNTER,0.0635486742574791,0.223925065122126,0.255914360139572
BRCA (n=1100),Macrophage M0_CIBERSORT,-0.163501345453238,2.1803665102881e-07,4.43464374973851e-07
BRCA (n=1100),Macrophage M0_CIBERSORT-ABS,0.0653384181460163,0.0394383853071841,0.049816907756443
BRCA (n=1100),Macrophage M1_CIBERSORT,0.595027662777986,3.04971192408439e-96,6.09942384816879e-94
BRCA (n=1100),Macrophage M1_CIBERSORT-ABS,0.839630496263681,3.35805058764697e-265,2.01483035258818e-262
BRCA (n=1100),Macrophage M1_QUANTISEQ,0.311820420795221,7.43847025791865e-24,4.37557073995215e-23
BRCA (n=1100),Macrophage M1_XCELL,0.355229123937132,6.21567424587846e-31,5.03973587503659e-30
BRCA (n=1100),Macrophage M2_CIBERSORT,-0.332209143891577,4.87862437067098e-27,3.36456853149723e-26
BRCA (n=1100),Macrophage M2_CIBERSORT-ABS,0.559925652029548,4.19710780957951e-83,4.19710780957951e-81
BRCA (n=1100),Macrophage M2_QUANTISEQ,0.228809956929514,2.83795275081979e-13,8.59985682066603e-13
BRCA (n=1100),Macrophage M2_TIDE,-0.572767579925266,9.99460841130102e-88,1.19935300935612e-85
BRCA (n=1100),Macrophage M2_XCELL,0.294612330420904,2.35165426884451e-21,1.22695005331018e-20
BRCA (n=1100),Macrophage_EPIC,0.513189404923724,7.07500909750163e-68,3.26538881423152e-66
BRCA (n=1100),Macrophage_TIMER,-0.0783684508230364,0.0134556931053995,0.0175128326751403
BRCA (n=1100),Macrophage_XCELL,0.370555879163918,1.03649337791282e-33,9.28203024996552e-33
BRCA (n=1100),Macrophage/Monocyte_MCPCOUNTER,0.55876251859675,1.07586193381707e-82,9.22167371843206e-81
BRCA-Basal (n=191),Macrophage M0_CIBERSORT,-0.378196626135718,2.67237222882219e-07,5.38605103845e-07
BRCA-Basal (n=191),Macrophage M0_CIBERSORT-ABS,-0.004866734223408,0.949181796627092,0.958769491542517
BRCA-Basal (n=191),Macrophage M1_CIBERSORT,0.514796052087549,3.67443536840115e-13,1.10786996032195e-12
BRCA-Basal (n=191),Macrophage M1_CIBERSORT-ABS,0.772720144768327,8.73274245921078e-36,8.45104108955882e-35
BRCA-Basal (n=191),Macrophage M1_QUANTISEQ,0.273976372226194,0.000253995748530098,0.000397904566887881
BRCA-Basal (n=191),Macrophage M1_XCELL,0.387593596818983,1.26476096356357e-07,2.62580130843648e-07
BRCA-Basal (n=191),Macrophage M2_CIBERSORT,-0.23950886820504,0.00145744561346746,0.00210208501942423
BRCA-Basal (n=191),Macrophage M2_CIBERSORT-ABS,0.458705494903256,1.94806610197282e-10,4.95271042874446e-10
BRCA-Basal (n=191),Macrophage M2_QUANTISEQ,0.47988826268612,2.08173269550114e-11,5.67745280591221e-11
BRCA-Basal (n=191),Macrophage M2_TIDE,-0.521828062078649,1.5390570775336e-13,4.83473427497467e-13
BRCA-Basal (n=191),Macrophage M2_XCELL,0.232138214057117,0.00205435841912214,0.00291398357322289
BRCA-Basal (n=191),Macrophage_EPIC,0.466733934513248,8.49815202580981e-11,2.2169092241243e-10
BRCA-Basal (n=191),Macrophage_TIMER,-0.171995088693332,0.0232466379410211,0.0297398353190035
BRCA-Basal (n=191),Macrophage_XCELL,0.394857904055159,6.97926489262178e-08,1.49023449664522e-07
BRCA-Basal (n=191),Macrophage/Monocyte_MCPCOUNTER,0.418060725785004,9.47231901413431e-09,2.16923336201549e-08
BRCA-Her2 (n=82),Macrophage M0_CIBERSORT,-0.444340809045417,9.2265152096229e-05,0.000152504383630131
BRCA-Her2 (n=82),Macrophage M0_CIBERSORT-ABS,-0.0330514863388688,0.782841365534812,0.811234575683743
BRCA-Her2 (n=82),Macrophage M1_CIBERSORT,0.460562570676812,4.68357856033758e-05,7.82770790028564e-05
BRCA-Her2 (n=82),Macrophage M1_CIBERSORT-ABS,0.871216514376676,2.54253239833616e-23,1.4668456144247e-22
BRCA-Her2 (n=82),Macrophage M1_QUANTISEQ,0.186848519240511,0.116045719912135,0.138424317986643
BRCA-Her2 (n=82),Macrophage M1_XCELL,0.547439788333191,6.47934341523301e-07,1.27045949318294e-06
BRCA-Her2 (n=82),Macrophage M2_CIBERSORT,-0.312397207755003,0.00754892454234791,0.0102012493815512
BRCA-Her2 (n=82),Macrophage M2_CIBERSORT-ABS,0.575705505209909,1.21952712696236e-07,2.54068151450491e-07
BRCA-Her2 (n=82),Macrophage M2_QUANTISEQ,0.507198166910328,5.44725587438257e-06,1.00564723834755e-05
BRCA-Her2 (n=82),Macrophage M2_TIDE,-0.427275651837983,0.000181638862548286,0.000290622180077257
BRCA-Her2 (n=82),Macrophage M2_XCELL,0.275737368122146,0.0190573580723749,0.0246431354384158
BRCA-Her2 (n=82),Macrophage_EPIC,0.688784056211794,2.26759651524516e-11,6.15637062962486e-11
BRCA-Her2 (n=82),Macrophage_TIMER,-0.171041345871669,0.150847786641112,0.176430159814167
BRCA-Her2 (n=82),Macrophage_XCELL,0.493519718713748,1.05808476017304e-05,1.87825697072138e-05
BRCA-Her2 (n=82),Macrophage/Monocyte_MCPCOUNTER,0.296185159929154,0.0115307825894267,0.0151720823545088
BRCA-LumA (n=568),Macrophage M0_CIBERSORT,-0.158435469005079,0.000298502733645753,0.000460415527474169
BRCA-LumA (n=568),Macrophage M0_CIBERSORT-ABS,-0.0191315783830577,0.664293073518944,0.698031250632865
BRCA-LumA (n=568),Macrophage M1_CIBERSORT,0.610556546159941,3.9304917442019e-54,9.43318018608457e-53
BRCA-LumA (n=568),Macrophage M1_CIBERSORT-ABS,0.848751896549901,1.28270331878966e-144,3.84810995636898e-142
BRCA-LumA (n=568),Macrophage M1_QUANTISEQ,0.268446619262712,5.52958256243031e-10,1.37097088324718e-09
BRCA-LumA (n=568),Macrophage M1_XCELL,0.170508547027159,9.77364285089706e-05,0.000161104003036765
BRCA-LumA (n=568),Macrophage M2_CIBERSORT,-0.358995801959342,3.59394826265504e-17,1.50795031999512e-16
BRCA-LumA (n=568),Macrophage M2_CIBERSORT-ABS,0.572707229266416,2.16195329284355e-46,3.81521169325332e-45
BRCA-LumA (n=568),Macrophage M2_QUANTISEQ,0.366930610041454,6.37425756635524e-18,2.77141633319793e-17
BRCA-LumA (n=568),Macrophage M2_TIDE,-0.546077133189171,1.60886746455133e-41,2.19391017893363e-40
BRCA-LumA (n=568),Macrophage M2_XCELL,0.333809453110862,6.36977437129078e-15,2.22201431556655e-14
BRCA-LumA (n=568),Macrophage_EPIC,0.420526583030738,1.42905323802565e-23,8.32458196908143e-23
BRCA-LumA (n=568),Macrophage_TIMER,-0.00306398725734621,0.944592147032432,0.955742475918143
BRCA-LumA (n=568),Macrophage_XCELL,0.240065597267787,3.27001681509912e-08,7.16062076299078e-08
BRCA-LumA (n=568),Macrophage/Monocyte_MCPCOUNTER,0.551720897140845,1.62348674020749e-42,2.37583425396218e-41
BRCA-LumB (n=219),Macrophage M0_CIBERSORT,-0.321899094830416,5.28829074694701e-06,9.79313101286484e-06
BRCA-LumB (n=219),Macrophage M0_CIBERSORT-ABS,-0.0334688306761982,0.644900104116246,0.678842214859207
BRCA-LumB (n=219),Macrophage M1_CIBERSORT,0.557874373919957,4.24625518486246e-17,1.76927299369269e-16
BRCA-LumB (n=219),Macrophage M1_CIBERSORT-ABS,0.815928077773978,4.33909997728275e-47,8.39825802054726e-46
BRCA-LumB (n=219),Macrophage M1_QUANTISEQ,0.303013125935941,1.93617384103946e-05,3.37704739716185e-05
BRCA-LumB (n=219),Macrophage M1_XCELL,0.403829317163998,6.30863711474253e-09,1.46146033546159e-08
BRCA-LumB (n=219),Macrophage M2_CIBERSORT,-0.21111691253314,0.00328824030858828,0.00458824229105342
BRCA-LumB (n=219),Macrophage M2_CIBERSORT-ABS,0.634059036281867,5.50862265354291e-23,3.11808829445825e-22
BRCA-LumB (n=219),Macrophage M2_QUANTISEQ,0.293797902421867,3.53335290967038e-05,5.98873374520403e-05
BRCA-LumB (n=219),Macrophage M2_TIDE,-0.552238781526309,1.01234479951405e-16,4.07655623965391e-16
BRCA-LumB (n=219),Macrophage M2_XCELL,0.29046276135127,4.37076776048872e-05,7.32530909579115e-05
BRCA-LumB (n=219),Macrophage_EPIC,0.545189162204591,2.93382186036622e-16,1.1505183766142e-15
BRCA-LumB (n=219),Macrophage_TIMER,-0.0136679306494251,0.850750847874326,0.875558334004452
BRCA-LumB (n=219),Macrophage_XCELL,0.426361403638111,6.99872795902142e-10,1.72808097753615e-09
BRCA-LumB (n=219),Macrophage/Monocyte_MCPCOUNTER,0.571439820160217,4.8964709354815e-18,2.17620930465844e-17
CESC (n=306),Macrophage M0_CIBERSORT,-0.370320590317134,1.976600249584e-10,5.00405126476962e-10
CESC (n=306),Macrophage M0_CIBERSORT-ABS,-0.155000065954129,0.00977516446138661,0.0129758820283893
CESC (n=306),Macrophage M1_CIBERSORT,0.461074170547904,5.49737640812081e-16,2.14183496420291e-15
