"Custom pathway"$"Custom pathway"$"Diff"$"Direction of change"$"Interactions"$"P-value"$"FDR corrected p-value"$"Cross-species regulation"
"glycerophospholipid metabolism"$"glycerophospholipid metabolism"$-0.0723847264881503$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.0786526568660844$0.173934732612427$FALSE
"glycine, serine, alanine and threonine metabolism"$"glycine, serine, alanine and threonine metabolism"$-0.10881623622031$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.00389580539438096$0.0188459585953179$TRUE
"heme synthesis"$"heme synthesis"$0.00062322267555015$"UP"$"organ + age + organ:age"$0.997147318022152$0.999072523245653$FALSE
"heparan sulfate degradation"$"heparan sulfate degradation"$0.101543818751308$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.00703222143934274$0.0295811923589743$TRUE
"histidine metabolism"$"histidine metabolism"$0.081331313048574$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.0706305695797548$0.159848131154182$FALSE
"inositol phosphate metabolism"$"inositol phosphate metabolism"$0.070511851337919$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.0513269679217516$0.128151848940115$FALSE
"keratan sulfate degradation"$"keratan sulfate degradation"$0.23392093544854$"UP"$"species + age + species:age"$8.5416159366373e-10$3.00509578861694e-08$TRUE
"keratan sulfate synthesis"$"keratan sulfate synthesis"$0.00831649332214174$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.744270578504176$0.827680212302058$FALSE
"limonene and pinene degradation"$"limonene and pinene degradation"$-0.0750454358509134$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.0606696295609148$0.143422666749144$FALSE
"methionine and cysteine metabolism"$"methionine and cysteine metabolism"$-0.0684320177048455$"DOWN"$"organ + species + age + organ:age + species:age"$0.166112341308993$0.303233377766888$FALSE
"n-glycan degradation"$"n-glycan degradation"$0.307392627148539$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$4.92561355304934e-17$3.81242489006019e-15$TRUE
"n-glycan synthesis"$"n-glycan synthesis"$-0.0674230125014144$"DOWN"$"species + age + species:age"$0.166101294407658$0.303233377766888$FALSE
"nad metabolism"$"nad metabolism"$-0.0528158054670573$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.300246940667237$0.473009171002317$FALSE
"nucleotide interconversion"$"nucleotide interconversion"$-0.0824958981845937$"DOWN"$"species + age + species:age"$0.0363789939828085$0.101285400513287$FALSE
"o-glycan synthesis"$"o-glycan synthesis"$-0.0679535439243942$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.113592773467555$0.228033221671278$FALSE
"propanoate metabolism"$"propanoate metabolism"$-0.0916462716194055$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.0492991563135248$0.126349493333338$FALSE
"purine catabolism"$"purine catabolism"$-0.0482314397036708$"DOWN"$"species + age + species:age"$0.382102160102781$0.528119771284915$FALSE
"pyrimidine synthesis"$"pyrimidine synthesis"$0.0130106503335945$"UP"$"species + age + species:age"$0.787833808163971$0.863771866131973$FALSE
"pyruvate metabolism"$"pyruvate metabolism"$-0.0324370921990625$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.287107122825782$0.461039238728538$FALSE
"selenoamino acid metabolism"$"selenoamino acid metabolism"$-0.184078370308565$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$8.69088410267528e-07$1.60160578463587e-05$TRUE
"sphingolipid metabolism"$"sphingolipid metabolism"$0.121002328623938$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.00138341462380007$0.00775915158566126$FALSE
"starch and sucrose metabolism"$"starch and sucrose metabolism"$0.0506622618024196$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.428662053514148$0.576014634409636$FALSE
"steroid metabolism"$"steroid metabolism"$0.0873174974621836$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.0282694718567326$0.0848084155701978$TRUE
"transport, endoplasmic reticular"$"transport, endoplasmic reticular"$0.0697756894825999$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.157349622936126$0.294175382011019$FALSE
"transport, golgi apparatus"$"transport, golgi apparatus"$-0.0280358112197273$"DOWN"$"species + age + species:age"$0.732183197078583$0.818944789795988$FALSE
"transport, mitochondrial"$"transport, mitochondrial"$0.0302602430776643$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.714937911237151$0.804305150141795$FALSE
"triacylglycerol synthesis"$"triacylglycerol synthesis"$0.0858276088307517$"UP"$"organ + species + age + organ:age + species:age"$0.0163674431767535$0.0565553616911035$FALSE
"tyrosine metabolism"$"tyrosine metabolism"$0.201416589437498$"UP"$"organ + age + organ:age"$3.65861754140915e-07$7.86602771402967e-06$TRUE
"valine, leucine, and isoleucine metabolism"$"valine, leucine, and isoleucine metabolism"$-0.115032335879549$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.00856495847445483$0.034527488850146$FALSE
