,TCGA-DD-A11D-01A-11R-A131-07,TCGA-DD-AACT-01A-11R-A41C-07,TCGA-G3-AAUZ-01A-11R-A38B-07,TCGA-EP-A26S-11A-12R-A16W-07
ENSG00000004455,15.7647528884,16.0674645696,14.9055288426,14.1896795292
ENSG00000004468,0.0614566851814,0.29216253391,0.390586067913,0.173016361733
ENSG00000004478,16.5035840795,13.9259235896,21.3921148171,14.7198235197
ENSG00000004487,2.75470860571,3.55765855731,4.75247220379,2.62390154257
ENSG00000004534,3.53711949102,3.05196033966,4.11046776531,1.49313560377
ENSG00000004660,0.0611115516916,0.181481789499,0.160625743969,0.0943136730504
ENSG00000004700,2.10153859073,1.35902188731,0.464525858803,1.13090409519
ENSG00000004766,1.92300539171,1.81800759316,0.447424227673,0.666560437755
ENSG00000004776,2.87933053107,9.60045901339,5.72292703935,4.77975766463
ENSG00000004777,0.597611888873,0.99688724671,0.718622454631,0.0434661105751
ENSG00000004779,26.2290779861,42.8320566801,38.5870315534,26.3105121417
ENSG00000004799,40.2733722569,23.8033148848,11.391762567,62.9350734892
ENSG00000004809,0,0.00932021392816,0,0.00731481128823
ENSG00000004838,0.105084953085,0.127163148277,0.420922802195,0.0071287023455
ENSG00000004846,0,0.00786736001238,0,0.00154364090435
ENSG00000004848,0,0,0,0
ENSG00000004864,52.9773382545,20.9356398163,12.4809805564,22.8708773883
ENSG00000004866,6.7389541889,5.44968889049,4.63543764451,5.03374727788
ENSG00000004897,3.78963263573,3.13767241802,3.68620964566,2.40810469362
ENSG00000004939,0.0183884525288,0.0550997931792,0.0042556699174,0.00540551687216
ENSG00000004948,0,0,0.0111329672703,0.0106057524875
ENSG00000004961,7.32791252226,5.09953010375,4.124146935,5.61175875455
ENSG00000004975,1.05397110545,3.55292478068,1.23643358783,1.01495399319
ENSG00000005001,0.0135762810389,0.0457654911822,0.0094259433822,0.167618578904
ENSG00000005007,12.00550848,11.8557456149,6.47782833591,4.67232890588
ENSG00000005020,7.47347462957,5.01353217775,0.391299597449,1.46777850432
ENSG00000005022,110.549656261,108.101253076,155.608110918,161.690272942
ENSG00000005059,1.09960642839,0.54120752056,0.529999174335,0.372664609701
ENSG00000005073,0.014047066684,0,0.0195056149574,0
ENSG00000005075,22.2899890825,25.8526501375,45.2153182447,15.7658880871
ENSG00000005100,1.67220616493,1.97201568629,0.789329654595,1.3846587724
ENSG00000005102,0.0837998078609,0,0.0664934668735,0.0369510110679
ENSG00000005108,1.71684614002,0.196580700267,0.061761534047,0.0745265421849
ENSG00000005156,1.39218619678,1.22611061077,1.06585903199,0.536450163945
ENSG00000005175,2.0897759237,3.15349550843,1.32129969999,1.32511660322
ENSG00000005187,3.57127005983,1.4152236063,1.21674564804,4.63832772937
ENSG00000005189,0.669557496692,1.23032487569,1.14850331531,0.173668982153
ENSG00000005194,4.7746375971,8.29149232774,3.91132327744,4.14553848985
ENSG00000005206,4.64509504381,4.71901908207,4.3800309779,1.14636532442
ENSG00000005238,1.0871298659,1.86360069716,1.15149171601,0.680026926935
ENSG00000005243,7.37070306624,9.12810976728,28.7719359599,8.1367455319
ENSG00000005249,0.0075049983418,0.345756625408,0.135477743906,0.549340972524
ENSG00000005302,1.45171114631,1.17157356001,1.13953357986,0.932687985385
ENSG00000005339,3.68628105838,3.50172523621,2.05018084481,2.20108123304
ENSG00000005379,0.0256877968609,0.564459868227,0.26157864582,0.168644604202
