model	auc	n.mirna	mclust
623	0.650196078431373	5	4
624	0.658300653594771	5	4
625	0.647058823529412	5	4
626	0.626928104575163	5	4
627	0.643660130718954	5	4
628	0.657254901960784	5	4
629	0.630065359477124	5	4
630	0.638692810457516	5	4
631	0.689934640522876	5	4
632	0.611764705882353	5	4
633	0.616209150326797	5	4
634	0.628758169934641	5	4
635	0.583529411764706	5	2
636	0.645751633986928	5	4
637	0.646274509803922	5	4
638	0.646797385620915	6	4
639	0.671633986928105	6	4
640	0.636601307189542	6	4
641	0.650980392156863	6	4
642	0.640261437908497	6	4
643	0.660915032679739	6	4
644	0.643137254901961	6	4
645	0.635294117647059	6	4
646	0.628496732026144	6	4
647	0.671895424836601	6	4
648	0.663006535947712	6	4
649	0.686274509803922	6	4
650	0.644967320261438	6	4
651	0.62797385620915	6	4
652	0.635555555555556	6	4
653	0.665359477124183	6	4
654	0.625359477124183	6	4
655	0.64078431372549	6	4
656	0.629542483660131	6	4
657	0.665359477124183	6	4
658	0.665882352941176	6	4
659	0.682875816993464	6	4
660	0.636339869281046	6	4
661	0.627450980392157	6	4
662	0.646013071895425	6	4
663	0.666666666666667	6	4
664	0.658039215686275	6	4
665	0.670326797385621	6	4
666	0.637647058823529	6	4
667	0.630326797385621	6	4
668	0.637647058823529	6	4
669	0.670326797385621	6	4
670	0.680261437908497	6	4
671	0.684183006535948	6	4
672	0.636601307189542	6	4
673	0.662483660130719	6	4
674	0.640522875816993	6	4
675	0.644444444444444	6	4
676	0.643921568627451	6	4
677	0.65359477124183	6	4
678	0.658039215686275	6	4
679	0.679477124183007	6	4
680	0.642875816993464	6	4
681	0.597385620915033	6	2
682	0.638169934640523	6	4
683	0.668496732026144	6	4
684	0.647320261437909	6	4
685	0.66483660130719	6	4
686	0.655947712418301	6	4
687	0.639738562091503	6	4
688	0.639477124183007	6	4
689	0.670849673202614	6	4
690	0.682091503267974	6	4
691	0.66562091503268	6	4
692	0.634509803921569	6	4
693	0.621176470588235	6	4
694	0.636078431372549	6	4
695	0.641045751633987	6	4
696	0.616732026143791	6	4
697	0.58797385620915	6	2
698	0.623529411764706	6	4
699	0.645490196078431	6	4
700	0.650980392156863	6	4
701	0.652549019607843	6	4
702	0.619869281045752	6	4
703	0.645228758169935	6	4
704	0.638954248366013	6	4
705	0.647320261437909	6	4
706	0.617254901960784	6	4
707	0.655686274509804	6	4
708	0.424575163398693	6	1
709	0.620130718954248	6	4
710	0.586666666666667	6	2
711	0.597385620915033	6	2
712	0.610718954248366	6	4
713	0.603398692810458	6	2
714	0.658823529411765	6	4
715	0.641045751633987	6	4
716	0.604444444444444	6	2
717	0.595816993464052	6	2
718	0.613856209150327	6	4
719	0.597124183006536	6	2
720	0.634771241830065	6	4
721	0.637647058823529	6	4
722	0.635555555555556	6	4
723	0.590588235294118	6	2
724	0.655424836601307	6	4
725	0.677908496732026	6	4
726	0.657254901960784	6	4
727	0.645751633986928	6	4
728	0.60078431372549	6	2
729	0.601830065359477	6	2
730	0.639477124183007	6	4
731	0.617516339869281	6	4
732	0.582745098039216	6	2
733	0.588235294117647	6	2
734	0.630326797385621	6	4
735	0.676601307189542	6	4
736	0.658823529411765	6	4
737	0.611764705882353	6	4
738	0.635032679738562	6	4
739	0.650718954248366	6	4
740	0.642614379084967	6	4
741	0.610457516339869	6	4
742	0.670849673202614	6	4
743	0.609150326797386	6	4
744	0.587712418300654	6	2
745	0.633986928104575	6	4
746	0.640522875816993	6	4
747	0.630849673202614	6	4
748	0.597385620915033	6	2
749	0.650980392156863	6	4
750	0.659607843137255	6	4
751	0.647843137254902	6	4
752	0.624052287581699	6	4
753	0.643921568627451	6	4
754	0.658300653594771	6	4
755	0.62718954248366	6	4
756	0.637908496732026	6	4
757	0.688888888888889	6	4
758	0.610196078431373	6	4
759	0.616470588235294	6	4
760	0.630849673202614	6	4
761	0.584575163398693	6	2
762	0.644967320261438	6	4
763	0.646797385620915	6	4
764	0.662745098039216	6	4
765	0.64	6	4
766	0.648888888888889	6	4
767	0.648366013071895	6	4
768	0.66718954248366	6	4
769	0.672679738562092	6	4
770	0.690196078431373	6	4
771	0.656470588235294	6	4
772	0.632418300653595	6	4
773	0.650196078431373	6	4
774	0.665359477124183	6	4
775	0.65281045751634	6	4
776	0.669542483660131	6	4
777	0.660130718954248	6	4
778	0.640261437908497	6	4
779	0.638692810457516	6	4
780	0.681830065359477	6	4
781	0.69359477124183	6	4
782	0.687058823529412	6	4
783	0.645751633986928	6	4
784	0.659084967320261	6	4
785	0.665882352941176	6	4
786	0.672156862745098	6	4
787	0.635032679738562	6	4
788	0.632156862745098	6	4
789	0.643137254901961	6	4
790	0.667712418300654	6	4
791	0.680261437908497	6	4
792	0.682614379084967	6	4
793	0.640522875816993	6	4
794	0.666928104575163	6	4
795	0.678692810457516	6	4
796	0.674248366013072	6	4
797	0.639738562091503	6	4
798	0.684444444444444	6	4
799	0.652549019607843	6	4
800	0.660653594771242	6	4
801	0.670065359477124	6	4
802	0.656209150326797	6	4
803	0.631633986928105	6	5
804	0.643137254901961	6	5
805	0.672679738562092	6	4
806	0.674771241830065	6	4
807	0.685228758169935	6	4
808	0.643921568627451	6	5
809	0.665882352941176	6	4
810	0.673464052287582	6	4
811	0.659346405228758	6	5
812	0.65437908496732	6	5
813	0.691764705882353	6	4
814	0.632418300653595	6	5
815	0.630326797385621	6	5
816	0.645228758169935	6	5
817	0.614117647058824	6	5
818	0.649673202614379	6	5
819	0.653071895424837	6	5
820	0.610457516339869	6	5
821	0.589803921568627	6	2
822	0.64156862745098	6	5
823	0.63843137254902	6	5
824	0.636339869281046	6	5
825	0.598954248366013	6	2
826	0.649150326797386	6	5
827	0.680522875816993	6	5
828	0.663790849673203	6	5
829	0.644705882352941	6	5
830	0.646274509803922	6	5
831	0.658039215686275	6	5
832	0.637908496732026	6	5
833	0.648366013071895	6	5
834	0.698300653594771	6	5
835	0.631372549019608	6	5
836	0.657254901960784	6	5
837	0.651503267973856	6	5
838	0.613856209150327	6	5
839	0.674771241830065	6	5
840	0.673202614379085	6	5
841	0.64078431372549	6	5
842	0.655424836601307	6	5
843	0.638692810457516	6	5
844	0.643660130718954	6	5
845	0.690980392156863	6	5
846	0.680522875816993	6	5
847	0.637124183006536	6	5
848	0.676339869281046	7	5
849	0.647058823529412	7	5
850	0.65359477124183	7	5
851	0.648888888888889	7	5
852	0.670065359477124	7	5
853	0.67921568627451	7	5
854	0.698823529411765	7	5
855	0.65281045751634	7	5
856	0.634248366013072	7	5
857	0.651503267973856	7	5
858	0.675294117647059	7	5
859	0.655424836601307	7	5
860	0.673464052287582	7	5
861	0.659084967320261	7	5
862	0.641830065359477	7	5
863	0.638169934640523	7	5
864	0.680261437908497	7	5
865	0.693071895424837	7	5
866	0.687058823529412	7	5
867	0.644967320261438	7	5
868	0.665882352941176	7	5
869	0.66483660130719	7	5
870	0.670326797385621	7	5
871	0.636862745098039	7	5
872	0.627712418300654	7	5
873	0.646535947712418	7	5
874	0.668235294117647	7	5
875	0.681830065359477	7	5
876	0.682614379084967	7	5
877	0.637124183006536	7	5
878	0.669803921568627	7	5
879	0.672941176470588	7	5
880	0.672941176470588	7	5
881	0.635555555555556	7	5
882	0.684967320261438	7	5
883	0.672418300653595	7	5
884	0.666928104575163	7	5
885	0.684967320261438	7	5
886	0.664313725490196	7	5
887	0.64	7	5
888	0.647320261437908	7	5
889	0.680522875816993	7	5
890	0.683660130718954	7	5
891	0.684705882352941	7	5
892	0.642875816993464	7	5
893	0.678692810457516	7	5
894	0.68078431372549	7	5
895	0.660130718954248	7	5
896	0.654117647058824	7	5
897	0.69202614379085	7	5
898	0.644967320261438	7	5
899	0.640522875816994	7	5
900	0.648627450980392	7	5
901	0.61516339869281	7	5
902	0.65437908496732	7	5
903	0.65202614379085	7	5
904	0.610196078431373	7	5
905	0.591633986928105	7	2
906	0.641045751633987	7	5
907	0.637908496732026	7	5
908	0.635816993464052	7	5
909	0.601830065359477	7	2
910	0.654117647058824	7	5
911	0.67921568627451	7	5
912	0.66483660130719	7	5
913	0.647581699346405	7	5
914	0.646535947712418	7	5
915	0.660653594771242	7	5
916	0.636078431372549	7	5
917	0.645228758169935	7	5
918	0.698823529411765	7	5
919	0.629281045751634	7	5
920	0.655686274509804	7	5
921	0.65281045751634	7	5
922	0.61359477124183	7	5
923	0.674248366013072	7	5
924	0.669803921568627	7	5
925	0.64156862745098	7	5
926	0.657516339869281	7	5
927	0.637647058823529	7	5
928	0.643137254901961	7	5
929	0.690980392156863	7	5
930	0.68078431372549	7	5
931	0.635816993464052	7	5
932	0.663006535947712	7	5
933	0.667712418300654	7	5
934	0.685228758169935	7	5
935	0.663790849673203	7	5
936	0.64	7	5
937	0.65359477124183	7	5
938	0.683137254901961	7	5
939	0.69359477124183	7	5
940	0.704575163398693	7	5
941	0.658300653594771	7	5
942	0.677908496732026	7	5
943	0.680261437908497	7	5
944	0.672941176470588	7	5
945	0.662222222222222	7	5
946	0.699607843137255	7	5
947	0.666143790849673	7	5
