	GSM995558	GSM995559	GSM995560	GSM995561	GSM995562	GSM995563	GSM995564	GSM995565	GSM995619	GSM995620	GSM995621	GSM995622	GSM995623	GSM995624	GSM995625
ebv-miR-BART6-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-885-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.751598056	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
kshv-miR-K12-8-3p	4.577374443	4.733495349	4.324810603	2.85163512	4.05020564	2.321928095	3.740010073	5.828276144	5.79631741	6.196587374	3.407801399	7.064074471	3.28364476	5.495682373	5.593912453
kshv-miR-K12-7-3p	2.321928095	3.030726277	3.453675602	2.321928095	5.175684271	2.321928095	2.321928095	3.458473876	4.559038988	4.131416627	3.565097507	3.898846829	3.831157741	3.817551633	6.968298153
kshv-miR-K12-9-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
kshv-miR-K12-3-5p	9.697403745	11.98582771	11.30388347	9.799862792	12.17060737	8.694319577	9.873773219	10.86940106	12.38671935	13.96450332	10.86908484	11.78566089	11.10250723	11.90970186	13.12873707
kshv-miR-K12-5-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
kshv-miR-K12-2	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
kshv-miR-K12-1-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.444629965	3.655512119	2.321928095	2.321928095	3.654893757	2.321928095	2.43201333	2.988831902
hsa-miR-885-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.363414185	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hcmv-miR-UL22A-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-219a-5p	2.962940809	3.199864857	4.252954273	3.640616864	3.804168747	2.321928095	2.321928095	2.321928095	2.428025379	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	3.202796591
hcmv-miR-UL36-5p	4.389112456	4.587910999	4.251628211	2.543099892	3.808477726	2.321928095	3.239141377	5.412872961	5.987975661	5.349782795	2.936015974	5.914727152	3.099251435	5.046207278	5.805947608
hsa-miR-125b-1-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	3.422275004	4.115945231	2.321928095	4.59269024	3.434744379	2.321928095
hsa-miR-125b-2-3p	5.526618066	5.620943645	4.91761031	6.262610521	5.181950158	5.594388278	5.975048871	5.882893783	6.154177133	6.844052747	6.578235183	7.410547642	6.915385679	6.002346545	6.693945347
ebv-miR-BART10-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
ebv-miR-BART13-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
ebv-miR-BART14-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-513b-5p	7.099301075	5.870879829	3.50257028	4.305081592	4.887339473	3.300378611	5.078450833	4.680384185	7.84826907	8.343924361	8.121617505	6.42079951	7.89287656	6.961019269	8.229534988
hsa-miR-513c-5p	5.929464154	5.692963259	3.187957171	2.321928095	3.927079203	2.959067232	4.316915683	4.713500213	6.925181896	7.962541729	7.64605	5.879248317	6.512254769	6.443185476	7.559089981
hsa-miR-517-5p	2.321928095	2.887124735	2.321928095	2.321928095	2.321928095	2.321928095	4.162357132	2.321928095	2.321928095	3.384902996	2.321928095	2.321928095	2.321928095	2.321928095	3.709156558
hsa-miR-516b-5p	5.240080568	4.880829257	2.321928095	2.321928095	4.614378356	3.299043761	5.38759445	5.291111163	5.076299625	5.104093673	4.405349032	4.129325936	5.847529626	4.761412967	4.683635695
hsa-miR-517b-3p	4.536718594	2.321928095	5.620945299	2.321928095	4.047947155	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-517a-3p	6.620781515	2.321928095	5.453902496	2.321928095	6.054477543	2.321928095	2.321928095	2.321928095	4.17862035	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-517c-3p	7.746546572	2.321928095	6.933180482	2.321928095	8.333147193	2.321928095	2.321928095	2.321928095	5.115370042	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-518c-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-518b	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-518e-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-518f-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-519a-3p	6.990918301	2.321928095	6.018818387	2.321928095	6.53309678	2.321928095	2.321928095	2.321928095	4.472756366	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-519d-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-519e-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
