Model	TCGA	GSE57303	GSE62254	All	GEO
StepCox[both] + Enet[α=0.9]	0.701256460523971	0.605886116442738	0.579614942180783	0.628919173049164	0.592750529311761
StepCox[both] + GBM	0.803243628586705	0.592450415866923	0.581007446872919	0.658900497108849	0.586728931369921
StepCox[both] + Lasso	0.702771342006772	0.604606525911708	0.586274747230127	0.631217538382869	0.595440636570917
StepCox[both] + plsRcox	0.700365353769382	0.600767754318618	0.579191136404916	0.626774748164305	0.589979445361767
StepCox[both] + Ridge	0.701523792550347	0.600127959053103	0.583641097051523	0.628430949551658	0.591884528052313
StepCox[both] + RSF	0.921538050258421	0.54638515674984	0.569050069625235	0.678991092211165	0.557717613187537
StepCox[both] + SuperPC	0.548565318125111	0.586052463211772	0.508627474723013	0.547748418686632	0.547339968967392
StepCox[both] + survival-SVM	0.691988950276243	0.605246321177223	0.56130047829509	0.619511916582852	0.583273399736157
StepCox[backward] + CoxBoost	0.703707004099091	0.582853486884197	0.587515892716595	0.624692127899961	0.585184689800396
StepCox[backward] + Enet[α=0.1]	0.702236677954019	0.586692258477287	0.585427135678392	0.624785357369899	0.58605969707784
StepCox[backward] + Enet[α=0.2]	0.70299411869542	0.586052463211772	0.586607737482594	0.625218106463262	0.586330100347183
StepCox[backward] + Enet[α=0.3]	0.703662448761362	0.586052463211772	0.586335290912393	0.625350067628509	0.586193877062083
StepCox[backward] + Enet[α=0.4]	0.703484227410444	0.587332053742802	0.587334261669795	0.626050180941014	0.587333157706299
StepCox[backward] + Enet[α=0.5]	0.704152557476386	0.587332053742802	0.587273717987528	0.626252776402239	0.587302885865165
StepCox[backward] + Enet[α=0.6]	0.704063446800927	0.587971849008317	0.587606708239995	0.62654733468308	0.587789278624156
StepCox[backward] + Enet[α=0.7]	0.704464444840492	0.587971849008317	0.587697523763395	0.626711272537401	0.587834686385856
StepCox[backward] + Enet[α=0.8]	0.704509000178221	0.586052463211772	0.587758067445662	0.626106510278552	0.586905265328717
StepCox[backward] + Enet[α=0.9]	0.704464444840492	0.586692258477287	0.587425077193195	0.626193926836991	0.587058667835241
StepCox[backward] + GBM	0.820798431652112	0.53742802303263	0.562027002482291	0.640084485722344	0.54972751275746
StepCox[backward] + Lasso	0.705711994296917	0.588611644273832	0.592843736756069	0.629055791775606	0.590727690514951
StepCox[backward] + plsRcox	0.70299411869542	0.581573896353167	0.588302960586063	0.62429032521155	0.584938428469615
StepCox[backward] + Ridge	0.705043664230975	0.585412667946257	0.588696494520797	0.62638427556601	0.587054581233527
StepCox[backward] + RSF	0.917349848511852	0.513755598208573	0.555336925591814	0.662147457437413	0.534546261900194
StepCox[backward] + SuperPC	0.583407592229549	0.570697376839411	0.495580311194527	0.549895093421162	0.533138844016969
StepCox[backward] + survival-SVM	0.698271252896097	0.575815738963532	0.573500030271841	0.61586234071049	0.574657884617686
StepCox[forward] + CoxBoost	0.712439850294065	0.597568777991043	0.592692377550403	0.634233668611837	0.595130577770723
StepCox[forward] + Enet[α=0.1]	0.708697201924791	0.594369801663468	0.593570260943271	0.63221242151051	0.593970031303369
StepCox[forward] + Enet[α=0.2]	0.712929959009089	0.595009596928983	0.594569231700672	0.634169595879581	0.594789414314827
StepCox[forward] + Enet[α=0.3]	0.714088397790055	0.595009596928983	0.594781134588606	0.634626376435881	0.594895365758794
StepCox[forward] + Enet[α=0.4]	0.714311174478703	0.596928982725528	0.593872979354604	0.635037712186278	0.595400981040066
StepCox[forward] + Enet[α=0.5]	0.714222063803244	0.596928982725528	0.593812435672338	0.63498782740037	0.595370709198933
StepCox[forward] + Enet[α=0.6]	0.714578506505079	0.599488163787588	0.594508688018405	0.636191786103691	0.596998425902997
StepCox[forward] + Enet[α=0.7]	0.713642844412761	0.597568777991043	0.594236241448205	0.635149287950669	0.595902509719624
