	V1	V2
AC011997.1-FOXN3-AS2	AC011997.1	FOXN3-AS2
AC011997.1-FRMD6-AS1	AC011997.1	FRMD6-AS1
AC011997.1-GATA3-AS1	AC011997.1	GATA3-AS1
AC011997.1-GATA6-AS1	AC011997.1	GATA6-AS1
AC011997.1-GHRLOS	AC011997.1	GHRLOS
AC011997.1-GK-AS1	AC011997.1	GK-AS1
AC011997.1-GLIDR	AC011997.1	GLIDR
AC011997.1-GLIS3-AS1	AC011997.1	GLIS3-AS1
AC011997.1-GNA14-AS1	AC011997.1	GNA14-AS1
AC011997.1-GRIK1-AS1	AC011997.1	GRIK1-AS1
AC011997.1-GS1-600G8.3	AC011997.1	GS1-600G8.3
AC011997.1-GTF3C2-AS1	AC011997.1	GTF3C2-AS1
AC011997.1-GTSE1-AS1	AC011997.1	GTSE1-AS1
AC011997.1-H1FX-AS1	AC011997.1	H1FX-AS1
AC011997.1-HAND2-AS1	AC011997.1	HAND2-AS1
AC011997.1-HCG9	AC011997.1	HCG9
AC011997.1-HCP5B	AC011997.1	HCP5B
AC011997.1-HEXA-AS1	AC011997.1	HEXA-AS1
AC011997.1-HMGN3-AS1	AC011997.1	HMGN3-AS1
AC011997.1-HMMR-AS1	AC011997.1	HMMR-AS1
AC011997.1-HOTAIRM1	AC011997.1	HOTAIRM1
AC011997.1-HOTTIP	AC011997.1	HOTTIP
AC011997.1-HOXA-AS2	AC011997.1	HOXA-AS2
AC011997.1-HOXA-AS3	AC011997.1	HOXA-AS3
AC011997.1-HOXB-AS1	AC011997.1	HOXB-AS1
AC011997.1-HOXB-AS3	AC011997.1	HOXB-AS3
AC011997.1-HPYR1	AC011997.1	HPYR1
AC011997.1-IBA57-AS1	AC011997.1	IBA57-AS1
AC011997.1-IDI2-AS1	AC011997.1	IDI2-AS1
AC011997.1-IGF2-AS	AC011997.1	IGF2-AS
AC011997.1-IL10RB-AS1	AC011997.1	IL10RB-AS1
AC011997.1-INE1	AC011997.1	INE1
AC011997.1-INTS6-AS1	AC011997.1	INTS6-AS1
AC011997.1-IQCF5-AS1	AC011997.1	IQCF5-AS1
