	V1	V2
TMCC1-AS1-ZNF582-AS1	TMCC1-AS1	ZNF582-AS1
UG0898H09-UNC5B-AS1	UG0898H09	UNC5B-AS1
UG0898H09-USP2-AS1	UG0898H09	USP2-AS1
UG0898H09-USP27X-AS1	UG0898H09	USP27X-AS1
UG0898H09-USP30-AS1	UG0898H09	USP30-AS1
UG0898H09-USP46-AS1	UG0898H09	USP46-AS1
UG0898H09-VENTXP1	UG0898H09	VENTXP1
UG0898H09-VPS13A-AS1	UG0898H09	VPS13A-AS1
UG0898H09-VPS9D1-AS1	UG0898H09	VPS9D1-AS1
UG0898H09-WAC-AS1	UG0898H09	WAC-AS1
UG0898H09-WDR11-AS1	UG0898H09	WDR11-AS1
UG0898H09-WEE2-AS1	UG0898H09	WEE2-AS1
UG0898H09-WT1-AS	UG0898H09	WT1-AS
UG0898H09-WWC2-AS2	UG0898H09	WWC2-AS2
UG0898H09-WWTR1-AS1	UG0898H09	WWTR1-AS1
UG0898H09-XIST	UG0898H09	XIST
UG0898H09-ZBED3-AS1	UG0898H09	ZBED3-AS1
UG0898H09-ZBTB11-AS1	UG0898H09	ZBTB11-AS1
UG0898H09-ZBTB20-AS1	UG0898H09	ZBTB20-AS1
UG0898H09-ZBTB46-AS1	UG0898H09	ZBTB46-AS1
UG0898H09-ZFAS1	UG0898H09	ZFAS1
UG0898H09-ZFHX4-AS1	UG0898H09	ZFHX4-AS1
UG0898H09-ZMIZ1-AS1	UG0898H09	ZMIZ1-AS1
UG0898H09-ZNF213-AS1	UG0898H09	ZNF213-AS1
UG0898H09-ZNF252P-AS1	UG0898H09	ZNF252P-AS1
UG0898H09-ZNF295-AS1	UG0898H09	ZNF295-AS1
UG0898H09-ZNF32-AS3	UG0898H09	ZNF32-AS3
UG0898H09-ZNF503-AS1	UG0898H09	ZNF503-AS1
UG0898H09-ZNF503-AS2	UG0898H09	ZNF503-AS2
UG0898H09-ZNF571-AS1	UG0898H09	ZNF571-AS1
UG0898H09-ZNF582-AS1	UG0898H09	ZNF582-AS1
UG0898H09-ZNF674-AS1	UG0898H09	ZNF674-AS1
UG0898H09-ZNF790-AS1	UG0898H09	ZNF790-AS1
UG0898H09-ZRANB2-AS1	UG0898H09	ZRANB2-AS1
UG0898H09-ZSCAN16-AS1	UG0898H09	ZSCAN16-AS1
VAC14-AS1-VPS13A-AS1	VAC14-AS1	VPS13A-AS1
VAC14-AS1-VPS9D1-AS1	VAC14-AS1	VPS9D1-AS1
VAC14-AS1-WDR11-AS1	VAC14-AS1	WDR11-AS1
VAC14-AS1-WWTR1-AS1	VAC14-AS1	WWTR1-AS1
VAC14-AS1-XIST	VAC14-AS1	XIST
VAC14-AS1-ZBTB46-AS1	VAC14-AS1	ZBTB46-AS1
VAC14-AS1-ZFAS1	VAC14-AS1	ZFAS1
VAC14-AS1-ZMIZ1-AS1	VAC14-AS1	ZMIZ1-AS1
VAC14-AS1-ZNF252P-AS1	VAC14-AS1	ZNF252P-AS1
VAC14-AS1-ZNF503-AS2	VAC14-AS1	ZNF503-AS2
VAC14-AS1-ZNF571-AS1	VAC14-AS1	ZNF571-AS1
VAC14-AS1-ZNF582-AS1	VAC14-AS1	ZNF582-AS1
VAC14-AS1-ZSCAN16-AS1	VAC14-AS1	ZSCAN16-AS1
VENTXP1-WDR11-AS1	VENTXP1	WDR11-AS1
VENTXP1-XIST	VENTXP1	XIST
VENTXP1-ZNF582-AS1	VENTXP1	ZNF582-AS1
VWA8-AS1-WDR11-AS1	VWA8-AS1	WDR11-AS1
VWA8-AS1-WEE2-AS1	VWA8-AS1	WEE2-AS1
VWA8-AS1-XIST	VWA8-AS1	XIST
VWA8-AS1-ZNF503-AS2	VWA8-AS1	ZNF503-AS2
VWA8-AS1-ZNF582-AS1	VWA8-AS1	ZNF582-AS1
VWA8-AS1-ZSCAN16-AS1	VWA8-AS1	ZSCAN16-AS1
WASIR1-WDR11-AS1	WASIR1	WDR11-AS1
WASIR1-XIST	WASIR1	XIST
WASIR1-ZNF571-AS1	WASIR1	ZNF571-AS1
ZFHX4-AS1-ZNF582-AS1	ZFHX4-AS1	ZNF582-AS1
ZFY-AS1-ZMIZ1-AS1	ZFY-AS1	ZMIZ1-AS1
ZFY-AS1-ZNF213-AS1	ZFY-AS1	ZNF213-AS1
ZFY-AS1-ZNF252P-AS1	ZFY-AS1	ZNF252P-AS1
ZFY-AS1-ZNF295-AS1	ZFY-AS1	ZNF295-AS1
ZFY-AS1-ZNF32-AS3	ZFY-AS1	ZNF32-AS3
ZFY-AS1-ZNF503-AS1	ZFY-AS1	ZNF503-AS1
ZFY-AS1-ZNF503-AS2	ZFY-AS1	ZNF503-AS2
ZFY-AS1-ZNF571-AS1	ZFY-AS1	ZNF571-AS1
ZFY-AS1-ZNF582-AS1	ZFY-AS1	ZNF582-AS1
ZFY-AS1-ZNF667-AS1	ZFY-AS1	ZNF667-AS1
ZFY-AS1-ZNF674-AS1	ZFY-AS1	ZNF674-AS1
ZFY-AS1-ZNF790-AS1	ZFY-AS1	ZNF790-AS1
ZFY-AS1-ZRANB2-AS1	ZFY-AS1	ZRANB2-AS1
ZFY-AS1-ZSCAN16-AS1	ZFY-AS1	ZSCAN16-AS1
AC067956.1-A1BG-AS1	AC067956.1	A1BG-AS1
AC087501.1-A1BG-AS1	AC087501.1	A1BG-AS1
AFAP1-AS1-A1BG-AS1	AFAP1-AS1	A1BG-AS1
AP000253.1-A1BG-AS1	AP000253.1	A1BG-AS1
ARHGEF7-AS2-A1BG-AS1	ARHGEF7-AS2	A1BG-AS1
ARNTL2-AS1-A1BG-AS1	ARNTL2-AS1	A1BG-AS1
BDNF-AS-A1BG-AS1	BDNF-AS	A1BG-AS1
BLACAT1-A1BG-AS1	BLACAT1	A1BG-AS1
BPESC1-A1BG-AS1	BPESC1	A1BG-AS1
CADM2-AS1-A1BG-AS1	CADM2-AS1	A1BG-AS1
CASC22-A1BG-AS1	CASC22	A1BG-AS1
CDKN2B-AS1-A1BG-AS1	CDKN2B-AS1	A1BG-AS1
CSTF3-AS1-A1BG-AS1	CSTF3-AS1	A1BG-AS1
DDX11-AS1-A1BG-AS1	DDX11-AS1	A1BG-AS1
ERVMER61-1-A1BG-AS1	ERVMER61-1	A1BG-AS1
FAM155A-IT1-A1BG-AS1	FAM155A-IT1	A1BG-AS1
FRY-AS1-A1BG-AS1	FRY-AS1	A1BG-AS1
GS1-24F4.2-A1BG-AS1	GS1-24F4.2	A1BG-AS1
HECW1-IT1-A1BG-AS1	HECW1-IT1	A1BG-AS1
HIPK1-AS1-A1BG-AS1	HIPK1-AS1	A1BG-AS1
HNF4A-AS1-A1BG-AS1	HNF4A-AS1	A1BG-AS1
HOTAIR-A1BG-AS1	HOTAIR	A1BG-AS1
IGFBP7-AS1-A1BG-AS1	IGFBP7-AS1	A1BG-AS1
KCNJ2-AS1-A1BG-AS1	KCNJ2-AS1	A1BG-AS1
LIFR-AS1-A1BG-AS1	LIFR-AS1	A1BG-AS1
LINC00102-A1BG-AS1	LINC00102	A1BG-AS1
LINC00307-A1BG-AS1	LINC00307	A1BG-AS1
LINC00314-A1BG-AS1	LINC00314	A1BG-AS1
LINC00320-A1BG-AS1	LINC00320	A1BG-AS1
LINC00323-A1BG-AS1	LINC00323	A1BG-AS1
LINC00337-A1BG-AS1	LINC00337	A1BG-AS1
LINC00358-A1BG-AS1	LINC00358	A1BG-AS1
LINC00403-A1BG-AS1	LINC00403	A1BG-AS1
LINC00408-A1BG-AS1	LINC00408	A1BG-AS1
LINC00467-A1BG-AS1	LINC00467	A1BG-AS1
LINC00471-A1BG-AS1	LINC00471	A1BG-AS1
LINC00485-A1BG-AS1	LINC00485	A1BG-AS1
LINC00550-A1BG-AS1	LINC00550	A1BG-AS1
LINC00558-A1BG-AS1	LINC00558	A1BG-AS1
LINC00564-A1BG-AS1	LINC00564	A1BG-AS1
LINC00566-A1BG-AS1	LINC00566	A1BG-AS1
LINC00606-A1BG-AS1	LINC00606	A1BG-AS1
LINC00616-A1BG-AS1	LINC00616	A1BG-AS1
LINC00630-A1BG-AS1	LINC00630	A1BG-AS1
LINC00837-A1BG-AS1	LINC00837	A1BG-AS1
LINC00901-A1BG-AS1	LINC00901	A1BG-AS1
LINC00973-A1BG-AS1	LINC00973	A1BG-AS1
LINC01020-A1BG-AS1	LINC01020	A1BG-AS1
LINC01021-A1BG-AS1	LINC01021	A1BG-AS1
LINC01087-A1BG-AS1	LINC01087	A1BG-AS1
LINC01098-A1BG-AS1	LINC01098	A1BG-AS1
LINC01102-A1BG-AS1	LINC01102	A1BG-AS1
LINC01146-A1BG-AS1	LINC01146	A1BG-AS1
LINC01233-A1BG-AS1	LINC01233	A1BG-AS1
LINC01234-A1BG-AS1	LINC01234	A1BG-AS1
LINC01305-A1BG-AS1	LINC01305	A1BG-AS1
LINC01419-A1BG-AS1	LINC01419	A1BG-AS1
MCHR2-AS1-A1BG-AS1	MCHR2-AS1	A1BG-AS1
MIR133A1HG-A1BG-AS1	MIR133A1HG	A1BG-AS1
MIR3663HG-A1BG-AS1	MIR3663HG	A1BG-AS1
NEXN-AS1-A1BG-AS1	NEXN-AS1	A1BG-AS1
OSTM1-AS1-A1BG-AS1	OSTM1-AS1	A1BG-AS1
OTX2-AS1-A1BG-AS1	OTX2-AS1	A1BG-AS1
POT1-AS1-A1BG-AS1	POT1-AS1	A1BG-AS1
POU6F2-AS2-A1BG-AS1	POU6F2-AS2	A1BG-AS1
RNF157-AS1-A1BG-AS1	RNF157-AS1	A1BG-AS1
RRS1-AS1-A1BG-AS1	RRS1-AS1	A1BG-AS1
SOX2-OT-A1BG-AS1	SOX2-OT	A1BG-AS1
SPATA42-A1BG-AS1	SPATA42	A1BG-AS1
STAM-AS1-A1BG-AS1	STAM-AS1	A1BG-AS1
UG0898H09-A1BG-AS1	UG0898H09	A1BG-AS1
VWA8-AS1-A1BG-AS1	VWA8-AS1	A1BG-AS1
ZFY-AS1-A1BG-AS1	ZFY-AS1	A1BG-AS1
AC011997.1-A2M-AS1	AC011997.1	A2M-AS1
AC087501.1-A2M-AS1	AC087501.1	A2M-AS1
AFAP1-AS1-A2M-AS1	AFAP1-AS1	A2M-AS1
ANKRD44-IT1-A2M-AS1	ANKRD44-IT1	A2M-AS1
AP000253.1-A2M-AS1	AP000253.1	A2M-AS1
ARHGEF7-AS2-A2M-AS1	ARHGEF7-AS2	A2M-AS1
ARMC2-AS1-A2M-AS1	ARMC2-AS1	A2M-AS1
ARNTL2-AS1-A2M-AS1	ARNTL2-AS1	A2M-AS1
ASB16-AS1-A2M-AS1	ASB16-AS1	A2M-AS1
BAIAP2-AS1-A2M-AS1	BAIAP2-AS1	A2M-AS1
BDNF-AS-A2M-AS1	BDNF-AS	A2M-AS1
BLACAT1-A2M-AS1	BLACAT1	A2M-AS1
BPESC1-A2M-AS1	BPESC1	A2M-AS1
CADM2-AS1-A2M-AS1	CADM2-AS1	A2M-AS1
CAPN10-AS1-A2M-AS1	CAPN10-AS1	A2M-AS1
CASC15-A2M-AS1	CASC15	A2M-AS1
CASC22-A2M-AS1	CASC22	A2M-AS1
CASC6-A2M-AS1	CASC6	A2M-AS1
CCDC26-A2M-AS1	CCDC26	A2M-AS1
CDKN2B-AS1-A2M-AS1	CDKN2B-AS1	A2M-AS1
CHKB-AS1-A2M-AS1	CHKB-AS1	A2M-AS1
CLYBL-AS1-A2M-AS1	CLYBL-AS1	A2M-AS1
CRNDE-A2M-AS1	CRNDE	A2M-AS1
CSTF3-AS1-A2M-AS1	CSTF3-AS1	A2M-AS1
CTD-2194D22.4-A2M-AS1	CTD-2194D22.4	A2M-AS1
CTD-3080P12.3-A2M-AS1	CTD-3080P12.3	A2M-AS1
DAB1-AS1-A2M-AS1	DAB1-AS1	A2M-AS1
DDX11-AS1-A2M-AS1	DDX11-AS1	A2M-AS1
DEPDC1-AS1-A2M-AS1	DEPDC1-AS1	A2M-AS1
DHRS4-AS1-A2M-AS1	DHRS4-AS1	A2M-AS1
DPH6-AS1-A2M-AS1	DPH6-AS1	A2M-AS1
DPP10-AS1-A2M-AS1	DPP10-AS1	A2M-AS1
EPHA1-AS1-A2M-AS1	EPHA1-AS1	A2M-AS1
ERVMER61-1-A2M-AS1	ERVMER61-1	A2M-AS1
FAM155A-IT1-A2M-AS1	FAM155A-IT1	A2M-AS1
FLG-AS1-A2M-AS1	FLG-AS1	A2M-AS1
FLJ20021-A2M-AS1	FLJ20021	A2M-AS1
FRY-AS1-A2M-AS1	FRY-AS1	A2M-AS1
FUT8-AS1-A2M-AS1	FUT8-AS1	A2M-AS1
GMDS-AS1-A2M-AS1	GMDS-AS1	A2M-AS1
GNAS-AS1-A2M-AS1	GNAS-AS1	A2M-AS1
GRID1-AS1-A2M-AS1	GRID1-AS1	A2M-AS1
GS1-24F4.2-A2M-AS1	GS1-24F4.2	A2M-AS1
HECW1-IT1-A2M-AS1	HECW1-IT1	A2M-AS1
HIPK1-AS1-A2M-AS1	HIPK1-AS1	A2M-AS1
HNF4A-AS1-A2M-AS1	HNF4A-AS1	A2M-AS1
HOTAIR-A2M-AS1	HOTAIR	A2M-AS1
HYI-AS1-A2M-AS1	HYI-AS1	A2M-AS1
IDH1-AS1-A2M-AS1	IDH1-AS1	A2M-AS1
IGFBP7-AS1-A2M-AS1	IGFBP7-AS1	A2M-AS1
IGSF11-AS1-A2M-AS1	IGSF11-AS1	A2M-AS1
ISPD-AS1-A2M-AS1	ISPD-AS1	A2M-AS1
ITPK1-AS1-A2M-AS1	ITPK1-AS1	A2M-AS1
KANSL1-AS1-A2M-AS1	KANSL1-AS1	A2M-AS1
KCNJ2-AS1-A2M-AS1	KCNJ2-AS1	A2M-AS1
KIAA0087-A2M-AS1	KIAA0087	A2M-AS1
KIAA1614-AS1-A2M-AS1	KIAA1614-AS1	A2M-AS1
LBX2-AS1-A2M-AS1	LBX2-AS1	A2M-AS1
LEMD1-AS1-A2M-AS1	LEMD1-AS1	A2M-AS1
LIFR-AS1-A2M-AS1	LIFR-AS1	A2M-AS1
LINC00102-A2M-AS1	LINC00102	A2M-AS1
LINC00210-A2M-AS1	LINC00210	A2M-AS1
LINC00276-A2M-AS1	LINC00276	A2M-AS1
LINC00290-A2M-AS1	LINC00290	A2M-AS1
LINC00298-A2M-AS1	LINC00298	A2M-AS1
LINC00301-A2M-AS1	LINC00301	A2M-AS1
LINC00307-A2M-AS1	LINC00307	A2M-AS1
LINC00309-A2M-AS1	LINC00309	A2M-AS1
LINC00314-A2M-AS1	LINC00314	A2M-AS1
LINC00320-A2M-AS1	LINC00320	A2M-AS1
LINC00323-A2M-AS1	LINC00323	A2M-AS1
LINC00337-A2M-AS1	LINC00337	A2M-AS1
LINC00348-A2M-AS1	LINC00348	A2M-AS1
LINC00358-A2M-AS1	LINC00358	A2M-AS1
LINC00403-A2M-AS1	LINC00403	A2M-AS1
LINC00408-A2M-AS1	LINC00408	A2M-AS1
LINC00467-A2M-AS1	LINC00467	A2M-AS1
LINC00471-A2M-AS1	LINC00471	A2M-AS1
LINC00485-A2M-AS1	LINC00485	A2M-AS1
LINC00511-A2M-AS1	LINC00511	A2M-AS1
LINC00529-A2M-AS1	LINC00529	A2M-AS1
LINC00536-A2M-AS1	LINC00536	A2M-AS1
LINC00550-A2M-AS1	LINC00550	A2M-AS1
LINC00558-A2M-AS1	LINC00558	A2M-AS1
LINC00561-A2M-AS1	LINC00561	A2M-AS1
LINC00564-A2M-AS1	LINC00564	A2M-AS1
LINC00566-A2M-AS1	LINC00566	A2M-AS1
LINC00606-A2M-AS1	LINC00606	A2M-AS1
LINC00615-A2M-AS1	LINC00615	A2M-AS1
LINC00616-A2M-AS1	LINC00616	A2M-AS1
LINC00624-A2M-AS1	LINC00624	A2M-AS1
LINC00629-A2M-AS1	LINC00629	A2M-AS1
LINC00630-A2M-AS1	LINC00630	A2M-AS1
LINC00632-A2M-AS1	LINC00632	A2M-AS1
LINC00644-A2M-AS1	LINC00644	A2M-AS1
LINC00645-A2M-AS1	LINC00645	A2M-AS1
LINC00664-A2M-AS1	LINC00664	A2M-AS1
LINC00665-A2M-AS1	LINC00665	A2M-AS1
LINC00690-A2M-AS1	LINC00690	A2M-AS1
LINC00837-A2M-AS1	LINC00837	A2M-AS1
LINC00857-A2M-AS1	LINC00857	A2M-AS1
LINC00862-A2M-AS1	LINC00862	A2M-AS1
LINC00901-A2M-AS1	LINC00901	A2M-AS1
LINC00954-A2M-AS1	LINC00954	A2M-AS1
LINC00973-A2M-AS1	LINC00973	A2M-AS1
LINC01020-A2M-AS1	LINC01020	A2M-AS1
LINC01021-A2M-AS1	LINC01021	A2M-AS1
LINC01023-A2M-AS1	LINC01023	A2M-AS1
LINC01087-A2M-AS1	LINC01087	A2M-AS1
LINC01093-A2M-AS1	LINC01093	A2M-AS1
LINC01098-A2M-AS1	LINC01098	A2M-AS1
LINC01102-A2M-AS1	LINC01102	A2M-AS1
LINC01106-A2M-AS1	LINC01106	A2M-AS1
LINC01122-A2M-AS1	LINC01122	A2M-AS1
LINC01137-A2M-AS1	LINC01137	A2M-AS1
LINC01139-A2M-AS1	LINC01139	A2M-AS1
LINC01146-A2M-AS1	LINC01146	A2M-AS1
LINC01153-A2M-AS1	LINC01153	A2M-AS1
LINC01184-A2M-AS1	LINC01184	A2M-AS1
LINC01233-A2M-AS1	LINC01233	A2M-AS1
LINC01234-A2M-AS1	LINC01234	A2M-AS1
LINC01300-A2M-AS1	LINC01300	A2M-AS1
LINC01305-A2M-AS1	LINC01305	A2M-AS1
LINC01312-A2M-AS1	LINC01312	A2M-AS1
LINC01360-A2M-AS1	LINC01360	A2M-AS1
LINC01393-A2M-AS1	LINC01393	A2M-AS1
LINC01419-A2M-AS1	LINC01419	A2M-AS1
LOXL1-AS1-A2M-AS1	LOXL1-AS1	A2M-AS1
LY86-AS1-A2M-AS1	LY86-AS1	A2M-AS1
MAMDC2-AS1-A2M-AS1	MAMDC2-AS1	A2M-AS1
MCHR2-AS1-A2M-AS1	MCHR2-AS1	A2M-AS1
MCM3AP-AS1-A2M-AS1	MCM3AP-AS1	A2M-AS1
MIR133A1HG-A2M-AS1	MIR133A1HG	A2M-AS1
MIR3663HG-A2M-AS1	MIR3663HG	A2M-AS1
MORC2-AS1-A2M-AS1	MORC2-AS1	A2M-AS1
NEXN-AS1-A2M-AS1	NEXN-AS1	A2M-AS1
NFYC-AS1-A2M-AS1	NFYC-AS1	A2M-AS1
OSTM1-AS1-A2M-AS1	OSTM1-AS1	A2M-AS1
OTX2-AS1-A2M-AS1	OTX2-AS1	A2M-AS1
PAXIP1-AS1-A2M-AS1	PAXIP1-AS1	A2M-AS1
PCAT6-A2M-AS1	PCAT6	A2M-AS1
PITPNA-AS1-A2M-AS1	PITPNA-AS1	A2M-AS1
POT1-AS1-A2M-AS1	POT1-AS1	A2M-AS1
POU6F2-AS2-A2M-AS1	POU6F2-AS2	A2M-AS1
PRKAG2-AS1-A2M-AS1	PRKAG2-AS1	A2M-AS1
PWRN2-A2M-AS1	PWRN2	A2M-AS1
RGPD4-AS1-A2M-AS1	RGPD4-AS1	A2M-AS1
RHPN1-AS1-A2M-AS1	RHPN1-AS1	A2M-AS1
RNF139-AS1-A2M-AS1	RNF139-AS1	A2M-AS1
RNF157-AS1-A2M-AS1	RNF157-AS1	A2M-AS1
ROR1-AS1-A2M-AS1	ROR1-AS1	A2M-AS1
RRS1-AS1-A2M-AS1	RRS1-AS1	A2M-AS1
SACS-AS1-A2M-AS1	SACS-AS1	A2M-AS1
SIX3-AS1-A2M-AS1	SIX3-AS1	A2M-AS1
SLC26A4-AS1-A2M-AS1	SLC26A4-AS1	A2M-AS1
SNHG10-A2M-AS1	SNHG10	A2M-AS1
SNHG12-A2M-AS1	SNHG12	A2M-AS1
SNHG22-A2M-AS1	SNHG22	A2M-AS1
SNHG3-A2M-AS1	SNHG3	A2M-AS1
SOX2-OT-A2M-AS1	SOX2-OT	A2M-AS1
SPATA42-A2M-AS1	SPATA42	A2M-AS1
ST7-AS2-A2M-AS1	ST7-AS2	A2M-AS1
ST7-OT4-A2M-AS1	ST7-OT4	A2M-AS1
STAM-AS1-A2M-AS1	STAM-AS1	A2M-AS1
TEX41-A2M-AS1	TEX41	A2M-AS1
THUMPD3-AS1-A2M-AS1	THUMPD3-AS1	A2M-AS1
TMCC1-AS1-A2M-AS1	TMCC1-AS1	A2M-AS1
TMPO-AS1-A2M-AS1	TMPO-AS1	A2M-AS1
TUG1-A2M-AS1	TUG1	A2M-AS1
UG0898H09-A2M-AS1	UG0898H09	A2M-AS1
VAC14-AS1-A2M-AS1	VAC14-AS1	A2M-AS1
VENTXP1-A2M-AS1	VENTXP1	A2M-AS1
VWA8-AS1-A2M-AS1	VWA8-AS1	A2M-AS1
WAC-AS1-A2M-AS1	WAC-AS1	A2M-AS1
WASIR1-A2M-AS1	WASIR1	A2M-AS1
ZFHX4-AS1-A2M-AS1	ZFHX4-AS1	A2M-AS1
ZFY-AS1-A2M-AS1	ZFY-AS1	A2M-AS1
ZNF213-AS1-A2M-AS1	ZNF213-AS1	A2M-AS1
AC087501.1-AA06	AC087501.1	AA06
ARHGEF7-AS2-AA06	ARHGEF7-AS2	AA06
BLACAT1-AA06	BLACAT1	AA06
CSTF3-AS1-AA06	CSTF3-AS1	AA06
DEPDC1-AS1-AA06	DEPDC1-AS1	AA06
ERVMER61-1-AA06	ERVMER61-1	AA06
FRY-AS1-AA06	FRY-AS1	AA06
GS1-24F4.2-AA06	GS1-24F4.2	AA06
HECW1-IT1-AA06	HECW1-IT1	AA06
IGFBP7-AS1-AA06	IGFBP7-AS1	AA06
LIFR-AS1-AA06	LIFR-AS1	AA06
LINC00102-AA06	LINC00102	AA06
LINC00307-AA06	LINC00307	AA06
LINC00323-AA06	LINC00323	AA06
LINC00403-AA06	LINC00403	AA06
LINC00485-AA06	LINC00485	AA06
LINC00550-AA06	LINC00550	AA06
LINC00564-AA06	LINC00564	AA06
LINC00616-AA06	LINC00616	AA06
LINC00837-AA06	LINC00837	AA06
LINC01021-AA06	LINC01021	AA06
LINC01087-AA06	LINC01087	AA06
LINC01146-AA06	LINC01146	AA06
LINC01419-AA06	LINC01419	AA06
MIR3663HG-AA06	MIR3663HG	AA06
POU6F2-AS2-AA06	POU6F2-AS2	AA06
ROR1-AS1-AA06	ROR1-AS1	AA06
UG0898H09-AA06	UG0898H09	AA06
ZFY-AS1-AA06	ZFY-AS1	AA06
AC011997.1-AC004490.1	AC011997.1	AC004490.1
AC067956.1-AC004490.1	AC067956.1	AC004490.1
AC087501.1-AC004490.1	AC087501.1	AC004490.1
AFAP1-AS1-AC004490.1	AFAP1-AS1	AC004490.1
AP000253.1-AC004490.1	AP000253.1	AC004490.1
AP000265.1-AC004490.1	AP000265.1	AC004490.1
ARHGEF7-AS2-AC004490.1	ARHGEF7-AS2	AC004490.1
ARNTL2-AS1-AC004490.1	ARNTL2-AS1	AC004490.1
BLACAT1-AC004490.1	BLACAT1	AC004490.1
BPESC1-AC004490.1	BPESC1	AC004490.1
CADM2-AS1-AC004490.1	CADM2-AS1	AC004490.1
CASC6-AC004490.1	CASC6	AC004490.1
CDKN2B-AS1-AC004490.1	CDKN2B-AS1	AC004490.1
CLYBL-AS1-AC004490.1	CLYBL-AS1	AC004490.1
CSTF3-AS1-AC004490.1	CSTF3-AS1	AC004490.1
CTD-2194D22.4-AC004490.1	CTD-2194D22.4	AC004490.1
CTD-3080P12.3-AC004490.1	CTD-3080P12.3	AC004490.1
DAOA-AS1-AC004490.1	DAOA-AS1	AC004490.1
DDX11-AS1-AC004490.1	DDX11-AS1	AC004490.1
DEPDC1-AS1-AC004490.1	DEPDC1-AS1	AC004490.1
DPP10-AS1-AC004490.1	DPP10-AS1	AC004490.1
ERVMER61-1-AC004490.1	ERVMER61-1	AC004490.1
FAM155A-IT1-AC004490.1	FAM155A-IT1	AC004490.1
FRY-AS1-AC004490.1	FRY-AS1	AC004490.1
GRID1-AS1-AC004490.1	GRID1-AS1	AC004490.1
GS1-24F4.2-AC004490.1	GS1-24F4.2	AC004490.1
HECW1-IT1-AC004490.1	HECW1-IT1	AC004490.1
HIPK1-AS1-AC004490.1	HIPK1-AS1	AC004490.1
HNF4A-AS1-AC004490.1	HNF4A-AS1	AC004490.1
IGFBP7-AS1-AC004490.1	IGFBP7-AS1	AC004490.1
IGSF11-AS1-AC004490.1	IGSF11-AS1	AC004490.1
KIRREL3-AS2-AC004490.1	KIRREL3-AS2	AC004490.1
LIFR-AS1-AC004490.1	LIFR-AS1	AC004490.1
LINC00102-AC004490.1	LINC00102	AC004490.1
LINC00276-AC004490.1	LINC00276	AC004490.1
LINC00290-AC004490.1	LINC00290	AC004490.1
LINC00307-AC004490.1	LINC00307	AC004490.1
LINC00314-AC004490.1	LINC00314	AC004490.1
LINC00320-AC004490.1	LINC00320	AC004490.1
LINC00323-AC004490.1	LINC00323	AC004490.1
LINC00348-AC004490.1	LINC00348	AC004490.1
LINC00358-AC004490.1	LINC00358	AC004490.1
LINC00403-AC004490.1	LINC00403	AC004490.1
LINC00408-AC004490.1	LINC00408	AC004490.1
LINC00467-AC004490.1	LINC00467	AC004490.1
LINC00471-AC004490.1	LINC00471	AC004490.1
LINC00485-AC004490.1	LINC00485	AC004490.1
LINC00486-AC004490.1	LINC00486	AC004490.1
LINC00529-AC004490.1	LINC00529	AC004490.1
LINC00550-AC004490.1	LINC00550	AC004490.1
LINC00558-AC004490.1	LINC00558	AC004490.1
LINC00561-AC004490.1	LINC00561	AC004490.1
LINC00564-AC004490.1	LINC00564	AC004490.1
LINC00606-AC004490.1	LINC00606	AC004490.1
LINC00615-AC004490.1	LINC00615	AC004490.1
LINC00624-AC004490.1	LINC00624	AC004490.1
LINC00630-AC004490.1	LINC00630	AC004490.1
LINC00635-AC004490.1	LINC00635	AC004490.1
LINC00644-AC004490.1	LINC00644	AC004490.1
LINC00645-AC004490.1	LINC00645	AC004490.1
LINC00664-AC004490.1	LINC00664	AC004490.1
LINC00837-AC004490.1	LINC00837	AC004490.1
LINC00862-AC004490.1	LINC00862	AC004490.1
LINC00895-AC004490.1	LINC00895	AC004490.1
LINC00901-AC004490.1	LINC00901	AC004490.1
LINC00973-AC004490.1	LINC00973	AC004490.1
LINC01020-AC004490.1	LINC01020	AC004490.1
LINC01021-AC004490.1	LINC01021	AC004490.1
LINC01093-AC004490.1	LINC01093	AC004490.1
LINC01102-AC004490.1	LINC01102	AC004490.1
LINC01106-AC004490.1	LINC01106	AC004490.1
LINC01122-AC004490.1	LINC01122	AC004490.1
LINC01146-AC004490.1	LINC01146	AC004490.1
LINC01233-AC004490.1	LINC01233	AC004490.1
LINC01300-AC004490.1	LINC01300	AC004490.1
LINC01305-AC004490.1	LINC01305	AC004490.1
LINC01361-AC004490.1	LINC01361	AC004490.1
LINC01419-AC004490.1	LINC01419	AC004490.1
LINC01426-AC004490.1	LINC01426	AC004490.1
MCHR2-AS1-AC004490.1	MCHR2-AS1	AC004490.1
MIR133A1HG-AC004490.1	MIR133A1HG	AC004490.1
MIR3663HG-AC004490.1	MIR3663HG	AC004490.1
NEXN-AS1-AC004490.1	NEXN-AS1	AC004490.1
OSTM1-AS1-AC004490.1	OSTM1-AS1	AC004490.1
POT1-AS1-AC004490.1	POT1-AS1	AC004490.1
POU6F2-AS2-AC004490.1	POU6F2-AS2	AC004490.1
RNF157-AS1-AC004490.1	RNF157-AS1	AC004490.1
RRS1-AS1-AC004490.1	RRS1-AS1	AC004490.1
SACS-AS1-AC004490.1	SACS-AS1	AC004490.1
SPATA42-AC004490.1	SPATA42	AC004490.1
ST7-AS2-AC004490.1	ST7-AS2	AC004490.1
