	V1	V2	avg1	avg2	dirct	altb.N	agtb.N	altb.T	agtb.T	p	FDR
MAPKAPK5-AS1-PCAT19	MAPKAPK5-AS1	PCAT19	-192.64	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
MAPKAPK5-AS1-TBX5-AS1	MAPKAPK5-AS1	TBX5-AS1	-192.64	-888.2	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
MBNL1-AS1-PCAT19	MBNL1-AS1	PCAT19	-726.52	-1046.2	same	25	0	5	20	2.25465258044109e-09	1.60169653181491e-08
MCHR2-AS1-NDUFV2-AS1	MCHR2-AS1	NDUFV2-AS1	-25.32	-261.12	same	24	1	17	8	0.0232154217451454	0.0838549592376684
MCHR2-AS1-PAN3-AS1	MCHR2-AS1	PAN3-AS1	-25.32	-749.2	same	24	1	12	13	0.000286752727587379	0.00137969586207909
MCHR2-AS1-PCAT19	MCHR2-AS1	PCAT19	-25.32	-1046.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
MCHR2-AS1-PGM5-AS1	MCHR2-AS1	PGM5-AS1	-25.32	-871.4	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
MCHR2-AS1-RARA-AS1	MCHR2-AS1	RARA-AS1	-25.32	-608.4	same	24	1	12	13	0.000286752727587379	0.00137969586207909
MCHR2-AS1-RASSF8-AS1	MCHR2-AS1	RASSF8-AS1	-25.32	-244.72	same	24	1	16	9	0.010580541940289	0.0414919913756488
MCHR2-AS1-RBMS3-AS3	MCHR2-AS1	RBMS3-AS3	-25.32	-561.24	same	24	1	14	11	0.00192150964097788	0.00848434968769638
MCHR2-AS1-RBPMS-AS1	MCHR2-AS1	RBPMS-AS1	-25.32	-726.68	same	24	1	6	19	1.90142367617198e-07	1.15380073278459e-06
MCHR2-AS1-SENCR	MCHR2-AS1	SENCR	-25.32	-515.28	same	24	1	14	11	0.00192150964097788	0.00848434968769638
MCHR2-AS1-SFTA1P	MCHR2-AS1	SFTA1P	-25.32	-810.56	same	25	0	5	20	2.25465258044109e-09	1.60169653181491e-08
MCHR2-AS1-SH3RF3-AS1	MCHR2-AS1	SH3RF3-AS1	-25.32	-469.04	same	25	0	16	9	0.00163083541184905	0.00738606431437161
MCHR2-AS1-TBX5-AS1	MCHR2-AS1	TBX5-AS1	-25.32	-888.2	same	24	1	5	20	3.98321955877924e-08	2.53425438781121e-07
MEG3-PAN3-AS1	MEG3	PAN3-AS1	-155.16	-749.2	same	24	1	5	20	3.98321955877924e-08	2.53425438781121e-07
MEG3-PCAT19	MEG3	PCAT19	-155.16	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
MEG8-PAN3-AS1	MEG8	PAN3-AS1	-44.78	-749.2	same	24	1	7	18	8.02119496594062e-07	4.66544361415866e-06
MEG8-PCAT19	MEG8	PCAT19	-44.78	-1046.2	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
MEG8-SFTA1P	MEG8	SFTA1P	-44.78	-810.56	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
MEG8-TBX5-AS1	MEG8	TBX5-AS1	-44.78	-888.2	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
MEG9-PCAT19	MEG9	PCAT19	-8.40000000000009	-1046.2	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
MEG9-TBX5-AS1	MEG9	TBX5-AS1	-8.40000000000009	-888.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
MGC15885-PCAT19	MGC15885	PCAT19	-83.7199999999999	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
MGC16275-PCAT19	MGC16275	PCAT19	-46.3200000000001	-1046.2	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
MGC16275-TBX5-AS1	MGC16275	TBX5-AS1	-46.3200000000001	-888.2	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
MGC32805-PCAT19	MGC32805	PCAT19	-114.32	-1046.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
MIR124-2HG-PAN3-AS1	MIR124-2HG	PAN3-AS1	-136.56	-749.2	same	24	1	6	19	1.90142367617198e-07	1.15380073278459e-06
MIR124-2HG-PCAT19	MIR124-2HG	PCAT19	-136.56	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
MIR124-2HG-TBX5-AS1	MIR124-2HG	TBX5-AS1	-136.56	-888.2	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
MIR4500HG-PAN3-AS1	MIR4500HG	PAN3-AS1	-18.28	-749.2	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
MIR4500HG-PCAT19	MIR4500HG	PCAT19	-18.28	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
MIR4500HG-TBX5-AS1	MIR4500HG	TBX5-AS1	-18.28	-888.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
MIRLET7BHG-PCAT19	MIRLET7BHG	PCAT19	-275.08	-1046.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
MIRLET7DHG-PAN3-AS1	MIRLET7DHG	PAN3-AS1	-142.4	-749.2	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
MIRLET7DHG-PCAT19	MIRLET7DHG	PCAT19	-142.4	-1046.2	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
MIRLET7DHG-TBX5-AS1	MIRLET7DHG	TBX5-AS1	-142.4	-888.2	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
MPRIP-AS1-PAN3-AS1	MPRIP-AS1	PAN3-AS1	-46.24	-749.2	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
MPRIP-AS1-PCAT19	MPRIP-AS1	PCAT19	-46.24	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
MRGPRG-AS1-PAN3-AS1	MRGPRG-AS1	PAN3-AS1	-57.4400000000001	-749.2	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
N4BP2L2-IT2-PCAT19	N4BP2L2-IT2	PCAT19	-55.64	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
NALCN-AS1-PCAT19	NALCN-AS1	PCAT19	-291.88	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
NALCN-AS1-TBX5-AS1	NALCN-AS1	TBX5-AS1	-291.88	-888.2	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
NAPA-AS1-PCAT19	NAPA-AS1	PCAT19	-167.76	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
NAV2-AS5-PCAT19	NAV2-AS5	PCAT19	-14.6999999999999	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
NDUFV2-AS1-PAN3-AS1	NDUFV2-AS1	PAN3-AS1	-261.12	-749.2	same	25	0	6	19	1.1649038332279e-08	7.69099065436733e-08
NDUFV2-AS1-PCAT19	NDUFV2-AS1	PCAT19	-261.12	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
NDUFV2-AS1-TBX5-AS1	NDUFV2-AS1	TBX5-AS1	-261.12	-888.2	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
NEBL-AS1-PCAT19	NEBL-AS1	PCAT19	-181.04	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
NEBL-AS1-TBX5-AS1	NEBL-AS1	TBX5-AS1	-181.04	-888.2	same	24	1	5	20	3.98321955877924e-08	2.53425438781121e-07
NFIA-AS2-PCAT19	NFIA-AS2	PCAT19	-22.32	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
NFIA-AS2-SFTA1P	NFIA-AS2	SFTA1P	-22.32	-810.56	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
NFIA-AS2-TBX5-AS1	NFIA-AS2	TBX5-AS1	-22.32	-888.2	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
NFIA-AS2-TRAF3IP2-AS1	NFIA-AS2	TRAF3IP2-AS1	-22.32	-362.44	same	24	1	8	17	3.04871974639072e-06	1.69066666397167e-05
NIFK-AS1-PCAT19	NIFK-AS1	PCAT19	-113.64	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
NOP14-AS1-PCAT19	NOP14-AS1	PCAT19	-81.26	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
NOP14-AS1-TBX5-AS1	NOP14-AS1	TBX5-AS1	-81.26	-888.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
NUTM2A-AS1-PAN3-AS1	NUTM2A-AS1	PAN3-AS1	-85.08	-749.2	same	24	1	5	20	3.98321955877924e-08	2.53425438781121e-07
NUTM2A-AS1-PCAT19	NUTM2A-AS1	PCAT19	-85.08	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
NUTM2A-AS1-TBX5-AS1	NUTM2A-AS1	TBX5-AS1	-85.08	-888.2	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
OGFRP1-PCAT19	OGFRP1	PCAT19	-97.9200000000001	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
OSER1-AS1-PCAT19	OSER1-AS1	PCAT19	-97.8	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
OSER1-AS1-TBX5-AS1	OSER1-AS1	TBX5-AS1	-97.8	-888.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
OSTM1-AS1-ZBTB11-AS1	OSTM1-AS1	ZBTB11-AS1	103.2	91.4400000000001	same	25	0	18	7	0.00962512664640325	0.0390361520408168
OVOL1-AS1-PAN3-AS1	OVOL1-AS1	PAN3-AS1	-77.2	-749.2	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
OVOL1-AS1-PCAT19	OVOL1-AS1	PCAT19	-77.2	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
PARD3-AS1-PCAT19	PARD3-AS1	PCAT19	-107.36	-1046.2	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
PARD3-AS1-TBX5-AS1	PARD3-AS1	TBX5-AS1	-107.36	-888.2	same	25	0	3	22	5.18310938032434e-11	5.18451116785113e-10
PARD6G-AS1-PCAT19	PARD6G-AS1	PCAT19	-16.48	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
PART1-PCAT19	PART1	PCAT19	-17.04	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
PART1-PGM5-AS1	PART1	PGM5-AS1	-17.04	-871.4	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
PART1-TBX5-AS1	PART1	TBX5-AS1	-17.04	-888.2	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
PAXBP1-AS1-PCAT19	PAXBP1-AS1	PCAT19	-15.6	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
PCA3-PCAT19	PCA3	PCAT19	-82.72	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
PCA3-PGM5-AS1	PCA3	PGM5-AS1	-82.72	-871.4	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
PCAT6-PTOV1-AS1	PCAT6	PTOV1-AS1	748.72	67.48	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
PCAT6-SOX21-AS1	PCAT6	SOX21-AS1	748.72	10.52	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
PCAT6-TTTY13	PCAT6	TTTY13	748.72	111.24	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
PCGEM1-TBX5-AS1	PCGEM1	TBX5-AS1	-189.84	-888.2	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
PLCG1-AS1-TBX5-AS1	PLCG1-AS1	TBX5-AS1	-232.76	-888.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
POT1-AS1-PRR7-AS1	POT1-AS1	PRR7-AS1	223.54	37.3599999999999	same	25	0	19	6	0.022289766970618	0.083827089307486
POT1-AS1-RASSF1-AS1	POT1-AS1	RASSF1-AS1	223.54	114.08	same	25	0	19	6	0.022289766970618	0.083827089307486
POT1-AS1-SATB2-AS1	POT1-AS1	SATB2-AS1	223.54	37.72	same	25	0	17	8	0.00402912278221531	0.0173806217932915
POT1-AS1-SMAD1-AS2	POT1-AS1	SMAD1-AS2	223.54	51.68	same	24	1	16	9	0.010580541940289	0.0414919913756488
POT1-AS1-STK4-AS1	POT1-AS1	STK4-AS1	223.54	33.8	same	25	0	19	6	0.022289766970618	0.083827089307486
POT1-AS1-TIPARP-AS1	POT1-AS1	TIPARP-AS1	223.54	62.28	same	25	0	19	6	0.022289766970618	0.083827089307486
POT1-AS1-TMEM254-AS1	POT1-AS1	TMEM254-AS1	223.54	73.0799999999999	same	25	0	19	6	0.022289766970618	0.083827089307486
POT1-AS1-VENTXP1	POT1-AS1	VENTXP1	223.54	88.28	same	24	1	15	10	0.00461407092132902	0.0193249529931748
POT1-AS1-VPS13A-AS1	POT1-AS1	VPS13A-AS1	223.54	53.7199999999999	same	25	0	19	6	0.022289766970618	0.083827089307486
POT1-AS1-ZBED3-AS1	POT1-AS1	ZBED3-AS1	223.54	40.04	same	25	0	18	7	0.00962512664640325	0.0390361520408168
POT1-AS1-ZBTB11-AS1	POT1-AS1	ZBTB11-AS1	223.54	91.4400000000001	same	24	1	17	8	0.0232154217451454	0.0838549592376684
PRKG1-AS1-TBX5-AS1	PRKG1-AS1	TBX5-AS1	-42.92	-888.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
RBFADN-TBX5-AS1	RBFADN	TBX5-AS1	-143.16	-888.2	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
RGPD4-AS1-SFTA1P	RGPD4-AS1	SFTA1P	-70.92	-810.56	same	25	0	5	20	2.25465258044109e-09	1.60169653181491e-08
RGPD4-AS1-SNHG8	RGPD4-AS1	SNHG8	-70.92	-275.96	same	24	1	13	12	0.000762033491544358	0.00352573056259804
RGPD4-AS1-SPATA13	RGPD4-AS1	SPATA13	-70.92	-576.6	same	25	0	16	9	0.00163083541184905	0.00738606431437161
RGPD4-AS1-TBX5-AS1	RGPD4-AS1	TBX5-AS1	-70.92	-888.2	same	24	1	6	19	1.90142367617198e-07	1.15380073278459e-06
RNF157-AS1-SIX3-AS1	RNF157-AS1	SIX3-AS1	847.76	77.52	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
RNF157-AS1-SNHG22	RNF157-AS1	SNHG22	847.76	33.2	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
RNF157-AS1-SPANXA2-OT1	RNF157-AS1	SPANXA2-OT1	847.76	18.76	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
RNF157-AS1-TMEM161B-AS1	RNF157-AS1	TMEM161B-AS1	847.76	73.96	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
RNF157-AS1-TTTY5	RNF157-AS1	TTTY5	847.76	51.88	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
RNF157-AS1-TTTY6	RNF157-AS1	TTTY6	847.76	108.96	same	24	1	5	20	3.98321955877924e-08	2.53425438781121e-07
RNF157-AS1-VPS13A-AS1	RNF157-AS1	VPS13A-AS1	847.76	53.7199999999999	same	25	0	3	22	5.18310938032434e-11	5.18451116785113e-10
RNF157-AS1-WT1-AS	RNF157-AS1	WT1-AS	847.76	17.2	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
RNF157-AS1-YTHDF3-AS1	RNF157-AS1	YTHDF3-AS1	847.76	107.24	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
RNF157-AS1-ZFAS1	RNF157-AS1	ZFAS1	847.76	178.2	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
RNF157-AS1-ZMIZ1-AS1	RNF157-AS1	ZMIZ1-AS1	847.76	144.64	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
RNF157-AS1-ZNF295-AS1	RNF157-AS1	ZNF295-AS1	847.76	38.24	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
RNF157-AS1-ZSCAN16-AS1	RNF157-AS1	ZSCAN16-AS1	847.76	64.4400000000001	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
RNF185-AS1-TBX5-AS1	RNF185-AS1	TBX5-AS1	-150.68	-888.2	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
SACS-AS1-SENCR	SACS-AS1	SENCR	-11.16	-515.28	same	24	1	14	11	0.00192150964097788	0.00848434968769638
SACS-AS1-SFTA1P	SACS-AS1	SFTA1P	-11.16	-810.56	same	25	0	4	21	3.75775430073515e-10	3.06504298415304e-09
SACS-AS1-SH3RF3-AS1	SACS-AS1	SH3RF3-AS1	-11.16	-469.04	same	25	0	17	8	0.00402912278221531	0.0173806217932915
SACS-AS1-SPATA13	SACS-AS1	SPATA13	-11.16	-576.6	same	24	1	12	13	0.000286752727587379	0.00137969586207909
SACS-AS1-TBX5-AS1	SACS-AS1	TBX5-AS1	-11.16	-888.2	same	24	1	6	19	1.90142367617198e-07	1.15380073278459e-06
SACS-AS1-TRAF3IP2-AS1	SACS-AS1	TRAF3IP2-AS1	-11.16	-362.44	same	25	0	16	9	0.00163083541184905	0.00738606431437161
SACS-AS1-USP46-AS1	SACS-AS1	USP46-AS1	-11.16	-277.08	same	24	1	16	9	0.010580541940289	0.0414919913756488
SACS-AS1-ZNF582-AS1	SACS-AS1	ZNF582-AS1	-11.16	-419.04	same	24	1	16	9	0.010580541940289	0.0414919913756488
SCOC-AS1-TBX5-AS1	SCOC-AS1	TBX5-AS1	-106.16	-888.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
SMC5-AS1-TBX5-AS1	SMC5-AS1	TBX5-AS1	-166.68	-888.2	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
SNAI3-AS1-TBX5-AS1	SNAI3-AS1	TBX5-AS1	-83.08	-888.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
SNHG7-TBX5-AS1	SNHG7	TBX5-AS1	-246.16	-888.2	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
SNHG8-TBX5-AS1	SNHG8	TBX5-AS1	-275.96	-888.2	same	24	1	12	13	0.000286752727587379	0.00137969586207909
SOX2-OT-WEE2-AS1	SOX2-OT	WEE2-AS1	165.46	22.88	same	25	0	18	7	0.00962512664640325	0.0390361520408168
SOX2-OT-ZNF790-AS1	SOX2-OT	ZNF790-AS1	165.46	73.9599999999999	same	25	0	19	6	0.022289766970618	0.083827089307486
SPATA41-TBX5-AS1	SPATA41	TBX5-AS1	-82.28	-888.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
STK24-AS1-TBX5-AS1	STK24-AS1	TBX5-AS1	-3.84000000000003	-888.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
STX18-AS1-TBX5-AS1	STX18-AS1	TBX5-AS1	-128.24	-888.2	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
STXBP5-AS1-TBX5-AS1	STXBP5-AS1	TBX5-AS1	-61	-888.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
VWA8-AS1-XIST	VWA8-AS1	XIST	-18.12	-204.16	same	25	0	18	7	0.00962512664640325	0.0390361520408168
AFAP1-AS1-A1BG-AS1	AFAP1-AS1	A1BG-AS1	968.28	51.36	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
BLACAT1-A1BG-AS1	BLACAT1	A1BG-AS1	980.6	51.36	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
HOTAIR-A1BG-AS1	HOTAIR	A1BG-AS1	322.72	51.36	same	24	1	16	9	0.010580541940289	0.0414919913756488
LINC00467-A1BG-AS1	LINC00467	A1BG-AS1	855.52	51.36	same	25	0	4	21	3.75775430073515e-10	3.06504298415304e-09
LINC00973-A1BG-AS1	LINC00973	A1BG-AS1	168	51.36	same	25	0	18	7	0.00962512664640325	0.0390361520408168
POT1-AS1-A1BG-AS1	POT1-AS1	A1BG-AS1	223.54	51.36	same	25	0	19	6	0.022289766970618	0.083827089307486
RNF157-AS1-A1BG-AS1	RNF157-AS1	A1BG-AS1	847.76	51.36	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
ANKRD44-IT1-A2M-AS1	ANKRD44-IT1	A2M-AS1	-117.46	-754.48	same	24	1	6	19	1.90142367617198e-07	1.15380073278459e-06
ARHGEF7-AS2-A2M-AS1	ARHGEF7-AS2	A2M-AS1	-11.36	-754.48	same	25	0	9	16	8.29855302147108e-07	4.76448213445787e-06
ARNTL2-AS1-A2M-AS1	ARNTL2-AS1	A2M-AS1	-18.14	-754.48	same	25	0	9	16	8.29855302147108e-07	4.76448213445787e-06
BDNF-AS-A2M-AS1	BDNF-AS	A2M-AS1	-86.8	-754.48	same	25	0	9	16	8.29855302147108e-07	4.76448213445787e-06
CADM2-AS1-A2M-AS1	CADM2-AS1	A2M-AS1	-9.72	-754.48	same	25	0	11	14	9.50561527913961e-06	5.19442506010126e-05
CASC15-A2M-AS1	CASC15	A2M-AS1	-6.44	-754.48	same	25	0	3	22	5.18310938032434e-11	5.18451116785113e-10
DPH6-AS1-A2M-AS1	DPH6-AS1	A2M-AS1	-156.16	-754.48	same	25	0	7	18	5.32527466618466e-08	3.33539853562811e-07
EPHA1-AS1-A2M-AS1	EPHA1-AS1	A2M-AS1	-114.32	-754.48	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
FLG-AS1-A2M-AS1	FLG-AS1	A2M-AS1	-222.84	-754.48	same	25	0	6	19	1.1649038332279e-08	7.69099065436733e-08
FLJ20021-A2M-AS1	FLJ20021	A2M-AS1	-22.5999999999999	-754.48	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
ISPD-AS1-A2M-AS1	ISPD-AS1	A2M-AS1	-65.76	-754.48	same	25	0	6	19	1.1649038332279e-08	7.69099065436733e-08
ITPK1-AS1-A2M-AS1	ITPK1-AS1	A2M-AS1	-67.8	-754.48	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
KCNJ2-AS1-A2M-AS1	KCNJ2-AS1	A2M-AS1	-70.68	-754.48	same	24	1	9	16	1.0592858856819e-05	5.6830735785233e-05
KIAA0087-A2M-AS1	KIAA0087	A2M-AS1	-13.86	-754.48	same	24	1	7	18	8.02119496594062e-07	4.66544361415866e-06
LIFR-AS1-A2M-AS1	LIFR-AS1	A2M-AS1	-1.5	-754.48	same	25	0	9	16	8.29855302147108e-07	4.76448213445787e-06
LINC00102-A2M-AS1	LINC00102	A2M-AS1	-7.08000000000001	-754.48	same	25	0	11	14	9.50561527913961e-06	5.19442506010126e-05
LINC00210-A2M-AS1	LINC00210	A2M-AS1	-10.64	-754.48	same	24	1	6	19	1.90142367617198e-07	1.15380073278459e-06
LINC00309-A2M-AS1	LINC00309	A2M-AS1	-5.69999999999999	-754.48	same	24	1	6	19	1.90142367617198e-07	1.15380073278459e-06
LINC00529-A2M-AS1	LINC00529	A2M-AS1	-59.92	-754.48	same	25	0	8	17	2.19667579980118e-07	1.31489467053444e-06
LINC00536-A2M-AS1	LINC00536	A2M-AS1	-41.6	-754.48	same	24	1	7	18	8.02119496594062e-07	4.66544361415866e-06
LINC00606-A2M-AS1	LINC00606	A2M-AS1	-19.68	-754.48	same	25	0	6	19	1.1649038332279e-08	7.69099065436733e-08
LINC00624-A2M-AS1	LINC00624	A2M-AS1	-13.94	-754.48	same	24	1	7	18	8.02119496594062e-07	4.66544361415866e-06
LINC00632-A2M-AS1	LINC00632	A2M-AS1	-62.92	-754.48	same	24	1	9	16	1.0592858856819e-05	5.6830735785233e-05
LINC01087-A2M-AS1	LINC01087	A2M-AS1	-10.64	-754.48	same	25	0	7	18	5.32527466618466e-08	3.33539853562811e-07
LINC01300-A2M-AS1	LINC01300	A2M-AS1	-52	-754.48	same	24	1	7	18	8.02119496594062e-07	4.66544361415866e-06
LINC01312-A2M-AS1	LINC01312	A2M-AS1	-34.96	-754.48	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
LY86-AS1-A2M-AS1	LY86-AS1	A2M-AS1	-85.62	-754.48	same	24	1	5	20	3.98321955877924e-08	2.53425438781121e-07
MAMDC2-AS1-A2M-AS1	MAMDC2-AS1	A2M-AS1	-12.08	-754.48	same	25	0	4	21	3.75775430073515e-10	3.06504298415304e-09
MCHR2-AS1-A2M-AS1	MCHR2-AS1	A2M-AS1	-25.32	-754.48	same	24	1	5	20	3.98321955877924e-08	2.53425438781121e-07
RGPD4-AS1-A2M-AS1	RGPD4-AS1	A2M-AS1	-70.92	-754.48	same	25	0	7	18	5.32527466618466e-08	3.33539853562811e-07
SACS-AS1-A2M-AS1	SACS-AS1	A2M-AS1	-11.16	-754.48	same	24	1	6	19	1.90142367617198e-07	1.15380073278459e-06
SNHG10-A2M-AS1	SNHG10	A2M-AS1	-53.66	-754.48	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
VWA8-AS1-A2M-AS1	VWA8-AS1	A2M-AS1	-18.12	-754.48	same	24	1	7	18	8.02119496594062e-07	4.66544361415866e-06
BLACAT1-AA06	BLACAT1	AA06	980.6	79.6800000000001	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-AC005256.1	AFAP1-AS1	AC005256.1	968.28	16.24	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
BLACAT1-AC005256.1	BLACAT1	AC005256.1	980.6	16.24	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
HOTAIR-AC005256.1	HOTAIR	AC005256.1	322.72	16.24	same	24	1	16	9	0.010580541940289	0.0414919913756488
BLACAT1-AC005498.3	BLACAT1	AC005498.3	980.6	5.03999999999996	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
AFAP1-AS1-AC006538.1	AFAP1-AS1	AC006538.1	968.28	103.88	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
BLACAT1-AC006538.1	BLACAT1	AC006538.1	980.6	103.88	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
DDX11-AS1-AC006538.1	DDX11-AS1	AC006538.1	155.36	103.88	same	25	0	19	6	0.022289766970618	0.083827089307486
RNF157-AS1-AC006538.1	RNF157-AS1	AC006538.1	847.76	103.88	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
AC067956.1-AC007292.3	AC067956.1	AC007292.3	-54.56	-315.28	same	25	0	14	11	0.000238658840758398	0.00117397136830581
GRTP1-AS1-AC007292.3	GRTP1-AS1	AC007292.3	-27.72	-315.28	same	25	0	17	8	0.00402912278221531	0.0173806217932915
LINC00210-AC007292.3	LINC00210	AC007292.3	-10.64	-315.28	same	25	0	18	7	0.00962512664640325	0.0390361520408168
LINC00536-AC007292.3	LINC00536	AC007292.3	-41.6	-315.28	same	25	0	18	7	0.00962512664640325	0.0390361520408168
LINC00671-AC007292.3	LINC00671	AC007292.3	-17.48	-315.28	same	25	0	14	11	0.000238658840758398	0.00117397136830581
LINC01300-AC007292.3	LINC01300	AC007292.3	-52	-315.28	same	24	1	14	11	0.00192150964097788	0.00848434968769638
RGPD4-AS1-AC007292.3	RGPD4-AS1	AC007292.3	-70.92	-315.28	same	25	0	19	6	0.022289766970618	0.083827089307486
VWA8-AS1-AC007292.3	VWA8-AS1	AC007292.3	-18.12	-315.28	same	25	0	19	6	0.022289766970618	0.083827089307486
