	V1	V2	avg1	avg2	dirct	altb.N	agtb.N	altb.T	agtb.T	p	FDR
AFAP1-AS1-CASC11	AFAP1-AS1	CASC11	968.28	41.36	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-CASC2	AFAP1-AS1	CASC2	968.28	108.04	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AFAP1-AS1-CCDC37-AS1	AFAP1-AS1	CCDC37-AS1	968.28	25.16	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-CEP83-AS1	AFAP1-AS1	CEP83-AS1	968.28	1.91999999999996	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-CFLAR-AS1	AFAP1-AS1	CFLAR-AS1	968.28	44	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AFAP1-AS1-CHKB-AS1	AFAP1-AS1	CHKB-AS1	968.28	485.08	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-CHRM3-AS2	AFAP1-AS1	CHRM3-AS2	968.28	75.9	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AFAP1-AS1-CLDN10-AS1	AFAP1-AS1	CLDN10-AS1	968.28	139.12	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-CLIP1-AS1	AFAP1-AS1	CLIP1-AS1	968.28	97.4	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-CNTFR-AS1	AFAP1-AS1	CNTFR-AS1	968.28	64	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AFAP1-AS1-COL18A1-AS1	AFAP1-AS1	COL18A1-AS1	968.28	183.56	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-COLCA1	AFAP1-AS1	COLCA1	968.28	148.24	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-CPS1-IT1	AFAP1-AS1	CPS1-IT1	968.28	26.5599999999999	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AFAP1-AS1-CSMD2-AS1	AFAP1-AS1	CSMD2-AS1	968.28	26.96	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
AFAP1-AS1-CTD-2350J17.1	AFAP1-AS1	CTD-2350J17.1	968.28	56.88	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-CYP1B1-AS1	AFAP1-AS1	CYP1B1-AS1	968.28	74.48	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-D21S2088E	AFAP1-AS1	D21S2088E	968.28	45.92	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-DDR1-AS1	AFAP1-AS1	DDR1-AS1	968.28	54.8	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-DGCR10	AFAP1-AS1	DGCR10	968.28	54.84	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AFAP1-AS1-DIAPH2-AS1	AFAP1-AS1	DIAPH2-AS1	968.28	19.1999999999999	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-DICER1-AS1	AFAP1-AS1	DICER1-AS1	968.28	245.72	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
AFAP1-AS1-DKFZP434H168	AFAP1-AS1	DKFZP434H168	968.28	71.96	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-DKFZP434K028	AFAP1-AS1	DKFZP434K028	968.28	105.04	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-DLG1-AS1	AFAP1-AS1	DLG1-AS1	968.28	53.9400000000001	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-DLG3-AS1	AFAP1-AS1	DLG3-AS1	968.28	164.64	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AFAP1-AS1-DLGAP2-AS1	AFAP1-AS1	DLGAP2-AS1	968.28	30.8	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-DLX6-AS1	AFAP1-AS1	DLX6-AS1	968.28	249.4	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
AFAP1-AS1-DNAJB8-AS1	AFAP1-AS1	DNAJB8-AS1	968.28	109.64	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-DSCAM-AS1	AFAP1-AS1	DSCAM-AS1	968.28	66.62	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
AFAP1-AS1-DSCR10	AFAP1-AS1	DSCR10	968.28	67.8399999999999	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-DSCR9	AFAP1-AS1	DSCR9	968.28	38.16	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AFAP1-AS1-EDNRB-AS1	AFAP1-AS1	EDNRB-AS1	968.28	140.48	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
