SYMBOL,GSM431121,GSM431122,GSM431123,GSM431124,GSM431125,GSM431126
ALB,24.20097414,23.89488325,24.79420511,25.97685558,22.51771019,23.57761715
MUC13,21.95497021,24.02993273,24.88277955,22.70429499,26.40442709,24.94002473
HSD3B1,24.46631661,20.92457426,23.04788239,24.46631661,24.09119782,27.89769855
LOC642150,22.64009523,26.47946895,22.29885937,23.28523407,25.80288864,24.38722683
EPO,25.02207892,24.82694065,23.90626203,23.90626203,23.90626203,23.31516682
CD8B,22.58795406,23.61229178,25.30903645,25.67111942,22.72696029,24.97475232
GSTM3,25.42487411,26.12292642,23.67602156,21.80612753,24.14679331,23.67602156
C2orf27,25.83442609,23.41557437,22.78902487,25.78559193,24.46171966,22.55863811
FLJ12331,24.09916106,25.08495595,24.09916106,23.40188631,21.59260528,26.55575348
PTPRT,23.50914111,25.90773691,22.7338347,20.16126171,24.72583373,27.78466096
KIAA0509,24.26772475,23.62695525,23.73542081,23.6614706,28.89703547,20.61000976
HTR6,25.24161549,23.89158414,23.89158414,25.86718087,22.78027875,23.12113137
CETP,24.09916106,24.09916106,23.65893198,23.5884265,25.19498701,24.09916106
LIMS2,24.64434417,23.10892626,24.18122661,25.76033903,22.38276714,24.64434417
FPRL1,25.25623018,22.88694845,24.11007423,23.77768365,24.84945595,23.83508297
C8orf44,23.63507319,24.12871019,24.35731426,26.45376768,23.43498525,22.69802368
FAHD2A ,23.27013214,24.22819541,25.06703152,25.7747048,23.57899491,22.77339321
CYP11A1,22.9486969,23.56248656,26.25891969,22.1193134,23.41184776,26.34942767
NGFR,24.41822265,23.70387584,20.69007616,32.51030174,20.60085126,22.69417911
NTSR2,24.08356535,23.33582197,23.33582197,23.20013197,26.7079142,23.94334591
IFNA4,23.77902177,22.81311187,25.96710385,24.35607075,22.89807096,24.76247141
CA1,22.97123279,25.87361891,24.85695515,23.61831536,22.99188429,24.24232172
TEX12,25.0500569,22.68401791,22.35974161,24.42125186,25.605205,24.42125186
RGS7,24.0055842,24.89504359,24.0055842,24.0055842,23.61881701,24.0055842
LILRB2,23.62221064,23.94938701,24.0217699,24.04629393,24.80218424,24.0217699
MSH4,23.72782935,26.20669583,23.03967717,24.65593151,21.59401189,25.23106688
