,TCGA-3X-AAV9-01,TCGA-3X-AAVA-01,TCGA-3X-AAVB-01,TCGA-3X-AAVC-01,TCGA-3X-AAVE-01,TCGA-4G-AAZO-01,TCGA-4G-AAZT-01,TCGA-W5-AA2G-01,TCGA-W5-AA2H-01,TCGA-W5-AA2I-01,TCGA-W5-AA2O-01,TCGA-W5-AA2Q-01,TCGA-W5-AA2T-01,TCGA-W5-AA2U-01,TCGA-W5-AA2W-01,TCGA-W5-AA2X-01,TCGA-W5-AA2Z-01,TCGA-W5-AA30-01,TCGA-W5-AA31-01,TCGA-W5-AA33-01,TCGA-W5-AA34-01,TCGA-W5-AA36-01,TCGA-W5-AA38-01,TCGA-W5-AA39-01,TCGA-W6-AA0S-01,TCGA-WD-A7RX-01,TCGA-YR-A95A-01,TCGA-ZD-A8I3-01,TCGA-ZH-A8Y1-01,TCGA-ZH-A8Y2-01,TCGA-ZH-A8Y4-01,TCGA-ZH-A8Y5-01,TCGA-ZH-A8Y6-01,TCGA-ZH-A8Y8-01,TCGA-ZU-A8S4-01,TCGA-W5-AA2I-11,TCGA-W5-AA2Q-11,TCGA-W5-AA2R-11,TCGA-W5-AA2U-11,TCGA-W5-AA2X-11,TCGA-W5-AA30-11,TCGA-W5-AA31-11,TCGA-W5-AA34-11,TCGA-ZU-A8S4-11
AC010746.1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,0,0,0,0,1,0,0,1,0
OR7E19P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AC102953.1,4,1,0,10,1,3,5,5,4,3,4,4,6,2,6,2,2,11,1,1,2,0,6,4,2,2,1,2,1,4,13,6,2,6,2,1,4,0,1,0,2,3,1,0
AL355482.2,2,2,0,22,1,0,0,0,0,0,0,1,3,2,0,12,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,55,33,1,0,0,0,0,0,0,0,0,0
HMGB1P26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
LAMP5-AS1,4,0,4,0,1,52,1,0,1,0,0,0,0,1,0,0,0,2,516,1,1,2,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,2,0
SNRPEP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TRGVA,2,0,0,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDUFA12P1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2IP14,11,0,6,19,5,10,1,8,9,7,9,38,13,11,17,28,18,49,36,24,11,4,3,3,10,14,4,15,11,40,48,21,17,26,8,4,2,4,4,5,3,3,5,3
AL354714.3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AL591468.1,4,0,3,5,24,0,0,4,1,0,2,0,0,1,2,0,0,6,2,3,0,0,1,0,0,3,0,0,0,0,1,0,0,1,7,0,3,1,1,1,3,0,2,1
AL355852.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
OFD1P1Y,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AP001434.1,3,1,3,2,2,0,0,1,0,0,0,0,0,2,0,0,3,0,2,2,0,0,0,0,2,0,0,1,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
MRPS18BP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCT8P1,41,163,76,156,63,104,177,147,56,127,91,1269,754,354,128,35,191,151,159,539,387,76,81,186,87,220,220,373,492,83,63,3778,175,131,50,834,466,291,1104,318,427,621,1222,554
PRICKLE2-AS3,0,5,2,0,0,0,3,0,0,0,2,1,0,0,1,0,0,0,0,2,0,2,3,0,0,1,1,2,1,2,1,0,2,1,1,1,0,0,0,0,0,0,0,0
AC026167.1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGALS17A,19,0,2,10,61,4,2,1,15,0,2,6,0,7,26,1,4,11,2,5,1,2,2,4,4,3,11,4,1,2,1,0,1,5,77,1,0,0,0,0,1,0,2,1
LINC01772,43,29,64,26,25,40,26,23,40,10,26,67,143,69,35,42,41,42,38,32,33,13,11,28,41,47,29,60,37,47,35,172,57,61,21,7,4,9,7,19,15,4,6,2
HLA-DQB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF13-AS1,3,5,1,0,5,26,0,1,5,0,0,3,0,6,5,43,7,7,7,5,0,1,0,1,1,1,4,2,2,1,0,2,1,6,0,0,0,1,0,0,1,0,0,0
NANOGNBP1,0,0,0,11,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AL590648.1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
LINC01040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PPIAP21,7,1,0,5,22,0,14,0,4,1,1,3,12,2,1,10,1,0,4,0,3,3,2,5,3,8,1,10,1,8,13,11,3,5,0,0,0,2,0,3,0,1,0,0
AC005740.1,2,0,6,0,0,1,0,0,0,0,13,6,3,2,2,1,1,2,0,1,1,0,1,0,3,1,4,3,0,0,0,3,1,1,0,1,0,0,1,2,3,0,1,0
CDY10P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC234644.1,0,0,0,0,3,0,0,0,1,0,3,0,0,1,2,2,5,1,2,1,0,0,2,1,1,0,0,0,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0
AL807761.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
YBX1P8,2,1,1,0,0,0,0,0,1,0,0,0,0,3,0,2,0,1,2,1,1,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC123769.1,5,9,10,11,26,12,6,13,2,2,8,11,11,12,13,14,6,7,25,10,10,2,3,4,9,9,5,8,12,24,22,7,13,12,15,0,0,0,3,2,2,4,5,2
LINC01776,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
MEMO1P1,26,36,42,37,45,30,10,81,25,12,42,53,45,72,68,53,63,31,73,56,23,20,61,23,45,14,36,55,53,52,53,33,74,46,88,27,14,25,24,17,31,44,41,18
PAICSP1,4,12,5,6,13,12,10,5,9,3,14,15,8,8,24,4,14,4,11,17,2,9,7,4,6,9,15,9,19,6,5,37,14,8,5,1,0,8,1,6,2,3,3,1
MTND4P32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AC092570.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMGB3P20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC009531.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ZBTB45P2,0,0,0,0,1,0,0,2,0,1,1,3,1,0,0,0,1,0,1,0,1,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPA3P4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AL139275.1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC016772.1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,4,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
AC062028.2,3,1,1,0,0,0,1,0,3,2,0,2,1,0,0,0,18,6,0,1,3,0,0,0,0,1,2,1,4,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0
USP12PX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AC096915.1,0,0,0,0,0,1,0,0,3,1,0,0,0,2,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SLC39A12-AS1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AC113935.1,653,876,918,388,1253,1302,2078,1382,2054,641,2392,1149,1476,1409,1069,1245,1919,878,1348,1417,2808,1813,1420,509,2103,1569,1353,1487,936,1374,1052,2223,636,1136,1323,192,306,381,595,242,388,270,294,188
UQCRFS1P1,2,13,2,5,2,2,0,2,0,1,8,2,1,3,4,1,10,8,2,2,1,2,6,28,48,4,2,3,6,4,3,2,13,3,5,6,2,1,3,1,1,4,10,5
EIF3LP3,0,1,4,1,2,3,1,1,2,0,1,4,3,5,1,3,3,3,4,3,6,4,3,1,7,0,1,1,1,3,2,4,5,1,4,2,2,0,2,2,0,1,2,0
AL158839.1,0,0,1,4,1,1,0,1,0,1,2,4,0,6,2,5,5,3,4,1,0,0,4,3,0,2,4,4,2,6,2,3,3,7,1,0,1,1,0,2,0,2,6,0
AL122017.1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,3,0,1,0,0,0,1,0,1,0,1,0,1,0,2,0,2,1,0,0,2
LINC00937,28,5,12,2,21,14,7,18,18,2,2,51,4,4,18,5,20,11,145,18,17,5,5,1,16,19,4,5,57,9,8,69,9,3,1,4,2,4,5,7,2,2,3,7
RPL7P3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SEC11B,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
SEPT7P3,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,3,1,3,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
AC004383.1,7,7,6,4,1,1,0,2,3,2,2,7,7,3,3,9,4,5,6,5,2,4,2,4,2,1,1,2,4,3,2,7,6,3,3,1,0,0,4,0,0,0,3,1
RAB28P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC090844.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009487.2,9,21,19,18,9,5,0,3,6,19,29,42,13,14,32,9,56,11,12,34,6,18,24,29,17,39,15,5,19,13,54,41,41,17,4,8,2,2,2,3,6,4,4,1
DDC-AS1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PSMC1P12,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
RPL26P9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AC013248.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
AC073465.2,0,2,2,1,1,0,0,1,1,1,1,1,3,1,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
RPS3AP46,0,0,0,5,0,1,0,0,0,4,0,2,5,0,2,3,10,1,3,3,0,0,0,1,0,2,4,4,1,4,0,3,13,1,1,0,0,0,0,0,0,0,0,0
AL356289.1,0,0,0,6,1,0,0,0,0,1,0,3,0,1,7,0,1,4,2,1,0,0,0,0,2,0,0,2,0,1,7,0,0,1,0,0,0,0,0,1,0,0,0,0
AL359502.1,0,0,0,0,0,0,3,0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BAIAP2-AS1,1677,1983,2214,2149,2180,901,2107,3703,397,2053,1329,2891,3219,2726,2683,1004,2450,1383,3406,1882,1832,2078,2551,1363,945,1956,1893,3188,2211,2831,4571,2865,2043,1980,1188,283,378,348,296,395,469,388,363,297
AC004801.1,1,0,3,0,0,0,1,0,0,0,0,1,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0
AC244107.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL35P8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS27AP3,1,0,1,0,0,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1
KRT16P6,8,0,0,1,1,0,0,0,0,1,0,0,0,5,1,0,0,0,19,0,0,0,0,0,0,0,0,0,5,2,0,3,1,107,0,0,0,1,0,0,0,0,0,0
TUBBP10,1,0,0,2,1,0,1,0,0,0,2,3,2,1,2,0,1,0,1,0,1,0,1,1,0,3,1,1,0,0,0,0,0,0,0,2,0,0,4,3,1,1,3,0
SLC25A39P1,2,0,3,0,1,2,0,0,0,0,0,7,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Z93242.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL23AP76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OR52E3P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLCP2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
AC137499.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF4A1P5,0,1,0,0,0,2,0,0,2,1,1,0,0,1,0,0,2,0,0,1,1,4,2,3,1,3,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1
AL513185.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FGFR3P6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AP4B1-AS1,13,4,10,19,7,9,0,10,15,11,9,15,22,12,10,25,9,20,14,15,3,0,7,4,1,16,5,19,17,5,7,17,16,27,6,1,1,0,2,6,1,2,1,5
AL139420.1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00685,17,19,41,34,19,47,58,29,138,64,36,83,67,31,64,29,28,38,26,92,92,46,51,27,14,39,21,59,38,61,25,10,27,11,18,11,6,4,5,8,7,3,11,3
AC010536.1,41,9,15,16,17,5,21,11,46,29,61,18,32,31,9,107,12,18,30,12,19,22,19,10,20,19,16,31,4,47,10,14,12,18,23,2,3,2,2,10,3,1,2,1
AL132671.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TRIM64FP,0,1,0,0,2,1,0,0,2,1,2,2,9,0,2,4,3,2,1,3,0,1,0,0,0,0,0,0,1,1,6,1,2,3,0,0,0,1,1,0,0,1,0,0
ELOCP21,0,0,3,0,0,2,1,1,1,0,0,2,1,0,5,3,0,3,2,0,0,0,3,0,0,4,1,5,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
HNRNPA1P3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLK3P2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL049548.1,1,0,0,0,0,0,1,0,0,0,1,1,0,7,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,29,0,0,6,0,0,0,0,0,0,0,0,0,0
LINC02519,35,18,64,0,5,8,7,5,5,74,3,54,41,4,9,11,75,25,23,2,0,12,3,2,10,7,5,98,17,10,1,21,10,19,4,1,2,1,4,0,1,0,0,0
AC007790.1,0,1,0,1,2,0,0,1,4,0,1,0,0,0,0,0,3,0,1,0,0,0,2,0,0,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
BX470209.1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
AL080316.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C8ORF59P1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
AC215219.1,800,442,389,293,505,296,483,157,1662,1681,538,1451,403,1037,549,850,379,724,718,443,739,657,118,277,399,83,933,325,821,851,269,1023,504,1108,463,165,224,90,274,197,159,134,135,91
AL445466.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRGV6,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
RPS12P5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL19P1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CICP22,2,0,1,9,3,0,0,2,0,0,0,1,3,4,0,3,0,0,2,1,0,0,2,1,0,2,0,1,1,3,3,3,3,0,0,0,0,0,0,1,0,0,0,0
AC022431.1,23,52,25,7,22,37,48,15,49,11,43,111,39,33,7,67,26,50,22,35,52,34,12,19,25,43,29,18,16,25,38,47,15,20,37,3,13,11,18,7,15,9,6,7
PRELID3BP1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
RPLP0P1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,3,1,0,0,0,0,1,1,0,0,0,1,0,0
NPIPB14P,0,1,0,1,2,1,0,2,0,0,1,0,2,0,1,5,0,0,3,6,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0
Z82188.1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
KRT18P24,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
LEMD1-AS1,6,2,12,8,3,1,3,1,6,0,2,2,30,19,1,16,9,27,1,4,2,1,3,1,5,3,0,4,3,3,14,12,2,78,4,2,1,1,0,1,2,0,0,0
Z75746.1,1,1,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,1,0,0,1,0
RPL37AP1,4,1,1,1,0,2,3,4,9,6,5,8,3,9,2,4,2,2,6,3,2,4,2,12,9,5,3,2,5,3,5,5,3,4,0,7,4,2,3,3,3,7,4,4
ZNF32-AS1,13,7,7,6,11,13,18,1,43,39,13,35,59,12,14,21,32,39,26,30,20,3,8,4,5,25,12,14,25,16,10,41,8,10,7,2,0,1,1,4,4,2,3,1
KRT18P36,0,0,1,0,1,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,3,0,1,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
SUPT4H1P1,1,0,0,2,0,1,0,0,0,0,1,2,1,2,3,0,0,3,0,3,0,1,0,0,0,0,0,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1
AL365271.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AL135960.1,15,4,8,7,4,1,2,3,23,2,5,7,3,5,6,3,5,18,4,7,4,0,0,0,3,15,9,12,8,4,3,2,21,9,3,3,0,8,5,12,4,6,4,11
MRPL35P3,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,1,1,0,1,0,1,2,0,0,1,0,4,1,0,2,0,0,0,0,0,1,0,0,0,0
PTP4A1P3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UBE2V2P1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GTF2H2B,31,105,22,33,40,75,48,261,14,22,8,105,17,314,56,12,30,30,222,20,37,23,14,8,10,226,14,22,99,26,20,77,7,20,67,2,2,3,17,2,5,13,5,12
AC064836.1,3,5,1,2,2,0,2,2,27,5,1,4,4,7,0,8,2,1,0,5,5,7,1,3,2,4,2,2,3,5,9,1,2,2,1,1,0,1,1,2,2,0,2,0
PHKBP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ISM1-AS1,3,0,0,3,1,2,0,0,1,1,2,4,6,12,0,17,3,8,2,3,0,0,1,1,3,0,2,1,4,6,3,4,0,12,0,1,0,3,0,4,2,2,2,0
AC009961.1,15,19,35,12,17,7,6,38,6,19,14,41,18,15,32,25,28,39,44,14,18,22,12,9,8,20,6,16,41,43,51,63,38,65,19,13,4,3,6,5,7,8,7,5
AC135977.1,8,2,15,12,2,1,0,10,8,0,3,5,3,5,3,12,6,2,10,8,1,3,7,12,3,12,6,6,4,4,5,10,42,8,20,6,6,18,17,15,6,20,6,15
ARHGAP26-AS1,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
AC079305.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AC093382.1,1,5,1,6,1,1,2,3,7,14,5,19,7,3,2,13,1,12,3,4,10,1,5,1,1,15,2,5,7,7,9,15,4,20,3,4,0,1,3,10,4,3,0,0
PSPHP1,190,188,0,1,371,0,0,0,0,0,0,217,374,0,0,322,0,0,0,0,141,1,206,2,261,356,3,121,5,182,0,406,912,0,0,0,70,0,0,91,0,0,122,0
RPL12P10,0,3,1,1,0,1,3,2,7,1,3,1,2,4,1,3,2,0,1,1,2,0,1,1,2,1,2,0,0,3,2,4,0,3,2,0,0,1,0,2,0,0,0,0
AL049641.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ARPC3P1,2,2,4,1,5,6,7,1,5,2,4,3,4,2,2,3,10,5,7,3,9,4,3,6,0,3,4,4,3,6,2,4,2,6,3,0,0,9,1,2,0,1,2,3
AL008733.1,11,0,2,0,2,0,3,0,0,0,0,3,2,0,1,1,4,11,25,29,0,1,0,0,1,2,4,1,2,0,0,11,2,1,0,1,0,0,0,0,0,0,0,0
TMEM191A,116,161,162,85,82,111,184,135,537,150,113,125,212,165,88,219,77,55,70,172,33,247,201,92,427,114,193,174,119,83,161,229,171,208,113,90,49,43,40,70,59,56,40,54
