,TCGA-3X-AAV9-01,TCGA-3X-AAVA-01,TCGA-3X-AAVB-01,TCGA-3X-AAVC-01,TCGA-3X-AAVE-01,TCGA-4G-AAZO-01,TCGA-4G-AAZT-01,TCGA-W5-AA2G-01,TCGA-W5-AA2H-01,TCGA-W5-AA2I-01,TCGA-W5-AA2O-01,TCGA-W5-AA2Q-01,TCGA-W5-AA2T-01,TCGA-W5-AA2U-01,TCGA-W5-AA2W-01,TCGA-W5-AA2X-01,TCGA-W5-AA2Z-01,TCGA-W5-AA30-01,TCGA-W5-AA31-01,TCGA-W5-AA33-01,TCGA-W5-AA34-01,TCGA-W5-AA36-01,TCGA-W5-AA38-01,TCGA-W5-AA39-01,TCGA-W6-AA0S-01,TCGA-WD-A7RX-01,TCGA-YR-A95A-01,TCGA-ZD-A8I3-01,TCGA-ZH-A8Y1-01,TCGA-ZH-A8Y2-01,TCGA-ZH-A8Y4-01,TCGA-ZH-A8Y5-01,TCGA-ZH-A8Y6-01,TCGA-ZH-A8Y8-01,TCGA-ZU-A8S4-01,TCGA-W5-AA2I-11,TCGA-W5-AA2Q-11,TCGA-W5-AA2R-11,TCGA-W5-AA2U-11,TCGA-W5-AA2X-11,TCGA-W5-AA30-11,TCGA-W5-AA31-11,TCGA-W5-AA34-11,TCGA-ZU-A8S4-11
AC104695.3,5,12,42,89,8,7,17,23,14,6,7,5,5,4,10,56,15,14,12,6,7,6,7,4,44,11,21,7,3,13,8,0,8,59,3,2,7,7,5,10,8,3,0,1
TSIX,2,2,16,21,3,15,0,16,5,1,0,2,2,16,6,2,9,2,1,0,5,1,4,3,7,12,4,310,19,1,0,4,16,2,1,0,0,7,5,0,0,3,1,0
DPRXP5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
AL031320.1,1,0,0,0,3,0,0,0,2,0,0,1,1,1,0,1,0,2,0,1,3,0,0,2,1,1,0,1,2,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0
AC079610.2,15,12,6,1,19,0,0,13,15,17,7,84,66,2,1,17,15,28,8,7,11,0,1,9,38,9,22,5,1,7,4,45,11,12,17,14,6,0,2,5,9,4,11,2
Z99289.2,6,7,10,4,0,1,0,1,1,2,2,6,1,3,2,6,5,16,7,4,1,0,1,3,3,1,2,5,4,1,4,1,1,6,6,0,0,0,2,2,0,0,0,0
AC010900.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
HNRNPA1P67,1,0,1,0,0,3,0,0,3,1,0,1,0,0,2,0,0,4,1,2,0,1,0,0,0,2,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,1,0
AL021918.1,1,0,2,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,0,0,2,4,1,4,1,0,4
MTRNR2L6,2,3,0,1,0,2,0,2,2,2,1,2,1,3,2,3,1,0,2,12,2,8,2,10,2,1,6,1,0,0,0,1,0,0,0,2,2,7,2,1,1,1,2,1
YTHDF3-AS1,28,41,29,36,38,13,89,27,52,49,31,15,95,23,34,47,35,8,34,9,23,63,48,16,73,35,35,26,13,41,26,171,28,60,32,36,26,16,29,20,37,38,46,19
AC007363.1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AC138473.1,0,1,3,1,1,1,0,1,0,1,1,4,3,1,3,1,1,1,2,8,1,0,0,1,1,0,4,4,0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,1
AC095055.1,15,16,13,12,27,15,17,25,30,18,3,13,32,19,2,12,15,13,14,18,31,11,1,1,43,14,29,33,31,15,5,65,11,12,6,1,4,15,3,5,7,9,12,9
AP003357.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGHV1OR15-6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AL137849.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUD13P1,9,4,1,0,13,38,0,13,3,4,8,3,9,59,18,0,10,5,1,16,1,3,6,3,1,1,34,7,10,6,28,9,1,24,3,0,0,1,0,2,2,2,1,0
AC105129.3,3,0,0,3,0,0,0,0,0,1,0,1,0,0,1,2,0,2,2,2,0,0,0,0,0,1,1,0,3,3,3,1,2,2,0,0,0,0,0,0,0,0,1,0
AC211469.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AC106791.2,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
AC018695.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC073657.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AL161669.2,1,6,1,9,3,6,2,1,0,1,31,0,8,2,1,0,10,3,1,0,0,2,5,0,5,3,10,12,1,6,2,2,0,1,0,1,1,0,1,2,1,1,4,0
PRMT1P1,1,0,0,2,0,0,0,0,0,2,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,2,0,3,0,0,0,0,1,0,0,1,0,0
KF455155.1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AL162431.4,1,0,1,0,0,0,0,0,0,0,0,3,1,0,2,6,1,4,0,1,0,3,0,0,2,2,0,1,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0
AL591222.2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AC132812.2,0,0,0,0,0,0,3,0,0,0,0,3,2,2,0,0,1,0,0,0,0,0,3,0,1,4,0,1,0,1,2,0,0,1,0,0,2,1,0,0,1,0,0,0
BNIP3P15,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AC104785.1,6,6,1,13,2,3,1,4,35,14,2,9,19,4,1,10,7,7,27,5,19,18,2,19,12,8,4,4,4,6,1,5,7,8,3,47,28,5,41,13,23,23,24,23
RPL23AP92,1,1,2,6,3,1,0,1,0,1,0,1,3,4,5,6,1,9,3,6,1,0,0,0,2,0,7,5,2,14,2,1,2,2,0,0,0,0,0,0,0,1,0,0
AL356580.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL035413.2,13,11,30,67,30,3,7,9,7,0,13,30,38,18,13,21,22,38,46,20,17,8,8,21,19,15,31,24,44,23,26,21,129,17,8,14,2,18,13,22,21,25,38,9
AC004853.1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL355877.2,1,0,1,0,3,0,0,0,2,0,1,0,2,1,0,4,0,2,0,0,0,0,0,0,1,0,2,4,1,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0
