"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
7.82450233351844e-69,0.317636512066803,0.458,0.067,2.16183174972781e-64,"7","AT4G30860"
8.19820250846205e-197,1.88632525887124,0.65,0.029,2.26508137106298e-192,"8","AT3G16330"
1.0662463137134e-188,2.09733719912019,0.756,0.049,2.94593194015875e-184,"8","AT1G62380"
1.00894017200956e-154,1.96356559421273,0.654,0.048,2.78760080124521e-150,"8","AT3G21770"
4.87284318029398e-143,1.92222977834028,0.768,0.08,1.34631784228342e-138,"8","AT4G14130"
3.45706382740713e-124,1.72715738013778,0.457,0.025,9.55152164874316e-120,"8","AT5G59090"
1.6209043394753e-122,1.68959104438214,0.457,0.022,4.4783965995363e-118,"8","AT1G26450"
1.07827758395459e-87,1.86336178874409,0.394,0.059,2.97917313670815e-83,"8","AT4G22610"
5.15103736768746e-80,1.70921270646512,0.472,0.047,1.42318011431837e-75,"8","AT1G72230"
1.51474114323812e-72,1.80275888058393,0.39,0.071,4.18507830465259e-68,"8","AT1G14890"
1.05481778645151e-71,1.69420113609187,0.484,0.08,2.91435606218689e-67,"8","AT1G77690"
6.66652344635697e-101,2.10142728003846,0.596,0.092,1.84189376299397e-96,"9","AT5G16970"
6.853345005581e-100,1.18190475515788,0.649,0.069,1.89351069159197e-95,"9","AT3G48450"
6.38794951306617e-80,1.18964376697198,0.385,0.037,1.76492657096505e-75,"9","AT2G43510"
1.65930433270992e-69,1.29268110045153,0.341,0.024,4.58449194084423e-65,"9","AT4G35770"
1.31810569914444e-37,0.80621126603075,0.442,0.096,3.64179423616617e-33,"9","AT3G61930"
3.38192259007867e-36,0.75183478615214,0.303,0.071,9.34391392412834e-32,"9","AT5G12340"
8.35042825466224e-35,0.851789093117708,0.303,0.048,2.30713982248063e-30,"9","AT5G26220"
6.44334415674513e-30,0.752619894293213,0.394,0.094,1.78023155706711e-25,"9","AT1G15380"
3.52972247033586e-18,0.901521504924313,0.293,0.074,9.75227021329095e-14,"9","AT1G02920"
8.53208371859208e-14,0.754435689673994,0.183,0.088,2.35732941060981e-09,"9","AT1G72490"
1.08146938934512e-190,1.44177092978491,0.742,0.046,2.98799177582165e-186,"10","AT5G64620"
1.80009731670364e-155,1.42846955233176,0.72,0.094,4.97348887632048e-151,"10","AT5G11420"
2.67295600554711e-153,1.34632236116278,0.742,0.055,7.38511014772611e-149,"10","AT3G55120"
4.17594058416042e-148,1.70031345479565,0.571,0.007,1.15377062399768e-143,"10","AT1G62510"
2.51252371741925e-147,1.24748532501828,0.681,0.075,6.94185177885764e-143,"10","AT2G23910"
7.58743463275112e-115,1.73711590380933,0.67,0.069,2.09633231468281e-110,"10","AT4G22460"
4.11045595063982e-66,1.14136137863048,0.538,0.054,1.13567787460228e-61,"10","AT1G13420"
5.39006373449527e-55,2.06025309024722,0.368,0.049,1.4892207092037e-50,"10","AT1G13930"
6.47750926228441e-43,1.32232680364264,0.275,0.032,1.78967103407656e-38,"10","AT5G15180"
5.35940008777107e-33,1.1685726747278,0.28,0.056,1.48074865025027e-28,"10","AT5G09440"
2.97254218732469e-77,0.782744315225557,0.604,0.079,8.21283680935937e-73,"11","AT5G06270"
1.98001486958559e-72,0.456275204211997,0.692,0.091,5.47058308317802e-68,"11","AT1G79840"
7.40023544485868e-62,0.422602655656525,0.585,0.099,2.04461105106e-57,"11","AT5G51490"
3.50422046439015e-58,0.412546008147601,0.635,0.093,9.68181072106356e-54,"11","AT5G66460"
4.28759470392177e-46,0.28582433812125,0.472,0.059,1.18461954074655e-41,"11","AT3G47710"
4.14888863747856e-44,0.413244364373322,0.465,0.065,1.14629644164895e-39,"11","AT3G20360"
5.89683264473452e-42,0.37438335875988,0.415,0.061,1.6292358914137e-37,"11","AT5G17040"
1.3451215308926e-41,0.314054326559412,0.503,0.08,3.71643627770317e-37,"11","AT4G34419"
1.18723675346037e-15,-1.18243968801076,0.113,0.094,3.28021642613565e-11,"11","AT1G05260"
3.69392630967216e-11,0.251744795590122,0.176,0.046,1.02059490009932e-06,"11","AT2G41810"
5.86902709646109e-178,2.94118243741297,0.854,0.056,1.62155349648124e-173,"12","AT2G04025"
5.16818835188083e-137,1.229559913629,0.762,0.098,1.42791875974115e-132,"12","AT5G51550"
3.15058903341182e-127,1.23433618397208,0.748,0.046,8.70476244041351e-123,"12","AT3G01840"
2.42187562023433e-120,1.38893834204797,0.735,0.087,6.69140015114542e-116,"12","AT2G03830"
8.6450677980739e-110,3.1849776500063,0.477,0.038,2.38854578192984e-105,"12","AT4G34970"
1.32988704105958e-102,1.48261911298084,0.55,0.067,3.67434490574351e-98,"12","AT5G57420"
1.78669595074292e-100,1.88615230675303,0.669,0.072,4.93646224230762e-96,"12","AT1G72490"
1.45074687495865e-93,2.5379395802228,0.45,0.011,4.00826854082326e-89,"12","AT1G13620"
1.33577486908185e-90,1.41693112033367,0.583,0.07,3.69061238578624e-86,"12","AT4G31500"
1.81184502381278e-83,1.80013574933584,0.583,0.058,5.00594661629232e-79,"12","AT4G39950"
6.64544206972021e-224,2.71217668180625,0.912,0.016,1.836069189443e-219,"13","AT5G03170"
3.31905776754317e-198,2.19137685185155,0.912,0.029,9.17022470594503e-194,"13","AT5G02640"
3.98086940678277e-197,2.09209927425079,0.797,0.017,1.09987440840001e-192,"13","AT2G28410"
5.37677125337843e-176,3.43713926895305,0.777,0.049,1.48554812959593e-171,"13","AT1G20850"
6.11690252316686e-176,2.25706163798037,0.77,0.013,1.69003899812577e-171,"13","AT3G10080"
1.21315112339319e-127,2.22678275327363,0.824,0.078,3.35181523882303e-123,"13","AT1G77690"
1.44868713399585e-108,2.52217532593971,0.284,0.062,4.00257768251713e-104,"13","AT3G27200"
1.29815462717455e-96,2.87543546088896,0.412,0.022,3.58667141942057e-92,"13","AT4G35350"
1.70990980988653e-31,1.93087066416642,0.331,0.044,4.7243098137355e-27,"13","AT3G18280"
1.03528807853941e-29,2.123926759168,0.128,0.004,2.86039743219652e-25,"13","AT5G51890"
4.66359820393866e-202,2.6315654545778,0.936,0.04,1.28850554776621e-197,"14","AT2G18800"
1.68629572410624e-163,1.76395609628132,0.864,0.027,4.65906645613313e-159,"14","AT3G45700"
5.03627651864689e-140,2.15421791613333,0.971,0.091,1.39147283933695e-135,"14","AT4G14130"
5.73023052887703e-112,2.06518676711969,0.836,0.075,1.58320539282343e-107,"14","AT4G25810"
2.02108715243209e-108,1.57475575520623,0.707,0.031,5.58406169345463e-104,"14","AT4G18510"
9.34813543843058e-94,1.87015504311815,0.721,0.064,2.58279634028398e-89,"14","AT1G32100"
1.31395459405462e-90,1.74927458514365,0.543,0.037,3.63032514791351e-86,"14","AT1G51680"
3.59450832300245e-88,1.54644718888883,0.636,0.043,9.93126704562347e-84,"14","AT2G44300"
2.14796013861039e-56,1.54766398584648,0.314,0.039,5.93459906696664e-52,"14","AT1G48750"
1.21878591367532e-28,1.95644143013777,0.229,0.015,3.36738360089354e-24,"14","AT3G53980"
0,3.66745100315585,0.993,0.055,0,"15","AT4G11290"
1.11380677001513e-318,4.16827393382069,1,0.067,3.07733672487481e-314,"15","AT1G05260"
5.05958355910916e-284,3.08366441615548,0.971,0.051,1.39791234154627e-279,"15","AT2G14900"
8.3205665860147e-269,2.00340827107657,1,0.035,2.29888934205e-264,"15","AT3G32980"
4.2239694063531e-189,1.8502916019717,0.855,0.008,1.1670405072813e-184,"15","AT2G32300"
1.02992989253344e-181,1.9408274966549,0.935,0.099,2.84559330008064e-177,"15","AT2G47930"
2.71948710652021e-161,2.53693469779043,0.833,0.029,7.51367092660469e-157,"15","AT4G11190"
1.79213394965716e-157,2.43920520415402,0.79,0.079,4.95148688950778e-153,"15","AT3G23730"
4.8634046881602e-150,2.94101633531263,0.659,0.024,1.34371008129178e-145,"15","AT3G22600"
1.33989894188988e-144,2.02982072141867,0.87,0.048,3.70200678654754e-140,"15","AT1G13420"
1.53777681886573e-270,3.81661081695285,1,0.077,4.24872357284413e-266,"16","AT4G40090"
8.43488538900058e-237,3.82996245572522,1,0.047,2.33047448412697e-232,"16","AT3G62680"
2.84995687060646e-234,3.42005108786054,1,0.087,7.8741458377986e-230,"16","AT5G05500"
7.92372414862279e-230,3.13608370750902,1,0.053,2.18924574502299e-225,"16","AT3G54590"
2.96777867019717e-229,3.09013989871296,1,0.084,8.19967568788777e-225,"16","AT3G09925"
7.18246786669488e-221,2.99478929525853,1,0.047,1.98444404688913e-216,"16","AT1G12560"
7.66482286041726e-221,3.04734499135018,1,0.071,2.11771390810468e-216,"16","AT1G30870"
2.77328648764423e-202,2.93369898182721,0.913,0.037,7.66231323671225e-198,"16","AT4G25820"
1.52411460709481e-192,3.20042388820913,0.957,0.028,4.21097624794226e-188,"16","AT5G57625"
6.98603089410588e-157,2.95765879476143,0.902,0.025,1.93017047573251e-152,"16","AT4G26010"
8.70667028608224e-138,1.87735643195546,0.922,0.074,2.40556593334166e-133,"17","AT3G15518"
7.85513586149613e-131,1.79818670098377,0.922,0.055,2.17029548717277e-126,"17","AT1G06135"
3.8378046613726e-116,2.16162779185497,0.857,0.058,1.06034704989064e-111,"17","AT5G24110"
2.39089634222189e-107,1.81315784117911,0.87,0.095,6.60580750392487e-103,"17","AT1G07160"
2.37065945315794e-103,1.52831233597335,0.844,0.079,6.54989500313007e-99,"17","AT1G14260"
1.16819620315333e-100,1.78814403509868,0.753,0.087,3.22760928969235e-96,"17","AT5G11140"
5.50939885815068e-85,2.04821776971362,0.779,0.085,1.52219181051845e-80,"17","AT2G25735"
3.90190885874489e-80,1.52397684534935,0.74,0.048,1.07805839858263e-75,"17","AT2G40180"
3.66044964264164e-60,1.87811549709633,0.532,0.011,1.01134563176546e-55,"17","AT1G14540"
2.28747524662132e-46,1.72584611991934,0.636,0.059,6.32006535889004e-42,"17","AT4G14630"
