gene,HR,z,pvalue,lower,upper
HOXA1,1.00121253784237,0.00494094480672388,0.996057712463411,0.619102839727476,1.61915998701286
DNAJB6,2.30202832539195,1.68199971825462,0.092568894547846,0.871280991414387,6.0822334736171
HOXA2,0.928581588639656,-0.379541387687603,0.704285876283152,0.633347211505305,1.36143927232452
HOXA3,1.01270760477894,0.0720367953798597,0.942572625424639,0.718248058972133,1.4278864801177
LFNG,1.30681444167238,1.18045581218116,0.237818975197294,0.8380283441167,2.03783558987316
HOXA5,0.944547924462978,-0.392743096043345,0.694509236985354,0.710527104304534,1.25564637323805
HOXA6,1.07498248160131,0.450348453052717,0.652459206837337,0.784764299824062,1.47252791189506
BRAT1,1.85996648950658,1.84631624783004,0.0648462999321164,0.962522614879276,3.59417564700163
IQCE,1.02048144741577,0.0621158824474096,0.950470549058059,0.538237944813112,1.93479927336111
VIPR2,1.40232497149044,0.933504831100837,0.350559377246968,0.689491291385279,2.85212496551576
TSPAN12,1.17891911302298,0.609992912288435,0.541866502684399,0.694703101034529,2.00063922700384
SSBP1,0.655205367434354,-1.04962409254244,0.293890975682306,0.297508166875678,1.44296567728905
HOXA13,0.7798594829893,-1.99419085521982,0.0461312011492832,0.610781774308631,0.995741586914185
CPED1,1.11158320138261,0.497675264233838,0.618712945409575,0.732843957534317,1.68605772196485
EVX1,1.07368580524385,0.520933900378644,0.602412818634931,0.82168366985468,1.4029744665438
HIBADH,0.570853543933024,-1.59380122952498,0.110980562087373,0.286492298053907,1.13746083519347
TAX1BP1,0.766174803350757,-0.789280299611211,0.429948198267487,0.395446220722083,1.48445932348947
CPVL,1.03596483643458,0.224915968859485,0.822044646198347,0.761421970603857,1.40949852218972
CHN2,0.789086480452024,-1.12590357599602,0.260206335567197,0.522444220950143,1.19181617608817
GRB10,1.36695122929296,1.07350358987576,0.283045228845014,0.772502816615275,2.4188334632262
ABHD11,1.44836071320886,1.13207183132337,0.257604236387502,0.762692898731493,2.75045009473125
COBL,0.756311797732302,-1.13172632279465,0.257749511346611,0.466262756499505,1.22679224839541
FKBP14,1.45069185613376,1.27609311679061,0.201922604513818,0.819238348956235,2.56885784721148
PLEKHA8,0.958968772723498,-0.111345655357736,0.911342252723722,0.45868783774662,2.00489533704797
STX1A,1.26671300420745,1.14296138004831,0.253054626081468,0.844509153580956,1.8999934201121
NOD1,1.59829627955963,1.25189908420563,0.210606638521986,0.767031037471563,3.33044019401741
GARS,1.12359859428773,0.274985817930081,0.783327134098368,0.48964291862115,2.57835608986345
EPHB6,1.04536358426543,0.334314687668553,0.738142108283209,0.80595331124472,1.35589122603214
MINDY4,0.948970526219395,-0.112284313625791,0.910597979058418,0.380356337566441,2.36763521647857
NSUN5P2,1.38335967139113,1.32774859150965,0.184261175171865,0.856826536380617,2.23345554692449
CASP2,1.81275337760614,1.31578996054392,0.188244549828028,0.747350922253335,4.39696360862799
CHCHD2,1.39027795326508,0.857987072612885,0.390899601767111,0.654943559124914,2.9512051235644
CCL24,0.962831733014906,-0.280244396697788,0.779290007083578,0.738763949901304,1.2548594801145
HSPB1,1.67533787045395,2.48241547885971,0.0130495021698998,1.11471745814106,2.51790887428803
