corA	corB	rho	p.value	FDR	star
Leptin_pg_ml	P011	-0.345071873283281	7.34249805102548e-05	0.000440549883061529	*
Leptin_pg_ml	P012	-0.134865409265702	0.128953358814627	0.266389580645773	
Leptin_pg_ml	P013	0.0679591649880974	0.445431066764471	0.624760457280038	
Leptin_pg_ml	P014	0.410255676616004	1.88702020452898e-06	1.69831818407608e-05	*
Leptin_pg_ml	P015	0.285112616736861	0.00115354090729911	0.00465304521382222	*
Leptin_pg_ml	P016	-0.192632988463651	0.0295148009696516	0.0817332949928812	
Leptin_pg_ml	P017	0.256426249771104	0.00356957961519329	0.0113386646600257	*
Leptin_pg_ml	P018	0.283178447170848	0.00124942880741523	0.00465304521382222	*
Leptin_pg_ml	P019	0.224466672770555	0.0109943146610305	0.0320915130646296	*
Leptin_pg_ml	P020	0.0458134956967588	0.607151190666148	0.790028055324627	
Leptin_pg_ml	P021	-0.263150064090826	0.00276786815716335	0.00925274765390123	*
Leptin_pg_ml	P022	0.500417734847098	2.84219166785142e-09	4.61382267709857e-08	*
Leptin_pg_ml	P023	0.294268449002014	0.000784625190520679	0.00338958082304933	*
Leptin_pg_ml	P024	0.351984526643472	5.15433946017297e-05	0.0003274521539404	*
Leptin_pg_ml	P025	0.31778177073796	0.000275434040631151	0.00135213074491656	*
Leptin_pg_ml	P026	-0.0167380058597326	0.851066182984159	0.937909671043767	
Leptin_pg_ml	P027	0.283939525727889	0.00121085990271299	0.00465304521382222	*
Leptin_pg_ml	P028	-0.188198132210218	0.0335258060784074	0.0883118794260489	
Leptin_pg_ml	P029	-0.29689502838308	0.000700907479045915	0.00329121772769386	*
Leptin_pg_ml	P030	0.134499175975096	0.130002875184674	0.266389580645773	
Leptin_pg_ml	P031	-0.00259796740523714	0.976773650036431	0.985761507618895	
Leptin_pg_ml	P032	-0.278417414392968	0.0015173125981075	0.00546232535318699	*
Leptin_pg_ml	P033	0.565275361655375	0	0	*
Leptin_pg_ml	P034	-0.0865455044863578	0.330910111400053	0.50335622579163	
Leptin_pg_ml	P035	-0.150447491301959	0.0900544853732654	0.216130764895837	
Adiponectin	P000	0.125801463519397	0.160429822282698	0.309400371545204	
Adiponectin	P001	0.114054914218222	0.203494669589702	0.354474585736901	
Adiponectin	P002	0.097394971721102	0.277947377597706	0.441445835008121	
Adiponectin	P003	-0.00870192531223373	0.922958916905565	0.967762747823311	
Adiponectin	P004	-0.114807821234207	0.200507044321663	0.354474585736901	
Adiponectin	P005	0.0840376213538573	0.349492086253997	0.517056785142899	
Adiponectin	P006	-0.0809300051444557	0.367661577408764	0.536587167029008	
Adiponectin	P007	0.0876161794019424	0.329279989831973	0.50335622579163	
Adiponectin	P008	0.0229411667659302	0.798737713649714	0.927566377141603	
Adiponectin	P009	-0.110362370247399	0.218610953444467	0.374761634476229	
Adiponectin	P010	-0.0522235503915854	0.561400770151018	0.748534360201358	
Adiponectin	P011	-0.040219032949476	0.654774557601789	0.812823588747049	
Adiponectin	P012	-0.00308061954348984	0.972689504009389	0.985761507618895	
Adiponectin	P013	0.0653679270610815	0.467091985864428	0.640209454296184	
Adiponectin	P014	-0.0305842228485126	0.733882787112141	0.880659344534569	
Adiponectin	P015	0.0234181078637052	0.794645090500048	0.927566377141603	
Adiponectin	P016	-0.0692014536205557	0.441319786497646	0.624760457280038	
Adiponectin	P017	0.0212403768134874	0.813375947965977	0.934517046599207	
Adiponectin	P018	0.0274676077504737	0.760131633060943	0.90213424583057	
Adiponectin	P019	0.0498298460140733	0.579504556246808	0.763249903349455	
Adiponectin	P020	0.00314061213440493	0.97215786530055	0.985761507618895	
Adiponectin	P021	-0.173579562924174	0.0519208440308516	0.130405840821674	
Adiponectin	P022	0.065190948917882	0.468301360087024	0.640209454296184	
Adiponectin	P023	0.0975059580142949	0.277397508815712	0.441445835008121	
Adiponectin	P024	0.118350383727743	0.186873832458753	0.336372898425756	
Adiponectin	P025	0.154471922717718	0.0841597272571846	0.206573875994908	
Adiponectin	P026	-0.129209042683374	0.14931219852042	0.293194862549187	
Adiponectin	P027	0.121970936589468	0.173652423958609	0.329025645395259	
Adiponectin	P028	-0.0411339199609311	0.647441720510679	0.812823588747049	
Adiponectin	P029	-0.137730990222862	0.124058931455309	0.266389580645773	
Adiponectin	P030	-0.0113056037579486	0.900013468135741	0.952955436849608	
Adiponectin	P031	-0.0743518175506161	0.407995979835811	0.587514210963567	
Adiponectin	P032	-0.0924275851933326	0.303309365624506	0.474745094020966	
Adiponectin	P033	-0.0122864826194103	0.891389600496535	0.952955436849608	
Adiponectin	P034	-0.0422377836337687	0.638639074676267	0.811447294882787	
Adiponectin	P035	-0.0115785700466123	0.897612338643038	0.952955436849608	
