"gene","cancer","value","type"
"LINC00898","LGG",0,"EA"
"LINC00941","LGG",0,"EA"
"RP11-539E17.5","LGG",0,"EA"
"LINC00668","LGG",0,"EA"
"RP11-608O21.1","LGG",0,"EA"
"LINC00884","LGG",0,"EA"
"BC005081","LGG",0,"EA"
"LINC00944","LGG",0,"EA"
"LINC00460","LGG",0,"EA"
"AK023033","LGG",0,"EA"
"CTD-3010D24.3","LGG",0,"EA"
"LOC102724297","LGG",0.0427184466019417,"EA"
"MINCR","LGG",0,"EA"
"RP11-3J1.1","LGG",0,"EA"
"RP11-278L15.2","LGG",0,"EA"
"SNHG12","LGG",0,"EA"
"RP11-96L14.7","LGG",0,"EA"
"AC098973.2","LGG",0,"EA"
"AF186192.1","LGG",0,"EA"
"RP11-259O2.1","LGG",0,"EA"
"CTB-41I6.2","LGG",0,"EA"
"ZNF667-AS1","LGG",0,"EA"
"LINC00461","LGG",0,"EA"
"SNHG18","LGG",0,"EA"
"DNM3OS","LGG",0,"EA"
"BC070363","LGG",0,"EA"
"MIR4666A","LUAD",0.264192139737991,"EA"
"LOC284930","LUAD",0.244060475161987,"EA"
"LINC00898","LUAD",0,"EA"
"LINC00941","LUAD",0.00655021834061135,"EA"
"RP11-539E17.5","LUAD",0.99455930359086,"EA"
"LINC00668","LUAD",0.172489082969432,"EA"
"RP11-608O21.1","LUAD",0.87600356824264,"EA"
"LINC00884","LUAD",0.00655021834061135,"EA"
"BC005081","LUAD",0.390829694323144,"EA"
"LINC00944","LUAD",0,"EA"
"LINC00460","LUAD",0.620481927710843,"EA"
"AK023033","LUAD",0.654834761321909,"EA"
"CTD-3010D24.3","LUAD",0.730211817168339,"EA"
"LOC102724297","LUAD",0.815006468305304,"EA"
"MINCR","LUAD",0.475873544093178,"EA"
"RP11-3J1.1","LUAD",0.821106821106821,"EA"
"RP11-278L15.2","LUAD",0.744541484716157,"EA"
"SNHG12","LUAD",0,"EA"
"RP11-96L14.7","LUAD",0,"EA"
"AC098973.2","LUAD",0.512987012987013,"EA"
"AF186192.1","LUAD",0,"EA"
"RP11-259O2.1","LUAD",0,"EA"
"CTB-41I6.2","LUAD",0,"EA"
"ZNF667-AS1","LUAD",0,"EA"
"LINC00461","LUAD",0,"EA"
"SNHG18","LUAD",0,"EA"
"DNM3OS","LUAD",0,"EA"
"BC070363","LUAD",0,"EA"
"MIR4666A","KICH",0,"EA"
"LOC284930","KICH",0,"EA"
"LINC00898","KICH",0,"EA"
"LINC00941","KICH",0,"EA"
"RP11-539E17.5","KICH",0,"EA"
"LINC00668","KICH",0,"EA"
"RP11-608O21.1","KICH",0,"EA"
"LINC00884","KICH",0,"EA"
"BC005081","KICH",0,"EA"
"LINC00944","KICH",0.549450549450549,"EA"
"LINC00460","KICH",0,"EA"
"AK023033","KICH",0,"EA"
"CTD-3010D24.3","KICH",0,"EA"
"LOC102724297","KICH",0,"EA"
"MINCR","KICH",0,"EA"
"RP11-3J1.1","KICH",0,"EA"
"RP11-278L15.2","KICH",0,"EA"
"SNHG12","KICH",0,"EA"
"RP11-96L14.7","KICH",0,"EA"
"AC098973.2","KICH",0,"EA"
"AF186192.1","KICH",0,"EA"
"RP11-259O2.1","KICH",0,"EA"
"CTB-41I6.2","KICH",0,"EA"
"ZNF667-AS1","KICH",0,"EA"
"LINC00461","KICH",0,"EA"
"SNHG18","KICH",0,"EA"
