"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"23",1,1,0.841772151898734,0.844517184942717,0.821766561514196,0.834983498349835,1,1,1,0.932258064516129,0.833333333333333,0.827140549273021,0.847933884297521,0.839669421487603,0.8464,0.830618892508143,0.836734693877551,0.844517184942717,0.192546583850932,0.998417721518987,1,1,1,0.12755905511811,0.825878594249201,1,0.830645161290323,0.17384370015949,0.552215189873418,0.194928684627575,0.473429951690821,0.202922077922078,0.895238095238095,0.352941176470588,0.40282131661442,0.304140127388535,0.421824104234528,0.817460317460317,0.996932515337423,0.809220985691574,0.816326530612245,0.187296416938111,0.307936507936508,0.82484076433121,0.968304278922345,0.816425120772947,0.407232704402516,0.853312302839117,0.1703125,0.304347826086957,0.998397435897436,0.980487804878049,1,1,0.970394736842105,0.823624595469256,0.413008130081301,0.121875,0.347417840375587,0.826224328593997
"24",0.115740740740741,0.118858954041204,0.0858895705521472,0.0860719874804382,0.0875576036866359,0.0803858520900322,0.119309262166405,0.107890499194847,0.102719033232628,0.0981308411214953,0.0802469135802469,0.0796875,0.0660225442834139,0.0848,0.0755287009063444,0.0847723704866562,0.0743550834597876,0.0733652312599681,0.777777777777778,0.0892586989409985,0.0890302066772655,0.123809523809524,0.12755905511811,1,0.0818897637795276,0.125193199381762,0.0795631825273011,0.927580893682589,0.390432098765432,0.902439024390244,0.477917981072555,0.899053627760252,0.190031152647975,0.709230769230769,0.580152671755725,0.778294573643411,0.556426332288401,0.0858034321372855,0.102831594634873,0.0812883435582822,0.0850077279752705,0.905572755417957,0.769585253456221,0.0781010719754977,0.155354449472097,0.0850393700787402,0.643835616438356,0.0776255707762557,0.973926380368098,0.642301710730949,0.111963190184049,0.12241653418124,0.12125748502994,0.107197549770291,0.156589147286822,0.0770440251572327,0.559875583203733,0.942901234567901,0.706240487062405,0.0786686838124055
"25",0.836734693877551,0.829383886255924,1,0.995245641838352,0.998422712933754,0.998363338788871,0.839622641509434,0.846029173419773,0.844961240310077,0.903426791277259,0.998415213946117,1,0.998366013071895,1,1,1,1,1,0.312024353120244,0.876352395672334,0.875,0.819488817891374,0.825878594249201,0.0818897637795276,1,0.821150855365474,0.998407643312102,0.00471698113207547,0.692913385826772,0.013953488372093,0.609324758842444,0.0175718849840256,0.782334384858044,0.27639751552795,0.489164086687306,0.185534591194969,0.537854889589905,0.996845425867508,0.852187028657617,0.993817619783617,0.993855606758833,0.00631911532385466,0.237717908082409,0.998425196850394,0.786392405063291,0.998407643312102,0.379471228615863,0.996879875195008,0.00460829493087558,0.457547169811321,0.841692789968652,0.824476650563607,0.832826747720365,0.849529780564263,0.768,0.998425196850394,0.521531100478469,0.0062015503875969,0.320987654320988,0.998456790123457
"26",1,1,0.831029185867896,0.830218068535826,0.808346213292117,0.830188679245283,1,1,1,0.924409448818898,0.8234375,0.820710973724884,0.835987261146497,0.825878594249201,0.841463414634146,0.820919175911252,0.829007633587786,0.834130781499203,0.206060606060606,0.998498498498498,1,1,1,0.125193199381762,0.821150855365474,1,0.829153605015674,0.178461538461538,0.571865443425077,0.199692780337942,0.496012759170654,0.206842923794712,0.886645962732919,0.358231707317073,0.422600619195046,0.3328173374613,0.427444794952681,0.803767660910518,0.997037037037037,0.800911854103343,0.807098765432099,0.193498452012384,0.331768388106416,0.811023622047244,0.96583850931677,0.808641975308642,0.409509202453988,0.845801526717557,0.176024279210926,0.291858678955453,0.996927803379416,0.976489028213166,1,1,0.970542635658915,0.81974921630094,0.418351477449456,0.128834355828221,0.370650529500756,0.814589665653495
"27",0.837539432176656,0.833065810593901,0.998432601880878,0.996825396825397,1,1,0.85062893081761,0.845024469820555,0.84748427672956,0.911532385466035,1,1,1,1,1,1,0.998459167950693,1,0.2782874617737,0.880434782608696,0.879032258064516,0.82484076433121,0.830645161290323,0.0795631825273011,0.998407643312102,0.829153605015674,1,0.0015748031496063,0.681458003169572,0.0124223602484472,0.599348534201954,0.0159744408945687,0.789308176100629,0.273865414710485,0.47581903276131,0.178683385579937,0.530805687203792,1,0.862891207153502,0.996845425867508,0.995341614906832,0.0046875,0.221153846153846,0.998442367601246,0.801872074882995,1,0.36547433903577,0.998447204968944,0.0031055900621118,0.432216905901116,0.839874411302983,0.832,0.842662632375189,0.856692913385827,0.781299524564184,1,0.513428120063191,0.0031201248049922,0.307219662058372,1
"28",0.15962441314554,0.168557536466775,0.00460829493087558,0.00625,0,0.00161290322580645,0.158227848101266,0.155228758169935,0.15968992248062,0.081377151799687,0,0.00313479623824451,0.00327868852459016,0.00322061191626409,0.00306278713629403,0.00160513643659711,0.00467289719626168,0.00158982511923688,0.72239263803681,0.122670807453416,0.128,0.179487179487179,0.17384370015949,0.927580893682589,0.00471698113207547,0.178461538461538,0.0015748031496063,1,0.30503144654088,1,0.390127388535032,0.998425196850394,0.209375,0.756880733944954,0.511627906976744,0.832307692307692,0.44391785150079,0.00159235668789809,0.148648648648649,0.00154559505409583,0.0046656298600311,1,0.774803149606299,0.0015552099533437,0.2125,0.0032520325203252,0.659476117103236,0.00470219435736677,0.998456790123457,0.5600624024961,0.160377358490566,0.173633440514469,0.17351598173516,0.154559505409583,0.229430379746835,0,0.467408585055644,1,0.694573643410853,0
"29",0.578294573643411,0.5625,0.716923076923077,0.690140845070423,0.671850699844479,0.694668820678514,0.575471698113208,0.578861788617886,0.572755417956656,0.630841121495327,0.712962962962963,0.699367088607595,0.710610932475884,0.720447284345048,0.690548780487805,0.709470304975923,0.711450381679389,0.692307692307692,0.63719512195122,0.591185410334346,0.600644122383253,0.553968253968254,0.552215189873418,0.390432098765432,0.692913385826772,0.571865443425077,0.681458003169572,0.30503144654088,1,0.305084745762712,1,0.275157232704403,0.616459627329193,0.464396284829721,0.927914110429448,0.56832298136646,0.874603174603175,0.678571428571429,0.569940476190476,0.714728682170543,0.727692307692308,0.2890625,0.656298600311042,0.70015455950541,0.595015576323987,0.71563981042654,0.544615384615385,0.708978328173375,0.289676425269646,0.721003134796238,0.601574803149606,0.594896331738437,0.580937972768533,0.574102964118565,0.586854460093897,0.69811320754717,0.871632329635499,0.32093023255814,0.75808936825886,0.681957186544342
"30",0.181114551083591,0.191222570532915,0.0169753086419753,0.0141732283464567,0.0122887864823349,0.0112540192926045,0.179566563467492,0.177033492822967,0.178899082568807,0.105426356589147,0.0124223602484472,0.0139751552795031,0.0127591706539075,0.0125984251968504,0.013677811550152,0.0113085621970921,0.0166414523449319,0.014308426073132,0.696646341463415,0.145616641901932,0.143769968051118,0.200310559006211,0.194928684627575,0.902439024390244,0.013953488372093,0.199692780337942,0.0124223602484472,1,0.305084745762712,1,0.390749601275917,1,0.225656877897991,0.723765432098765,0.511380880121396,0.823529411764706,0.447574334898279,0.0110410094637224,0.167159763313609,0.0124416796267496,0.0151975683890578,1,0.75077399380805,0.0153609831029186,0.226708074534162,0.0141955835962145,0.624242424242424,0.0154320987654321,0.993836671802773,0.538699690402477,0.174382716049383,0.189873417721519,0.192771084337349,0.165366614664587,0.241860465116279,0.0123839009287926,0.452978056426332,0.990783410138249,0.684766214177979,0.0120481927710843
"31",0.488673139158576,0.484652665589661,0.63884430176565,0.617363344051447,0.594594594594595,0.618887015177066,0.486223662884927,0.502446982055465,0.493589743589744,0.546042003231018,0.6336,0.616613418530351,0.615384615384615,0.63562091503268,0.607535321821036,0.627090301003345,0.616954474097331,0.606851549755302,0.729770992366412,0.496845425867508,0.51063829787234,0.477198697068404,0.473429951690821,0.477917981072555,0.609324758842444,0.496012759170654,0.599348534201954,0.390127388535032,1,0.390749601275917,1,0.354679802955665,0.552504038772213,0.528662420382166,0.973561430793157,0.63968253968254,0.915721231766613,0.598373983739837,0.47900466562986,0.626198083067093,0.638364779874214,0.366883116883117,0.710823909531502,0.614516129032258,0.517460317460318,0.641479099678457,0.6,0.623028391167192,0.37914691943128,0.79073482428115,0.504823151125402,0.522435897435897,0.496941896024465,0.485623003194888,0.513029315960912,0.61637239165329,0.905383360522023,0.412420382165605,0.827044025157233,0.586477987421384
"32",0.18341307814992,0.200317965023847,0.0189873417721519,0.0176848874598071,0.0141065830721003,0.0146103896103896,0.186413902053712,0.183028286189684,0.186813186813187,0.114285714285714,0.0143312101910828,0.0173775671406003,0.016260162601626,0.0163398692810458,0.0170278637770898,0.0147299509001637,0.0186625194401244,0.0161290322580645,0.671802773497689,0.146604938271605,0.157723577235772,0.209415584415584,0.202922077922078,0.899053627760252,0.0175718849840256,0.206842923794712,0.0159744408945687,0.998425196850394,0.275157232704403,1,0.354679802955665,1,0.232227488151659,0.735433070866142,0.462616822429907,0.784345047923323,0.4128,0.0127388535031847,0.173312883435583,0.0140625,0.0186915887850467,1,0.724522292993631,0.0158730158730159,0.237421383647799,0.0177993527508091,0.634493670886076,0.0186625194401244,0.993730407523511,0.507911392405063,0.180952380952381,0.205211726384365,0.193548387096774,0.178060413354531,0.255961844197138,0.0141955835962145,0.4288,0.989096573208723,0.639751552795031,0.0139103554868624
