id,GSH1,GSH2,GSH3,GSH4,GSH5,GSL6,GSL7,GSL8,GSL9,GSL10
K18541,5.25E-05,1.93E-05,3.44E-05,2.97E-06,6.03E-06,1.34E-05,1.99E-05,2.08E-05,1.40E-05,2.07E-05
K18562,6.51E-08,0,6.05E-07,2.29E-07,1.40E-06,0,0,0,0,0
K18612,3.41E-07,7.26E-07,7.92E-08,1.50E-07,0,4.69E-07,2.19E-07,1.39E-06,1.67E-07,6.05E-07
K18660,0,2.89E-07,9.52E-07,8.20E-07,0,3.42E-07,0,0,1.83E-07,0
K18661,0.000201893,0.000107855,9.94E-05,3.83E-05,6.64E-05,5.21E-05,3.35E-05,2.52E-05,4.61E-05,8.11E-05
K18662,4.42E-06,2.81E-06,1.68E-06,3.19E-06,1.26E-06,0,5.58E-07,1.07E-07,0,2.06E-07
K18676,1.30E-05,3.73E-05,1.73E-05,3.63E-05,2.39E-05,5.32E-05,6.08E-05,4.53E-05,3.92E-05,5.69E-05
K18682,1.23E-05,1.15E-05,1.66E-05,3.26E-05,9.71E-06,2.89E-05,2.64E-05,7.09E-05,0.000101069,4.51E-05
K18687,1.39E-05,1.97E-05,3.85E-05,2.06E-05,1.54E-05,2.30E-05,3.91E-05,5.61E-05,4.42E-05,2.17E-05
K18697,3.59E-05,1.70E-05,2.72E-05,3.13E-05,2.61E-05,4.95E-05,4.31E-05,8.58E-05,2.71E-05,2.24E-05
K18698,1.20E-07,3.72E-07,8.36E-07,1.80E-06,2.09E-07,5.50E-07,3.08E-07,3.37E-06,5.90E-07,1.36E-06
K18775,4.75E-06,4.42E-06,3.99E-06,2.21E-05,2.18E-06,3.34E-05,1.23E-05,8.67E-06,1.58E-05,2.13E-05
K18782,0,1.89E-06,0,4.15E-07,5.46E-08,0,0,0,0,0
K18800,7.05E-07,3.15E-05,2.47E-05,3.19E-05,1.34E-05,4.72E-05,7.02E-06,5.46E-05,3.91E-05,4.61E-05
K18851,1.93E-07,3.24E-06,9.22E-07,1.49E-06,7.99E-08,4.74E-07,9.99E-08,5.60E-07,1.01E-06,4.68E-06
K18889,9.54E-06,0.000133823,1.45E-05,2.62E-05,9.66E-06,3.48E-05,1.91E-05,3.20E-05,5.66E-05,2.91E-05
K18890,1.02E-05,5.04E-05,1.77E-05,2.27E-05,7.32E-06,3.48E-05,1.76E-05,2.85E-05,5.11E-05,4.02E-05
K18893,0.000318609,0.000205294,0.00036967,0.00024355,0.000390789,0.000293831,0.000251628,0.000207958,0.000183932,0.000239083
K18896,0,1.02E-06,0,0,0,1.34E-07,0,0,1.43E-07,0
K18911,7.60E-06,6.13E-06,3.78E-06,7.32E-06,1.46E-06,8.03E-06,8.10E-06,2.72E-05,1.40E-05,1.11E-05
K18912,5.14E-06,9.36E-06,4.34E-06,4.86E-06,1.70E-06,6.19E-06,2.13E-06,7.32E-06,7.57E-06,4.81E-06
K18981,0.000134551,0.000188659,0.000155055,7.05E-05,0.000119891,7.44E-05,7.37E-05,5.66E-05,6.67E-05,0.000122529
K18982,2.67E-05,1.27E-05,2.59E-05,5.44E-06,2.31E-05,2.43E-06,9.97E-06,6.77E-06,1.69E-06,2.74E-06
K18983,2.66E-05,2.54E-05,4.00E-05,1.02E-05,5.34E-05,1.28E-05,1.39E-05,1.08E-05,6.76E-06,1.16E-05
K19002,0,3.17E-08,0,1.44E-07,0,0,0,0,3.69E-06,1.74E-07
K19003,0,2.54E-07,1.22E-07,1.16E-07,0,3.61E-07,0,0,4.00E-06,8.39E-07
K19005,0,0,1.75E-07,8.32E-07,1.97E-07,0,4.24E-06,1.03E-05,7.42E-07,1.34E-07
K19065,0,0,3.13E-06,8.58E-08,0,1.57E-07,6.25E-08,0,0,0
K19113,0,1.65E-06,2.37E-05,6.26E-06,6.67E-06,2.54E-06,5.75E-07,0,6.89E-06,1.16E-05
K19180,5.82E-07,3.55E-07,1.44E-06,3.51E-06,7.78E-06,1.14E-05,8.02E-06,2.25E-06,2.20E-05,1.33E-05
K19189,6.21E-08,2.00E-06,0,0,0,3.02E-07,0,0,7.85E-07,2.93E-06
K19190,2.31E-06,1.43E-06,1.04E-06,5.04E-06,0,7.30E-06,1.34E-06,1.36E-05,6.35E-06,4.36E-06
K19191,6.08E-06,1.44E-05,1.20E-05,2.38E-05,2.66E-06,3.38E-05,4.15E-05,7.71E-05,5.99E-05,4.78E-05
K19200,2.01E-05,1.79E-05,2.08E-05,1.37E-05,1.39E-05,3.72E-06,4.02E-06,9.13E-06,4.47E-06,9.85E-06
K19203,0,0,9.92E-07,0,0,0,0,0,0,0
K19207,6.92E-08,5.36E-08,1.03E-06,0,0,0,0,0,0,0
K19221,0.000155831,0.000170558,0.000163619,0.000144807,0.000164143,0.000129317,9.23E-05,7.82E-05,9.12E-05,0.000120414
K19222,5.08E-07,1.87E-06,8.79E-07,2.23E-06,2.45E-06,2.33E-07,3.17E-06,5.78E-06,1.18E-05,3.18E-06
K19226,1.25E-07,3.15E-07,5.92E-07,5.50E-07,1.04E-06,9.40E-07,1.85E-07,0,1.18E-06,1.27E-06
K19228,3.52E-07,1.09E-07,6.54E-07,7.44E-07,8.81E-07,2.58E-07,0,0,5.53E-07,0
K19229,0,7.23E-08,1.73E-07,0,0,3.42E-07,1.20E-07,0,1.83E-07,2.12E-06
K19230,0,1.52E-07,9.13E-08,0,0,3.61E-07,2.52E-07,0,0,1.26E-06
K19243,5.26E-07,2.04E-07,4.07E-07,6.18E-07,0,0,0,0,0,0
K19244,2.18E-07,0,0,3.55E-07,0,3.46E-07,0,8.71E-06,5.11E-07,1.69E-05
K19246,7.89E-06,1.74E-05,8.66E-05,1.30E-05,1.49E-05,5.93E-06,1.59E-05,1.06E-06,6.75E-07,2.08E-06
K19267,4.61E-05,9.25E-05,5.48E-05,6.34E-05,0.000112765,6.04E-05,4.53E-05,2.59E-05,5.58E-05,5.30E-05
K19268,7.68E-06,5.11E-06,1.96E-06,5.05E-06,1.83E-06,5.06E-06,1.16E-07,2.68E-07,5.93E-07,0
K19286,8.35E-08,6.46E-08,0,4.41E-07,1.16E-07,3.06E-07,4.29E-07,1.48E-06,4.92E-07,3.55E-07
K19290,1.25E-06,1.28E-05,3.71E-05,2.59E-05,6.89E-06,5.06E-05,2.69E-06,2.94E-07,1.90E-05,2.49E-05
K19291,2.07E-07,4.89E-06,2.37E-05,1.68E-05,1.11E-05,2.59E-05,2.07E-06,2.66E-07,2.05E-05,2.04E-05
K19302,0.00015241,0.000153717,0.000174227,0.000282232,0.00017202,0.000365996,0.000227156,0.000285858,0.000307795,0.000284893
K19312,0,0,0,0,0,0,0,2.09E-06,2.22E-06,0
K19340,2.40E-06,1.51E-05,2.33E-05,2.01E-05,1.39E-05,2.00E-05,2.25E-05,3.12E-05,2.52E-05,1.19E-05
K19341,3.18E-06,1.84E-05,2.91E-05,2.33E-05,8.89E-06,1.96E-05,3.79E-05,3.05E-05,4.26E-05,1.26E-05
