id,GS1,GS2,GS3,GS4,GS5,GS6,GS7,GS8,GS9,GS10,GSH_mean,GSL_mean,Mean_abundance,log2fc,Pvalue,FDR
K00845,0.000284328,0.000266911,0.000291162,0.000305947,0.000305013,0.00035484,0.000355423,0.000532226,0.000355055,0.000302206,0.0002906722,0.00037995,0.0003353111,0.386416479603221,0.0317460317460317,0.135276304290389
K00928,0.000292896,0.000314046,0.000297808,0.000306614,0.000356051,0.000380166,0.000358818,0.000395051,0.000425042,0.000349739,0.000313483,0.0003817632,0.0003476231,0.284290832457139,0.0158730158730159,0.0994828565450034
K00937,0.000272183,0.000279981,0.000348492,0.000434987,0.000388785,0.000480309,0.000494967,0.000456066,0.000476524,0.000411751,0.0003448856,0.0004639234,0.0004044045,0.427768723393864,0.0158730158730159,0.0994828565450034
K00962,0.000406244,0.000425618,0.000436827,0.000509262,0.000406083,0.000590808,0.000547466,0.000531878,0.00061058,0.000590629,0.0004368068,0.0005742722,0.0005055395,0.394739408225589,0.00793650793650794,0.0907652866415753
K00981,0.000656067,0.000397003,0.000404099,0.000333468,0.00032595,0.000307802,0.000293704,0.000286102,0.000267605,0.000301692,0.0004233174,0.000291381,0.0003573492,-0.538832983226902,0.00793650793650794,0.0907652866415753
K01000,0.000308104,0.000305046,0.000290508,0.000291311,0.000265842,0.000357849,0.000351845,0.000303204,0.000406939,0.000335238,0.0002921622,0.000351015,0.0003215886,0.264763148785367,0.0317460317460317,0.135276304290389
K01007,0.000304415,0.000403355,0.000309904,0.000365202,0.000182298,0.000578425,0.000392887,0.00041831,0.000473754,0.000453692,0.0003130348,0.0004634136,0.0003882242,0.565977334102995,0.0158730158730159,0.0994828565450034
K01126,0.000395877,0.000430375,0.000477492,0.0003466,0.000345652,0.000242461,0.000314258,0.000320769,0.000258206,0.000345627,0.0003991992,0.0002962642,0.0003477317,-0.430224525181384,0.00793650793650794,0.0907652866415753
K01187,0.000448912,0.0004404,0.000447414,0.000595921,0.000466624,0.000644411,0.000687681,0.000677072,0.000619683,0.000644298,0.0004798542,0.000654629,0.0005672416,0.448081394398882,0.00793650793650794,0.0907652866415753
K01190,0.000265081,0.000334608,0.000217269,0.000352974,0.000134859,0.000672543,0.00033509,0.00038434,0.000599512,0.000562381,0.0002609582,0.0005107732,0.0003858657,0.968864093597681,0.0158730158730159,0.0994828565450034
K01206,0.000212965,0.00018801,0.000234799,0.000310783,0.000206024,0.000506609,0.000454249,0.000468583,0.000479282,0.000413723,0.0002305162,0.0004644892,0.0003475027,1.0107769098153,0.00793650793650794,0.0907652866415753
K01209,0.000143087,0.000271605,0.000199336,0.000288181,0.000203601,0.000479742,0.000438029,0.000422539,0.000351522,0.000408702,0.000221162,0.0004201068,0.0003206344,0.925652614633427,0.00793650793650794,0.0907652866415753
K01256,0.000511349,0.000593649,0.000592238,0.000497414,0.000560812,0.000644893,0.00067588,0.000857664,0.000656581,0.000640706,0.0005510924,0.0006951448,0.0006231186,0.335019293891647,0.00793650793650794,0.0907652866415753
K01338,0.000526637,0.000482534,0.000480192,0.000586019,0.000474998,0.000702057,0.000518394,0.000626099,0.000688949,0.000668808,0.000510076,0.0006408614,0.0005754687,0.329300155969009,0.0317460317460317,0.135276304290389
K01358,0.000360644,0.000323284,0.000268269,0.000362533,0.000312035,0.000382274,0.000416273,0.000391843,0.000333377,0.000419468,0.000325353,0.000388647,0.000357,0.25645452346478,0.0317460317460317,0.135276304290389
K01491,0.000280644,0.00027205,0.000310865,0.000264952,0.00034221,0.000354287,0.000313538,0.000389083,0.000362934,0.000312413,0.0002941442,0.000346451,0.0003202976,0.236127731301418,0.0317460317460317,0.135276304290389
