aging,cluster_short,gene,expression
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,OO,DDX4,3.82813019771385
Y,OO,DDX4,5.21495153037521
Y,OO,DDX4,4.3338721711065
Y,OO,DDX4,3.18937503914709
Y,OO,DDX4,5.15972409903131
Y,OO,DDX4,4.40682428247588
Y,OO,DDX4,4.48575704528028
Y,OO,DDX4,4.29828741184896
Y,OO,DDX4,5.40808406136872
Y,OO,DDX4,5.5466219521246
Y,OO,DDX4,5.01595248886311
Y,OO,DDX4,4.63927790532936
Y,OO,DDX4,4.6697280274355
Y,OO,DDX4,4.54085372547102
Y,OO,DDX4,5.00697076742571
Y,OO,DDX4,4.88245315883195
Y,OO,DDX4,4.89806318182481
Y,OO,DDX4,4.98709814310909
Y,OO,DDX4,4.58609132173526
Y,OO,DDX4,4.70191723892059
Y,OO,DDX4,5.07507160778898
Y,OO,DDX4,4.73117359746829
Y,OO,DDX4,5.05191079827831
Y,OO,DDX4,5.11851295088867
Y,OO,DDX4,4.7152210932922
Y,OO,DDX4,4.86682551215696
Y,OO,DDX4,4.85229610513134
Y,OO,DDX4,5.08050734739816
Y,OO,DDX4,4.86605950614898
Y,OO,DDX4,4.77272765999384
Y,OO,DDX4,3.98047138754643
Y,OO,DDX4,4.84320061725995
Y,OO,DDX4,4.70849292548738
Y,OO,DDX4,4.94772680486001
Y,OO,DDX4,4.64515646642112
Y,OO,DDX4,0
Y,OO,DDX4,4.27335337562389
Y,OO,DDX4,4.38704854880351
Y,OO,DDX4,3.86160544288817
Y,OO,DDX4,4.41498088002284
Y,OO,DDX4,5.37460674582079
Y,OO,DDX4,3.97619040933583
Y,OO,DDX4,4.62038921680634
Y,OO,DDX4,4.22610709733749
Y,OO,DDX4,4.05639274789338
Y,OO,DDX4,4.38385180007598
Y,OO,DDX4,4.04007458675332
Y,OO,DDX4,3.75653054308694
Y,OO,DDX4,3.94129875054802
Y,OO,DDX4,4.37895494201243
Y,OO,DDX4,3.85658335775179
Y,OO,DDX4,4.49403718692426
Y,OO,DDX4,4.85619920249242
Y,OO,DDX4,4.27106771221298
Y,OO,DDX4,3.91203397447343
Y,OO,DDX4,4.77605950746883
Y,OO,DDX4,4.22640265140713
Y,OO,DDX4,3.42512690860881
Y,OO,DDX4,5.99268408295793
Y,OO,DDX4,0
Y,OO,DDX4,4.18070674859572
Y,OO,DDX4,5.16211820480627
Y,OO,DDX4,4.66206187955854
Y,OO,DDX4,4.4310812648467
Y,OO,DDX4,4.97927895863817
Y,OO,DDX4,5.61363618864446
Y,OO,DDX4,4.85060191951856
Y,OO,DDX4,4.390395238708
Y,OO,DDX4,5.47255020636049
Y,OO,DDX4,4.02346702521323
Y,OO,DDX4,4.81512934097834
Y,OO,DDX4,4.58342038588518
Y,OO,DDX4,4.59918150233811
Y,OO,DDX4,4.72332008991944
Y,OO,DDX4,4.48310458796407
Y,OO,DDX4,4.68506124866338
Y,OO,DDX4,0
Y,OO,DDX4,4.20976046213911
Y,OO,DDX4,5.28117757135165
Y,OO,DDX4,4.44780469625222
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,EC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,EC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,GC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,GC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,1.87275016994768
O,SC,DDX4,0
O,SC,DDX4,0
O,EC,DDX4,1.78367315214733
O,GC,DDX4,0.787707386113537
O,SC,DDX4,0
O,GC,DDX4,0
O,GC,DDX4,0
O,SC,DDX4,2.85836972131531
O,GC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,1.94488033945589
O,SC,DDX4,2.02420365722453
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,GC,DDX4,1.20901801790045
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,1.66358220847126
O,SC,DDX4,0
O,GC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0.674782657725807
O,SC,DDX4,0
O,EC,DDX4,0
O,SC,DDX4,1.47577212344675
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,GC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,1.04698811215109
O,GC,DDX4,0.527020435425941
O,SC,DDX4,0.509728960703568
O,GC,DDX4,0
O,SC,DDX4,3.1740359785168
O,SC,DDX4,0
O,EC,DDX4,1.06659697703168
O,SC,DDX4,2.07512611093837
O,SC,DDX4,0.5034338294559
O,SMC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0.567805382788839
O,SMC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0.998897603240301
O,SC,DDX4,3.02508321057565
O,SC,DDX4,0
O,SC,DDX4,0
O,GC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0.329684018181596
O,SMC,DDX4,0
O,SC,DDX4,0.490498695200295
O,SC,DDX4,0
O,SC,DDX4,0
O,EC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,EC,DDX4,0
O,SC,DDX4,0
O,EC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,1.0492713745105
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,GC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,M,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,EC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,EC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,GC,DDX4,0
O,SC,DDX4,0
O,EC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,EC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0.238397529054153
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,EC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,EC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,EC,DDX4,0
O,GC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,GC,DDX4,0
O,GC,DDX4,0
O,SMC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,NKT,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,EC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,EC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,EC,DDX4,0
O,SC,DDX4,0
O,NKT,DDX4,0
O,NKT,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,EC,DDX4,0
O,SC,DDX4,0
O,SMC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
O,SC,DDX4,0
