	TCGA-3X-AAV9-01	TCGA-3X-AAVA-01	TCGA-3X-AAVB-01	TCGA-3X-AAVC-01	TCGA-3X-AAVE-01	TCGA-4G-AAZO-01	TCGA-4G-AAZT-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2I-01	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2R-01	TCGA-W5-AA2T-01	TCGA-W5-AA2U-01	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA31-01	TCGA-W5-AA33-01	TCGA-W5-AA34-01	TCGA-W5-AA36-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-W6-AA0S-01	TCGA-WD-A7RX-01	TCGA-YR-A95A-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y4-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-ZH-A8Y8-01	TCGA-ZU-A8S4-01	TCGA-W5-AA2I-11	TCGA-W5-AA2Q-11	TCGA-W5-AA2R-11	TCGA-W5-AA2U-11	TCGA-W5-AA2X-11	TCGA-W5-AA30-11	TCGA-W5-AA31-11	TCGA-W5-AA34-11	TCGA-ZU-A8S4-11
HSPB1	9320.09	13656.4	10338.2	16970.7	9013.56	4200.17	39338.9	14151.5	4572.41	46018.6	20653.4	3512.52	7802.94	9748.18	20482.5	7663.1	1849.22	11846.3	8529.33	6966.21	8422.88	16398.9	12584.7	26878.4	4363.21	16541.8	8664.49	8555.36	11821.4	13940.4	7691.26	14792.6	9834.68	1425.65	19628	13789.9	4471.7	7475.21	4028.44	4696.62	5182.69	5289.34	3591.65	2608.21	3965.25
LPCAT3	1019.6	969.697	1442.08	928.192	1174.74	547.251	1110.74	905.087	641.698	1206.73	987.083	910.904	1083.84	843.099	951.952	1147.49	804.694	1661.47	889.541	2892.53	739.915	1344.97	933.756	2044.46	2329.45	1077.38	1927.59	584.198	1034.95	771.341	1361.29	2155.52	1825.23	1567.13	705.35	651.627	2524.11	3194.21	3768.67	3545.63	2417.74	2685.57	2019.96	2241.35	2881.35
MT1G	38.65	177.816	221.223	493.255	157.562	9.4502	1800.39	1436.81	14.3571	525.841	1011.84	173.101	135.538	74.5763	6.7514	11.1924	196.454	238.307	22.9717	2012.77	1624.11	6.6735	6.9124	14.6556	138.533	12.7977	3524.77	6445.21	13.5922	33.1699	23.588	479.167	8.4697	8.2559	1637.86	153.06	40830.2	31869.1	29642.1	21753.8	35360	19496	40154.3	16782.8	108910
NCOA4	4151.33	5384.22	2536.04	5394.74	3943.17	4811.86	1889.11	4801.78	2187.89	2141.83	4675.46	7386.93	6589.57	2254.72	2566	5867.51	2737.08	5600.89	3261.97	4726.09	6706.22	2560.06	3716.01	4738.15	10973.2	4570.68	4019.87	4811.42	2749.03	3008.91	2551.7	4126.94	3742	5645.93	4084.77	2885.2	10008.4	7140.5	11350.6	9157.69	7766.03	7098.99	12863.9	14745	9576.97999999999
NFE2L2	2078.86	2787.74	3097.45	3222.24	2140.34	2099.42	1055.45	4354.83	1095.51	1554.49	1450.94	3685.39	2161.25	1531.49	2212.01	3208.21	2315.5	1941.4	2316.17	2334.47	3663.88	1380.9	1107.11	1796.29	1060.52	1859.96	2117.29	3141.28	3427.79	3525.99	2171.65	2192.92	2423.54	2552.45	2725.71	2117.41	2054.51	2647.38	2773.1	3556.8	4594.02	4530.13	3615.24	4677.33	3031.22
RPL8	29148.1	30662.7	27445.7	29279.7	30262.7	30861.7	81796.1000000001	27455.7	73254.6999999999	30906.9	67767.5	29252.9	26818.5	41292.5	34821.2	15921	78615.6	42103.3	26185.2	27927.8	19487.9	41904.5	57395.7	21967.8	14447	59211.8	38624.5	31209.3	22724.3	33352.6	29725.6	32325.1	43941.4	13223.4	36167.5	29637.8	16860.6	21994.5	15671	23643.9	16650.6	21782.4	12304	13098.1	14582.7
SAT1	9339.67999999999	5966.84	7596.94	5885.82	12140.5	3948.45	9958.99	4943.37	6167.92	4357.57	3156.62	4680.1	2564.59	3483.29	6295.94	2520.43	14722.3	2639.64	11388.6	7646.39	7193.64	7400.41	2338.13	3915.97	1493.6	6030.57	5855.97	3916.95	1830.1	3283.26	1870.27	2364.83	7010.67	25440.7	10711.5	10972.5	10932.9	10137.7	13966.3	14718.4	12910.3	12113.4	12294	9363.64	12394.2
SLC1A5	2606.42	639.794	3575.54	10302.8	2484.82	1219.07	744.949	5163.61	1116.1	2259.62	1002.69	2105.64	583.786	2398.55	3737.14	1942.69	6936.6	1880.62	1052.3	2962.14	2050.78	1730.49	317.972	1632.63	140.862	1087.81	1073.32	877.163	2383.5	2597.37	3003.01	2303.29	2684.26	122.713	1669.14	2188.71	133.124	581.267	304.337	377.337	394.231	484.32	198.73	120.676	433.342
SLC7A11	137.725	142.367	2303.15	47.4179	239.7	475.945	25.5203	1112.22	55.5556	125	340.151	18.6678	54.5854	19.3705	461.348	49.5666	2154.87	124.722	359.726	48.1348	64.0721	65.7084	58.1797	110.406	75.6694	195.758	30.3228	249.135	706.796	161.914	95.4003	354.651	16.9395	7.5054	69.5473	2436.5	2.0964	2.7548	0.9481	8.9311	3.2051	2.1816	2.7223	4.0225	23.8936
TFRC	3659.77	2173.81	2131.03	2445.02	3468.94	2628.01	601.549	4271.63	814.607	1281.85	1330.46	1792.96	1249.45	533.656	2196.47	4682.71	5417.02	2080.62	1711.63	2841.06	5301.38	1502.05	2701.61	2563.26	1827.71	4197.65	1139.2	1389.85	2724.27	3352.41	1688.38	2023.26	1071.1	756.544	2127.57	1561.01	582.809	289.256	1550.13	421.993	1083.33	475.593	705.989	902.655000000001	375.781
TTC35	744.148	1164.67	700.134	1053	960.867999999999	678.694	721.859	710.54	396.38	521.635	440.258	774.714	1722.22	1280.87	1362.89	705.124	530.17	1266.82	974.585	1221.88	796.393	779.774	620.968	754.763	533.178	1366.99	769.05	870.242	650.485	1141.27	1033.15	825.097	1854.55	1174.22	1720.16	714.446	675.052	581.267	546.101	813.843	680.556	729.752	533.575	720.032	783.057
