,TCGA-K4-A54R-11,TCGA-BL-A13J-11,TCGA-GD-A3OP-11,TCGA-CU-A0YN-11,TCGA-BT-A20R-11,TCGA-BT-A20Q-11,TCGA-K4-A3WV-11,TCGA-GD-A3OQ-11,TCGA-BT-A2LA-11,TCGA-BT-A2LB-11,TCGA-CU-A0YR-11,TCGA-BT-A20W-11,TCGA-GD-A2C5-11,TCGA-BT-A20U-11,TCGA-GC-A3WC-11,TCGA-BT-A20N-11,TCGA-GC-A3BM-11
ENSG00000130829,308,0,71,0,3,0,59,125,732,21,19,107,36,34,15,0,182
ENSG00000130830,387,1617,634,1330,2048,1075,543,900,375,573,1376,827,476,176,1363,972,465
ENSG00000130844,4339,1060,5427,788,3882,549,964,4111,2631,1689,2495,6115,2075,346,2153,1626,5600
ENSG00000130856,414,525,688,437,1087,264,559,1313,329,368,537,504,730,272,653,484,590
ENSG00000130876,7,12,0,2,26,26,0,4,1,0,5,8,5,2,2,26,1
ENSG00000130881,589,2009,873,2277,3272,1869,894,1921,1075,570,1910,1619,1230,527,1696,1447,1087
ENSG00000130921,423,437,1457,657,585,448,1287,1499,1018,630,686,809,1291,684,700,327,541
ENSG00000130935,2039,883,2619,863,1946,681,2077,2570,2736,2690,1355,2046,2995,1163,1309,838,1618
ENSG00000130939,1432,3939,3463,2741,4606,2796,3100,5772,3225,3511,2667,3387,3407,2277,3235,2378,2917
ENSG00000130940,1982,1304,3753,1597,2365,1341,2190,2821,1437,2955,1235,1069,1901,1205,1634,1133,2656
ENSG00000130943,12,10,39,47,34,20,16,61,7,24,20,15,46,17,21,7,18
ENSG00000130948,14,1,23,2,11,8,10,10,4,3,13,4,83,2,30,2,10
ENSG00000130950,0,0,1,0,0,0,7,1,14,0,1,0,2,0,3,0,8
ENSG00000130956,736,1750,697,1033,2248,1887,696,1293,1226,520,1834,744,879,223,1452,1403,1046
ENSG00000130957,79,3,19,1,6,2,67,74,32,12,20,15,28,3,52,0,36
ENSG00000130958,917,463,1972,389,753,405,1440,1538,1891,915,735,982,1466,483,931,319,1115
ENSG00000130962,496,330,772,328,1006,182,334,918,680,671,635,916,808,259,337,309,503
ENSG00000130985,13320,8714,22020,9148,17690,8003,13862,17367,18020,25417,12276,11782,22512,14203,11618,7086,10914
ENSG00000130988,81,542,163,459,1010,356,228,208,33,93,365,173,130,66,654,358,340
ENSG00000130997,47,38,105,44,76,37,80,135,29,21,35,23,34,7,92,19,24
ENSG00000131002,1589,517,1,375,1,386,1,3112,1119,0,692,574,0,1,1,369,1454
ENSG00000131007,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000131013,2140,642,1955,670,2077,479,1548,2103,1943,1458,1061,1220,1337,770,1121,813,1991
ENSG00000131015,58,2,159,1,32,3,43,25,13,241,9,76,22,284,15,4,45
ENSG00000131016,18279,8684,3255,11445,71094,7440,2597,9991,5038,9726,11634,8835,3242,844,6964,11862,9932
ENSG00000131018,4720,6677,2958,6550,15555,7152,4358,10964,2785,2227,7171,4725,5099,1085,6154,7502,8262
ENSG00000131019,58,0,47,3,11,5,56,86,12,58,6,66,26,54,16,5,25
