,TCGA-GD-A2C5-01,TCGA-CU-A0YN-01,TCGA-BT-A20R-01,TCGA-GC-A3BM-01,TCGA-BL-A13J-01,TCGA-BT-A2LB-01,TCGA-CU-A0YR-01,TCGA-BT-A20W-01,TCGA-GC-A3WC-01,TCGA-BT-A20Q-01,TCGA-GD-A3OP-01,TCGA-BT-A20U-01,TCGA-K4-A3WV-01,TCGA-BT-A2LA-01,TCGA-GD-A3OQ-01,TCGA-BT-A20N-01,TCGA-K4-A54R-01
ENSG00000004455,7424,8151,5894,7685,4140,8914,4225,4333,6050,5156,7206,4330,7640,9585,9189,5665,5142
ENSG00000004468,27,271,109,200,29,155,224,78,661,394,173,73,17,199,29,16,258
ENSG00000004478,8528,12638,9735,16938,6990,20936,19522,30944,13079,7572,24836,7017,12326,41933,10653,22195,9118
ENSG00000004487,12386,8714,7805,9642,6585,14949,14646,9847,4227,9381,8908,5529,4902,22349,12773,11969,14084
ENSG00000004534,4451,3221,2409,169,2046,6050,1292,2868,2673,3468,7666,2181,3896,9858,4634,2375,4401
ENSG00000004660,360,602,361,99,365,992,363,457,943,253,604,589,2553,655,466,418,352
ENSG00000004700,993,2401,1452,1488,911,1450,1407,798,1361,1237,1575,1135,1247,945,2135,2265,1334
ENSG00000004766,1850,1471,1111,1794,886,1122,650,958,1204,948,1755,683,1443,1247,1529,1016,732
ENSG00000004776,320,21,1393,57,595,572,34,219,2173,553,2189,81,111,166,38,44,87
ENSG00000004777,724,394,467,689,394,911,146,284,881,251,521,105,1483,8681,563,393,493
ENSG00000004779,2839,2256,3277,2743,2155,3399,1490,1770,2671,1934,2373,1706,2204,7141,3165,1960,1153
ENSG00000004799,1632,199,6980,558,1133,1528,166,1093,1452,1077,4813,76,25,824,148,276,1004
ENSG00000004809,8,2,7,2,3,5,3,5,6,2,4,2,22,2,3,6,3
ENSG00000004838,13,20,67,1,32,68,10,29,27,17,135,14,39,512,61,24,30
ENSG00000004846,4,6,167,0,7,6,5,0,34,3,25,2,0,4,0,0,10
ENSG00000004848,17,1,0,0,9,0,35,1,1,7,1,2,4,302,2,0,5
ENSG00000004864,2679,2362,2038,3081,742,2414,1148,1208,1925,1599,2131,1799,2854,4744,3563,1977,1013
ENSG00000004866,2123,1511,1270,2322,825,1350,1287,487,907,915,1771,861,1658,2351,875,1062,512
ENSG00000004897,2691,3712,3835,4599,3266,3069,2533,2006,3617,4978,4687,2867,4381,2847,4352,2866,2038
ENSG00000004939,1,48,1,6,2,31,0,23,5,1,3,1,4,23,10,0,2
ENSG00000004948,2,0,13,11,4,10,2,5,4,4,5,1,1,2,0,2,0
ENSG00000004961,756,888,1649,1435,655,1976,1454,910,1378,164,1549,958,1145,2058,2152,981,1760
ENSG00000004975,1713,3546,2801,1390,1232,2310,1302,1568,2046,1377,2339,1537,5706,9364,1720,1119,1653
ENSG00000005001,2390,7695,2740,747,808,3214,2175,1013,716,4385,2867,1713,4120,59,9265,354,1134
ENSG00000005007,11404,7157,6940,11484,6189,8691,8444,6680,7815,9891,11001,5831,6569,9014,11259,9029,7905
ENSG00000005020,2452,2111,3446,3533,2515,4493,1806,1824,1973,4551,6292,1360,1549,1350,3727,6885,2067
ENSG00000005022,16631,23018,12526,15704,8981,11392,15192,9417,20855,16030,14869,13963,15915,30321,33295,9651,13515
ENSG00000005059,631,1191,1645,293,694,651,336,409,707,285,1210,603,608,1253,2270,342,1488
ENSG00000005073,157,158,167,293,518,136,103,206,47,150,1454,301,222,1030,731,182,607
ENSG00000005075,3672,1635,1888,2263,1173,1992,1170,1428,1041,1676,2439,847,3604,4530,1240,1228,1677
ENSG00000005100,1559,2002,1471,1683,642,1064,1863,1683,2041,822,1402,1640,2302,3019,1325,1134,832
ENSG00000005102,294,153,92,40,5,95,40,161,197,48,426,14,15,69,32,8,14
ENSG00000005108,1503,69,458,115,48,180,151,496,182,155,398,68,28,1606,28,190,42
ENSG00000005156,5688,1430,1644,3200,1320,2925,2037,1656,1759,1893,3774,1620,4515,2903,2164,1085,1150
ENSG00000005175,1976,1357,1425,2570,859,2389,1376,1278,2059,1993,2465,1510,1940,2712,2480,2074,1117
ENSG00000005187,449,44,1740,247,102,2883,1057,835,93,108,1078,24,283,1004,138,6,267
ENSG00000005189,511,318,343,228,125,1003,191,399,253,108,285,83,292,3192,352,264,77
ENSG00000005194,5682,1994,3073,3921,1664,3457,1786,1829,2284,2741,2411,2043,2435,7004,3975,2003,1922
ENSG00000005206,4221,1337,2703,3136,1660,2503,1338,1691,2074,1649,5038,1138,5442,3023,2048,1711,2160
ENSG00000005238,1425,1632,1550,801,633,1464,538,512,704,931,1629,667,1346,909,5319,875,1274
ENSG00000005243,418,195,1283,168,597,731,157,150,429,408,628,211,888,213,194,238,729
ENSG00000005249,1069,254,823,398,58,262,246,198,744,184,1446,665,425,3002,465,40,63
ENSG00000005302,1070,1399,2120,1969,652,3043,775,1332,1502,1021,2098,899,2473,3350,2126,666,2180
ENSG00000005339,3528,4089,2885,8665,2289,3823,4521,3237,5843,5632,8489,3568,5598,10021,6893,3333,2399
ENSG00000005379,367,187,157,1572,181,273,64,812,404,255,1165,73,16,1411,70,122,784
ENSG00000005381,5,6,17,4,14,20,0,4,11,8,15,1,1,314,0,1,3
ENSG00000005421,0,0,3,15,0,0,0,0,3,0,4,0,166,20,0,0,1
ENSG00000005436,1194,653,1250,1429,561,1382,955,860,929,690,1694,442,1757,2063,847,1150,774
ENSG00000005448,1323,1927,1925,972,1277,1731,134,1093,314,709,1183,328,2024,4431,2950,581,1121
ENSG00000005469,16613,1164,1121,5788,1913,7939,1030,1438,1242,7824,12666,1051,1786,521,5158,1230,2118
ENSG00000005471,98,41,87,31,68,61,27,69,52,85,115,20,23,562,41,8,37
ENSG00000005483,4214,3161,3696,6636,4752,2993,2045,2801,3308,5477,7609,4008,4969,4083,5520,2007,2088
ENSG00000005486,4975,4296,4163,5880,2534,5097,2234,2397,4038,5807,6993,2624,13180,15236,6428,2761,4204
ENSG00000005513,27,9,33,22,1,24,34,87,55,9,27,4,3,30,16,2,6
ENSG00000005700,2814,2369,2346,3702,1288,2091,3925,1891,2443,3696,3412,2770,2218,2651,4505,2569,1517
ENSG00000005801,1738,1061,865,685,390,1336,619,1056,1227,1320,1724,821,1827,4976,1857,241,865
ENSG00000005810,3666,7743,3589,3361,1658,3950,2976,1753,13077,4988,7630,4405,3848,3331,4782,1863,4561
ENSG00000005812,2616,4595,2630,1523,1015,1747,2156,1185,2632,2447,4431,1552,1429,2859,2861,815,1534
ENSG00000005844,137,763,221,312,94,555,944,690,1995,797,912,143,25,77,163,36,777
ENSG00000005882,1348,1313,1377,1869,531,1239,312,1098,662,1423,2775,370,975,1163,671,380,1350
ENSG00000005884,7316,19652,3107,63668,5557,26899,3263,6748,6478,58445,24838,6289,4900,1099,49706,18417,3646
ENSG00000005889,1060,977,1392,1624,845,1719,1336,1129,2337,1203,2842,1944,1847,3091,1654,846,1210
ENSG00000005893,9614,12975,16639,8609,5379,4390,8570,3667,7094,6528,9417,4893,17967,6758,14789,4184,4818
ENSG00000005961,12,32,40,37,72,270,8,62,44,15,21,5,618,554,21,22,137
ENSG00000005981,0,0,13,59,0,0,0,1,1,1,3,0,2,86,1,0,0
ENSG00000006007,4871,6764,4764,4592,3978,5571,7023,3335,3698,4042,6097,3201,3205,11780,14837,4589,2325
ENSG00000006015,2467,464,1240,1359,751,1417,552,873,1536,1192,1653,614,1104,1187,1027,982,933
ENSG00000006016,287,354,272,83,69,126,18,46,87,24,210,75,56,1675,1342,190,51
ENSG00000006025,1549,330,541,1116,396,1185,264,573,911,1410,2197,1184,1691,732,1095,237,715
ENSG00000006042,1376,1269,6244,2903,353,3814,727,1751,252,990,7411,673,5833,6529,2202,269,1724
ENSG00000006047,11,7,201,7,28,22,0,48,41,7,3,17,286,2144,4,360,7
ENSG00000006059,8,14,14,6,45,23,109,54,11,38,77,4,32124,0,32,6,11
ENSG00000006062,694,795,762,987,328,687,273,564,906,640,1261,266,726,431,753,524,571
ENSG00000006071,0,0,3,1,0,2,0,17,18,1,6,0,124,216,0,0,0
ENSG00000006116,0,0,0,0,0,0,0,0,1,1,0,0,0,41,0,0,0
ENSG00000006118,1366,10087,6321,2365,949,2429,2018,2522,2757,4406,1865,6089,11338,16068,3988,1251,4756
ENSG00000006125,23312,7183,9128,8395,7162,16600,11985,8926,7871,12238,20573,9522,11923,13689,14999,3078,7084
ENSG00000006128,1,0,43,2,3,9,0,5,1,0,66,0,0,807,14,4,0
ENSG00000006194,1194,1040,936,2789,523,1507,1588,993,1845,1598,2416,1064,2368,3113,2007,753,886
ENSG00000006210,514,495,1147,903,228,1175,420,544,6548,691,1186,220,3845,467,9295,111,3699
ENSG00000006282,4317,1685,2456,3942,948,3944,2872,2181,2596,3766,6924,1883,6439,2375,5513,2352,1873
ENSG00000006283,19,156,96,25,3,12,45,7,13,36,20,14,17,163,11,6,4
ENSG00000006327,2227,3631,6345,3754,719,5249,5009,767,1054,4812,3605,1242,3331,595,8226,1813,1988
ENSG00000006377,81,7,309,261,127,31,140,101,246,117,124,93,662,637,14,166,0
ENSG00000006432,720,4254,686,911,376,333,267,293,396,362,721,811,771,1848,2501,1100,450
ENSG00000006451,3234,3895,4725,3415,2230,4456,3223,2292,2125,3530,3721,2411,3229,12662,5393,4159,2832
ENSG00000006453,2590,4557,2321,3805,2404,3507,1915,1551,2625,5208,5434,1718,8903,6196,9705,2793,3565
ENSG00000006459,1137,2575,3641,1621,1992,662,643,752,1718,871,1946,869,1406,1911,2473,373,399
ENSG00000006468,697,351,930,645,189,384,290,342,143,1080,604,216,58,815,243,203,277
ENSG00000006530,2153,1030,1373,2500,1558,1918,1346,980,2122,1238,1914,1109,2510,2672,2217,1047,1364
ENSG00000006534,3682,382,1063,1306,422,683,873,386,474,1473,4424,1024,88,578,1924,508,472
ENSG00000006555,1287,1343,989,2769,641,2491,1531,762,4343,1480,3572,2189,2013,386,3092,1015,247
ENSG00000006576,1730,1462,1616,1543,983,1664,1416,745,1800,1445,2015,806,3234,2830,930,2346,988
ENSG00000006606,4,16,36,0,14,28,2,2,56,5,9,8,3,5,3,4,15
ENSG00000006607,1670,1362,1504,2844,1407,4276,1318,1083,1036,826,3953,1924,2185,1267,3914,2421,1041
ENSG00000006611,0,3,5,19,6,4,6,9,17,2,2,6,411,1065,1,0,1
ENSG00000006625,4785,4838,6908,2460,2318,4372,3847,4211,2529,4262,3022,1745,3420,3707,4202,5739,4179
ENSG00000006634,1170,1040,553,918,642,599,490,517,723,334,491,666,1438,2693,1197,910,453
ENSG00000006638,133,87,120,55,19,96,98,122,77,65,104,43,23,183,75,25,81
ENSG00000006652,2292,1564,1303,1613,1254,1779,775,1310,2030,1203,1140,804,3944,1975,1421,1485,1558
ENSG00000006659,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006695,808,963,1117,703,610,752,1297,642,1434,551,1017,1363,1660,1290,1289,583,564
ENSG00000006704,3637,3455,2132,3853,2401,3774,3011,1991,1328,3561,5114,1193,4491,12276,4343,2303,2237
ENSG00000006712,5088,3375,10937,4909,1801,6782,3219,2440,3075,3797,6080,1796,3975,21734,5101,4620,3175
ENSG00000006715,3918,2004,3128,4262,2535,3569,2283,2216,2962,2827,4907,2115,5239,5311,3041,5574,2004
ENSG00000006740,126,203,241,65,59,122,275,257,93,300,263,410,1300,1153,163,25,335
ENSG00000006744,5795,3897,4320,3734,1638,4199,2534,3470,4687,1787,3985,4218,6955,5095,5345,2270,3450
ENSG00000006747,1348,140,3719,363,36,113,689,741,1357,281,9186,244,29,172,614,251,239
ENSG00000006756,3227,1199,7513,4748,1218,9963,1680,3290,2200,2637,11823,1611,3926,2423,4161,195,2346
ENSG00000006757,284,287,1450,1159,652,1467,529,297,754,540,1756,722,1559,1173,854,581,754
ENSG00000006788,3,2,8,3,5,24,2,2,4,14,19,3,7,87,1,9,13
ENSG00000006831,3325,6991,3511,3650,3071,4582,6094,4570,4801,3960,4275,3435,6947,6201,6077,7756,2475
ENSG00000006837,16,25,29,46,27,33,14,49,58,36,54,15,36,144,33,8,12
ENSG00000007001,2,0,2,0,3,1,0,0,11,3,3,3,7,3,0,0,0
ENSG00000007038,6,10,67,15,0,102,25,2,463,1,2,6,2339,537,6,6,3
ENSG00000007047,1943,2105,2001,2873,1864,3635,683,1764,1220,2638,2817,1085,2971,4812,2941,1935,1678
ENSG00000007062,1061,10,65,47,1,37,9,33,25,0,2581,5,44,800,147,1,1
ENSG00000007080,5335,2670,3032,3072,2390,2412,2141,2530,1947,2714,3021,1959,5004,9093,3919,2542,4047
ENSG00000007129,7,36,40,23,6,34,61,34,73,62,51,13,20,137,11,9,37
ENSG00000007168,5811,9867,7328,4436,3240,5293,7179,4451,6829,3915,7769,4867,6151,6533,8115,3445,4033
ENSG00000007171,27,21,29,91,30,151,46,42,31,74,30,18,8472,781,27,3,135
ENSG00000007174,3,5,18,2,1,2,1,9,203,4,9,7,95,0,6,1,0
ENSG00000007202,8315,9482,2650,11339,2939,7742,5064,4874,8378,6069,10999,11146,7801,12045,13534,5925,3478
ENSG00000007216,1,0,1,0,1,0,0,2,0,0,0,8,48,0,0,0,0
ENSG00000007237,777,1266,2649,213,658,1158,646,430,913,1598,1888,492,703,250,781,247,459
ENSG00000007255,2154,273,1328,1649,949,2826,529,1221,719,1008,3338,721,1393,851,763,843,1012
ENSG00000007264,44,94,401,26,25,106,224,408,101,70,112,49,40,1103,11,12,158
ENSG00000007306,3,9,137,1958,10,224,36,7,139,46,3,757,3558,0,1407,6,11
ENSG00000007312,87,185,94,47,23,184,86,225,516,143,268,35,10,61,30,20,77
ENSG00000007314,7,11,48,4,2,11,1,102,18,3,32,2,485,940,3,1,0
ENSG00000007341,742,1564,354,512,275,462,123,203,712,532,797,439,461,1680,505,244,258
ENSG00000007350,0,1,1821,1,1,1,2,3,89,1,6,0,0,31925,0,0,1
ENSG00000007372,147,117,63,90,75,37,79,100,63,76,153,45,4112,2184,1075,54,30
ENSG00000007376,1581,1175,764,1997,310,1857,1653,990,1318,1155,1493,698,1849,2770,1592,827,548
ENSG00000007384,1528,1425,905,3238,533,3275,1296,1033,1161,1787,2680,978,2701,465,3400,588,531
ENSG00000007392,2335,1358,1085,1866,490,2986,1505,1037,2082,1716,2900,1125,4074,2335,1881,969,1169
ENSG00000007402,99,32,158,5,90,127,76,109,59,37,143,80,1627,2646,36,52,41
ENSG00000007516,499,77,37,2068,533,202,499,518,66,646,2131,19,544,248,423,215,429
ENSG00000007520,1686,1677,1442,2615,906,4357,2340,1052,1842,1737,2804,1262,1961,2234,3410,1290,1347
ENSG00000007541,1916,1857,1611,2180,660,3675,1520,1593,1654,2250,3856,1171,3001,2440,4268,1592,1298
ENSG00000007545,804,925,322,1501,323,609,494,913,1198,501,1417,576,2477,1421,1348,724,400
ENSG00000007866,4467,2713,3491,4864,2375,4526,4568,3842,2121,3873,5669,1925,4100,1450,6779,1972,3613
ENSG00000007908,1088,202,211,299,26,772,536,1466,871,132,628,36,44,46,108,37,33
ENSG00000007923,1948,2113,1565,2582,896,2246,2265,1704,2213,1567,2689,1534,2178,2721,3043,2306,1027
ENSG00000007933,65,34,52,247,18,37,80,39,66,48,43,17,11498,29,26,16,28
ENSG00000007944,3963,295,1052,2773,1973,1339,2839,2045,2172,4645,3721,1006,1732,768,1812,1235,3676
ENSG00000007952,87,30,62,65,24,71,52,55,79,59,1022,47,79,189,124,17,54
ENSG00000007968,552,1470,952,492,300,267,378,375,518,80,165,567,249,2816,560,790,260
ENSG00000008018,8409,7431,7801,8765,3432,7973,6375,6473,8474,8041,6083,4854,8281,14792,10038,6853,3254
ENSG00000008056,49,25,92,142,47,112,19,39,22,38,53,20,177,2832,107,13,23
ENSG00000008083,2157,11669,2517,1847,1091,1058,694,2588,2615,1584,1922,1614,2232,2225,3977,3323,1789
ENSG00000008086,639,444,1835,1020,1051,1762,1935,1252,492,785,2320,351,911,799,1769,736,982
ENSG00000008118,38,58,24,8,3,25,65,29,28,13,13,4,14,124,7,9,18
ENSG00000008128,758,526,279,567,170,807,221,484,485,347,533,152,1176,441,396,440,337
ENSG00000008130,4913,3257,2483,4044,1077,2733,3698,3057,4775,2670,6871,2053,4431,4414,4444,2508,2793
ENSG00000008196,1,1,3,290,0,2,1,6,8,1,1,0,146,1067,2,0,4
ENSG00000008197,0,2,0,0,0,0,0,0,0,0,0,0,1,117,0,0,0
ENSG00000008226,45,80,44,164,33,72,15,140,30,17,147,6,5,65,48,94,3
ENSG00000008256,1113,2287,1924,2388,759,1163,675,1088,1018,1335,1638,942,959,3512,1111,1379,584
ENSG00000008277,161,122,415,145,113,397,16,186,162,256,544,301,22,2571,82,90,115
ENSG00000008282,15434,11320,14469,19910,10642,8623,5938,6222,10057,10253,18119,6428,5582,2820,24504,9504,8646
ENSG00000008283,10799,7219,6151,4243,4044,6967,4793,4581,2682,6390,14264,2772,5209,4281,11330,3435,6476
ENSG00000008294,4667,9571,6320,6880,4684,4114,6316,3591,3250,5642,7894,2162,4748,3886,6479,6159,3239
ENSG00000008300,2239,2107,172,1985,902,1679,236,422,118,1758,2823,715,231,5836,552,2103,1449
ENSG00000008311,436,167,132,822,43,393,62,139,983,320,747,352,1034,655,154,40,82
ENSG00000008323,1221,1268,2268,1356,916,5984,3979,2439,391,1192,7291,654,1822,1189,3726,3243,1942
ENSG00000008324,1783,670,1113,760,573,1744,1002,792,420,794,1144,508,739,2648,869,806,774
ENSG00000008382,1823,925,1616,1811,781,1639,800,739,690,1166,1448,660,973,1462,1341,818,1420
ENSG00000008394,19097,15307,15783,12983,8167,17041,12813,5109,6808,10160,27476,9295,423,1163,16067,36003,11674
ENSG00000008405,1527,1035,2486,1139,375,1004,970,763,223,886,1739,659,1326,2845,783,604,841
ENSG00000008438,6,2,1,4,1,23,0,5,5,1,5,1,4,5,2,0,2
ENSG00000008441,1741,1110,3136,3115,1537,1451,866,1437,2473,1968,3164,2047,1106,2349,1139,1135,1708
ENSG00000008513,604,3457,1481,7944,2919,1990,2185,5834,4352,6646,4646,1689,1514,771,8538,5492,738
ENSG00000008516,71,194,122,102,43,404,273,135,292,90,247,48,92,914,56,38,86
ENSG00000008517,808,2633,1277,365,299,3875,2345,874,1468,2609,752,1492,8772,388,1052,392,2426
ENSG00000008710,2217,2297,1311,3442,889,2764,1264,1490,3834,1624,4236,2000,5264,2478,2526,1551,1001
ENSG00000008735,165,561,126,611,79,2454,239,254,312,384,184,109,1335,11898,14,598,551
ENSG00000008838,3776,4218,4601,4099,2186,5173,2369,3840,3130,4665,6877,2582,7472,4411,5769,1430,4245
ENSG00000008853,1005,734,585,3011,265,10406,15311,3194,477,7515,4309,714,387,2115,2190,4438,489
ENSG00000008869,3637,1753,1914,2532,1887,2369,1804,1467,2242,1485,3974,1124,2705,1878,2660,1730,1075
ENSG00000008952,7338,6451,12717,5757,4861,8246,8646,5011,5894,5866,8181,3451,11040,8139,7990,8027,2929
ENSG00000008988,43701,39378,39291,43054,19275,55387,22036,32668,39004,32685,50458,21813,16618,99262,42324,35321,27300
ENSG00000009307,22823,97930,35677,33858,25618,27565,13670,20530,35607,36916,50552,24167,34516,52797,45244,31263,23880
ENSG00000009335,6403,7484,4183,7786,3262,5055,6077,4249,5243,2887,7926,5526,3945,3757,15128,5073,3709
ENSG00000009413,1654,1480,1913,1697,843,474,1422,700,1234,1437,2183,432,457,3157,1149,629,581
ENSG00000009694,17,190,4,144,8,3,3,49,166,2,3,8,494,1577,3,65,6
ENSG00000009709,80,0,0,119,4,0,1,109,0,1,1,566,433,68,10,0,2
ENSG00000009724,32,25,7,126,3,17,54,56,86,18,120,15,27,59,40,14,15
ENSG00000009765,15,0,91,117,0,63,317,34,69,79,181,124,754,2,84,1,0
ENSG00000009780,1004,775,1254,860,422,1029,329,488,688,681,1139,265,464,1552,975,674,500
ENSG00000009790,130,754,59,125,92,259,200,243,580,295,272,76,30,63,311,75,235
ENSG00000009830,1070,2533,695,1423,611,1147,417,563,1335,886,1189,955,1625,3526,1827,843,907
ENSG00000009844,3492,3386,2965,4029,2083,3169,2417,2475,3095,3260,2962,2178,3066,8335,4587,2853,2607
ENSG00000009950,8,4,116,240,20,3,17,388,30,14,11,36,1325,214,41,214,4
ENSG00000009954,7897,7556,6376,8947,5061,5292,6697,5069,6361,6261,9117,5194,7494,14892,10006,7204,4588
ENSG00000010017,5092,5953,13682,2871,1878,2371,2181,2661,2527,3109,3651,2440,4216,6843,4118,3565,2047
ENSG00000010030,690,234,187,835,141,540,332,244,1422,1132,859,283,217,277,749,66,1728
ENSG00000010072,1272,742,671,796,284,515,621,474,784,501,933,373,764,889,724,484,295
ENSG00000010165,3386,2218,2140,2282,1962,2790,1464,1343,2931,1488,3796,1447,1486,5373,3460,2457,1371
ENSG00000010219,301,263,957,767,623,1351,587,1054,428,874,826,442,1888,1852,901,607,509
ENSG00000010244,12117,9303,7416,11590,5343,8466,7229,7400,9765,9101,12182,5878,8081,10787,11488,4536,7283
ENSG00000010256,10017,10243,10372,11825,7994,16993,16434,6402,6456,12059,15206,11426,7252,15371,16633,8109,11088
ENSG00000010270,1588,1137,1852,1664,671,2313,989,901,778,1220,2052,820,2119,4705,2014,1960,786
ENSG00000010278,25841,21438,47824,28665,24617,38713,27546,18603,20753,17145,79326,23105,57845,3242,31572,59555,19370
ENSG00000010282,0,2,0,0,2,2,2,32,0,2,1,0,2,2,1,0,0
ENSG00000010292,6555,14293,3571,7810,4944,10448,7541,5356,8279,2811,4828,6710,6240,21941,11433,10921,5410
ENSG00000010295,308,303,476,141,154,445,244,214,618,356,603,133,103,101,110,70,353
ENSG00000010310,68,62,28,226,36,532,6,131,57,85,263,15,109,22,94,8,47
ENSG00000010318,355,142,136,322,214,142,127,175,230,200,461,165,84,859,181,181,132
ENSG00000010319,516,78,1187,333,63,506,181,669,639,359,1011,257,68,164,51,142,201
ENSG00000010322,4731,2539,3532,5904,2907,6372,1263,3963,3176,5143,11905,2630,4975,8020,4676,3446,4125
