	B2M	TAP1	TAP2	HLA-A	HLA-B	HLA-C	HLA-DPA1	HLA-DPB1	HLA-E	HLA-F	PD-1	CTLA-4	LAG3	TIGIT	TIM3	PD-L1	PD-L2	CD27	ICOS	IDO1	Act CD4	Act CD8	Tem CD4	Tem CD8	MDSC	Treg
COAD-DM-A1HA-01A-11R-A155-07	4.18387652972695	3.440552658728	2.47929189598514	4.87663834806295	4.91241160763242	5.13785850498273	1.75760735399735	1.81012238757829	4.61214877374337	3.51899618684635	-0.419893595377923	0.265308712098656	-0.648350343176364	0.170321528112314	-0.302506922318771	-0.550450354524765	0.361412759106789	0.106120776986341	-0.361412759106789	-0.933093872333962	0.90135604786446	1.17854444513895	0.717140388383803	0.598428012307162	-0.81714792113965	-0.372330639838282
COAD-A6-2679-01A-02R-1410-07	4.34879514670942	3.24596552271636	1.70233705397814	5.51448791965826	5.45817912456549	5.66059847344779	2.43649864367589	3.42686505737046	4.66813591316505	3.69126490542413	-0.753107108284779	0.245432400335167	-1.01361198594438	0.124314272757793	0.168609325054694	-0.0779623378608036	-0.336303370040889	1.61629594054141	0.551014146235299	-0.689200166978385	0.779705250528472	1.54736799815785	0.443284748898395	0.988052817082357	-1.56521999807346	-0.673642809552546
COAD-G4-6626-01A-11R-1774-07	3.70691331405147	3.09128486991295	1.91517284472955	4.12101621374186	4.69125002647349	4.62042956365767	2.12058770054474	2.20717720701605	3.82575301352997	2.54623873690876	0.011620728869094	0.0875046641838377	-0.131296462166499	0.169771088342979	-0.148231418381768	0.011620728869094	0.222300449105718	0.0270813164408123	-0.295392476499448	-0.588090181702021	1.33617382314241	1.2349052907353	0.730401179930315	0.610355410820656	-0.88178654960888	-0.603389197678971
COAD-D5-6541-01A-11R-1723-07	4.63663576488966	2.82136090509525	1.75496970121151	3.92236185435099	4.69717323023932	4.49030894569467	3.10092583592902	3.23736721503318	4.07110050090953	2.39327625336247	-0.328269595951994	-0.33964744293418	-0.82917381418012	-0.321680855742753	-1.62822326629536	-0.70526348804882	-0.945765234841278	1.25831528798757	0.131797124893259	-1.71411415423088	1.15411081083767	1.45500153012208	1.06871848169998	1.23388432652265	-1.83250841604379	-1.3054536361132
COAD-CA-6719-01A-11R-1839-07	4.18094958516247	2.91824787688286	1.71157281895139	4.22615603543091	4.79819176436005	4.40239398507065	2.50117256889061	2.70330385039116	4.15321232573696	2.16278070053273	-0.217802232248732	-0.422017482967594	-0.557238559111336	-0.230648092688473	-1.03372196442121	-0.30616543457723	-0.483184562030781	0.820250495016787	0.115876810395265	-0.927910318367668	1.20364061497346	1.3976937706658	1.03456707978888	0.973531168937288	-1.57311761338632	-1.2446143116098
COAD-CA-5256-01A-01R-1410-07	4.70841447037544	2.5818606492732	0.897213793864548	4.54877469671101	4.37324704801825	4.31638436149292	2.07807867142484	2.69371102344151	3.77049055388179	2.15431813979236	0.0208783871830242	0.133584453448647	-0.189251951288695	0.0750083050719408	-0.671571111448924	0.218576700933371	-0.125844702536877	0.440332419707974	0.0263902915411259	-1.03949124334978	1.34308721108231	1.59286084409376	0.803069882301019	0.662872512064095	-1.11637440011034	-0.772024167932586
COAD-DM-A1DB-01A-11R-A155-07	4.32259721899054	2.60157506592	1.38832999949919	4.18572877027317	4.24381184281968	3.96660982084028	1.72765702718973	2.00815536482489	3.65785411945859	2.26812941998765	-0.0752779387082821	-0.145868720299559	-0.457352940033195	-0.115649762569381	-0.161438383823281	0.116537861076489	0.312773023884704	0.868848344991124	-0.0631249129285374	-0.523986015874107	1.31521177816602	1.48511003198485	0.75397047434269	0.695485993241003	-0.921412728388973	-0.609284353323562
COAD-CA-6715-01A-21R-1839-07	3.98151755864712	2.44589357673764	1.38391755894012	3.97006337691533	4.05759703558684	3.89392857266111	0.687912645828891	1.52460744111155	3.57201659290548	1.82070285884644	0.442751162761039	0.442751162761039	0.463310147588941	0.479158889557969	0.038602389467856	0.22475905972386	0.297856258149707	0.0886600492414394	-0.500897693925182	0.442751162761039	1.18473204049012	0.991117746302488	0.858454414255332	0.403209422403381	-0.870384995683477	-0.625758126685992
COAD-AA-A01C-01A-01R-A00A-07	4.1158683950287	2.86422999968195	1.45205795016324	4.55366496348711	4.71136361665085	4.64201613340001	2.20594035119371	2.65157985649327	3.99373695423713	2.48949081868587	-0.155764919746386	0.128532578647314	-0.527779802125803	0.318099379212129	-0.672206355002611	-0.0192646043487676	-0.140416311401492	0.35673308308515	-0.0624728821925657	-1.60104462463759	1.11326900013497	1.24404632863489	0.790132700985257	0.789350350275868	-1.24145199166477	-0.860331095112618
COAD-AA-3848-01A-01R-0905-07	3.75962716847108	3.06421103872222	1.53653210053517	4.81559216704198	4.90868269691703	4.54838678496231	1.76054102225765	2.65560268368606	3.94122980306605	2.6898236877623	-0.322160615068244	-0.0325010169408001	-0.426160232386141	0.379516163105943	-0.358585198830231	0.138189439440887	0.332252375508138	1.05358340383481	-0.399360646277749	-0.0969730334644775	0.812502154255525	1.22899809139367	0.575996654320664	0.766500196973395	-1.25360310481088	-0.839634077782169
COAD-AA-3972-01A-01R-1022-07	4.27599042238003	2.85503691504188	1.64132128992847	4.43024176313413	4.5655846229664	4.23781774016642	1.76213164636418	1.86947291302395	3.72374471228573	2.34953195565459	0.284190060783839	0.313167059502117	0.113363600441082	0.393973275568743	-0.598822735769017	-0.161434615910124	0.036244046444011	0.0528650373533628	-0.135731619416152	-0.161434615910124	1.14655946530186	0.985751349796719	0.891990548367571	0.691187143528951	-1.20883629075432	-0.923525887745833
COAD-AA-3697-01A-01R-1723-07	4.21135160258328	3.11606160948954	1.70617370256668	4.34915837196719	4.68131083634327	4.74677604587643	2.28267181399147	2.35829587721142	4.01149673763473	2.76435430104443	-0.379071502444129	-0.581368805481405	-0.5100533472805	-0.0691422698101372	-0.690826636163946	-0.389327301887278	-0.221660596616937	1.04167245642071	0.241901279775889	-0.659537045924651	1.33692568154573	1.34738033990401	0.837897131979211	0.921924229547832	-1.37943246077539	-1.04465608850639
COAD-AA-3675-01A-02R-0905-07	4.30950146781184	2.82896186295763	1.30223360014026	4.56320480326591	4.57074749083988	4.39993717282991	2.11131944730894	2.06099142076801	3.61254207249596	2.08134008023477	-0.0724408416982306	-0.278377897369547	0.0950949840020944	0.349862464809349	-0.398781143075199	-0.134761351473879	0.0851840933281377	0.207094771144049	0.0980495539095959	-0.469726506093146	1.28906658578488	1.16966722050079	0.904905078998215	0.746317822024204	-1.35588867528749	-0.82122175616536
COAD-CA-5797-01A-01R-1653-07	4.38678836252967	3.01275212305541	1.69145337479647	4.33577909419744	4.74789107708291	4.30373541969353	2.06207609239509	2.53600297749108	4.0393169219374	2.64537888702744	-0.160373623776358	-0.322202986380875	-0.496942564710316	-0.102271394741157	-0.742399225174803	-0.120025332823703	-0.14368391842747	0.51163860225397	0.15208142141193	-1.71168537588178	1.17177114809351	1.31294738798648	0.927490342347868	0.825997176337829	-1.22842602954331	-0.97912879700149
COAD-AZ-4315-01A-01R-1410-07	4.2973199790935	3.1321243796817	1.32707814866766	4.05505969640946	4.01959646441894	3.94056310066748	2.535944239324	3.19234335548386	3.63843861725874	1.97859016242812	-0.239130629501875	-0.448962523811941	-0.784701456457789	0.201704751700374	-1.05834018452796	-0.294884082408549	-0.213811743040874	0.706114165588779	0.245320300026861	-1.52796914648346	1.3701888740953	1.36365609392406	0.778083492413235	0.86393311952338	-1.3533812900383	-0.889046270626116
COAD-D5-6531-01A-11R-1723-07	4.66694403175234	3.59837075141698	1.96043026022054	4.45593253229914	4.94336203380866	4.73339311106687	2.34225839336025	2.78425691917932	4.24225655330958	2.98368887710367	-0.655013368006809	-0.609280358877048	-1.28556818326224	-0.475201963015591	-1.29218400123878	-0.860544008681754	-0.646536808085694	1.00561125209758	0.516473962277417	-1.73535858081576	1.37675020459966	1.47401058979539	0.924701851080621	0.996964266005131	-1.6016441662961	-1.14562596124307
COAD-F4-6809-01A-11R-1839-07	4.01059604381794	2.63157703914584	1.65777189002219	4.41446186124689	4.71857351174572	4.11137739474687	2.16651106310493	2.73541441274698	4.0594256358753	2.49288352422404	-0.578013611492338	-0.405118393344468	-0.458003287578916	-0.337369136199106	-0.894774273371681	-0.096823683467233	-0.231349318409625	1.37907005431122	-0.0717764115778091	-0.86576392281699	1.30357891709863	1.49346957967687	1.06205724470797	1.07233817697416	-1.52406417376872	-1.0957072031595
COAD-AA-A02R-01A-01R-A00A-07	4.98655037016692	4.17417258553797	2.68216845718113	4.13635755596273	4.57489836197378	5.12031361043849	3.89782582328021	3.99914978717014	4.63949947672888	3.3528197043216	-1.4524748007821	-0.845504014773615	-1.86947550137495	-0.769107360595436	-1.83627969959679	-1.24898325374136	-0.857436538827028	1.16793694478457	0.338837507792605	-3.59329312147671	1.55701409360902	1.78743835800062	0.894969520709177	1.63188731504483	-2.01199006837425	-1.38232328513093
