"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
"ESCO2",0.994,5.22099900029691,0.988,8.76682163674895,0.99,0.022,"OO","ESCO2"
"ELAVL2",0.994,4.16928833258772,0.988,6.95171438595136,0.993,0.018,"OO","ELAVL2"
"CENPW",0.994,3.55006614243048,0.988,5.23364675477525,1,0.099,"OO","CENPW"
"ZAR1L",0.993,4.69059764170137,0.986,7.87761496942528,0.988,0.008,"OO","ZAR1L"
"WEE2",0.993,5.44446036313,0.986,10.7887843513501,0.988,0.008,"OO","WEE2"
"RSPO2",0.993,5.04485379720211,0.986,9.29150188956739,0.988,0.013,"OO","RSPO2"
"PCCA",0.993,3.75576336162026,0.986,5.49826137843439,1,0.174,"OO","PCCA"
"NEB",0.993,4.35175300453064,0.986,6.95712236533991,0.993,0.032,"OO","NEB"
"IGF2BP3",0.993,4.94527346905099,0.986,8.48976769842061,0.988,0.016,"OO","IGF2BP3"
"DPPA3",0.993,4.52447204819725,0.986,9.28129559279909,0.988,0.005,"OO","DPPA3"
"PRC1",0.992,4.15324635500767,0.984,6.35092644288737,0.995,0.076,"OO","PRC1"
"GAL",0.992,4.1525988661134,0.984,6.76465771033542,0.993,0.031,"OO","GAL"
"FIGLA",0.992,5.44911728810914,0.984,8.96632289387934,0.986,0.015,"OO","FIGLA"
"FBXW12",0.992,4.15921042257935,0.984,6.48458761211783,0.988,0.012,"OO","FBXW12"
"CLSPN",0.992,4.09471575545624,0.984,6.59891504155779,0.99,0.042,"OO","CLSPN"
"AVEN",0.992,4.2820704254722,0.984,6.98800503588134,0.988,0.012,"OO","AVEN"
"ENSMFAG00000028239-UBE2C",0.991,3.78485600853787,0.982,5.61770839683432,0.993,0.085,"OO","ENSMFAG00000028239-UBE2C"
"SH2D4A",0.991,3.96849121439207,0.982,5.78844245155884,0.998,0.15,"OO","SH2D4A"
"PNLDC1",0.991,4.11851829267575,0.982,6.47597556691233,0.99,0.043,"OO","PNLDC1"
"DPPA5",0.991,5.78503322436112,0.982,10.1898170450453,0.986,0.012,"OO","DPPA5"
"ENSMFAG00000029641",0.99,3.04517858372923,0.98,4.67523049013295,0.998,0.056,"OO","ENSMFAG00000029641"
"UCHL1",0.99,3.51764580047111,0.98,5.16559020213424,1,0.204,"OO","UCHL1"
"PTTG1",0.99,3.82953142712976,0.98,5.57441073951135,1,0.223,"OO","PTTG1"
"LHX8",0.99,4.38981272336715,0.98,10.0835400576315,0.981,0.006,"OO","LHX8"
"HENMT1",0.99,4.82293324783048,0.98,8.64357180835647,0.981,0.015,"OO","HENMT1"
"DDX4",0.99,4.2862948683,0.98,7.65483942192485,0.983,0.035,"OO","DDX4"
"TYMS",0.989,3.58848956330602,0.978,5.42441513066615,0.995,0.063,"OO","TYMS"
"TTK",0.989,3.94809074595326,0.978,6.92685291700013,0.981,0.019,"OO","TTK"
"THBS4",0.989,2.47998472299711,0.978,3.83200666209694,0.99,0.043,"OO","THBS4"
"PCOLCE2",0.989,3.04643667377622,0.978,4.81652473211565,0.986,0.046,"OO","PCOLCE2"
"NLRP11",0.989,4.73062831227309,0.978,8.39759325677844,0.981,0.008,"OO","NLRP11"
"FKBP6",0.989,4.89853426199585,0.978,8.51987375640889,0.981,0.019,"OO","FKBP6"
"EPSTI1",0.989,3.48899028063806,0.978,5.16296661495886,0.998,0.071,"OO","EPSTI1"
"ENOX1",0.989,3.64999837168331,0.978,5.66794640079015,0.99,0.032,"OO","ENOX1"
"CKAP2",0.989,3.46077330883152,0.978,5.47361322595186,0.995,0.04,"OO","CKAP2"
"BAIAP2L1",0.989,4.74346470435314,0.978,7.87061508123736,0.981,0.023,"OO","BAIAP2L1"
"ATG7",0.989,0.881813760024889,0.978,1.27795188183994,0.99,0.106,"OO","ATG7"
"AK5",0.989,4.80402458815477,0.978,8.37651097058873,0.981,0.014,"OO","AK5"
"TUBA1C",0.988,3.27957966503454,0.976,4.76869049495142,1,0.413,"OO","TUBA1C"
"TIAM1",0.988,4.33324783456509,0.976,6.92964961835326,0.983,0.031,"OO","TIAM1"
"SGO1",0.988,2.07630399909529,0.976,3.10094108391324,0.983,0.035,"OO","SGO1"
"RNF17",0.988,4.12980476754617,0.976,8.92003854850202,0.978,0.009,"OO","RNF17"
"PATL2",0.988,4.85906722853691,0.976,8.19082521167472,0.981,0.016,"OO","PATL2"
"NEFM",0.988,1.87354747087454,0.976,2.75689723815965,0.988,0.038,"OO","NEFM"
"MCTP1",0.988,3.87123252059827,0.976,5.87309752228888,0.986,0.034,"OO","MCTP1"
"H1FOO",0.988,5.2342745384841,0.976,9.04658206431877,0.978,0.01,"OO","H1FOO"
"CENPP",0.988,3.69654891960209,0.976,5.73710523882804,0.986,0.032,"OO","CENPP"
"CDK1",0.988,3.18886444649956,0.976,4.78014798146094,0.993,0.094,"OO","CDK1"
"CABYR",0.988,3.40203830570741,0.976,5.0172037150179,0.988,0.07,"OO","CABYR"
"ASF1A",0.988,3.72644157431723,0.976,5.42395909311441,1,0.234,"OO","ASF1A"
"TXNDC9",0.987,3.54881753090608,0.974,5.25065589013918,0.99,0.148,"OO","TXNDC9"
"SPDL1",0.987,0.873663870828056,0.974,1.27575564877774,0.995,0.1,"OO","SPDL1"
"SMARCA2",0.987,3.15433276773107,0.974,4.60509790595889,0.995,0.137,"OO","SMARCA2"
"PLS1",0.987,3.5536467854534,0.974,5.61760011383312,0.981,0.026,"OO","PLS1"
"NCAPG",0.987,4.00394067289227,0.974,6.91291936478514,0.981,0.02,"OO","NCAPG"
"MAEL",0.987,4.31419360564738,0.974,7.64826421887299,0.976,0.009,"OO","MAEL"
"HMGB3",0.987,2.87783453212698,0.974,4.22756892162133,0.998,0.197,"OO","HMGB3"
"F2",0.987,4.38314891496974,0.974,8.17299448229611,0.976,0.01,"OO","F2"
"CKS1B",0.987,3.36192227168277,0.974,4.87067425054436,1,0.46,"OO","CKS1B"
"CHAF1A",0.987,3.53905524658578,0.974,5.78843410927656,0.983,0.029,"OO","CHAF1A"
"TGM7",0.986,4.56785098757428,0.972,8.55424670371089,0.976,0.008,"OO","TGM7"
"DAZL",0.986,3.95212022983088,0.972,7.32909041922719,0.976,0.013,"OO","DAZL"
"CENPU",0.986,3.04879714197097,0.972,4.62329028553917,0.993,0.072,"OO","CENPU"
"CCNB2",0.986,3.97405409228246,0.972,6.25053489453767,0.978,0.029,"OO","CCNB2"
"ADAD1",0.986,4.64493385291381,0.972,10.2901002560761,0.974,0.009,"OO","ADAD1"
"TFF3",0.985,5.004066311292,0.97,9.24024432930365,0.971,0.018,"OO","TFF3"
"TACC3",0.985,3.83219683800746,0.97,6.37064688583833,0.976,0.025,"OO","TACC3"
"PPP1R3A",0.985,4.59548632466755,0.97,8.66533970713847,0.974,0.009,"OO","PPP1R3A"
"GLB1L3",0.985,4.25102637057683,0.97,7.78819049210471,0.974,0.017,"OO","GLB1L3"
"ATP6V1D",0.985,3.16172234501712,0.97,4.61230388823821,0.998,0.352,"OO","ATP6V1D"
"AKR1B1",0.985,2.71865168122496,0.97,3.93607085087127,1,0.477,"OO","AKR1B1"
"SMYD3",0.984,1.47821298604068,0.968,2.1465401993151,0.995,0.12,"OO","SMYD3"
"SLC25A31",0.984,3.99975582384399,0.968,8.65764200491498,0.971,0.006,"OO","SLC25A31"
"OXT",0.984,5.22473616364044,0.968,9.50882212832829,0.969,0.013,"OO","OXT"
"HSF2BP",0.984,3.66922843968784,0.968,7.08184010302534,0.974,0.012,"OO","HSF2BP"
"EMILIN2",0.984,4.02858916642312,0.968,6.16339147846573,0.981,0.074,"OO","EMILIN2"
"EIF4ENIF1",0.984,2.87100726293303,0.968,4.25620381106379,0.995,0.08,"OO","EIF4ENIF1"
"CBR4",0.984,3.39297815237739,0.968,5.22865168277433,0.99,0.069,"OO","CBR4"
"BPGM",0.984,2.8564443154335,0.968,4.25070045390995,0.995,0.139,"OO","BPGM"
"ASAP2",0.984,3.0152092305429,0.968,4.59281659109565,0.995,0.129,"OO","ASAP2"
"ENSMFAG00000043380",0.983,4.81347542061936,0.966,8.58664338969793,0.971,0.009,"OO","ENSMFAG00000043380"
"STK31",0.983,3.99774907368103,0.966,8.06533631427102,0.969,0.01,"OO","STK31"
"RPL39L",0.983,4.22118241590891,0.966,8.24492543783003,0.969,0.009,"OO","RPL39L"
"PROSER1",0.983,3.99897550287356,0.966,6.0135616380048,0.983,0.078,"OO","PROSER1"
"MTIF3",0.983,2.7839477044667,0.966,4.07186743983235,0.998,0.124,"OO","MTIF3"
"HHEX",0.983,3.40128856676277,0.966,5.15952878932233,0.983,0.042,"OO","HHEX"
"GLMN",0.983,2.61911265251722,0.966,3.86618486395108,0.998,0.117,"OO","GLMN"
"C9orf153",0.983,4.19875434405892,0.966,9.63171817097024,0.967,0.009,"OO","C9orf153"
"C21orf59",0.983,4.13129614839793,0.966,6.06091861640247,0.998,0.15,"OO","C21orf59"
"BRCA2",0.983,3.35004428015644,0.966,5.33886475677265,0.981,0.03,"OO","BRCA2"
"ENSMFAG00000043170",0.982,2.2173736728916,0.964,3.21727397928659,0.998,0.384,"OO","ENSMFAG00000043170"
"ENSMFAG00000031914",0.982,3.98037296024325,0.964,7.38726490572432,0.969,0.022,"OO","ENSMFAG00000031914"
"ZP1",0.982,3.98941220617574,0.964,7.03888593637618,0.971,0.013,"OO","ZP1"
"ZNF215",0.982,2.83224469233311,0.964,4.38035670228703,0.976,0.028,"OO","ZNF215"
"XYLT1",0.982,4.26913680512689,0.964,8.81964821575441,0.967,0.008,"OO","XYLT1"
"SMC2",0.982,2.82508746239038,0.964,4.17159466713207,0.993,0.094,"OO","SMC2"
"SFR1",0.982,2.77431255207754,0.964,4.1704941554832,0.993,0.097,"OO","SFR1"
"PDZK1",0.982,3.36380032288737,0.964,5.64651338312393,0.974,0.023,"OO","PDZK1"
"KIF20B",0.982,2.51899677967747,0.964,3.69969287911109,1,0.14,"OO","KIF20B"
"KIF15",0.982,2.85163604828931,0.964,4.40824046916511,0.978,0.09,"OO","KIF15"
"KHDRBS3",0.982,3.62697380160094,0.964,6.34288961613912,0.974,0.027,"OO","KHDRBS3"
"DEDD",0.982,2.27223062484012,0.964,3.35159686972697,0.998,0.163,"OO","DEDD"
"ARMC2",0.982,3.55369722391488,0.964,5.27668123886595,0.99,0.065,"OO","ARMC2"
"TUBA3E",0.981,4.57250197921072,0.962,9.21734356287931,0.964,0.014,"OO","TUBA3E"
"TIPIN",0.981,2.75930717401537,0.962,4.2411100876571,0.983,0.076,"OO","TIPIN"
"SMPD3",0.981,3.79654286280698,0.962,6.79134139531063,0.969,0.017,"OO","SMPD3"
"RFESD",0.981,2.27602209560053,0.962,3.45967573509145,0.981,0.049,"OO","RFESD"
"PCP4",0.981,1.70895458996545,0.962,2.47938273581971,0.998,0.2,"OO","PCP4"
"MNS1",0.981,2.60398630108896,0.962,3.79934208146688,0.998,0.141,"OO","MNS1"
"LGALS8",0.981,3.66353127817812,0.962,5.44658950403831,0.995,0.154,"OO","LGALS8"
"KDM1B",0.981,3.40947449593457,0.962,5.28479872342194,0.981,0.061,"OO","KDM1B"
"IAH1",0.981,3.25137823684775,0.962,4.74930150860799,1,0.282,"OO","IAH1"
"DSG2",0.981,2.61754897410943,0.962,3.99794702394599,0.986,0.07,"OO","DSG2"
"COMMD8",0.981,2.48039355074861,0.962,3.72729320250404,0.993,0.092,"OO","COMMD8"
"ENSMFAG00000041011",0.98,2.37492294819344,0.96,3.44552869077622,1,0.281,"OO","ENSMFAG00000041011"
"SASS6",0.98,1.33228247150648,0.96,1.95977533081368,0.988,0.083,"OO","SASS6"
"MYH15",0.98,3.67556226123691,0.96,6.31004554202846,0.967,0.009,"OO","MYH15"
"MIPEP",0.98,3.18922859726114,0.96,4.75314812159599,0.986,0.111,"OO","MIPEP"
"INA",0.98,4.25925961549101,0.96,8.57595690784058,0.962,0.008,"OO","INA"
"GLP2R",0.98,3.50744360847191,0.96,8.07202745745384,0.964,0.008,"OO","GLP2R"
"BUB1B",0.98,4.07292232042531,0.96,6.88308753694855,0.969,0.034,"OO","BUB1B"
"ASPM",0.98,2.16440244833643,0.96,3.27519653010004,0.976,0.024,"OO","ASPM"
"ACTL8",0.98,4.45963399234191,0.96,9.33803593765363,0.962,0.009,"OO","ACTL8"
"ENSMFAG00000003189",0.979,2.92795972764234,0.958,4.90790890503461,0.971,0.018,"OO","ENSMFAG00000003189"
"ENSMFAG00000031299",0.979,3.22450668366466,0.958,4.81738551917123,0.986,0.132,"OO","ENSMFAG00000031299"
"USP2",0.979,2.34053062049221,0.958,3.44098806655079,0.993,0.167,"OO","USP2"
"TLN2",0.979,2.51647020764766,0.958,3.77230451493874,0.986,0.059,"OO","TLN2"
"TLE6",0.979,3.71010483363548,0.958,9.07268726404768,0.959,0.004,"OO","TLE6"
"LAD1",0.979,4.14041168866232,0.958,9.16603984229271,0.959,0.006,"OO","LAD1"
"HJURP",0.979,3.79675518271823,0.958,6.61606224368332,0.964,0.015,"OO","HJURP"
"COX8C",0.979,4.34039706409486,0.958,8.55599991153599,0.959,0.008,"OO","COX8C"
"CCDC178",0.979,0.996917702395328,0.958,1.46900238583173,0.983,0.065,"OO","CCDC178"
"BOD1",0.979,3.39834390258477,0.958,5.1670124185474,0.988,0.098,"OO","BOD1"
"AURKC",0.979,3.88898833679433,0.958,6.4034473671719,0.962,0.011,"OO","AURKC"
"TBPL2",0.978,3.80150683671024,0.956,8.50622678451064,0.959,0.006,"OO","TBPL2"
"SLC15A1",0.978,3.46248748891796,0.956,7.20320332028927,0.962,0.009,"OO","SLC15A1"
"PARPBP",0.978,3.64823818210341,0.956,7.61001868390975,0.959,0.008,"OO","PARPBP"
"NINJ2",0.978,3.02842672403538,0.956,4.44704481696618,0.981,0.136,"OO","NINJ2"
"GCHFR",0.978,3.26308156766179,0.956,4.89686989048138,0.981,0.081,"OO","GCHFR"
"EIF4E1B",0.978,2.77472549433801,0.956,4.25196723539847,0.959,0.017,"OO","EIF4E1B"
"DPEP3",0.978,3.94941271582098,0.956,7.42932357395831,0.959,0.011,"OO","DPEP3"
"CENPS-CORT",0.978,2.78961848351631,0.956,4.10643862643419,0.993,0.208,"OO","CENPS-CORT"
"C2orf74",0.978,3.99127318354149,0.956,10.675919362666,0.957,0.004,"OO","C2orf74"
"AKTIP",0.978,2.4804271111351,0.956,3.64316679823573,1,0.193,"OO","AKTIP"
"ENSMFAG00000031694",0.977,4.54807921048019,0.954,10.537326849253,0.957,0.005,"OO","ENSMFAG00000031694"
"TNFAIP8",0.977,2.62672671314501,0.954,3.92678146228416,0.993,0.077,"OO","TNFAIP8"
"SYCE3",0.977,2.53480143824911,0.954,4.42037523226293,0.962,0.013,"OO","SYCE3"
"PSD3",0.977,2.58978046822601,0.954,3.91971794019997,0.978,0.039,"OO","PSD3"
"OIP5",0.977,2.76704761429445,0.954,4.44443876593964,0.962,0.019,"OO","OIP5"
"LMO1",0.977,4.37254610859543,0.954,8.66096468548852,0.957,0.006,"OO","LMO1"
"KCNK9",0.977,3.94206996197941,0.954,8.83458346047879,0.957,0.008,"OO","KCNK9"
"HERC5",0.977,3.07218906769066,0.954,4.70160490530257,0.976,0.068,"OO","HERC5"
"DTL",0.977,3.41548847595999,0.954,6.10231139486315,0.964,0.024,"OO","DTL"
"C15orf48",0.977,2.92018141086782,0.954,4.25650732904828,0.995,0.251,"OO","C15orf48"
"SYCP3",0.976,3.3461685693516,0.952,6.10812137033781,0.959,0.012,"OO","SYCP3"
"SRPK1",0.976,2.74575265746298,0.952,4.01909881849823,0.993,0.158,"OO","SRPK1"
"SDHAF3",0.976,2.4663458194294,0.952,3.65857874957241,0.99,0.127,"OO","SDHAF3"
"RAD51",0.976,3.12873659496251,0.952,5.15067112030826,0.969,0.029,"OO","RAD51"
"PTPRE",0.976,2.77155529089012,0.952,4.34498141407874,0.974,0.053,"OO","PTPRE"
"PCNA",0.976,2.43306392397676,0.952,3.53108821937143,1,0.357,"OO","PCNA"
"MBP",0.976,3.10984665743406,0.952,4.89590170030976,0.959,0.023,"OO","MBP"
"LYAR",0.976,2.71735333303064,0.952,3.96293349070125,0.995,0.152,"OO","LYAR"
"KPNA2",0.976,2.77710066924015,0.952,4.06464902346909,0.995,0.294,"OO","KPNA2"
"KCNIP4",0.976,2.64696436506828,0.952,4.22943775641295,0.962,0.024,"OO","KCNIP4"
"ITGBL1",0.976,3.45848489424724,0.952,5.89250235453915,0.959,0.01,"OO","ITGBL1"
"HPF1",0.976,2.68470709260782,0.952,3.90335543090277,0.995,0.259,"OO","HPF1"
"DNMT3A",0.976,2.12160722933624,0.952,3.15825656032766,0.993,0.107,"OO","DNMT3A"
"ATP8A2",0.976,3.9931248678924,0.952,8.95066846196262,0.955,0.007,"OO","ATP8A2"
"TAF1A",0.975,2.7317607239032,0.95,4.13054776796742,0.99,0.112,"OO","TAF1A"
"SPATA22",0.975,2.21863698081759,0.95,3.41804418416262,0.969,0.04,"OO","SPATA22"
"NUP88",0.975,2.75040849220443,0.95,4.15583982602241,0.988,0.139,"OO","NUP88"
"MAL2",0.975,3.09210829896602,0.95,5.4185387998594,0.959,0.023,"OO","MAL2"
"INSL6",0.975,3.98159385544737,0.95,8.18141514946989,0.952,0.006,"OO","INSL6"
"COA1",0.975,2.9965139290567,0.95,4.4377172153053,0.988,0.153,"OO","COA1"
"ARHGAP18",0.975,2.70297156524471,0.95,3.97121878578182,0.995,0.146,"OO","ARHGAP18"
"ENSMFAG00000036653",0.974,3.61947008576776,0.948,8.6659949001728,0.952,0.015,"OO","ENSMFAG00000036653"
"ENSMFAG00000001387",0.974,3.09823724772951,0.948,5.18973700163667,0.967,0.043,"OO","ENSMFAG00000001387"
"ENSMFAG00000035981",0.974,3.63765531990073,0.948,6.7974296343704,0.955,0.017,"OO","ENSMFAG00000035981"
"ZNF93",0.974,2.25246653594023,0.948,3.44736320007031,0.978,0.066,"OO","ZNF93"
"OFD1",0.974,2.13332240488892,0.948,3.10277999743727,0.995,0.239,"OO","OFD1"
"NUF2",0.974,2.73052636224975,0.948,4.20424408136656,0.967,0.043,"OO","NUF2"
"LYPD1",0.974,2.93119938258649,0.948,4.94845926588178,0.964,0.031,"OO","LYPD1"
"GKAP1",0.974,2.26863083442459,0.948,3.42373676666624,0.978,0.072,"OO","GKAP1"
"CDCA8",0.974,3.20697417736162,0.948,5.50692694928251,0.955,0.023,"OO","CDCA8"
"C1QTNF6",0.974,2.16771365138763,0.948,3.18665690277522,0.978,0.127,"OO","C1QTNF6"
"BUB1",0.974,2.91874604273005,0.948,4.70298768376161,0.957,0.022,"OO","BUB1"
"B3GAT2",0.974,3.5787249079114,0.948,6.60692757477374,0.955,0.008,"OO","B3GAT2"
"ENSMFAG00000000540",0.973,2.42970155309091,0.946,3.58205192531038,0.993,0.161,"OO","ENSMFAG00000000540"
"VLDLR",0.973,2.64223184254009,0.946,3.9765637537324,0.983,0.08,"OO","VLDLR"
"Tmem97",0.973,2.25375654138584,0.946,3.30275024242592,0.988,0.22,"OO","Tmem97"
"TMEM255B",0.973,2.72655842162143,0.946,4.02963572213689,0.983,0.107,"OO","TMEM255B"
"TEX30",0.973,2.09951874954421,0.946,3.06429096323532,0.99,0.253,"OO","TEX30"
"PARVG",0.973,2.93723578388756,0.946,4.5157911722939,0.962,0.067,"OO","PARVG"
"NUSAP1",0.973,1.85073321851298,0.946,2.7465201109607,0.969,0.042,"OO","NUSAP1"
"KIF4A",0.973,1.60494380548198,0.946,2.43708081046327,0.955,0.027,"OO","KIF4A"
"CHEK1",0.973,1.57550609377098,0.946,2.31761908441375,0.986,0.095,"OO","CHEK1"
"ARHGEF33",0.973,2.40161641372376,0.946,3.74592962436906,0.959,0.035,"OO","ARHGEF33"
"ENSMFAG00000003384",0.972,2.53450789568628,0.944,3.87583590363982,0.964,0.03,"OO","ENSMFAG00000003384"
"ENSMFAG00000043172",0.972,4.84213845772783,0.944,9.21713803213369,0.947,0.007,"OO","ENSMFAG00000043172"
"ENSMFAG00000000169",0.972,3.15214429783032,0.944,5.82221683411927,0.957,0.021,"OO","ENSMFAG00000000169"
"ZMYND19",0.972,1.7050877544392,0.944,2.59070367534898,0.957,0.038,"OO","ZMYND19"
"UCHL3",0.972,1.92007976976975,0.944,2.79245188309311,0.995,0.287,"OO","UCHL3"
"UBE2T",0.972,3.55558230151329,0.944,6.307546302479,0.952,0.024,"OO","UBE2T"
"TTC1",0.972,2.19696644467731,0.944,3.194505173184,1,0.323,"OO","TTC1"
"TEX12",0.972,3.30455007062145,0.944,8.53014333901839,0.945,0.005,"OO","TEX12"
"RABIF",0.972,2.49367507877086,0.944,3.88376519087629,0.974,0.06,"OO","RABIF"
"ORC6",0.972,3.05066807754501,0.944,4.70809173019854,0.971,0.078,"OO","ORC6"
"MT1X",0.972,3.27497968788122,0.944,4.78088540240504,0.995,0.284,"OO","MT1X"
"MAD2L1",0.972,2.54495617304164,0.944,3.9028459681891,0.983,0.112,"OO","MAD2L1"
"KIF23",0.972,2.88322784392468,0.944,4.7797163112928,0.962,0.043,"OO","KIF23"
"FHIT",0.972,3.05789072398299,0.944,4.92292205078548,0.967,0.036,"OO","FHIT"
"CRYZ",0.972,1.97515412990095,0.944,2.96441539592765,0.986,0.131,"OO","CRYZ"
"CCNO",0.972,3.61367301413351,0.944,6.19919542765545,0.952,0.035,"OO","CCNO"
"ENSMFAG00000042918",0.971,2.16613063314059,0.942,3.14189515652047,0.998,0.454,"OO","ENSMFAG00000042918"
"WDR53",0.971,2.2125641866645,0.942,3.48114434826079,0.957,0.024,"OO","WDR53"
"SLBP",0.971,2.91179237049006,0.942,4.28976292495235,0.99,0.193,"OO","SLBP"
"NHLRC3",0.971,1.80358106809968,0.942,2.66543286330489,0.974,0.09,"OO","NHLRC3"
"NAA30",0.971,3.404873396055,0.942,5.44530051823683,0.969,0.08,"OO","NAA30"
"MS4A4A",0.971,3.5451732669927,0.942,6.93590572147259,0.945,0.005,"OO","MS4A4A"
"INPP4B",0.971,2.61179323175846,0.942,3.96843982762348,0.976,0.048,"OO","INPP4B"
"ERICH2",0.971,2.82583122452173,0.942,4.76934646461991,0.955,0.032,"OO","ERICH2"
"DEPDC7",0.971,3.34103205836361,0.942,6.77858256510905,0.947,0.016,"OO","DEPDC7"
"DCLK2",0.971,2.4457504976937,0.942,3.82184188446644,0.981,0.112,"OO","DCLK2"
"CCDC73",0.971,4.30459494014849,0.942,9.00724803698257,0.945,0.008,"OO","CCDC73"
"BORCS5",0.971,1.26914609904296,0.942,1.8756963720266,0.976,0.11,"OO","BORCS5"
"RASGRF2",0.97,3.01006821814722,0.94,4.82929750593217,0.955,0.031,"OO","RASGRF2"
"ORC5",0.97,2.2633168962646,0.94,3.43979341732259,0.969,0.081,"OO","ORC5"
"MAPK6",0.97,2.13945539937709,0.94,3.23415330317905,0.988,0.124,"OO","MAPK6"
"CRADD",0.97,2.22953334026405,0.94,3.41312403098403,0.969,0.063,"OO","CRADD"
"NCAPH",0.969,3.08135105610303,0.938,5.25216110451747,0.947,0.026,"OO","NCAPH"
"MTERF3",0.969,2.33046952243983,0.938,3.44529649800319,0.986,0.165,"OO","MTERF3"
