source,target,Loc,score
CD274,ATM,Cytosol,0
CD274,ATM,Nucleus,0
CD274,ATM,Secretory-pathway,0
CD274,THADA,Cytosol,0
CD274,THADA,Nucleus,0
CD274,XPO7,Cytosol,0
CD274,XPO7,Mitochondrion,0
CD274,XPO7,Nucleus,0
CD274,PDS5B,Cytosol,0
CD274,PDS5B,Nucleus,0
CD274,RINT1,Cytosol,0
CD274,RINT1,Secretory-pathway,0
CD274,RINT1,Extracellular,0
CD274,COG7,Nucleus,0
CD274,COG7,Secretory-pathway,0
CD274,COG7,Extracellular,0
CD274,COG1,Secretory-pathway,0
CD274,COG1,Extracellular,0
CD274,STAG1,Cytosol,0
CD274,STAG1,Nucleus,0
CD274,PTPN11,Cytosol,0
CD274,PTPN11,Mitochondrion,0
CD274,PTPN11,Nucleus,0
CD274,TTI1,Cytosol,0
CD274,TTI1,Nucleus,0
