Protein	Count	Glycan
Q9QUR8	7	HexNAc(2)Hex(8);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(7);HexNAc(6)Hex(3);HexNAc(6)Hex(4);HexNAc(2)Hex(9)
Q9QUP5	9	HexNAc(6)Hex(3)Fuc(1)NeuAc(2);HexNAc(4)Hex(5)Fuc(1)NeuAc(1);HexNAc(5)Hex(3)Fuc(1)NeuAc(1);HexNAc(4)Hex(4)Fuc(1)NeuAc(1);HexNAc(5)Hex(3)Fuc(2);HexNAc(2)Hex(3)Fuc(1);HexNAc(3)Hex(4)Fuc(2);HexNAc(3)Hex(3)Fuc(1);HexNAc(4)Hex(4)Fuc(2)
Q9QUN9	3	HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6)
Q9JMB8	1	HexNAc(2)Hex(3)Fuc(1)
Q9JLL0	1	HexNAc(2)Hex(8)
Q9JLC8	2	HexNAc(2)Hex(7);HexNAc(2)Hex(6)
Q9JLC4	5	HexNAc(2)Hex(9);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(8);HexNAc(2)Hex(3)
Q9JL56	6	HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(3);HexNAc(2)Hex(7);HexNAc(2)Hex(9)
Q9JKR6	18	HexNAc(2)Hex(8);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(9);HexNAc(2)Hex(7);HexNAc(2)Hex(6)Fuc(1);HexNAc(2)Hex(5)Fuc(1);HexNAc(3)Hex(3)Fuc(1);HexNAc(2)Hex(4)Fuc(1);HexNAc(2)Hex(3)Fuc(1);HexNAc(2)Hex(3);HexNAc(4)Hex(3)Fuc(1);HexNAc(7)Hex(6);HexNAc(8)Hex(3);HexNAc(7)Hex(3)Fuc(1);HexNAc(7)Hex(3);HexNAc(6)Hex(4)
Q9JKF6	15	HexNAc(2)Hex(5);HexNAc(4)Hex(5)Fuc(1);HexNAc(3)Hex(6)Fuc(1);HexNAc(2)Hex(1);HexNAc(4)Hex(6)Fuc(1);HexNAc(4)Hex(5);HexNAc(3)Hex(5)Fuc(1);HexNAc(3)Hex(5);HexNAc(4)Hex(6)Fuc(2);HexNAc(3)Hex(6)Fuc(1)NeuAc(1);HexNAc(3)Hex(6)NeuAc(1);HexNAc(4)Hex(6);HexNAc(6)Hex(3);HexNAc(3)Hex(4);HexNAc(5)Hex(5)Fuc(1)
Q9JK91	1	HexNAc(3)Hex(6)
Q9JJX6	2	HexNAc(2)Hex(3)Fuc(1);HexNAc(2)Hex(9)
Q9JIS5	8	HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(3)Fuc(1);HexNAc(2)Hex(7);HexNAc(2)Hex(5)Fuc(1)
Q9JIA1	5	HexNAc(2)Hex(5);HexNAc(3)Hex(5)Fuc(1);HexNAc(2)Hex(5)Fuc(1);HexNAc(2)Hex(6)Phospho(1);HexNAc(2)Hex(4)
Q9JI59	1	HexNAc(2)Hex(5)
Q9JI18	12	HexNAc(2)Hex(5);HexNAc(2)Hex(8);HexNAc(3)Hex(5)Fuc(1);HexNAc(2)Hex(7);HexNAc(2)Hex(4);HexNAc(2)Hex(9);HexNAc(2)Hex(6);HexNAc(2)Hex(5)Fuc(1);HexNAc(2)Hex(2);HexNAc(2)Hex(3);HexNAc(6)Hex(3);HexNAc(3)Hex(5)
Q9JHP7	2	HexNAc(2)Hex(8);HexNAc(2)Hex(6)
Q9JHJ3	1	HexNAc(2)Hex(5)
Q9JHG0	1	HexNAc(6)Hex(3)
Q9ET22	2	HexNAc(2)Hex(3);HexNAc(3)Hex(6)Fuc(1)
Q9ESN9	1	HexNAc(2)Hex(2)
Q9ERL9	1	HexNAc(2)Hex(8)
Q9ER65	3	HexNAc(2)Hex(9);HexNAc(6)Hex(3);HexNAc(2)Hex(5)
Q9ER58	7	HexNAc(2)Hex(8);HexNAc(4)Hex(3)Fuc(1);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(9);HexNAc(2)Hex(3)Fuc(1);HexNAc(2)Hex(7)
Q9ER41	4	HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(6);HexNAc(2)Hex(7)
Q9EQY5	1	HexNAc(2)Hex(8)
Q9EQH2	2	HexNAc(6)Hex(3);HexNAc(2)Hex(6)
Q9EQG7	6	HexNAc(2)Hex(9);HexNAc(2)Hex(3);HexNAc(2)Hex(3)Fuc(1);HexNAc(2)Hex(8);HexNAc(2)Hex(1)Fuc(1);HexNAc(6)Hex(3)
Q9EQC4	1	HexNAc(2)Hex(6)
Q9EQ08	1	HexNAc(2)Hex(3)Fuc(1)
Q9EPS3	2	HexNAc(4)Hex(5)Fuc(1);HexNAc(2)Hex(6)
