module X TPM_BALB_notx_rep1 TPM_BALB_notx_rep2 TPM_BALB_KLA_rep1 TPM_BALB_KLA_rep2 TPM_C57_notx_rep1 TPM_C57_notx_rep2 TPM_C57_KLA_rep1 TPM_C57_KLA_rep2 TPM_NOD_notx_rep1 TPM_NOD_notx_rep2 TPM_NOD_KLA_rep1 TPM_NOD_KLA_rep2 TPM_PWK_notx_rep1 TPM_PWK_notx_rep2 TPM_PWK_KLA_rep1 TPM_PWK_KLA_rep2 TPM_SPRET_notx_rep1 TPM_SPRET_notx_rep2 TPM_SPRET_KLA_rep1 TPM_SPRET_KLA_rep2
turquoise NM_001286944 750.215 481.672 712.585 558.992 546.678 416.592 690.116 521.525 444.08 433.089 486.997 563.607 674.02 427.664 611.854 596.746 1012.344 838.401 1124.548 877.535
turquoise NM_001093766 380.24 460.735 360.403 382.139 380.443 542.11 392.658 484.128 460.571 383.816 460.452 459.724 479.23 335.515 489.285 293.445 565.258 804.48 484.463 638.628
turquoise NM_028712 383.531 373.111 436.238 429.714 453.138 423.893 564.988 593.619 422.95 428.648 523.242 554.34 365.108 289.15 547.022 404.86 275.966 258.852 298.254 286.203
turquoise NM_008774 322.654 351.406 294.62 327.136 413.596 435.715 387.559 405.76 395.64 397.933 381.943 415.251 550.897 502.19 506.399 458.69 753.81 647.566 613.764 527.549
turquoise NM_007750 450.893 359.731 452.68 332.206 466.18 323.194 402.772 298.588 389.417 397.246 296.27 354.213 421.406 318.911 327.305 298.04 771.469 574.039 642.008 507.635
turquoise NM_009970 433.359 467.889 358.445 417.235 370.708 397.225 355.182 361.738 422.13 416.163 386.343 454.279 462.771 337.276 431.1 286.983 1284.968 1110.12 1165.231 1048.926
turquoise NM_031165 52.322 66.587 50.247 82.972 347.006 379.45 342.266 379.066 65.922 69.425 54.88 63.071 49.951 69.341 67.212 73.422 478.455 498.991 432.247 519.424
turquoise NM_201394 362.471 363.966 336.871 319.134 352.205 368.243 415.657 361.101 358.949 299.385 393.232 373.809 337.304 353.982 385.842 308.957 506.21 464.134 487.05 367.93
turquoise NM_172086 320.393 271.09 295.012 230.651 382 313.185 318.239 277.182 274.806 319.091 262.806 261.226 545.518 388.628 429.499 346.205 648.378 483.999 555.162 440.286
turquoise NM_025567 358.879 285.545 301.009 298.373 368.367 320.153 324.267 280.77 372.585 406.232 309.035 357.805 309.488 325.621 230.589 288.678 525.668 418.488 483.344 346.474
turquoise NM_025385 263.672 366.16 249.469 315.241 283.901 358.035 263.177 293.499 222.578 193.583 207.235 189.806 263.648 355.131 241.651 290.818 407.626 518.251 352.368 412.729
turquoise NM_007840 275.971 335.844 290.936 339.966 287.722 341.285 290.447 335.301 270.407 256.898 280.584 300.544 288.487 320.057 324.893 348.872 402.93 410.184 403.826 425.134
turquoise NM_001165902 592.108 795.93 590.445 720.257 254.491 342.974 245.405 304.591 154.689 135.305 144.689 133.36 406.39 642.302 371.827 559.099 694.015 1037.271 650.604 922.748
turquoise NM_025338 321.751 247.705 274.415 225.63 321.903 265.46 254.949 224.166 176.692 227.627 157.947 194.779 264.249 250.626 197.026 208.802 601.691 487.688 482.696 455.575
turquoise NM_007598 341.495 307.956 301.455 277.395 306.723 279.046 260.682 243.377 358.096 338.454 320.965 306.861 325.833 271.692 287.085 258.776 231.343 214.434 206.146 190.209
turquoise NM_024469 316.584 399.108 304.177 359.834 253.69 287.951 196.052 203.874 193.47 149.613 136.184 113.967 603.362 718.736 463.513 532.522 761.161 788.765 600.84 618.625
turquoise NM_025982 235.46 276.515 207.05 238.681 245.793 281.575 214.974 218.844 271.015 245.986 261.319 215.621 273.156 275.129 233.296 240.011 100.174 105.15 84.902 86.443
turquoise NM_009429 233.311 184.792 202.695 161.403 300.073 215.946 272.118 201.17 56.626 79.623 58.466 76.023 173.568 305.876 139.356 183.602 464.182 536.192 424.689 516.467
turquoise NM_026542 220.263 259.322 191.564 222.624 252.629 257.984 217.031 212.978 251.497 247.015 210.466 232.893 265.393 263.307 204.492 216.534 304.861 326.528 234.837 265.517
turquoise NM_007531 222.838 211.632 188.136 188.49 258.529 242.629 219.776 193.729 229.404 266.324 203.2 213.416 275.267 258.029 218.693 225.642 325.063 281.038 279.083 239.54
turquoise NM_177305 330.348 166.472 293.592 219.245 303.774 187.534 258.763 170.141 288.724 336.533 237.702 295.332 299.474 196.501 300.241 240.363 416.876 410.061 346.21 374.24
turquoise NM_134158 212.464 204.942 186.047 165.308 236.288 243.251 179.279 192.526 191.298 194.268 187.936 164.098 14.286 10.001 12.69 9.734 480.088 587.773 431.086 514.596
turquoise NM_007509 174.964 271.138 161.536 238.508 191.571 281.478 154.323 225.887 186.375 179.128 161.079 167.613 184.981 228.496 154.478 197.762 298.539 373.322 276.437 319.652
turquoise NM_010798 185.067 292.099 146.122 241.193 157.948 301.667 148.324 268.413 180.139 148.591 167.738 197.688 164.744 302.166 110.933 280.028 599.52 988.854 463.535 759.482
turquoise NM_001199044 192.707 218.288 165.3 195.771 234.887 224.011 215.741 203.257 220.004 181.426 208.86 199.3 218.475 239.277 204.314 212.596 279.083 270.689 236.036 225.868
turquoise NM_010880 206.929 176.841 159.164 155.733 252.394 203.345 242.418 189.907 219.678 227.647 216.543 199.909 210.945 230.012 203.823 222.918 327.634 227.483 290.353 208.12
turquoise NM_205820 273.41 282.707 262.085 252.044 228.594 220.881 202.959 205.968 182.046 174.304 162.887 148.638 290.172 208.91 245.266 174.92 24.04 24.047 17.598 19.801
turquoise NM_007802 286.718 644.744 254.379 554.983 145.935 300.73 124.165 273.608 0.135 0.883 0.473 0.157 116.676 165.988 94.055 149.575 3646.296 3251.733 3115.931 2932.226
turquoise NM_001025388 177.338 150.162 137.458 112.282 182.608 262.35 156.987 238.409 99.815 114.702 87.574 100.031 39.589 33.749 27.516 25.662 396.861 702.931 353.442 552.684
turquoise NM_144900 236.819 221.379 219.281 203.507 234.684 209.262 220.406 203.04 194.82 200.709 186.375 185.056 230.803 228.476 200.038 213.616 298.706 272.214 270.346 233.254
turquoise NM_178911 209.906 153.418 176.661 121.464 231.462 210.563 193.522 178.426 259.704 288.157 213.257 244.683 64.9 28.282 49.082 25.701 526.598 558.544 441.703 464.357
turquoise NM_001168470 199.775 189.422 201.28 167.118 226.835 206.949 240.452 211.371 180.156 220.907 166.357 212.297 165.42 200.474 149.367 182.78 308.644 237.071 281.383 254.472
turquoise NM_001111050 244.336 228.056 178.763 189.037 219.687 214.064 167.456 170.234 177.02 181.914 128.775 133.524 298.882 292.426 221.185 232.455 637.736 622.466 520.593 509.704
turquoise NM_013587 350.77 403.942 254.351 308.147 188.125 206.008 137.893 151.466 73.915 69.862 55.812 58.876 616.564 504.23 491.178 420.099 828.513 489.015 631.748 408.835
turquoise NM_009388 132.108 120.809 112.514 109.448 213.144 180.469 185.446 157.438 156.598 151.895 139.203 135.193 199.019 204.25 168.314 177.678 232.146 220.624 189.281 179.593
turquoise NM_011577 159.023 174.54 145 158.604 178.658 187.498 178.491 172.586 191.673 166.786 188.328 178.093 182.904 171.132 158.626 157.56 216.814 205.291 183.249 186.242
turquoise NM_001166597 198.917 181.037 147.906 154.253 199.812 159.95 147.207 131.939 125.909 127.527 101.813 106.77 217.72 187.44 165.447 151.992 293.091 252.747 233.769 209.995
turquoise NM_144958 222.282 148.537 215.854 145.881 217.074 140.207 212.749 135.56 114.8 121.456 118.241 121.118 341.559 325.978 336.966 329.425 485.366 432.87 429.95 419.882
turquoise NM_020619 193.561 190.583 168.099 153.625 184.404 171.027 165.239 151.905 173.189 178.81 153.655 161.543 171.905 215.327 134.683 184.627 228.935 205.97 199.287 173.478
turquoise NM_010299 151.459 205.748 131.643 175.41 152.133 202.874 131.348 172.887 90.757 86.712 76.496 81.56 153.986 151.824 130.556 138.122 283.844 436.855 231.55 349.858
turquoise NM_133819 154.058 175.709 130.301 152.214 154.515 190.094 141.335 170.279 128.943 136.334 125.332 136.551 198.137 217.82 171.452 180.261 212.151 220.267 179.239 209.471
turquoise NM_025710 178.104 181.667 159.586 154.886 174.322 169.75 155.054 155.85 129.986 159.516 121.956 150.048 165.793 155.939 134.77 158.193 204.733 209.925 211.879 195.569
turquoise NM_001317385 120.317 144.46 111.741 122.578 155.508 182.583 124.122 144.698 128.242 128.068 126.817 121.4 145.774 115.718 109.908 104.515 68.635 78.859 58.542 67.287
turquoise NM_011291 194.923 132.921 168.581 126.57 177.473 158.364 151.246 131.811 127.027 154.676 107.821 115.092 202.394 172.652 163.097 154.702 4.89 3.835 7.273 4.022
turquoise NM_023627 187.072 214.346 164.226 197.854 176.129 157.154 164.523 138.713 229.609 211.657 221.54 197.915 202.385 152.185 162.278 132.83 107.662 68.53 97.008 58.707
turquoise NM_146211 110.682 148.555 103.741 130.683 152.953 179.331 139.852 151.054 130.557 120.89 109.213 126.427 165.252 213.394 148.14 178.349 190.573 236.431 182.913 192.054
turquoise NM_001317219 214.138 156.253 166.216 114.484 181.831 139.776 139.384 119.558 139.484 142.794 118.129 112.942 82.156 87.804 85.632 74.182 366.084 322.444 314.409 310.436
turquoise NM_007573 153.435 150.375 139.26 131.899 167.017 153.175 150.373 135.51 127.155 139.062 112.003 107.942 147.741 158.076 111.798 142.743 227.256 193.662 195.92 159.119
turquoise NR_027485 160.429 161.314 138.288 143.913 158.914 157.786 144.943 133.301 147.275 144.131 141.225 132.426 152.007 166.442 139.556 150.443 180.392 170.578 166.072 149.193
turquoise NM_026020 144.352 126.557 121.044 109.527 172.788 143.709 148.347 120.502 156.891 196.326 148.668 183.466 153.416 153.331 128.65 127.219 391.584 265.309 306.683 208.442
turquoise NM_013721 160.613 133.691 135.748 122.484 177.268 129.01 155.952 123.558 133.983 162.678 106.717 125.047 202.875 166.828 188.801 138.296 58.88 61.966 58.046 49.303
turquoise NM_011660 141.362 147.613 143.551 140.692 158.722 144.639 138.926 132.165 120.678 144.958 112.632 114.687 101.661 139.594 84.895 130.108 212.711 226.657 197.242 193.847
turquoise NM_011498 204.153 176.233 249.217 229.992 143.966 155.358 223.206 245.057 36.322 33.063 32.883 37.299 251.833 317.928 218.003 236.355 485.069 586.004 388.873 468.17
turquoise NR_045726 99.257 119.717 91.155 113.911 153.551 143.409 138.476 130.189 85.356 44.165 71.802 70.668 237.708 210.666 183.475 174.893 216.967 185.748 208.409 167.905
turquoise NM_001033242 170.831 194.412 212.864 228.115 129.931 163.264 177.361 184.728 147.39 148.668 160.892 154.927 117.997 173.042 150.598 174.136 114.931 116.561 147.362 158.251
turquoise NM_001301205 144.846 93.911 137.088 81.622 154.266 137.289 144.546 125.308 120.148 143.244 108.08 143.209 327.843 212.577 296.172 197.824 474.906 433.106 400.531 362.415
turquoise NM_013897 162.015 147.133 144.636 121.836 135.959 154.868 93.31 125.82 79.132 82.32 72.102 63.046 160.253 175.26 103.625 130.27 218.126 247.931 193.478 244.493
turquoise NR_037854 25.754 30.909 21.644 22.255 146.43 137.953 124.604 126.198 17.581 23.831 11.972 14.155 174.607 208.349 150.691 181.777 1307.788 1399.245 1016.153 1182.986
turquoise NR_132280 140.345 171.759 115.46 122.995 128.127 155.466 117.802 119.27 101.102 109.34 75.045 73.39 175.136 157.399 119.14 126.036 198.886 243.343 159.19 197.377
turquoise NM_009729 25.655 30.726 21.516 22.123 145.765 137.192 123.951 125.554 17.723 23.69 12.117 14.071 173.884 207.198 149.833 180.874 1300.606 1391.318 1010.448 1176.454
turquoise NR_102726 129.549 157.206 115.628 146.426 126.038 156.52 116.237 134.137 160.263 127.193 148.524 116.31 129.658 169.773 112.696 145.245 57.072 60.034 48.391 55.676
turquoise NM_021880 123.335 125.031 115.175 111.97 135.628 143.366 124.281 123.064 124.282 127.21 110.016 118.396 116.304 123.014 109.614 113.229 146.215 178.727 129.485 151.006
turquoise NM_026373 121.328 134.195 89.946 112.567 140.228 136.156 101.745 108.563 137.265 185.176 117.768 159.178 176.357 177.247 130.821 143.452 173.969 187.764 146.483 140.993
turquoise NM_026954 162.319 160.989 122.049 155.148 144.585 129.599 118.379 108.803 79.369 94.492 41.506 78.529 170.664 129.432 112.317 117.014 344.663 237.115 347.56 208.479
turquoise NM_023119 93.847 88.545 73.398 66.422 109.644 159.995 95.117 145.141 59.461 65.414 51.236 56.918 25.878 32.357 19.029 26.943 229.21 410.54 203.236 322.27
turquoise NM_146011 134.828 116.463 101.525 104.652 138.878 128.733 105.887 106.002 90.542 104.803 78.813 88.152 114.168 69.881 88.304 57.044 241.31 211.242 205.331 179.569
turquoise NM_008617 147.568 153.645 128.579 138.27 137.583 127.556 118.847 111.238 148.289 151.201 128.706 134.614 113.433 116.275 92.915 104.304 206.875 181.121 165.618 156.804
turquoise NM_001301343 122.274 118.001 126.181 118.189 122.837 128.27 112.693 129.938 116.13 127.547 101.643 115.361 100.843 111.436 108.518 105.219 74.964 86.493 83.637 82.055
turquoise NR_037666 115.214 138.465 97.009 131.345 117.449 131.511 103.738 113.655 112.746 104.672 88.214 95.397 139.995 140.309 113.678 125.327 190.357 196.599 168.442 175.362
turquoise NM_001038654 117.859 145.466 99.664 113.231 93.566 154.674 98.703 178.69 87.403 97.849 83.493 96.499 95.984 113.002 90.14 109.941 125.704 365.965 125.992 331.283
turquoise NM_009837 101.101 116.731 97.663 102.328 110.901 135.11 101.597 111.904 95.317 107.886 94.837 93.272 102.677 118.589 92.598 106.404 157.953 157.088 136.531 132.899
turquoise NM_001271443 114.436 94.064 102.335 85.662 130.596 115.259 94.696 103.048 94.536 114.492 79.405 82.511 223.684 204.443 184.486 175.84 431.763 357.062 353.612 319.885
turquoise NM_028038 111.605 119.239 126.389 98.981 124.931 120.443 141.184 123.154 109.11 104.111 84.322 107.641 125.137 113.411 101.254 82.681 79.821 76.319 39.754 41.764
turquoise NM_138677 107.977 124.433 100.576 110.681 109.65 135.134 99.493 115.441 89.255 81.182 83.786 78.745 105.178 110.809 97.007 101.343 187.568 194.68 168.036 167.542
turquoise NM_021511 125.875 113.263 210.441 171.301 136.678 105.941 265.217 174.156 100.344 99.498 148.182 188.863 78.816 90.015 143.57 108.174 71.577 41.751 61.738 40.94
turquoise NM_023239 122.006 124.247 88.155 89.243 125.647 116.202 102.62 104.179 83.738 113.127 71.875 88.497 233.138 168.311 167.956 150.883 310.298 263.848 246.386 219.556
turquoise NM_026064 114.065 97.244 120.647 94.658 129.77 111.878 129.411 115.314 108.734 117.888 104.393 104.735 158.815 105.358 152.779 118.809 146.555 131.725 143.219 129.258
turquoise NM_029097 123.009 154.905 94.323 132.387 110.945 129.764 88.325 108.114 132.019 115.979 102.523 112.828 274.619 280.061 216.315 229.374 290.632 398.8 246.092 322.471
turquoise NM_001164793 140.517 132.603 123.218 112.264 125.044 114.768 101.916 96.317 121.166 105.183 99.123 95.298 118.372 124.949 99.094 101.721 239.468 230.373 181.458 191.346
turquoise NM_001331120 153.412 188.837 140.526 163.736 104.396 133.959 95.703 111.742 81.073 69.374 71.515 63.319 113.122 133.452 110.631 121.011 236.508 272.312 207.84 226.189
turquoise NM_133666 117.758 125.92 99.101 105.369 116.641 117.475 93.16 98.808 80.765 94.882 71.681 94.223 150.567 146.969 117.348 127.038 170.264 160.393 153.729 144.816
turquoise NM_001077529 129.202 111.077 108.904 107.51 128.559 104.143 110.832 92.559 108.053 130.716 96.593 116.423 127.688 137.38 91.351 113.743 99.184 67.906 93.536 57.821
turquoise NM_026147 159.957 117.535 145.839 109.288 115.421 112.547 93.135 107.569 59.201 87.921 53.517 84.37 98.478 106.351 79.464 103.035 367.05 238.876 268.12 205.416
turquoise NM_010219 113.453 99.778 89.479 98.202 123.002 104.37 104.119 96.199 85.465 96.982 78.231 81.526 102.101 105.295 81.48 90.12 157.037 128.93 131.21 116.641
turquoise NM_198001 135.81 111.186 101.515 99.792 116.631 108.395 93.31 92.587 91.972 84.619 83.411 85.724 129.37 179.036 86.757 142.647 374.074 236.629 283.764 199.611
turquoise NR_015503 119.702 107.863 110.871 102.395 110.333 110.65 92.497 93.448 124.418 156.787 125.454 123.944 108.394 85.964 109.979 80.059 228.272 170.208 188.101 153.024
turquoise NM_010736 114.781 107.934 86.565 90.529 107.895 110.822 89.278 87.724 94.743 87.816 79.322 76.167 127.859 134.595 92.643 113.465 143.308 135.734 111.543 103.665
turquoise NM_023044 112.506 176.693 140.606 198.133 104.234 114.438 129.575 136.319 205.881 207.33 246.83 234.678 97.089 148.986 117.221 150.722 34.018 53.145 39.942 56.437
turquoise NM_018749 88.768 99.475 74.857 87.673 109.48 107.279 96.142 89.845 81.865 74.968 72.775 68.489 131.367 135.465 110.595 119.975 140.582 150.921 119.545 124.357
turquoise NM_010123 97.091 100.905 75.811 93.128 107.913 105.957 107.197 99.552 86.856 80.356 90.428 75.564 111.364 123.095 119.788 115.977 138.761 114.446 127.925 101.812
turquoise NM_010688 91.178 87.223 73.497 77.019 107.552 101.954 88.73 86.404 64.489 59.073 54.346 53.78 129.345 107.128 101.684 92.801 169.915 154.161 134.979 120.245
turquoise NM_009369 55.073 45.389 44.308 33.389 114.768 92.741 101.607 72.441 41.952 62.249 34.731 52.381 84.459 67.89 74.676 57.785 4.927 5.999 3.862 3.717
turquoise NM_029632 124.571 115.64 120.698 112.112 100.533 105.41 106.639 104.569 101.597 120.261 106.465 100.398 76.987 88.406 65.522 74.36 178.579 196.875 157.297 158.622
turquoise NR_003373 3.954 2.008 2.576 1.327 104.853 97.127 95.404 93.998 91.601 127.639 87.058 111.746 133.769 138.294 106.769 128.186 260.263 137.071 211.604 118.111
turquoise NM_008060 85.377 106.04 79.63 93.65 95.891 105.971 84.188 95.832 93.954 90.409 86.516 76.692 99.892 126.672 85.294 105.248 108.911 130.202 97.956 108.85
turquoise NM_001317404 58.373 78.877 55.918 68.428 90.777 109.946 86.975 96.006 45.266 36.158 41.065 38.32 101.587 152.948 93.187 123.198 133.674 129.485 151.963 121.639
turquoise NM_009080 3.923 1.993 2.556 1.316 104.041 96.374 94.665 93.269 90.891 126.649 86.383 110.88 132.733 137.223 106.009 127.193 258.246 136.008 209.964 117.196
turquoise NM_183195 113.227 109.543 81.783 75.962 104.683 94.498 77.806 66.056 124.747 113.864 104.074 85.913 174.578 85.259 109.213 61.956 417.91 437.955 387.488 350.37
turquoise NM_009713 111.089 120.131 92.274 112.915 103.835 93.249 86.775 78.513 67.804 74.759 70.548 64.25 196.902 180.72 167.194 157.026 219.219 227.98 181.223 204.885
turquoise NM_008889 118.851 105.505 85.425 77.462 111.337 85.528 86.209 86.11 120.932 159.892 135.388 148.102 165.756 141.233 110.185 127.078 227.326 161.138 212.419 118.382
turquoise NR_004442 112.933 81.882 96.835 69.423 125.758 70.794 89.147 77.637 35.546 79.6 47.612 59.241 99.713 95.514 79.925 74.758 192.713 144.104 184.416 157.429
turquoise NM_133724 93.346 89.284 92.008 78.963 100.193 93.937 99.133 99.823 90.242 106.725 80.246 82.019 95.119 85.811 74.707 77.365 135.607 102.05 140.253 85.855
turquoise NM_025291 92.228 75.541 87.009 77.54 101.378 92.489 89.938 84.144 78.462 75.742 80.914 72.615 108.964 106.168 97.943 107.102 108.825 93.493 113.812 100.478
turquoise NM_024173 95.315 101.133 93.596 84.083 92.297 101.199 77.855 84.158 78.434 69.884 57.994 62.168 123.361 127.85 95.897 114.457 314.246 228.055 277.894 205.143
turquoise NM_133964 118.241 86.517 93.392 79.031 110.958 82.078 96.827 86.108 99.108 119.456 92.025 105.037 102.788 98.52 82.236 84.273 163.184 117.463 133.725 107.398
turquoise NM_009077 60.168 90.729 56.754 70.323 80.705 109.89 74.286 95.524 96.609 126.786 100.598 91.899 177.249 154.146 129.356 141.345 239.869 209.088 211.178 185.29
turquoise NM_008505 80.393 86.133 59.355 65.94 91.365 98.933 70.774 76.816 94.867 87.47 66.462 74.977 93.413 85.29 72.676 69.472 170.926 136.371 129.112 124.131
turquoise NM_001204875 86.592 75.106 63.156 59.296 112.956 76.972 110.652 82.046 97.155 119.503 91.317 111.511 106.198 125.365 72.975 110.446 149.26 99.589 130.419 85.049
turquoise NR_126058 89.192 110.481 76.899 93.261 86.728 102.634 75.502 89.196 58.031 61.672 57.339 56.639 121.339 142.718 121.941 122.315 162.429 168.429 131.989 151.846
turquoise NM_138597 87.703 87.79 78.307 68.45 94.452 92.855 75.8 83.508 76.729 84.615 75.336 67.073 65.449 66.425 57.251 58.693 148.467 128.017 123.511 103.329
turquoise NM_133772 105.84 82.073 86.781 73.41 107.517 76.455 94.877 68.289 89.317 95.744 72.617 85.603 107.1 69.653 73.471 55.74 174.028 122.193 134.709 106.675
turquoise NM_011695 86.018 103.229 79.766 92.061 82.372 99.484 76.952 85.865 106.925 96.332 97.687 92.273 109.547 116.404 93.934 104.408 116.706 119.844 107.887 96.629
turquoise NM_025987 119.227 106.125 103.979 87.277 93.839 86.948 72.677 74.796 76.186 105.683 73.056 71.181 127.961 120.539 105.033 113.242 158.799 143.887 119.59 125.736
turquoise NM_024461 76.097 75.042 63.439 69.03 78.737 101.522 74.394 91.263 67.058 105.006 83.059 93.345 129.833 137.732 115.007 126.209 161.159 149.373 144.363 151.275
turquoise NR_028574 103.967 71.668 77.906 52.949 112.706 64.843 78.936 68.244 101.305 152.816 44.524 91.695 119.746 120.698 99.945 101.405 146.589 138.115 167.409 116.473
turquoise NM_023247 95.818 76.484 89.769 78.034 87.505 89.533 88.888 76.386 80.66 77.06 74.976 80.039 108.29 102.379 88.782 106.001 122.14 106.176 109.341 92.737
turquoise NM_001347332 80.553 81.523 66.194 62.305 87.663 83.218 74.613 65.043 80.053 76.065 65.693 73.027 110.777 99.426 84.195 72.425 44.756 40.368 35.971 29.436
turquoise NR_045485 101.729 115.103 83.067 94.361 83.672 85.48 68.338 64.889 56.032 54.404 52.376 51.019 103.618 102.411 77.959 88.494 155.822 144.254 123.056 117.693
turquoise NM_026640 89.307 79.879 82.004 76.679 82.487 82.533 67.817 70.272 92.047 115.855 92.002 92.27 83.857 64.059 82.286 59.84 173.227 130.202 140.418 116.67
turquoise NM_022891 103.433 64.286 99.842 53.082 100.663 60.972 94.424 58.594 49.055 54.563 46.06 46.173 26.115 23.084 21.689 19.756 290.491 192.955 237.039 147.04
turquoise NM_001253892 70.251 62.467 59.197 57 83.846 75.25 73.357 69.262 79.147 75.515 67.868 67.942 85.8 73.615 72.045 65.281 130.257 100.582 118.568 90.923
turquoise NM_010925 85.514 79.709 65.547 71.517 81.833 76.449 74.124 65.581 69.759 68.024 63.407 71.43 93.418 83.171 82.695 75.886 105.45 94.844 90.037 80.157
turquoise NM_016898 61.799 103.102 52.212 94.485 63.122 94.307 52.801 81.928 64.185 54.496 53.5 46.229 70.373 131.547 62.827 119.251 172.584 240.435 151.07 223.292
turquoise NM_001253354 86.539 96.888 80.52 92.387 69.824 87.302 65.246 86.862 87.506 71.016 68.067 76.97 110.876 118.17 95.084 105.624 115.614 128.981 106.737 117.721
turquoise NR_045537 90.739 104.935 77.642 87.329 78.601 77.149 64.359 68.541 84.52 79.882 78.422 79.329 102.669 123.317 77.666 95.392 137.146 124.768 112.904 105.555
turquoise NM_026306 70.596 63.243 65.133 63.621 77.745 77.531 72.249 73.133 47.433 67.662 62.541 55.336 53.413 61.409 59.762 66.476 101.021 96.846 80.301 82.558
turquoise NM_025448 70.664 71.919 66.743 64.469 76.723 75.599 67.627 64.862 67.043 78.631 66.367 68.528 59.303 71.011 46.176 56.741 108.183 96.007 93.072 82.155
turquoise NM_001347184 13.962 16.324 27.766 31.226 64.251 86.498 104.934 119.999 34.412 24.457 62.31 46.981 47.251 80.537 72.505 94.173 3.891 2.85 5.839 5.032
turquoise NM_007484 113.484 166.37 127.762 163.752 69.874 79.475 73.044 81.043 73.706 80.056 68.116 74.208 79.732 57.85 76.896 49.898 222.057 204.952 224.544 182.164
turquoise NM_133804 95.917 115.717 101.366 117.741 77.143 68.578 89.203 69.982 88.694 71.057 111.102 91.842 45.1 59.927 57.564 65.794 12.912 11.63 13.471 14.654
turquoise NM_001290469 90.148 97.468 78.14 89.082 70.882 73.857 60.9 63.857 44.284 38.508 40.14 37.568 175.618 149.214 157.42 125.518 216.362 212.876 174.755 163.213
turquoise NM_029101 74.482 69.988 73.801 62.916 75.361 69.301 77.622 69.821 69.896 68.689 65.247 67.76 53.893 59.106 46.31 51.404 13.825 13.183 13.232 11.661
turquoise NM_025379 77.717 71.938 73.232 63.814 75.613 68.832 61.477 63.153 69.99 75.212 54.21 63.191 70.314 54.807 60.399 46.823 99.68 94.899 92.132 89.624
