,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_133933,129.599,128.733,115.271,118.513,123.682,106.978,108.425,95.089,126.215,131.707,112.504,118.026,103.072,92.062,86.438,81.551,110.033,86.516,92.787,76.28
NM_008621,124.392,123.554,112.27,118.199,111.893,116.151,99.623,103.234,114.398,107.237,104.573,97.205,101.209,92.252,95.922,89.719,100.403,99.727,94.526,95.139
NM_198613,101.909,107.046,79.644,82.356,109.575,116.467,99.108,97.052,123.73,132.555,113.088,121.664,85.083,66.64,63.423,60.844,94.753,94.71,76.388,77.351
NM_133918,105.997,122.288,83.327,101.432,119.303,100.819,99.595,87.619,109.739,104.013,103.858,93.458,96.969,63.544,72.022,54.982,54,56.687,48.448,46.258
NM_001159908,115.245,119.983,89.334,100.361,103.349,113.674,70.482,87.398,76.643,71.975,61.476,67.512,285.158,431.024,182.524,397.796,335.082,394.217,249.122,388.465
NM_153775,78.671,71.58,71.053,65.29,120.677,96.077,106.823,87.205,116.856,108.402,117.788,99.774,63.747,65.11,55.916,56.852,75.082,60.837,71.75,49.45
NM_028780,95.512,103.429,80.398,91.01,105.112,110.972,93.255,92.352,86.459,84.813,70.01,82.933,75.883,74.966,62.896,66.006,76.944,83.98,69.645,73.83
NM_001168225,144.938,125.18,131.764,122.168,108.24,104.638,105.101,111.182,109.456,128.282,118.799,120.102,83.039,82.043,73.901,83.023,90.157,81.741,92.486,80.703
NM_008640,110.085,125.591,97.464,113.032,98.773,112.099,83.111,95.737,110.592,127.734,92.862,113.9,86.298,94.426,67.105,83.229,106.195,118.342,87.355,105.685
NM_011513,95.209,111.468,57.205,68.509,104.279,104.937,61.614,59.292,89.168,89.995,53.074,75.196,65.336,66.041,33.353,35.571,37.652,43.456,24.895,25.651
NM_019661,87.09,92.336,74.214,84.937,107.373,100.811,81.931,83.343,90.889,97.78,79.191,87.696,79.79,91.638,66.01,79.349,79.555,69.876,63.558,57.262
NM_026938,155.288,117.156,103.413,100.882,109.248,94.71,100.1,67.788,117.187,149.152,95.016,120.213,125.307,107.346,88.344,91.395,93.483,82.791,84.345,67.477
NM_001347401,94.705,97.431,70.597,68.932,104.485,99.193,83.161,73.974,74.993,80.921,63.37,73.49,58.522,62.846,44.655,45.052,52.24,61.557,47.432,46.477
NM_153117,92.546,113.672,82.261,101.647,89.229,109.205,83.604,91.29,104.805,112.548,94.474,99.789,75.254,90.268,73.347,81.442,91.649,101.77,76.434,89.075
NM_001168472,85.342,98.603,65.127,76.992,100.233,97.939,81.224,83.857,90.968,94.607,81.667,79.198,75.106,82.272,53.753,70.743,77.663,71.516,59.039,56.587
NM_001102400,48.37,53.51,45.346,42.827,99.57,97.812,89.218,94.906,111.659,109.459,96.521,100.777,21.464,10.931,21.602,9.852,8.557,5.997,8.019,4.693
NM_009546,105.336,136.58,74.366,130.568,90.315,104.751,65.802,99.553,132.545,111.907,114.146,96.127,61.219,70.735,56.958,66.938,36.494,36.681,29.659,31.087
NM_013692,88.08,85.739,51.445,41.595,92.424,102.063,45.627,42.891,51.039,59.619,19.473,32.179,29.339,22.362,12.971,8.819,39.651,45.205,16.06,16.817
NM_007657,111.035,114.864,116.883,106.627,90.282,104.151,77.111,86.301,50.345,53.757,46.767,47.154,146.758,134.206,145.766,130.953,153.86,161.6,153.283,135.239
NM_028173,92.317,106.671,85.082,90.54,86.682,103.76,81.36,87.959,90.361,89.379,84.917,69.37,80.208,83.932,70.389,70.945,94.781,87.098,78.63,76.306
NM_001171739,100.193,84.671,79.758,71.721,101.709,85.929,87.524,74.357,104.406,117.833,93.393,94.139,90.785,82.064,73.098,77.367,78.365,62.95,65.875,53.026
NM_133937,88.034,80.275,78.792,70.776,95.138,89.243,75.866,72.629,84.327,91.732,66.613,81.982,59.869,57.843,46.293,54.505,68.705,57.161,53.609,46.565
NM_001170935,75.428,70.887,72.972,75.814,100.382,83.716,96.089,83.01,85.978,79.01,86.287,80.559,72.96,70.224,64.488,66.862,78.678,66.308,68.617,59.613
NM_134054,77.802,89.209,69.196,73.924,80.607,103.181,62.748,87.354,72.394,77.167,52.241,61.06,52.072,52.422,45.834,48.478,40.786,49.275,33.674,45.199
NM_025946,93.531,73.126,83.845,58.505,98.245,80.387,84.719,56.256,98.25,101.694,73.254,102.34,82.861,73.718,56.648,69.364,79.049,64.052,66.18,49.453
NM_008850,76.21,72.644,65.678,62.131,91.595,86.662,79.718,72.8,71.553,71.12,67.596,59.547,62.54,58.533,53.398,52.073,68.009,61.999,57.173,48.525
NM_053252,82.338,73.592,56.866,62.881,93.859,82.719,76.963,71.993,109.517,101.431,96.013,94.875,86.178,61.086,73.191,55.151,65.854,62.002,57.039,51.186
NM_025410,95.354,76.369,91.585,63.059,101.06,75.356,76.551,69.899,68.656,97.714,56.216,68.027,52.06,44.906,43.994,45.223,51.102,38.752,42.255,40.848
NM_175300,78.561,81.924,65.127,70.152,85.881,89.637,75.676,78.046,66.483,70.927,59.692,64.733,64.5,61.163,54.019,51.095,60.323,60.797,49.077,57.485
NR_110477,109.221,79.871,104.407,85.153,98.227,76.451,98.681,53.683,98.313,145.919,88.476,117.426,102.231,74.782,46.14,60.029,77.094,61.699,70.549,54.941
NM_001037741,90.928,68.677,74.776,60.946,89.063,84.693,67.004,58.156,60.546,73.023,33.325,43.569,200.146,244.536,137.339,190.057,200.46,142.463,151.158,131.57
NM_022410,77.92,74.694,59.328,64.065,92.583,80.598,85.957,75.762,97.411,79.129,95.038,83.391,101.738,98.527,106.517,86.279,106.656,101.723,98.84,84.797
NM_008950,71.981,73.174,68.02,59.293,95.902,77.059,82.276,72.286,101.412,100.531,92.097,90.635,66.76,64.116,57.664,55.695,81.434,57.257,69.905,47.223
NM_021789,80.375,88.819,74.692,75.531,82.243,89.334,74.659,79.967,80.593,74.306,74.655,75.049,62.769,73.166,50.61,62.174,47.914,57.923,44.179,50.023
NM_145359,77.351,76.147,66.532,62.202,83.467,85.387,66.525,58.362,80.186,82.97,65.026,65.199,88.366,52.08,56.911,45.677,61.161,50.714,38.31,38.258
NM_198113,78.871,84.425,57.363,67.108,79.751,83.966,60.593,66.736,77.566,72.654,56.15,63.876,57.557,51.272,41.827,43.814,35.852,35.167,26.273,27.824
NM_053100,73.781,75.534,44.247,59.369,86.663,76.945,61.688,61.074,100.342,94.466,76.414,76.494,70.401,51.142,44.063,43.876,64.551,67.525,42.71,44.67
NM_010027,76.281,84.809,68.839,75.959,77.966,82.655,69.387,68.451,65.238,64.352,65.778,64.916,52.944,56.524,53.063,46.473,61.484,62.59,48.132,54.576
NM_001042514,63.535,69.519,87.634,100.894,80.612,79.511,108.366,104.324,64.067,51.478,83.781,62.734,99.699,176.001,141.351,211.206,175.423,126.872,255.96,190.561
NM_007874,72.275,73.597,65.657,62.791,75.575,83.898,65.211,70.715,82.078,85.25,73.498,74.756,67.228,64.954,53.427,56.965,58.973,57.863,51.819,47.727
NM_001290984,75.459,79.248,63.026,64.116,74.203,84.997,62.215,66.199,56.559,61.119,48.68,43.4,35.732,38.345,26.89,27.28,47.447,54.11,37.183,41.798
NM_053267,110.495,76.509,91.322,59.88,88.727,69.611,73.51,62.801,87.8,87.598,69.956,66.489,12.255,8.736,8.837,7.315,5.837,3.578,4.325,2.478
NM_023131,73.815,68.482,58.279,51.131,77.979,75.349,63.579,54.059,63.421,72.291,60.067,68.257,63.281,71.342,43.952,57.428,49.132,46.684,35.617,36.053
NM_025650,80.03,64.806,68.552,62.069,78.485,73.202,65.529,62.049,83.795,79.892,61.38,64.336,60.921,56.268,33.765,48.468,33.227,17.793,22.859,15.553
NM_001313695,48.856,41.042,43.554,36.077,82.32,67.599,71.685,64.234,82.561,83.158,70.604,72.409,27.478,16.228,22.298,13.767,51.134,38.508,42.885,33.209
NM_025428,76.446,70.113,57.166,66.423,77.224,70.186,56.156,54.893,50.887,65.669,43.835,43.337,46.387,41.702,34.358,35.343,46.876,39.622,37.247,39.18
NM_001172424,79.32,84.459,60.662,69.375,71.865,74.852,59.683,61.884,74.608,70.712,59.773,64.74,85.963,47.274,69.267,38.382,38.314,63.939,30.76,49.071
NM_008925,71.374,74.24,51.815,66.942,73.674,70.828,67.292,59.67,62.404,60.931,54.64,62.301,107.274,123.535,91.724,102.773,119.277,118.23,100.242,97.902
NM_021297,64.343,73.349,51.563,55.407,62.729,81.428,47.478,65.46,70.159,67.285,55.093,50.621,39.302,49.176,37.587,45.211,34.611,46.327,28.463,39.745
NM_053193,62.284,67.563,49.502,63.497,72.928,71.161,61.682,62.929,76.005,65.709,63.744,62.502,60.907,69.674,54.755,61.883,54.635,54.61,46.644,44.331
NM_001033525,52.42,61.468,48.755,57.486,66.921,73.134,57.42,58.738,52.996,46.084,42.835,53.382,45.293,35.661,40.48,30.294,38.984,39.631,29.109,32.295
NM_001159418,66.495,43.944,50.91,41.123,78.355,60.089,61.723,48.33,99.732,111.543,94.732,103.747,36.423,32.146,25.682,24.517,18.227,18.419,15.143,12.068
NM_001324510,61.282,63.521,49.043,48.76,69.471,68.472,57.82,62.227,73.534,80.42,72.777,59.097,55.185,69.795,41.023,51.8,56.004,55.779,46.701,44.806
NM_016752,64.195,67.406,54.256,64.077,68.895,68.415,56.409,54.008,80.168,78.551,67.964,61.243,52.698,67.406,40.496,51.455,51.91,49.193,46.927,41.419
NM_030691,68.087,133.349,123.042,138.022,50.058,87.242,106.343,105.663,98.681,87.024,146.794,117.414,140.405,164.223,188.243,173.503,211.3,242.707,282.045,250.826
NM_026447,48.901,42.977,41.66,33.433,73.469,63.524,59.519,52.857,66.229,68.931,53.153,56.362,48.581,27.553,37.368,27.35,14.228,14.152,13.895,12.071
NM_010213,46.642,43.282,43.465,35.245,71.032,60.146,58.209,48.659,82.21,82.905,60.549,65.824,22.149,18.571,16.141,13.993,34.144,34.608,22.323,20.843
NM_145417,47.023,59.878,41.494,56.134,64.419,66.728,52.785,52.975,62.305,64.778,57.131,58.792,41.022,42.948,47.256,40.369,48.71,56.61,43.261,49.99
NM_001037298,42.107,39.888,37.114,38.372,71.415,58.56,64.145,54.773,72.233,52.693,69.804,55.269,34.875,35.88,34.41,33.461,47.332,40.069,41.752,34.632
NM_001347536,47.548,44.298,32.499,30.399,72.132,57.183,53.958,46.419,74.209,76.851,65.538,51.556,26.042,13.447,19.914,10.722,34.747,25.532,25.933,18.889
NM_001081211,60.198,59.847,116.252,68.906,58.922,70.299,119.683,81.367,52.292,45.525,56.955,57.573,149.473,146.071,185.441,130.795,152.382,138.084,214.793,159.296
NM_026308,89.997,50.626,55.867,39.106,73.263,55.526,54.457,46.3,69.319,61.337,44.314,48.522,54.564,48.47,39.952,41.299,45.618,34.366,33.031,27.646
NM_001146318,50.136,46.827,42.848,39.417,70.619,54.469,53.65,46.342,77.975,90.142,62.984,73.484,14.091,5.57,9.576,4.671,14.876,15.678,12.537,11.762
