gene,raw.importance,rel.importance
DRG2,0.000251572327043981,0.0142857142857118
ABTB1,0.000251572327043981,0.0142857142857118
NXNL2,0.000251572327043981,0.0142857142857118
TMEM154,0.000251572327043981,0.0142857142857118
KBTBD11,0.000251572327043981,0.0142857142857118
SLC35F3,0.000251572327043981,0.0142857142857118
MROH2A,0.000251572327043981,0.0142857142857118
SKIV2L,0.000251572327043981,0.0142857142857118
SAP25,0.000251572327043981,0.0142857142857118
TMEM191C,0.000251572327043981,0.0142857142857118
SNORD99,0.000251572327043981,0.0142857142857118
AC010536.1,0.000251572327043981,0.0142857142857118
VN1R20P,0.000251572327043981,0.0142857142857118
ST6GALNAC4P1,0.000251572327043981,0.0142857142857118
OR7E121P,0.000251572327043981,0.0142857142857118
AC008629.2,0.000251572327043981,0.0142857142857118
