Regulator	Target	MI
4299	84688	0.2992948738771224
4299	51526	0.20556262304890183
4299	8545	0.6777413667637777
4299	8546	0.4062499180003476
4299	255352	0.18934623673269435
4299	242	0.19130414041701105
4299	143872	0.3740673507740926
4299	246	0.17986367780627344
4299	249	0.29950129342458354
4299	80072	0.22628522002429374
4299	8538	0.1985745753739554
4299	6358	0.19041734936713617
4299	80071	0.16188658610878193
4299	8539	0.4668919857445166
4299	57082	0.4022327737437914
4299	9639	0.32162441262464725
4299	414157	0.15743152423202567
4299	8548	0.36586594166915365
4299	130340	0.25139717765777725
4299	64860	0.39308853106544905
4299	221336	0.1536791446620107
4299	23272	0.6038727744813217
4299	23243	0.6116234973036745
4299	51566	0.34790828569067234
4299	64405	0.15852912120955232
4299	288	0.3730948550580644
4299	50489	0.2539178475291006
4299	54848	0.2547407339245167
4299	9685	0.8900639309190366
4299	65981	0.30063251951550907
4299	128497	0.2504658091665064
4299	65980	0.34835727459092425
4299	9447	0.1624404455870021
4299	23461	0.2890813095162619
4299	254268	0.24487765358769842
4299	54619	0.3363750457982029
4299	11007	0.4163633810940537
4299	374872	0.23218415213273325
4299	64422	0.31845454704379694
4299	23476	0.27268510759431486
4299	619208	0.1961916379856108
4299	199857	0.3559527671712255
4299	11016	0.5410045712544269
4299	114900	0.3021175471008464
4299	84837	0.2054441240694702
4299	93550	0.5172592388458437
4299	2826	0.23314736104447054
4299	22802	0.2212111606832048
4299	9478	0.3947291676735274
4299	55054	0.17371992268431224
4299	9472	0.2912704625291953
4299	152185	0.47204183693798374
4299	642475	0.44210793842083795
4299	28316	0.22246615419420834
4299	353500	0.2173395024533722
4299	29882	0.4016917613504756
4299	57002	0.2988286117665915
4299	9256	0.27632942903836444
4299	9254	0.2250231263778062
4299	27443	0.36261409201132455
4299	112752	0.4468111832601016
4299	64801	0.34591478545873144
4299	23092	0.43971461523143685
4299	80035	0.253711144699877
4299	340277	0.17801906105668497
4299	50649	0.23361264037752694
4299	63967	0.22859177827709054
4299	51507	0.23220472658499602
4299	84892	0.23023151453948199
4299	399761	0.15815927994944623
4299	905	0.48870040542283544
4299	909	0.21426237905410428
4299	23607	0.4780598113291967
4299	79650	0.21116471295405237
4299	113540	0.48338302326449156
4299	915	0.42831015778789183
4299	10533	0.450005950463753
4299	1106	0.40088713462260195
4299	203111	0.20672252820082004
4299	65250	0.5498986853301027
4299	9083	0.1523290667156596
4299	10518	0.23553696422552228
4299	147339	0.36550785321341284
4299	1366	0.23085900340735943
4299	1123	0.33074305716702845
4299	1137	0.16740322061762036
4299	168448	0.3798078474325832
4299	951	0.14694032218407838
4299	114897	0.2543996965975879
4299	400793	0.19928000941412982
4299	205327	0.3118333593056599
4299	79684	0.23607464198211314
4299	55259	0.2189035308347318
4299	727	0.30747501848820846
4299	147525	0.1594869770807268
4299	1158	0.18478565210547782
4299	55028	0.147120852803873
4299	974	0.2829075086673871
4299	975	0.49542730621057895
4299	27154	0.6949626316225324
4299	84811	0.2239086271237838
4299	127703	0.24628252520270344
4299	983	0.22190475120673359
4299	988	0.43544359126256005
4299	26060	0.5626956976077437
4299	338692	0.4330591310474903
4299	23200	0.33167858472331524
4299	990	0.2145379248079351
4299	513	0.47994717224746175
4299	997	0.5489042142503635
4299	128866	0.500123475360434
4299	10134	0.376662059022836
4299	54998	0.47226402999234907
4299	90835	0.3518446373293056
4299	400916	0.37462747696551
4299	1195	0.1520325750460172
4299	23457	0.21067717544870934
4299	79800	0.3753300513965838
4299	10143	0.27744077743895446
4299	10142	0.5974025983541358
4299	497258	0.14989890782695348
4299	8812	0.33370964053262053
4299	55859	0.2531698100092745
4299	2055	0.18205340884340515
4299	149111	0.2337784179270619
4299	773	0.17438085726731067
4299	51027	0.4862439175668696
4299	539	0.5645843706237965
4299	199800	0.34778900591245954
4299	55871	0.17560910000015095
4299	785	0.1736410658535812
4299	545	0.3708673017742594
4299	54785	0.3292360995614354
4299	79822	0.22450641779725355
4299	79825	0.24739715104355753
4299	139322	0.704779359944828
4299	55636	0.44536872418559614
4299	729096	0.3657687133237806
4299	25825	0.16149494538255738
4299	113179	0.4181493510797294
4299	57820	0.27795963521057754
4299	554	0.23722371808453513
4299	317	0.5565996659797454
4299	4261	0.23637400925140195
4299	84190	0.18475674937780528
4299	144097	0.3899405892242278
4299	196528	0.6763407373633488
4299	55653	0.32725772312952994
4299	128653	0.1996639965462519
4299	56990	0.3770046845789983
4299	571	0.33498032139762035
4299	192134	0.3208663870918915
4299	55421	0.3577578068237006
4299	573	0.5435031685838432
4299	333	0.1765775588154792
4299	578	0.17186015715738812
4299	9716	0.6328097931954977
4299	135398	0.15559043824868635
4299	441432	0.22073742957485365
4299	51074	0.21165124911172573
4299	103	0.41700711635226995
4299	55435	0.513804122732572
4299	105	0.2743218848872351
4299	107	0.173122204304625
4299	5128	0.36296652750032354
4299	196500	0.1646329244499496
4299	284185	0.18144531016612309
4299	54906	0.7824711597689564
4299	10095	0.3936466030022254
4299	9744	0.21216566312803042
4299	9743	0.30270765700617464
4299	351	0.19321760289242373
4299	112	0.20068520306355797
4299	598	0.23440817071905684
4299	358	0.174513469447521
